"%s","%s"
"%s already exist.","%sは既に存在しています。"
"%s already exists.","%sは既に存在しています。"
"-- Please Select --","-- 選択してください --"
"Cannot complete this operation from non-admin area.","管理者サイトからではない場所からの操作を完了できませんでした。"
"Card type does not match credit card number.","カードの種類がカード番号と一致しません。"
"Code","コード"
"Controller file was loaded but class does not exist","コントローラはロードされていますがクラスがありません。"
"Cookie Domain","Cookieドメイン"
"Cookie Lifetime","Cookieの有効期限"
"Cookie Path","Cookieパス"
"Cookie Restriction Mode","Cookie制限モード"
"Copyright","コピーライト"
"Core","コア"
"Countries Options","国オプション"
"Country","国"
"Create Store","店舗を作成"
"Create Store View","ストアビューを作成"
"Create Website","ウェブサイトを作成"
"Credit card number does not match credit card type.","カード番号がカードの種類と一致しません。"
"Current Package Name","現在のパッケージ名"
"Custom Admin Path","カスタム管理者パス"
"Custom Admin URL","カスタム管理者URL"
"Custom Design","カスタムデザイン"
"Custom Email 1","カスタムメールアドレス１"
"Custom Email 2","カスタムメールアドレス２"
"Custom Variables","カスタム変数"
"Custom1 Contact Email","カスタム問い合わせメールアドレス1"
"Custom1 Contact Name","カスタム問い合わせ担当者名1"
"Custom2 Contact Email","カスタム問い合わせメールアドレス2"
"Custom2 Contact Name","カスタム問い合わせ担当者名2"
"Customer Support","顧客サポート"
"Dashboard","ダッシュボード"
"Date From","開始日"
"Date To","終了日"
"Date/time format ""%s"" is not supported.","日付のフォーマット ""%s"" はサポートされていません。"
"Debug","デバッグ"
"Default","標準"
"Default Country","標準の国"
"Default Description","標準の説明"
"Default Keywords","初期キーワード"
"Default No-route URL","標準の404ページURL"
"Default Pages","標準のページ"
"Default Robots","標準のrobots.txt"
"Default Store","標準の店舗"
"Default Store View","標準のストアビュー"
"Default Title","標準タイトル"
"Default Web URL","標準ウェブURL"
"Delete","削除"
"Delete Store","店舗を削除"
"Delete Store View","ストアビューを削除"
"Delete Website","ウェブサイトを削除"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s を削除しても %1$s (例えば、カテゴリや商品など) に関連した情報は削除しません。但し %1$s は元に戻すことはできません。 %1$s を削除する前にデータベースのバックアップを取得する事をおすすめします。"
"Design","デザイン"
"Design Change","デザイン変更"
"Developer","開発者向け"
"Developer Client Restrictions","開発者クライアント制限"
"Disable Email Communications","Eメール連絡を無効にする"
"Disable Modules Output","無効なモジュール出力"
"Display Demo Store Notice","デモストア通知の表示"
"Duplicate Of Template Name","テンプレート名の複製"
"Edit Design Change","デザイン変更の編集"
"Edit Store","店舗を編集"
"Edit Store View","ストアビューを編集"
"Edit Website","ウェブサイトの編集"
"Empty identifier field name","空の識別子名"
"Empty main table name","空のメインテーブル名"
"Enable Charts","グラフを有効にする"
"Enabled","有効"
"Enabled for Admin","管理者ページで有効にする"
"Enabled for Frontend","フロントエンドで有効にする"
"Environment Update Time","集計期間"
"Error in file: ""%s"" - %s","ファイル内でエラーが発生しました: ""%s"" -%s"
"European Union Countries","EU加盟国"
"Exceptions Log File Name","例外ログファイル名"
"Favicon Icon","ファビコン"
"File %s does not exist","ファイル %s がありません"
"File %s is not readable","ファイル %s が読み込めません"
"File not found","ファイルが見つかりません"
"File system","ファイルシステム"
"File with an extension ""%value%"" is protected and cannot be uploaded","拡張子 ""%value%"" のファイルは保護されているためアップロードできません"
"First Day of Week","週の始まり"
"Flush Cache Storage","キャッシュストレージをリフレッシュする"
"Flush Magento Cache","Magentoのキャッシュをクリアする"
"Footer","フッター"
"Forgot Password Email Sender","パスワードリマインダメール送信者"
"Forgot Password Email Template","パスワードリマインダメールテンプレート"
"General","全般"
"General Contact","総合受付"
"General Contact Email","総合受付メールアドレス"
"General Contact Name","総合受付担当者名"
"General Settings","全般設定"
"Global","共通"
"HTML Head","HTML ヘッダ"
"HTML tags are not allowed","HTMLタグは許可されていません"
"Header","ヘッダー"
"Host","ホスト"
"How many links to display at once.","一度に何件のリンクを表示しますか？"
"ID Path for Specified Store","特定店舗のIDパス"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","現在のページングナビ表示範囲が大半のページをカバーしていない場合、この値を加算・減算したページ番号を表示します。"
"Incorrect credit card expiration date.","不正なカード有効期限です。"
"Input type ""%value%"" not found in the input types list.","入力形式 ""%value%"" は入力形式リストにありません。"
"Invalid base url type","不正なベースURLタイプ"
"Invalid block name to set child %s: %s","不正な子ブロック名です %s: %s"
"Invalid block type: %s","不正なブロック名です: %s"
"Invalid block: %s","不正なブロック: %s"
"Invalid connection","不正な接続"
"Invalid layout update handle","無効なレイアウトを更新しようとしました。"
"Invalid messages storage ""%s"" for layout messages initialization","レイアウトメッセージ初期化で不正なメッセージストレージ ""%s"""
"Invalid query","不正なクエリ"
"Invalid transactional email code: ","不正なEメールトランザクションコード: "
"Invalid website\'s configuration path: %s","不正なウェブサイト設定パス: %s"
"JavaScript Settings","JavaScript設定"
"Layout","レイアウト"
"Leave empty for access from any location.","どこからでもアクセス可能にする場合は空白にしてください。"
"List of stores","店舗の一覧"
"Locale","ロケール"
"Locale Options","ロケールオプション"
"Log Settings","ログ設定"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Mage::log()でログを作成します。ファイルは{{base_dir}}/var/logに作成されます。"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Mage::logException()でログを記録します。 ファイルは{{base_dir}}/var/logに保存されます。"
"Login is Case Sensitive","ログインIDの大文字小文字を区別する"
"Logo Image","Logo Image"
"Logo Image Alt","ロゴイメージAlt"
"Logo Image Src","ロゴイメージファイル名"
"Mail Sending Settings","メール送信設定"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","BaseURLは”/”で終了させてください。 例：http://yourdomain/magento/"
"Manage Stores","店舗管理"
"Match expressions in the same order as displayed in the configuration.","画面に表示する順序が同じになるようあわせてください"
"Media Storage","メディアストレージ"
"Merge CSS Files","CSSファイルをマージする"
"Merge JavaScript Files","Javascriptファイルをマージする"
"Miscellaneous HTML","色々な HTML"
"Miscellaneous Scripts","各種スクリプト"
"Model collection resource name is not defined.","モデルコレクションリソース名が未定義です。"
"Module ""%1$s"" cannot depend on ""%2$s"".","モジュール ""%1$s"" は ""%2$s"" に依存できません。"
"Module ""%1$s"" requires module ""%2$s"".","モジュール ""%1$s"" は ""%2$s"" を必要としています。"
"Name","名前"
"New Design Change","新しいデザイン変更"
"New Store","新しい店舗"
"New Store View","新しいストアビュー"
"New Website","新しいウェブサイト"
"No","No"
"Offloader header","オフローダーヘッダー"
"PHP SOAP extension is required.","PHP SOAPエクステンションが必要です。"
"Package","パッケージ"
"Pagination","ページング"
"Pagination Frame","ページング設定"
"Pagination Frame Skip","ページングスキップ間隔"
"Parent directory does not exist: %s","親ディレクトリがありません: %s"
"Path ""%value%"" is not available and cannot be used.","パス ""%value%"" は利用できません。"
"Path ""%value%"" is protected and cannot be used.","パス ""%value%"" は保護されていて使用できません。"
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","パス ""%value%"" はディレクトリトラバーサルのおそれがあります (""../"", ""..\\”)。"
"Please define flag code.","フラグコードを決めてください。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","6文字以上を入力してください。先頭と最後の空白は無視されます。"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","7文字以上を入力してください。パスワードは半角英数字を含んでいなければなりません。"
"Please enter a number 0 or greater in this field.","0以上の数字を入力してください。"
"Please enter a number 1 or greater in this field.","1またはそれ以上の数字を入力してください"
"Please enter a number greater than 0 in this field.","0以上の数を入力してください。"
"Please enter a number lower than 100.","100以下の数字を入力してください。"
"Please enter a valid $ amount. For example $100.00.","正しい金額表示で入力してください。(例) $100.00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","正しいURLキーを入力してください。例： ""example-page""、 ""example-page.html"" , ""anotherlevel/example-page""。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","正しいURLを入力してください。（例：http://www.example.com または www.example.com）"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","正しいURLを入力してください。プロトコルの指定が必要です (http://, https:// , ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","正しいXML識別子を入力してください。 例：something_1, block5, id-4"
"Please enter a valid credit card number.","正しいクレジットカード番号を入力してください。"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Please enter a valid date between %s and %s","%s から %s までの値を入力してください。"
"Please enter a valid date equal to or greater than %s","%s 以上の値を入力してください。"
"Please enter a valid date less than or equal to %s","%s 以下の値を入力してください。"
"Please enter a valid date.","正しい日付を入力してください。"
"Please enter a valid day (1-%d).","正しい日を入力してください (1-%d)。"
"Please enter a valid email address. For example johndoe@domain.com.","正しいメールアドレスを入力してください。（例：johndoe@domain.com）"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","正しいFAX番号を入力してください。例：(03) 3456-7890 or 03-3456-7890."
"Please enter a valid full date","正しい完全な日付を入力してください。"
"Please enter a valid month (1-12).","正しい月を入力してください (1-12)。"
"Please enter a valid number in this field.","正しい数字で入力してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","正しい電話番号の形式で入力してください。（例：(123) 456-7890 or 123-456-7890）"
"Please enter a valid social security number. For example 123-45-6789.","正しいソーシャルセキュリティナンバーを入力してください。（例：123-45-6789）"
"Please enter a valid year (1900-%d).","Please enter a valid year (1900-%d)."
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。（例：123-4567）"
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","正しいCSSの長さを指定してください。 例：100px, 77pt, 20em, .5ex, 50%"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select State/Province.","地域を選択してください"
"Please select a file","Please select a file"
"Please select an option.","オプションを選択してください。"
"Please select one of the above options.","上のオプションから一つ選択してください。"
"Please select one of the options.","オプションをひとつ選択してください。"
"Please set available and/or protected paths list(s) before validation.","チェックの前に利用可能か保護されているパスをセットしてください。"
"Please specify either a category or a product, or both.","カテゴリか商品か両方かいずれかを選択してください。"
"Please use letters only (a-z or A-Z) in this field.","この入力エリアには (a-z or A-Z) 文字のみが使用できます。"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","このフィールドには数字のみを使用してください。スペースやコンマ（,）のような文字は避けてください。"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドには半角英字 (a-z or A-Z) か数字 (0-9) を使用してください。スペースや他の文字は許可されていません。"
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","このフィールドには半角英字 (a-z or A-Z) か数字 (0-9) もしくはスペースか # を使用してください。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","コードは半角英数字で先頭は半角英字でなくてはなりません。"
"Please use only visible characters and spaces.","表示可能な文字かスペースを使用してください。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","日付の形式は右の通りです: dd/mm/yyyy. （例： 17/03/2006 は 2006年3月17日）。"
"Please wait, loading...","読み込み中です"
"Port (25)","ポート (25)"
"Profiler","プロファイラ"
"Recovery Link Expiration Period (days)","復元リンク有効期限 (日)"
"Request Path for Specified Store","特定の店舗へのリクエストパス"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","リクエストされたファイルはディレクトリトラバーサルの問題があります (""../"", ""..\\ など)"""
"Requested invalid store ""%s""","正しくないストア ""%s""がリクエストされました"
"Resource is not set.","リソースがセットされていません。"
"Retrieve store data","店舗データを取得"
"Retrieve store list","店舗一覧を取得"
"Return-Path Email","Return-Pathメールアドレス"
"Root Category","ルートカテゴリ"
"Sales Representative","販売担当者"
"Sales Representative Contact Email","セールス担当者メールアドレス"
"Sales Representative Contact Name","セールス担当者名"
"Save","保存"
"Save Store","店舗を保存"
"Save Store View","ストアビューを保存"
"Save Website","ウェブサイトを保存"
"Search Engines Optimization","検索エンジン最適化"
"Secure","セキュア"
"Security","セキュリティ"
"Select Date","日付を選択"
"Select Media Database","メディアストレージを選択"
"Sender Email","送信者アドレス"
"Sender Name","送信者名"
"Services","サービス"
"Session Cookie Management","セッションCookie管理"
"Session Lifetime (seconds)","セッション有効期限 (秒)"
"Session Validation Settings","セッション設定確認"
"Set Return-Path","Return-Pathを設定する"
"Set as Default","標準にする"
"Skin (Images / CSS)","スキン(画像/CSS)"
"Sort Order","並び順"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定された日付/時間の形式 ""%1$s"" が形式 ""%2$s"" と一致しません"
"Start date cannot be greater than end date.","開始日は終了日より前の日付を指定してください。"
"Startup Page","開始ページ"
"Status","状態"
"Storage Configuration for Media","メディアストレージ設定"
"Store","店舗"
"Store API","ストア API"
"Store Contact Address","店舗連絡先住所"
"Store Contact Information","店舗コンテンツ情報"
"Store Contact Telephone","お問い合わせ電話番号"
"Store Email Addresses","店舗のメールアドレス"
"Store Information","ストア情報"
"Store Name","店舗名"
"Store View","ストアビュー"
"Store View Information","ストアビュー情報"
"Store View Name","ストアビュー名"
"Store view doesn't exist","ストアビューが存在しません"
"Store with the same code","同じコードの店舗です"
"System","システム"
"System Log File Name","システムログファイル名"
"Template Path Hints","テンプレートパスヒント"
"Template Settings","テンプレート設定"
"Template Variables","テンプレート変数"
"Templates","テンプレート"
"Text length does not satisfy specified text range.","文字の長さが指定された範囲にありません。"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","あなたが入った( %s )は無効です。 ""http://domain.com/"" のフォーマットに沿っているか確認してください。"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","店舗コードは英数字かアンダースコア(_)のみが使用できます。最初の文字は英文字である必要があります。"
"The store does not exist","店舗がありません。"
"The store has been deleted.","店舗を削除しました。"
"The store has been saved.","店舗を保存しました。"
"The store view has been deleted.","ストアビューを削除しました。"
"The store view has been saved","ストアビューを保存しました。"
"The template Name must not be empty.","テンプレート名が空です。"
"The value is not within the specified range.","値が指定された範囲にありません。"
"The website does not exist.","ウェブサイトがありません。"
"The website has been deleted.","ウェブサイトを削除しました。"
"The website has been saved.","ウェブサイトを保存しました。"
"Themes","テーマ"
"This category and all its child elements","このカテゴリとその子要素すべて"
"This category and its child categories only","このカテゴリとその子カテゴリのみ"
"This category and its products only","このカテゴリと商品のみ"
"This category only","このカテゴリのみ"
"This date is a required value.","この日付は必須項目です。"
"This is a required field.","必須項目です"
"This store cannot be deleted.","店舗を削除する事はできません。"
"This store view cannot be deleted.","ストアビューを削除する事はできません。"
"This website cannot be deleted.","ウェブサイトを削除する事はできません。"
"This will be displayed just before body closing tag.","bodyタグの終了直前に出力されます。"
"This will be included before head closing tag in page HTML.","ページのHTMLのheadタグ終了前に追記されます。"
"Timezone","タイムゾーン"
"Title Prefix","タイトルプレフィックス"
"Title Suffix","タイトルサフィックス"
"Transactional Emails","取り引きメール"
"Translate Inline","インライン翻訳"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","翻訳データやブロックやその他のキャッシュはインライン翻訳を使用する際には無効にしておいたほうが便利です。"
"Translations","翻訳"
"Two and more slashes together are not permitted in request path","2つ以上の連続したスラッシュはリクエストパスに許可されていません。"
"Two and more slashes together are not permitted in url rewrite suffix","2つ以上の連続したスラッシュはURL書換に許可されていません。"
"Unable to create directory: %s","ディレクトリを作成できません: %s"
"Unable to delete store view. Please, try again later.","ストアビューを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete store. Please, try again later.","ストアを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete website. Please, try again later.","ウェブサイトを削除する事ができません。後でもう一度ためしてください。"
"Unable to proceed. Please, try again","処理できませんでした。後で再度お試しください。"
"Unable to proceed. Please, try again.","続行できません、やり直してください。"
"Unable to save file ""%s"" at ""%s""","ファイル ""%s"" を ""%s"" に保存できません。"
"Unable to save file: %s","ファイルを保存できません: %s"
"Unknown old style column type definition: {$definition}.","未定義の古い列定義形式: {$definition}."
"Unknown scope ""%s"".","不明なスコープ ""%s""."
"Unsecure","非セキュア"
"Url Options","URLオプション"
"Use Custom Admin Path","カスタム管理者パスを使用する"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","HTTPだけ使用可能"
"Use SID on Frontend","フロントエンドでSIDを使用する"
"Use Secure URLs in Admin","セキュアURLを管理者ページで使用する"
"Use Secure URLs in Frontend","フロントエンドでセキュアURLを使う"
"Use Web Server Rewrites","ウェブサーバーリライトを使用する"
"VAT Number","VAT Number"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENTを検証する"
"Validate HTTP_VIA","HTTP_VIA を検証する"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR を検証する"
"Validate REMOTE_ADDR","REMOTE_ADDR を検証する"
"Validation has failed.","認証失敗"
"Values less than 60 are ignored. Note that changes will apply after logout.","60以下の値は無視されます。この変更はログアウト後に有効になります。"
"Variable Code must be unique.","変数のコードはユニークである必要があります。"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","警告!この機能を稼働環境で有効にすることは推奨されていません。なぜなら情報漏えい事故の恐れがあるからです。"
"Web","ウェブ"
"Website","ウェブサイト"
"Website Information","ウェブサイト情報"
"Website Name","ウェブサイト名"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","ウェブサイトコードは半角英数字またはアンダースコア(_)で作成してください。最初の文字は英文字である必要があります。"
"Website with the same code","同じコードのウェブサイトです"
"Weekend Days","週末"
"Welcome Text","ウェルカムメッセージ"
"Wrong file info format","不正なファイル情報フォーマット"
"Wrong number of arguments for %s","誤った数の引数です:%s"
"Wrong old style column type definition: {$definition}.","不正な古い列定義形式: {$definition}."
"Yes","Yes"
"You will have to log in after you save your custom admin path.","カスタム管理者パスを設定すると再度ログインが必要になります。"
"Your design change for the specified store intersects with another one, please specify another date range.","指定の店舗のデザイン変更が他のもので遮られます。日付の範囲を確認してください。"
"database ""%s""","データベース ""%s"""
