"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s a été ajouté à votre liste de souhaits. Cliquez <a href=""%2$s"">ici</a> pour continuer vos achats."
"%1$s has been updated in your wishlist.","%1$s a été mis à jour dans votre liste de souhaits."
"%d product(s) have been added to shopping cart: %s.","%d produit(s) a(ont) été ajouté(s) au caddy: %s."
"%s for ""%s"".","%s pour ""%s""."
"%s has been moved to wishlist %s","%s a été déplacé dans la liste de voeux %s"
"%s's Wishlist","%s de la liste de vœux"
"* Required Fields","* Champs requis"
"Product(s) %s have required options. Each product can only be added individually.","Le(s) produit(s) %s possède(nt) des options requises. Chaque produit peut uniquement être ajouté individuellement."
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Lien RSS vers %s de liste de vœux"
"Remove Item","Enlever article"
"Remove This Item","Enlever cet article"
"Remove item","Supprimer l'objet"
"Requested cart item doesn't exist","Le panier demandé n'existe pas"
"Requested wishlist doesn't exist","La liste de voeux demandée n'existe pas"
"Share Options","Options de partage"
"Share Wishlist","Partager liste de vœux"
"Share Your Wishlist","Partagez votre liste de vœux"
"Sharing Information","Partager infos"
"This product(s) is currently out of stock","Ce(s) produit(s) n'est(ne sont) actuellement pas disponible(s)"
"Unable to add the following product(s) to shopping cart: %s.","Incapable d'ajouter le(s) produit(s) suivant(s) au caddy: %s."
"Update Wishlist","Mettre à jour liste de vœux"
"User description","Description utilisateur"
"View Details","Vue détails"
"View Product","Voir produit"
"What's this?","Qu'est-ce ?"
"Wishlist","Liste de vœux"
"Wishlist Section","Section liste de vœux"
"Wishlist Sharing","Partager liste de vœux"
"Wishlist could not be created.","La liste de voeux n'a pas pu être créée."
"Wishlist is empty now.","Liste de vœux maintenant vide"
"You have no items in your wishlist.","Vous n'avez pas d'articles dans votre liste de vœux."
"Your Wishlist has been shared.","Votre liste de vœux a été partagée."
