"%s","%s"
"%s already exist.","%s already exist."
"%s already exists.","%s already exists."
"-- Please Select --","-- Please Select --"
"Cookie Path","Cookie Path"
"Copyright","Copyright"
"Countries Options","Countries Options"
"Create Store","Create Store"
"Create Store View","Create Store View"
"Create Website","Create Website"
"Credit card number does not match credit card type","Credit card number does not match credit card type"
"Current Package Name","Current Package Name"
"Custom Admin URL","Custom Admin URL"
"Custom Design","Custom Design"
"Custom Email 1","Custom Email 1"
"Custom Email 2","Custom Email 2"
"Custom Variables","Custom Variables"
"Customer Support","Customer Support"
"Dashboard","Dashboard"
"Date From","Date From"
"Date To","Date To"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","Default"
"Default Country","Default Country"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default No-route URL","Default No-route URL"
"Default Pages","Default Pages"
"Default Robots","Default Robots"
"Default Store","Default Store"
"Default Store View","Default Store View"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Delete","Delete"
"Delete Store","Delete Store"
"Delete Store View","Delete Store View"
"Delete Website","Delete Website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Design Change"
"Developer","Developer"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable Email Communications","Disable Email Communications"
"Disable Modules Output","Disable Modules Output"
"Display Demo Store Notice","Display Demo Store Notice"
"Duplicate Of Template Name","Duplicate Of Template Name"
"Edit Design Change","Edit Design Change"
"Edit Store","Edit Store"
"Edit Store View","Edit Store View"
"Edit Website","Edit Website"
"Empty identifier field name","Empty identifier field name"
"Empty main table name","Empty main table name"
"Enable Charts","Enable Charts"
"Enable Prototype Deprecation Log","Enable Prototype Deprecation Log"
"Enabled","Enabled"
"Enabled for Admin","Enabled for Admin"
"Enabled for Frontend","Enabled for Frontend"
"Error in file: ""%s"" - %s","Error in file: ""%s"" - %s"
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"Favicon Icon","Favicon Icon"
"First Day of Week","First Day of Week"
"Flush Cache Storage","Flush Cache Storage"
"Flush Magento Cache","Flush Magento Cache"
"Footer","Footer"
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","General"
"General Contact","General Contact"
"General Settings","General Settings"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"How many links to display at once.","How many links to display at once."
"ID Path for Specified Store","ID Path for Specified Store"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Invalid base url type"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Invalid block type: %s"
"Invalid block: %s","Invalid block: %s"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid website\'s configuration path: %s","Invalid website\'s configuration path: %s"
"JavaScript Settings","JavaScript Settings"
"Layout","Layout"
"Leave empty for access from any location.","Leave empty for access from any location."
"Locale","Locale"
"Locale Options","Locale Options"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging from Mage::log(). File is located in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging from Mage::logException(). File is located in {{base_dir}}/var/log"
"Login is Case Sensitive","Login is Case Sensitive"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Mail Sending Settings","Mail Sending Settings"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Manage Stores","Manage Stores"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Maximum length exceeded.","Maximum length exceeded."
"Merge CSS Files (beta)","Merge CSS Files (beta)"
"Merge JavaScript Files","Merge JavaScript Files"
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Model class does not exist: %s.","Model class does not exist: %s."
"Model collection resource name is not defined.","Model collection resource name is not defined."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Name"
"New Design Change","New Design Change"
"New Store","New Store"
"New Store View","New Store View"
"New Website","New Website"
"No","No"
"Package","Package"
"Pagination","Pagination"
"Pagination Frame","Pagination Frame"
"Pagination Frame Skip","Pagination Frame Skip"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%"
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Please select State/Province."
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Request Path for Specified Store","Request Path for Specified Store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Resource is not set."
"Return-Path Email","Return-Path Email"
"Root Category","Root Category"
"Sales Representative","Sales Representative"
"Save","Save"
"Save Store","Save Store"
"Save Store View","Save Store View"
"Save Website","Save Website"
"Search Engines Optimization","Search Engines Optimization"
"Secure","Secure"
"Security","Security"
"Select Date","Select Date"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Services","Services"
"Session Cookie Management","Session Cookie Management"
"Session Lifetime (seconds)","Session Lifetime (seconds)"
"Session Validation Settings","Session Validation Settings"
"Set Return-Path","Set Return-Path"
"Set as Default","Set as Default"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort Order","Sort Order"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Start date cannot be greater than end date."
"Startup Page","Startup Page"
"Status","Status"
"Store","Store"
"Store Contact Address","Store Contact Address"
"Store Contact Information","Store Contact Information"
"Store Contact Telephone","Store Contact Telephone"
"Store Email Addresses","Store Email Addresses"
"Store Information","Store Information"
"Store Name","Store Name"
"Store View","Store View"
"Store View Information","Store View Information"
"Store View Name","Store View Name"
"Store view doesn't exist","Store view doesn't exist"
"Store with the same code","Store with the same code"
"System","System"
"System Log File Name","System Log File Name"
"Template Path Hints","Template Path Hints"
"Template Variables","Template Variables"
"Templates","Templates"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The model collection resource name is not defined.","The model collection resource name is not defined."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"The store does not exist","The store does not exist"
"The store has been deleted.","The store has been deleted."
"The store has been saved.","The store has been saved."
"The store view has been deleted.","The store view has been deleted."
"The store view has been saved","The store view has been saved"
"The template Name must not be empty.","The template Name must not be empty."
"The website does not exist.","The website does not exist."
"The website has been deleted.","The website has been deleted."
"The website has been saved.","The website has been saved."
"Themes","Themes"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","This category only"
"This date is a required value.","This date is a required value."
"This is a required field.","This is a required field."
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Timezone","Timezone"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both frontend and admin inline translations.","Translate cache should be disabled for both frontend and admin inline translations."
"Translations","Translations"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Unknown scope ""%s"".","Unknown scope ""%s""."
"Unsecure","Unsecure"
"Url Options","Url Options"
"Use Custom Admin URL","Use Custom Admin URL"
"Use HTTP Only","Use HTTP Only"
"Use SID on Frontend","Use SID on Frontend"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validation has failed.","Validation has failed."
"Values less than 60 are ignored. Note that changes will apply after logout.","Values less than 60 are ignored. Note that changes will apply after logout."
"Variable Code must be unique.","Variable Code must be unique."
"Web","Web"
"Website","Website"
"Website Information","Website Information"
"Website Name","Website Name"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter"
"Website with the same code","Website with the same code"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Yes","Yes"
"Your design change for the specified store intersects with another one, please specify another date range.","Your design change for the specified store intersects with another one, please specify another date range."
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Your session has been expired, you will be relogged in now."
