All,Alle
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","Alle Länder"
"Add New Customer Group","Neue Kundengruppe hinzufügen"
"Save Customer Group","Kundengruppe speichern"
"Delete Customer Group","Kundengruppe löschen"
"New Customer Group","Neue Kundengruppe"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information",Guppeninformation
"Group Name",Guppenname
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class",Steuerklasse
"Customers Only","Nur für Kunden"
"Visitors Only","Nur Besucher"
Visitor,Besucher
"The customer is currently assigned to Customer Group %s.","Der Kunde ist derzeit Kundengruppe %s zugeordnet."
"Would you like to change the Customer Group for this order?","Möchten sie die Kundengruppe für diese Bestellung ändern?"
"The VAT ID is valid. The current Customer Group will be used.","Umsatzsteuer-Identifikationsnummer (%s) ist nicht gültig. Aktuelle Kundengruppe wird angewandt
."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","Bei der Überprüfung der Umsatzsteuer-Identifikationsnummer ist ein Fehler aufgetreten."
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer wird überprüft"
"Customer Login",Kundenanmeldung
"Create New Customer Account","Neues Kundenkonto erstellen"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Anmeldername oder Passwort ungültig."
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Login und Passwort werden benötigt."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.","Speichern des Kunden nicht möglich."
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Fehlerhafter Aufruf."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Bitte überprüfen Sie Ihre E-Mails auf den Bestätigungscode."
"This email does not require confirmation.","Diese E-Mail erfordert keine Bestätigung."
"Wrong email.","Falsche E-Mail."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Bitte geben Sie Ihre E-Mail-Adresse ein."
"Your password reset link has expired.","Der Link für das Resetten Ihres Passworts ist abgelaufen."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","Das Feld für das neue Passwort kann nicht leer sein."
"Your password has been updated.","Ihr Passwort wurde geändert."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","Benutzerkonto Information wurde gespeichert."
"The address has been saved.","Die Adresse wurde gespeichert."
"Cannot save address.","Adresse speichern nicht möglich."
"The address has been deleted.","Die Adresse wurde gelöscht."
"An error occurred while deleting the address.","Beim Löschen der Adresse ist ein Fehler aufgetreten."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","Neue Gruppe"
"New Customer Groups","Neue Kundengruppen"
"Edit Group","Gruppe bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"The customer group has been saved.","Die Kundengruppe wurde gespeichert."
"The customer group has been deleted.","Die Kundengruppe wurde gelöscht."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Kunden verwalten"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Bitte geben Sie den Vornamen ein."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the street.","Bitte geben Sie die Straße ein."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the telephone number.","Bitte geben Sie die Telefonnummer ein."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl an."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter the state/province.","Bitte geben Sie das Bundesland an."
"Per Website","Pro Webseite"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Das Kundenkonto kann nicht global geteilt werden, da Kundenkonten mit den gleichen E-Mails bereits auf verschiedenen Websites existieren und nicht zusammengeführt werden können."
"This account is not confirmed.","Dieses Benutzerkonto wurde nicht bestätigt."
"Wrong transactional account email type","Falsche Girokonto E-Mail"
"The first name cannot be empty.","Der Vorname darf nicht leer sein."
"The last name cannot be empty.","Der Nachname darf nicht leer sein."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","Das Geburtsdatum muss angegeben werden."
"The TAX/VAT number is required.","Die USt-IdNr. muss angegeben werden."
"Gender is required.","Das Geschlecht muss angegeben werden."
"Invalid password reset token.","Ungültiger Token für das Resetten des Passworts."
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","Kunden-E-Mail-Adresse ist erforderlich"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","Kunden-Webseiten-Identifikation muss bei Nutzung der Seite angegeben werden"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses",Kundenadressen
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen wollen?"
"Set as Default Billing Address","Rechnungsadresse als Vorgabe einstellen"
"Default Billing Address",Standard-Rechnungsadresse
"Set as Default Shipping Address","Versandadresse als Vorgabe einstellen"
"Default Shipping Address",Standard-Lieferadresse
"New Customer Address","Neue Kundenadresse"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics",Verkaufsstatistiken
"Average Sale",Durchschnittsverkauf
"Manage Addresses","Adressen verwalten"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Meinem Konto Dashboard aus, können Sie einen Schnappschuss Ihrer aktuellen Kontoaktivität sehen und Ihre Kontoinformationen aktualisieren. Wählen Sie den nachfolgenden Link um Informationen zu sehen oder zu aktualisieren."
"Change Password","Passwort ändern"
Newsletters,Newsletter
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo 'Allgemeines' angemeldet."
"You are currently not subscribed to any newsletter.","Sie sind momentan für keinen Newsletter angemeldet."
"Default Addresses",Standardadressen
"Change Billing Address","Rechnungsadresse ändern"
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse."
"Change Shipping Address","Versandadresse ändern"
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse."
"Additional Address Entries","Zusätzliche Einträge von Adressen"
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"Use as my default billing address","Als meine Standard-Rechnungsadresse verwenden"
"Use as my default shipping address","Als meine Standardlieferadresse verwenden"
"Save Address","Adresse speichern"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Bestätigungslink senden"
"Back to Login","Zurück zur Anmeldung"
"Current Password","Aktuelles Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"Please enter your email address below. You will receive a link to reset your password.","Bitte geben Sie Ihre Email-Adresse ein. Sie erhalten dann einen Link mit dem Sie Ihr Passwort zurücksetzen können."
"Registered Customers","Registrierte Kunden"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","Allgemeines Abonnement"
"Sign Up for Newsletter","Für Newsletter eintragen"
"Address Information",Adressinformation
"Login Information","Login Informationen"
"Create account","Create account"
"Reset a Password","Passwort zurücksetzen"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden innerhalb von 5 Sekunden zu unserer Startseite weitergeleitet."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie sich anmelden, können Sie den Bezahlprozess schneller durchlaufen, mehrere Lieferadressen speichern, Ihre Bestellungen in Ihrem Konto anschauen und verfolgen und vieles mehr."
"Date of Birth",Geburtstag
DD,DD
MM,MM
YYYY,YYYY
Gender,Geschlecht
"Tax/VAT number",USt.ID
"Subscribe to Newsletter","Newsletter abonnieren"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Gruppe
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Vom Newsletter abmelden"
"Assign a Customer Group","Kundengruppe zuordnen."
Phone,Telefon
ZIP,Postleitzahl
"Customer Since","Kunde Seit"
n/a,"Keine Angabe"
"Session Start Time","Startzeit der Session"
"Last Activity","Letzte Aktivität"
"Last URL","Letzte URL"
"Edit Account Information","Kontodaten bearbeiten"
"Forgot Your Password","Passwort vergessen"
"Password forgotten","Passwort vergessen"
"My Dashboard","Meine Startseite"
"You are now logged out","Sie sind jetzt abgemeldet"
