All,Todos
"Customer Information","Dados do Cliente"
Addresses,Endereços
Wishlist,"Lista de presentes"
Newsletter,Newsletter
"Product Reviews","Comentários sobre Produto"
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","Todos os países"
"Add New Customer Group","Adicionar Novo Grupo de Clientes"
"Save Customer Group","Salvar grupo de cliente"
"Delete Customer Group","Excluir Grupo de Clientes"
"New Customer Group","Novo grupo de cliente"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Informação de Grupo"
"Group Name","Nome de Grupo"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","Classe de Impostos"
"Customers Only","Apenas Clientes"
"Visitors Only","Apenas visitantes"
Visitor,Visitante
"The customer is currently assigned to Customer Group %s.","O cliente está atualmente atribuído ao grupo de clientes %s."
"Would you like to change the Customer Group for this order?","Gostaria de alterar o grupo de cliente para este pedido?"
"The VAT ID is valid. The current Customer Group will be used.","A ID de VAT é válida. O grupo de clientes atual será usado."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","Ocorreu um erro ao validar a ID do VAT."
"Validate VAT Number","Validar número de VAT"
"Customer Login","Login do cliente"
"Create New Customer Account","Criar Nova Conta de Cliente"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Acesso ou senha inválida."
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Acesso e senha são obrigatórios."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.","Não é possível salvar o cliente."
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Mau pedido."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Por favor, verifique seu email para a chave de confirmação."
"This email does not require confirmation.","Este email não requer confirmação."
"Wrong email.","E-mail errado."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Por favor insira seu email."
"Your password reset link has expired.","Seu link de configuração de senha expirou."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","O campo de preenchimento de nova senha não pode ser deixado em branco."
"Your password has been updated.","A sua senha foi atualizada."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","As informações da conta foram salvas."
"The address has been saved.","O endereço foi salvo."
"Cannot save address.","Não é possível salvar endereços."
"The address has been deleted.","O endereço foi apagado."
"An error occurred while deleting the address.","Ocorreu um erro enquanto apagando este endereço."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","Novo Grupo"
"New Customer Groups","Grupos do Novo Cliente"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos de cliente"
"The customer group has been saved.","O grupo de clientes foi salvo."
"The customer group has been deleted.","O grupo de clientes foi apagado."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Gerenciar clientes"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Por favor informe o primeiro nome."
"Please enter the last name.","Por favor informe o último nome."
"Please enter the street.","Insira a rua."
"Please enter the city.","Insira a cidade."
"Please enter the telephone number.","Insira o número de telefone."
"Please enter the zip/postal code.","Insira o CEP."
"Please enter the country.","Insira o país."
"Please enter the state/province.","Insira o estado."
"Per Website","Por Site Web"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não é possível compartilhar contas de clientes globalmente porque alguns clientes existem em vários sites com mesmas contas de email e não podem ser misturados."
"This account is not confirmed.","Essa conta não está confirmada."
"Wrong transactional account email type","O tipo de e-mail de conta transacional está errado"
"The first name cannot be empty.","O primeiro nome não pode ficar vazio."
"The last name cannot be empty.","O último nome não pode ficar vazio."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","Necessária a data de nascimento."
"The TAX/VAT number is required.","Necessário o número de VAT/TAX."
"Gender is required.","Sexo necessário"
"Invalid password reset token.","Senha inválida reconfigure vale."
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","É necessário o e-mail do cliente"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","O ID do site do cliente deve ser especificado ao utilizar o escopo do site"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses","Endereços do cliente"
"Are you sure you want to delete this address?","Tem certeza de que deseja excluir este endereço?"
"Set as Default Billing Address","Definir como endereço padrão de faturamento"
"Default Billing Address","Endereço padrão de faturamento"
"Set as Default Shipping Address","Ajustar como endereço de entrega padrão"
"Default Shipping Address","Endereço padrão de entrega"
"New Customer Address","Endereço do Novo Cliente"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics","Estatísticas de vendas"
"Average Sale","Venda Média"
"Manage Addresses","Gerenciar endereços"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No Painel da Minha Conta é possível visualizar um resumo das atividades recentes da sua conta e atualizar as informações da conta. Selecione o link abaixo para visualizar ou editar as informações."
"Change Password","Alterar senha"
Newsletters,"Boletins informativos"
"You are currently subscribed to 'General Subscription'.","Você está atualmente inscrito em ""Assinatura Geral""."
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum boletim informativo."
"Default Addresses","Endereço padrão"
"Change Billing Address","Alterar o endereço de faturamento"
"You have no default billing address in your address book.","Você não tem endereço de cobrança padrão no seu livro de endereços."
"Change Shipping Address","Alterar endereço de remessa"
"You have no default shipping address in your address book.","Você não tem endereço de entrega padrão no seu livro de endereços."
"Additional Address Entries","Entradas Adicionais de Endereço"
"You have no additional address entries in your address book.","Você não tem nenhuma entrada de endereço adicional no seu livro de endereços."
"Use as my default billing address","Use como meu endereço de cobrança padrão"
"Use as my default shipping address","Use como meu endereço de entrega padrão"
"Save Address","Salvar endereço"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Enviar link de confirmação"
"Back to Login","Voltar à Entrada"
"Current Password","Senha atual"
"Confirm New Password","Confirmar a nova senha"
"Please enter your email address below. You will receive a link to reset your password.","Por favor informe o seu endereço de e-mail abaixo. Você receberá um link para redefinir sua senha."
"Registered Customers","Clientes cadastrados"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","Assinatura geral"
"Sign Up for Newsletter","Assinar o boletim informativo"
"Address Information","Informações de Endereço"
"Login Information","Informações de login"
"Create account","Create account"
"Reset a Password","Redefinir uma senha"
"You have logged out and will be redirected to our homepage in 5 seconds.","Você se desconectou e será redirecionado para a nossa página inicial em 5 segundos."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de se mover através do processo de compra mais rapidamente, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"Date of Birth","Data de aniversário"
DD,DD
MM,MM
YYYY,YYYY
Gender,Sexo
"Tax/VAT number","Número de Taxas/IVA"
"Subscribe to Newsletter","Assinar o Boletim Informativo"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Grupo
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Cancelar a assinatura do boletim informativo"
"Assign a Customer Group","Atribuir um Grupo de Clientes"
Phone,Telefone
ZIP,CEP
"Customer Since","Cliente desde"
n/a,n/d
"Session Start Time","Horário de início da sessão"
"Last Activity","Última atividade"
"Last URL","Último URL"
"Edit Account Information","Editar informações da conta"
"Forgot Your Password","Esqueceu a senha"
"Password forgotten","Senha esquecida"
"My Dashboard","Meu Painel"
"You are now logged out","Agora você está desconectado"
