All,Alles
Never,Nooit
Offline,Offline
Confirmed,Bevestigd
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","De klant heeft geen facturatieadres."
"Recent Orders","Recente Bestellingen"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","Er zitten momenteel geen items in het winkelwagentje van de klant"
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Verwijderde Winkels"
"There are no items in customer's wishlist at the moment","Er staan momenteel geen items op het verlanglijstje van de klant"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information",Klantinformatie
Addresses,Adressen
Wishlist,Verlanglijst
Newsletter,Nieuwsbrief
"Product Reviews",Productbeoordelingen
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","Alle landen"
"Add New Customer Group","Nieuwe klantengroep toevoegen"
"Save Customer Group","Sla Klantgroep Op"
"Delete Customer Group","Verwijder Klantgroep"
"New Customer Group","Nieuwe Klanten Groep"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Groep Informatie"
"Group Name","Groep Naam"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","BTW Klasse"
"Customers Only","Alleen klanten"
"Visitors Only","Alleen bezoekers"
Visitor,Bezoeker
"The customer is currently assigned to Customer Group %s.","De klant is op het moment toegewezen aan Klant Groep %s."
"Would you like to change the Customer Group for this order?","Wilt u de Klant Groep voor deze order veranderen?"
"The VAT ID is valid. The current Customer Group will be used.","Het BTW nr. is geldig. De huidige Klant Groep wordt gebruikt."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","Er is een fout opgetreden bij het valideren van uw BTW nr."
"Validate VAT Number","Geldig BTW nr."
"Customer Login","Klant Login"
"Create New Customer Account","Maak Nieuwe Klantaccount Aan"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","Ongeldige login of wachtwoord"
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Login en wachtwoord zijn noodzakelijk."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.","Kan klant niet opslaan."
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Slecht verzoek."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Check a.u.b. uw e-mail voor de bevestigingskey."
"This email does not require confirmation.","Deze e-mail behoeft geen confirmatie."
"Wrong email.","Verkeerde email."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Geef u e-mail in a.u.b."
"Your password reset link has expired.","Uw wachtwoord herstel link is verlopen."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","Nieuw wachtwoord veld mag niet leeg zijn"
"Your password has been updated.","Uw wachtwoord is geupdate."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","De accountinformatie is opgeslagen."
"The address has been saved.","Het adres is niet opgeslagen."
"Cannot save address.","Kan adres niet opslaan."
"The address has been deleted.","Het adres is verwijderd."
"An error occurred while deleting the address.","Een fout heeft plaats gevonden tijdens het verwijderen van het adres."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","Nieuwe Groep"
"New Customer Groups","Nieuwe Klantgroepen"
"Edit Group","Bewerk Groep"
"Edit Customer Groups","Bewerk Klantgroepen"
"The customer group has been saved.","De klanten groep is opgeslagen."
"The customer group has been deleted.","De klantgroep is verwijderd."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Beheer Klanten"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter the street.","Vul alstublieft de straat in."
"Please enter the city.","Vul alstublieft de stad in."
"Please enter the telephone number.","Vul alstublieft het telefoonnummer in."
"Please enter the zip/postal code.","Vul alstublieft de postcode in."
"Please enter the country.","Vul alstublieft het land in."
"Please enter the state/province.","Vul alstublieft de staat/provincie in."
"Per Website","Per Website"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan klantaccounts niet globaal delen omdat sommige klantaccounts met dezelfde emails op meerdere websites bestaan en daarom niet samengevoegd kunnen worden."
"This account is not confirmed.","Deze account is niet bevestigd."
"Wrong transactional account email type","Verkeerde transactionele account e-mail soort"
"The first name cannot be empty.","De voornaam kan niet leeg gelaten worden."
"The last name cannot be empty.","Achternaam kan niet leeg gelaten worden."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","De Geboortedatum is verplicht."
"The TAX/VAT number is required.","Het BTW/belastingnummer is verplicht."
"Gender is required.","Geslacht is verplicht"
"Invalid password reset token.","Ongeldige wachtwoord herstel token"
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","Klant e-mail is vereist"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","Klant website ID moet worden gespecificeerd bij het gebruik van de website scope"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses","Klant adres"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Set as Default Billing Address","Stel in als Standaard Factureeradres"
"Default Billing Address","Standaard betalingsadres"
"Set as Default Shipping Address","Stel in als Standaard Afleveradres"
"Default Shipping Address","Standaard verzendingsadres"
"New Customer Address","Nieuwe Klant Adres"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics",Verkoopstatistieken
"Average Sale","Gemiddelde Verkoop"
"Manage Addresses","Beheer Adressen"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanaf uw Mijn Account Dashboard heeft u de mogelijkheid om een momentopname van uw recentelijke accountactiviteit te bekijken en uw accountgegevens te updaten. Selecteer een link hieronder om gegevens te bekijken of te bewerken."
"Change Password","Verander wachtwoord"
Newsletters,Nieuwsbrief
"You are currently subscribed to 'General Subscription'.","U staat ingeschreven op ""Algemene Abonnement"""
"You are currently not subscribed to any newsletter.","U staat niet ingeschreven voor enige nieuwsbrief."
"Default Addresses","Vaststaand Adres"
"Change Billing Address","Wijzig Factureeradres"
"You have no default billing address in your address book.","U heeft geen standaard factuuradres in uw adresboek staan."
"Change Shipping Address","Verander Verzendingsadres"
"You have no default shipping address in your address book.","U heeft geen standaard verzendingsadres in uw adresboek staan."
"Additional Address Entries","Verdere adresregels"
"You have no additional address entries in your address book.","U heeft geen additionele adresvermeldingen in uw adresboek staan."
"Use as my default billing address","Gebruiken als mijn standaard factuuradres"
"Use as my default shipping address","Gebruik als mijn standaard verzendadres"
"Save Address","Sla adres op"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Verzend bevestigingslink"
"Back to Login","Terug naar Inloggen"
"Current Password","Huidig wachtwoord"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Please enter your email address below. You will receive a link to reset your password.","Voer hieronder uw e-mailadres in. U ontvangt een link waarmee u uw wachtwoord opnieuw kunt instellen."
"Registered Customers","Geregistreerde Klanten"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","Algemeen Abonnement"
"Sign Up for Newsletter","Schrijf in voor Nieuwsbrief"
"Address Information",Adresgegevens
"Login Information","Log in Gegevens"
"Create account","Create account"
"Reset a Password","Wachtwoord opnieuw instellen"
"You have logged out and will be redirected to our homepage in 5 seconds.","U bent uitgelogd en zult doorverwezen worden naar onze webpagina in 5 seconden."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Door een account aan te maken bij onze winkel, kunt u sneller afrekenen, meerdere verzendadressen opgeven, uw bestellingen bekijken en tracken en meer."
"Date of Birth",Geboortedatum
DD,DD
MM,MM
YYYY,YYYY
Gender,Geslacht
"Tax/VAT number","Belasting/VAT nummer"
"Subscribe to Newsletter","Aanmelden voor nieuwsbrief"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Groep
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Afmelden van nieuwsbrief"
"Assign a Customer Group","Wijs een Klantgroep Toe"
Phone,Telefoon
ZIP,Postcode
"Customer Since","Klant sinds"
n/a,n.v.t.
"Session Start Time","Sessie Start Tijd"
"Last Activity","Laatste Activiteit"
"Last URL","Laatste URL"
"Edit Account Information","Bewerk Account Informatie"
"Forgot Your Password","Uw Wachtwoord Vergeten"
"Password forgotten","Wachtwoord vergeten"
"My Dashboard","Mijn Dashboard"
"You are now logged out","U bent nu uitgelogd"
