All,Tous
"Cannot save address.","Impossible d'enregistrer l'adresse."
"The address has been deleted.","Cette adresse a été supprimée."
"An error occurred while deleting the address.","Une erreur est survenue lors de la suppression de l'adresse."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","Nouveau groupe"
"New Customer Groups","Nouveaux groupes d'utilistateurs"
"Edit Group","Éditer le groupe"
"Edit Customer Groups","Éditer les groupes de clients"
"The customer group has been saved.","Le groupe d'utilisateurs a été enregistré."
"The customer group has been deleted.","Le groupe d'utilisateurs a été supprimé."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Gérer les utilisateurs"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Veuillez saisir le prénom."
"Please enter the last name.","Veuillez saisir le nom de famille."
"Please enter the street.","Veuillez saisir la ville."
"Please enter the city.","Veuillez saisir la ville."
"Please enter the telephone number.","Veuillez saisir le numéro de téléphone."
"Please enter the zip/postal code.","Veuillez saisir le code postal."
"Please enter the country.","Veuillez saisir le pays."
"Please enter the state/province.","Veuillez entrer l'état/la région."
"Per Website","Par site web"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes des clients globalement car certains comptes avec les mêmes adresses e-mail existent sur plusieurs sites Web et ne peuvent pas être fusionnés."
"This account is not confirmed.","Ce compte n'est pas confirmé."
"Wrong transactional account email type","Mauvais type d'email pour le compte de transaction"
"The first name cannot be empty.","Le prénom ne peut être vide."
"The last name cannot be empty.","Le nom de famille ne peut être vide."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","La date de naissance est requise."
"The TAX/VAT number is required.","Le numéro TAX/VAT est requis."
"Gender is required.","Le genre est requis."
"Invalid password reset token.","Preuve de réinitialisation de mot de passe invalide."
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Admin
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","L'adresse courriel du client est nécessaire"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","L'identification du client sur le site web doit être indiqué lors de l'utilisation du site"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses","Adresses du client"
"Are you sure you want to delete this address?","Etes-vous sûr de vouloir supprimer cette adresse ?"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse d'expédition par défaut"
"Default Shipping Address","Adresse d'expédition par défaut"
"New Customer Address","Nouvelle adresse utilisateur"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics","Statistiques de vente"
"Average Sale","Vente moyenne"
"Manage Addresses","Gérer les adresses"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vous pouvez avoir un aperçu de votre activité récente dans le tableau de bord de votre compte. Vous pouvez également mettre à jour les informations de votre compte. Sélectionner un lien ci-dessous pour voir ou éditer vos informations."
"Change Password","Modifier le mot de passe"
Newsletters,"Lettres d'information"
"You are currently subscribed to 'General Subscription'.","Vous êtes actuellement abonné à no ""Souscription générale"""
"You are currently not subscribed to any newsletter.","Vous n'êtes actuellement abonné à aucune lettre d'informations."
"Default Addresses","Adresses par défaut"
"Change Billing Address","Changer l'adresse de facturation"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"Change Shipping Address","Modifier l'adresse d'expédition"
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse d'expédition par défaut dans votre carnet d'adresses."
"Additional Address Entries","Adresses supplémentaires"
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"Use as my default billing address","Utiliser comme mon adresse de facturation par défaut."
"Use as my default shipping address","À utiliser comme mon adresse de livraison par défaut"
"Save Address","Enregister l'adresse"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Envoyer le lien de confirmation"
"Back to Login","Retour à la connexion"
"Current Password","Mot de passe actuel"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Please enter your email address below. You will receive a link to reset your password.","Veuillez entrer votre adresse e-mail ci dessous. Vous allez recevoir un lien pour réinitialiser votre mot de passe."
"Registered Customers","Utilisateurs enregistrés"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","Abonnement général"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"Address Information","Informations de l'adresse"
"Login Information","Information de connexion"
"Create account","Create account"
"Reset a Password","Réinitialiser un mot de passe"
"You have logged out and will be redirected to our homepage in 5 seconds.","Vous êtes déconnecté et serez redirigé vers notre page d'accueil dans 5 secondes."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte avec notre boutique, vous serez capable de procéder aux achats plus rapidement, d'ajouter plusieurs adresses d'expédition, de voir et suivre vos commandes sur votre compte et plus encore."
"Date of Birth","Date de naissance"
DD,DD
MM,MM
YYYY,YYYY
Gender,Genre
"Tax/VAT number","Numéro TVA"
"Subscribe to Newsletter","S'inscrire à la newsletter"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Groupe
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Se désinscrire de la lettre d'informations"
"Assign a Customer Group","Assigner un nouveau groupe d'utilisateurs"
Phone,Téléphone
ZIP,ZIP
"Customer Since","Client depuis"
n/a,n/a
"Session Start Time","Heure de début de session"
"Last Activity","Dernière activité"
"Last URL","Dernier lien"
"Edit Account Information","Éditer les informations du compte"
"Forgot Your Password","Mot de passe oublié"
"Password forgotten","Mot de passe oublié"
"My Dashboard","Mon espace de travail"
"You are now logged out","Vous êtes maintenant déconnecté."
