All,Todo
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter Information","Información del boletín informativo"
"Subscribed to Newsletter","Subscribed to Newsletter"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Ultima fecha no suscrita"
"No Newsletter Found","No se encontraron boletines informativos"
"Start date","Start date"
"Receive Date","Boletín informativo recibido"
Subject,Asunto
Sent,Enviada
"Not Sent","No enviado"
Sending,Enviando
Paused,"En pausa"
Unknown,Desconocido
"Purchase Date","Adquirido en"
"Bill-to Name","Nombre de la factura"
"Ship-to Name","Ship-to Name"
"Order Total","Total del pedido"
"Purchase Point","Comprado a"
Never,Nunca
Offline,"Sin conexión"
Confirmed,Confirmado
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
Indeterminate,Indeterminate
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"Recent Orders","Pedidos recientes"
"Shopping Cart - %1 item(s)","Shopping Cart - %1 item(s)"
"Shopping Cart of %1 - %2 item(s)","Shopping Cart of %1 - %2 item(s)"
"Wishlist - %1 item(s)","Wishlist - %1 item(s)"
"There are no items in customer's shopping cart at the moment","En este momento no hay artículos en el carrito de compras del cliente."
"Shipped-to Name","Shipped-to Name"
"Deleted Stores","Tiendas borradas"
"There are no items in customer's wishlist at the moment","En este momento no hay artículos en la lista de deseos del cliente."
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Days in Wish List"
"Customer Information","Información de cliente"
Addresses,Direcciones
Wishlist,"Lista de deseos"
Newsletter,"Boletín informativo"
"Product Reviews","Opiniones de Producto"
Download,Download
"Delete Image","Delete Image"
"View Full Size","View Full Size"
"All countries","Todos los países"
"Add New Customer Group","Agregar nuevo grupo de clientes"
"Save Customer Group","Guardar grupo de clientes"
"Delete Customer Group","Borrar grupo de cliente"
"New Customer Group","Nuevo grupo de cliente"
"Edit Customer Group ""%1""","Edit Customer Group ""%1"""
"Group Information","Información de grupo"
"Group Name","Nombre de grupo"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","Clase impositiva"
"Customers Only","Sólo clientes"
"Visitors Only","Sólo para visitantes"
Visitor,Visitante
"The customer is currently assigned to Customer Group %s.","El cliente está asignado actualmente al grupo de cliente %s."
"Would you like to change the Customer Group for this order?","¿Quiere cambiar el grupo de cliente para este pedido?"
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA no es válido. Se utilizará el Grupo de cliente actual."
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","Ha habido un error validando el ID de IVA."
"Validate VAT Number","Validar número de IVA"
"Customer Login","Identificador de cliente"
"Create New Customer Account","Crear nueva cuenta de cliente"
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.","usuario o contraseña inválidos."
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.","Se requiere identificador y contraseña."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.","No se puede guardar el cliente."
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.","Solicitud incorrecta."
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.","Revise su correo electrónico y busque la clave de confirmación."
"This email does not require confirmation.","Esta dirección de correo electrónico no necesita confirmación."
"Wrong email.","Dirección de correo electrónico incorrecta."
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.","Introduzca su dirección de correo electrónico."
"Your password reset link has expired.","El enlace para reiniciar la contraseña ha caducado."
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.","El campo de nueva contraseña no puede estar en blanco."
"Your password has been updated.","Se ha actualizado su contraseña."
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.","Se guardó la información de la cuenta."
"The address has been saved.","Se guardó la dirección."
"Cannot save address.","No se puede guardar la dirección."
"The address has been deleted.","Se eliminó la dirección."
"An error occurred while deleting the address.","Se produjo un error al eliminar la dirección."
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group","Nuevo grupo"
"New Customer Groups","Nuevos grupos de clientes"
"Edit Group","Editar grupo"
"Edit Customer Groups","Editar grupos de clientes"
"The customer group has been saved.","Se guardó el grupo de clientes."
"The customer group has been deleted.","Se eliminó el grupo de clientes."
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers","Gestionar Clientes"
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.","Por favor, introduce el nombre."
"Please enter the last name.","Por favor, introduce el apellido."
"Please enter the street.","Por favor, introduce la calle."
"Please enter the city.","Por favor, introduce la ciudad."
"Please enter the telephone number.","Por favor, introduce el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduce el código postal."
"Please enter the country.","Por favor, introduce el país."
"Please enter the state/province.","Por favor, introduce el estado/provincia."
"Per Website","Por sitio web"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","No se pueden compartir las cuentas de cliente de forma global porque existen algunas cuentas de cliente con la misma dirección de correo electrónico en varios sitios web, y no se pueden combinar."
"This account is not confirmed.","Esta cuenta no está confirmada."
"Wrong transactional account email type","Tipo de correo electrónico de cuenta de transacciones equivocado"
"The first name cannot be empty.","El nombre no puede estar vacío."
"The last name cannot be empty.","El apellido no puede estar vacío."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.","Se requiere la fecha de nacimiento."
"The TAX/VAT number is required.","Se requiere el número de IVA."
"Gender is required.","Se requiere el género."
"Invalid password reset token.","La contraseña no es correcta, reinicia el token."
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,Administrar
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required","Se requiere email del cliente"
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope","Debe especificarse la identificación de página web del cliente cuando se usa el campo de la página web"
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses","Dirección de cliente"
"Are you sure you want to delete this address?","¿Estás seguro de querer borrar esta dirección?"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Default Billing Address","Dirección de Facturación por Defecto"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Default Shipping Address","Dirección de Envío por Defecto"
"New Customer Address","Nueva dirección de cliente"
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics","Estadísticas de ventas"
"Average Sale","Venta promedio"
"Manage Addresses","Gestionar las direcciones"
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control de mi cuenta» puede ver una instantánea de la actividad reciente en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información."
"Change Password","Cambiar Contraseña"
Newsletters,"Boletín de Noticias"
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias"
"Default Addresses","Dirección por Defecto"
"Change Billing Address","Cambiar la Dirección de Facturación"
"You have no default billing address in your address book.","No tienes ninguna dirección de facturación por defecto en tu libreta de direcciones."
"Change Shipping Address","Cambiar la Dirección de Envío"
"You have no default shipping address in your address book.","No tienes ninguna dirección de envío por defecto en tu libreta de direcciones."
"Additional Address Entries","Anotaciones Adicionales de Dirección"
"You have no additional address entries in your address book.","No tienes anotaciones adicionales de dirección en tu libreta de direcciones."
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilizar como mi dirección de envío por defecto"
"Save Address","Guardar Dirección"
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link","Enviar enlace de confirmación"
"Back to Login","Volver a Conexión"
"Current Password","Contraseña Actual"
"Confirm New Password","Confirmar la Nueva Contraseña"
"Please enter your email address below. You will receive a link to reset your password.","Escriba su correo electrónico más abajo. Recibirá un enlace para restablecer su contraseña."
"Registered Customers","Clientes Registrados"
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription","Suscripción general"
"Sign Up for Newsletter","Darse de Alta para Boletín de Noticias"
"Address Information","Información de Dirección"
"Login Information","Información de registro"
"Create account","Create account"
"Reset a Password","Restablecer contraseña"
"You have logged out and will be redirected to our homepage in 5 seconds.","Ha cerrado sesión y será redirigido a nuestra página principal en 5 segundos."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda podrás moverte más rápidamente por el proceso de pago, guardar múltiples direcciones de envío, ver y seguir el rastro de los pedidos de tu cuenta y más."
"Date of Birth","Fecha de Nacimiento"
DD,DD
MM,MM
YYYY,YYYY
Gender,Género
"Tax/VAT number","Número de IVA/impuestos"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,Grupo
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Assign a Customer Group","Asignar un grupo de clientes"
Phone,Teléfono
ZIP,"Código postal"
"Customer Since","Cliente desde"
n/a,n/d
"Session Start Time","Hora de inicio de sesión"
"Last Activity","Ultima actividad"
"Last URL","Ultima URL"
"Edit Account Information","Cambiar la información de la cuenta"
"Forgot Your Password","Olvidaste Tu Contraseña"
"Password forgotten","Olvido de contraseña"
"My Dashboard","Mi panel de control"
"You are now logged out","Ha cerrado sesión."
