"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","Se ha añadido %1$s a su lista de la compra. Pulse <a href=""%2$s"">aquí</a> para continuar comprando."
"%1$s has been updated in your wishlist.","Se ha actualizado %1$s en su lista de la compra."
"%d product(s) have been added to shopping cart: %s.","%d artículo(s) se ha(n) añadido a la cesta de la compra: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s se ha movido a la lista de favoritos %s"
"%s's Wishlist","%s's Lista"
"* Required Fields","* Campos Requeridos"
"My Wishlist (%d items)","Mis Favoritos (%d elemento)"
"My Wishlist <small>(%d)</small>","Mis Favoritos <small>(%d)</small>"
"My Wishlist Link","Enlace a mi lista de la compra"
"Options Details","Detalles de las opciones"
"Out of stock","Agotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor, introduzca una o más direcciones válidas de correo electrónico, separadas por comas. Ejemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Por favor, introducir una dirección de email válida."
"Please, enter your comments...","Por favor, introduzca sus comentarios..."
"Product","Producto"
"Product Details and Comment","Detalles del producto y comentarios"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Los productos cumplen los requisitos necesarios. Sólo pueden ser añadidos a la cesta cada uno por separado."
"Product(s) %s have required options. Each product can only be added individually.","El (los) producto(s) %s requieren opciones. Cada producto solo se puede añadir de manera individual."
"RSS Feed","Fuente RSS"
"RSS link to %s's wishlist","Enlace RSS a %s's favoritos"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar Este Artículo"
"Remove item","Eliminar artículo"
"Requested cart item doesn't exist","El artículo solicitado de la cesta no existe"
"Requested wishlist doesn't exist","No existe la lista de favoritos solicitada"
"Share Options","Opciones para compartir"
"Share Wishlist","Compartir Lista de Deseos"
"Share Your Wishlist","Comparte tus Favoritos"
"Sharing Information","Compartiendo Información"
"This product(s) is currently out of stock","Este artículo(s) está agotado actualmente"
"Unable to add the following product(s) to shopping cart: %s.","Imposible añadir el siguiente producto(s) a la cesta de la compra: %s."
"Update Wishlist","Actualizar la lista de peticiones"
"User description","Descripción del usuario"
"View Details","Ver detalles"
"View Product","Vista del producto"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
"Wishlist Section","Sección Favoritos"
"Wishlist Sharing","Compartir Favoritos"
"Wishlist could not be created.","No se pudo crear la lista de favoritos."
"Wishlist is empty now.","Favoritos está vacío."
"You have no items in your wishlist.","No tiene artículos en su lista de peticiones."
"Your Wishlist has been shared.","Sus Favoritos han sido compartidos."
