"# of Use","# de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"Catalog product custom option values API","API para los valores de las opciones de personalización del producto de catálogo"
"Catalog product custom options API","API para las opciones de personalización del producto de catálogo"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Categories Sitemap","Mapa del Sitio Categorías"
"Category","Categoría"
"Category API","API Categoría"
"Category Data","Datos de Categoría"
"Category Flat Data","Datos planos de Categoría"
"Category Link Block Template","Modelo del bloque de enlaces de Categorías"
"Category Link Inline Template","Modelo de enlaces en línea a Categorías"
"Category Products","Categoría de Productos"
"Category Top Navigation","Navegación superior en Categoría"
"Category URL Suffix","Sufijo URL de Categoría"
"Category attributes API","API de atributos de Categoría"
"Category move error","Error al mover Categoría"
"Category move operation is not possible: parent category is equal to child category.","La operación de mover categoría no es posible: categoría padre es igual a categoría niño."
"Category move operation is not possible: the current category was not found.","La operación de mover categoría no es posible: no se encontró la categoría actual."
"Category move operation is not possible: the new parent category was not found.","No es posible la operación de mover Categoría: no se ha encontrado una nueva categoría de origen."
"Category must be an instance of Mage_Catalog_Model_Category.","La Categoría debe ser una instancia de Mage_Catálogo_Modelo_Categoría."
"Center","Centro"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambiar o Recuperar la caracterísitica de vista de tienda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o."
"Choose an Option...","Elegir una Opción..."
"Clear All","Limpiar Todo"
"Clear Price","Borrar precio"
"Click for price","Clic para precio"
"Close Window","Cerrar Ventana"
"Collapse All","Desplegar Todo"
"Comma-separated.","Separados por comas."
"Comparable","Comparable"
"Comparable on Front-end","Comparable en el Panel Frontal"
"Comparable on the Frontend","Comparable en el Panel Frontal"
"Compare","Comparar"
"Compare Products","Comparar Productos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Producto Configurable"
"Configurable Product Settings","Parametrización de Producto Configurable"
"Configure Product","Configurar Producto"
"Continue","Continuar"
"Copy From Configurable","Copiar desde Configurable"
"Country/State","País/Estado"
"Create","Crear."
"Create (Upload)","Crear (Cargar)"
"Create Empty","Crear Vacío"
"Create Permanent Redirect for URLs if URL Key Changed","Crear redirección permanente para las URL si cambia la clave de URL"
"Create Permanent Redirect for old URL","Crear Redirección Permanente para la antigua URL"
"Create Product Settings","Crear Configuración de Producto"
"Create Simple Associated Product","Crear Producto Asociado Simple"
"Create attribute set based on another set","Crear conjunto de atributos basándose en otro conjunto"
"Create new attribute","Crear un nuevo atributo"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Cross-sells","Ventas cruzadas."
"Currently Shopping by:","Actualmente Comprando en:"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones Personalizadas"
"Custom options","Opciones de personalización"
"Customer Group","Grupo de Clientes"
"Customers Reviews","Revisiones Personalizadas"
"Customers Tagged Product","Producto Etiquetado de Clientes"
"Data Type for Saving in Database","Tipo de Datos a Guardar en la Base de Datos"
"Date & Time Custom Options","Opciones Personalizadas de Fecha y Hora"
"Date Fields Order","Pedido de Campos de Fecha"
"Date Subscribed","Fecha suscrita"
"Datetime","Fecha"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar alcance de grabación de valor de atributo"
"Default ""What's This"" Text Message","Mensaje de Texto ""Qué es esto"" por defecto"
"Default Popup Text Message","Mensaje de Texto Emergente por Defecto"
"Default Price","Precio por Defecto"
"Default Price Navigation Step","Paso de Navegación de Precio por Defecto"
"Default Qty","Cantidad por Defecto"
"Default Values","Valores por Defecto"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define el ámbito de la divisa base (""Configuración de Divisas"" > ""Opciones de Divisas"" > ""Divisa Base"")."
"Delete","Eliminar"
"Delete Attribute","Borrar Atributo"
"Delete Attribute Set","Establecer Atributo de Borrado"
"Delete Category","Borrar categoría"
"Delete Group Price","Eliminar precio de grupo"
"Delete Option","Borrar Opción"
"Delete Row","Borrar Fila"
"Delete Search","Borrar Búsqueda"
"Delete Selected Group","Borrar Grupo Seleccionado"
"Delete Tier","Borrar escalonamiento"
"Delete attribute","Eliminar atributo"
"Delete category","Eliminar categoría"
"Delete product","Borrar producto"
"Depends on design theme","Depende del tema de diseño"
"Design","Diseño"
"Details","Detalles"
"Disabled","Deshabilitado"
"Disallowed file type.","Tipo de archivo no permitido"
"Display Actual Price","Mostrar Precio Actual"
"Display Price Interval as One Price","Mostrar intervalo de precios como un único precio"
"Display Product Count","Mostrar la cuenta de productos"
"Display in Suggested Terms","Mostrar Cláusulas Sugeridas"
"Double click on a group to rename it","Pinchar dos veces en un grupo para renombrarlo"
"Double click on above image to view full picture","Pinchar dos veces en la imagen superior para verla completa"
"Downloadable Information","Información Descargable"
"Duplicate","Duplicar"
"Duplicate amount found.","Cantidad duplicada encontrada"
"Duplicate website group price customer group.","Duplicar grupo de cliente precio de grupo de sitio web"
"Duplicate website tier price customer group and quantity.","Duplicar precio de nivel de página web grupo de cliente y cantidad."
"Duplicate website, country and state tax found.","Encontrados página web duplicada, impuesto de país y estado"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P. ej. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Rendimiento de catálogo de impactos de análisis de directivas dinámicas."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar el conjunto de características ""%s"""
"Edit Product Attribute","Editar característica de producto"
"Edit Product Attribute ""%s""","Editar Atributo ""%s"" de Producto"
"Edit Search","Editar búsqueda"
"Edit Search '%s'","Editar búsqueda ""%s"""
"Edit Set Name","Editar nombre del conjunto"
"Email","Correo electrónico"
"Email to a Friend","Escribir un Email a un amigo"
"Empty","Vacío(a)"
"Enable MAP","Activar MAP"
"Enable Qty Increments","Posibilitar Incrementos de Cantidad"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error al recuperar el valor de la opción: %s"
"Exclude","Excluir"
"Expand All","Expandir todo"
"Failed","Ha fallado"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Error al copiar el archivo %s. Por favor, elimina los medios con imágenes no existentes e inténtalo de nuevo."
"Failed to move file: %s","Error al mover el fichero: %s"
"Feature Products","Presentar productos"
"Field is not complete","No se ha completado el campo"
"File options format is not valid.","El formato de opciones de archivo no es válido."
"File upload failed","Fallo al cargar el archivo"
"Filter model name must be declared.","Debe indicarse el nombre del modelo de filtro."
"Filter must be an object. Please set correct filter.","El filtro tiene que ser un objeto. Por favor, establezca un filtro válido."
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For internal use.","Para uso interno."
"For the last time placed.","Para la última vez que se ha colocado."
"Frontend","Entrada"
"Frontend Model","Modelo de entrada"
"Frontend Properties","Propiedades del Panel Delantero"
"Gallery","Galería"
"General Information","Información general"
"Get full information about attribute with list of options","Obtener completa información sobre el atributo con lista de opciones"
"Get full information about custom option in product","Obtener toda la información sobre las opciones de personalización del producto"
"Get list of available custom option types","Obtener una lista de los tipos de opciones de personalización disponibles"
"Get list of non-default attributes by product type and attributes set","Obtener lista de atributos no predeterminados por tipo de producto y conjunto de atributos"
"Get list of possible attribute types","Obtener lista de tipos de atributos posibles"
"Get special price","Obtener un precio especial"
"Global","Global"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Group add","Añadir grupo"
"Group remove","Eliminación de grupo"
"Grouped Product","Producto agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Si se deja en blanco, se usará el Nombre de Categoría"
"If empty, the Product Name will be used","Si está vacío se utilizará el nombre del producto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si usted no especifica un valor de opción para una vista de tienda concreta, entonces se usará el valor por defecto (Admin)."
"Image","Imagen"
"Image content is not valid base64 data.","El contenido de imagen no es un dato base64 válido."
"Image does not exist.","La imagen no existe."
"Image file was not found.","No se ha encontrado el fichero de imagen."
"Image type and information need to be specified for each store view.","Se necesita especificar el tipo de imagen y la información para cada vista de tienda"
"In Cart","Carrito"
"In Stock","En stock"
"In stock","En existencias"
"Incl. Tax","Impuestos incluidos"
"Index product and categories URL rewrites","Indexar las nuevas versiones de las URL de productos y categorías"
"Index product attributes for layered navigation building","Indexar las características de producto para construir una navegación en capas"
"Index product prices","Indexar los precios de productos"
"Indexed category/products association","Asociación categoría/productos indexada"
"Info","Información"
"Info Column Options Wrapper","Envoltorio de las opciones de columna de información"
"Input Type","Introducir tipo"
"Integer","Entero"
"Interval Division Limit","Límite de División de Intervalo"
"Invalid Tier Prices","Precios de capa no válidos"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo no válida para el atributo %s (%s). Se omitirá el registro."
"Invalid attribute set specified, skipping the record.","Se ha especificado un conjunto de atributos no válido. Saltando el registro."
"Invalid block: %s.","Bloque no válido: %s."
"Invalid category IDs.","ID de categoría no válidos."
"Invalid category.","Categoría no válida."
"Invalid image file type.","Tipo de imagen no válido."
"Invalid image type.","Tipo de imagen no válido."
"Invalid option ID specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá el registro."
"Invalid product type specified, skipping the record.","Se ha especificado un tipo de producto no válido. Saltando el registro."
"Invalid store specified","Se especificó una tienda no válida"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Invalid tier prices. The product is not associated to the requested website.","Precios de nivel no válidos. El producto no está asociado a la página web solicitada."
"Inventory","Inventario"
"Is Default","Es Por Defecto"
"Is Required","Es Requerido"
"Items %s to %s of %s total","Elementos %s a %s de un total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quieres mostrar en el catálogo o en los resultados de búsqueda deberían tener el estado ""Inhabilitado"" en la tienda solicitada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desee ver en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda correspondiente."
"Keep your eyes open for our special Back to School items and save A LOT!","Esté atento a nuestros artículos especiales para el comienzo de clases y AHORRE."
"Label","Etiqueta"
"Last Name","Apellido"
"Last Notification","Última notificación"
"Layered Navigation","Navegación en capas"
"Learn More","Más información"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Line %d, SKU: %s","Línea %d, código de artículo (SKU): %s"
"Link (Related, Up sell, Cross sell)","Enlace (relacionado, venta adicional, venta cruzada)"
"Link product does not exist.","El producto de enlace no existe."
"Link to a Specified Category","Enlace a una categoría específica"
"Link to a Specified Product","Enlace a un producto específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de productos marcados como nuevos"
"List of types","Lista de tipos"
"Manage Attribute Sets","Administrar conjuntos de atributos"
"Manage Attributes","Administrar atributos"
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Administrar categorías"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Manage Options (values of your attribute)","Administrar opciones (valores del atributo)"
"Manage Product Attributes","Administrar atributos del producto"
"Manage Product Sets","Administrar conjuntos de productos"
"Manage Products","Administrar productos"
"Manage Stock","Gestionar Existencias"
"Manage Titles (Size, Color, etc.)","Administrar títulos (tamaño, color, etc.)"
"Max Characters","Número máximos de caractéres"
"Maximal Depth","Profundidad Máxima"
"Maximum Image Size","Tamaño máximo de imagen"
"Maximum Number of Price Intervals","Número máximo de intervalos de precios"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en el Carro de la Compra"
"Maximum allowed image size for '%s' is %sx%s px.","Tamaño máximo de imagen permitido para '%s' es %sx%s px."
"Maximum image height","Altura máxima de imagen"
"Maximum image width","Anchura máxima de la imagen"
"Maximum number of characters:","Cantidad máxima de caracteres"
"Maximum number of price intervals is 100","El número máximo de intervalos de precios es 100"
"Media Image","Imagen multimedia"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Lines per Page","Cant. máxima de líneas por página"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carro de la compra"
"Minimum Qty for Item\'s Status to be Out of Stock","Cant. mínima para que el estado del artículo pase a ""Sin inventario"""
"Missing SKU, skipping the record.","Falta el código de producto (SKU). Se omitirá el registro."
"More Views","Más vistas"
"Move","Mover"
"Move category in tree","Mover la categoría en el árbol"
"Must be in the allowed values list.","Debe estar en la lista de valores permitidos."
"N/A","N/A"
"Name","Nombre"
"Name in %s","Nombre en %s"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo de producto"
"New Products","Nuevos productos"
"New Products Grid Template","Plantilla de cuadrícula de nuevos productos"
"New Products List Template","Plantilla de lista de nuevos productos"
"New Root Category","Nueva Categoría Raíz"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre de conjunto"
"New Subcategory","Nueva Subcategoría"
"Next","Siguiente"
"No","No"
"No image","Sin imagen"
"No layout updates","No hay actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles de este producto"
"No product collections found.","No se han encontrado colecciones de producto"
"None","Nada"
"Not Visible Individually","No es visible individualmente"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Notify for Quantity Below","Notificar cuando la Cantidad sea Inferior a"
"Number of Products to Display","Número de productos a mostrar"
"Number of Uses","Número de Usos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"OK","Aceptar"
"OR","O BIEN"
"Old Price:","Precio anterior:"
"On Gesture","Sobre el gesto"
"Option validation failed to add product to cart.","La validación de opción no pudo agregar el producto al carrito."
"Option values","Valores de opción"
"Option:","Opción:"
"Options","Opciones"
"Options Control","Control de opciones"
"Options is required","Opciones requeridas"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro departamento de servicio al cliente está disponible todos los días, las 24 horas. Llámenos al teléfono (555) 555-0123."
"Out of Stock","Agotado"
"Out of stock","Sin existencias"
"PM","PM"
"Page Title Separator","Separador de título de página"
"Parent Category","Categoría principal"
"Pending","Pendiente"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Percentage","Porcentaje"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenga en cuenta que al hacer clic en la fila se cargarán los datos de paquete del archivo seleccionado, y se perderán todos los datos del formulario que no se hayan guardado."
"Please click on the Close Window button if it is not closed automatically.","Por favor, pinche en el botón de cerrar ventana si no se cierra automáticamente."
"Please enter a new group name","Ingrese un nuevo nombre de grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Por favor, actualiza ""Reescrituras de URL de Catálogo"" y ""Atributos de Producto"" en Sistema -> <a href=""%s"">Administración de Índice</a>"
"Please select a static block ...","Por favor, seleccione un bloque estático..."
"Please select items.","Seleccione artículos."
"Please select one or more attributes.","Seleccione un atributo o atributos."
"Please select product(s).","Por favor, seleccione el/los producto(s)."
"Please select products for attributes update","Por favor, seleccione productos para actualización de atributos"
"Please set up merge date/time","Configure la fecha/hora de la combinación"
"Please set up merge date/time later then present date","Por favor, establezca una fecha y hora de fusión mayor que la fecha actual"
"Please specify date required option(s).","Especifique las opciones obligatorias de la fecha."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifica el número de productos, que no será dividido en subintervalos."
"Please specify the product required option(s)","Por favor, especifique la(s) opcioón/opciones obligatoria(s) de producto"
"Please specify the product required option(s).","Por favor, especifique la(s) opción/opciones obligatoria(s) de producto"
"Please specify the product\'s option(s).","Especifique las opciones del producto."
"Please specify the product\'s required option(s).","Por favor, especifique la(s) opción/opciones obligatoria(s) del producto."
"Please specify the quantity of product(s).","Por favor, especifique la cantidad de producto(s)."
"Please specify time required option(s).","Especifique las opciones obligatorias de la hora."
"Please wait...","Por favor, espera..."
"Position","Posición"
"Position in Layered Navigation","Posición de navegación en capas"
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación en capas"
"Prev","Prev"
"Previous","Anterior"
"Price","Precio"
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price Type","Tipo de precio"
"Price is not available","Precio no disponible"
"Price values for options should be specified in system base currency.","Los valores de precio de las opciones deben especificarse en la moneda básica del sistema."
"Price:","Precio:"
"Price: %s","Precio: %s"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product API","API de Producto"
"Product Alerts","Alertas de producto"
"Product Attribute","Atributos del producto"
"Product Attributes","Atributos del producto"
"Product Categories","Categorías de Producto"
"Product Extra Info","Información Extra del Producto"
"Product Flat Data","Datos Fijos de Producto"
"Product ID","ID de Producto"
"Product Image Placeholders","Marcadores de Posición de Imagen de Producto"
"Product Image Watermarks","Marcas de Agua de Imagen de Producto"
"Product Images","Imágenes de Producto"
"Product Images API","API de Imágenes de Producto"
"Product In Websites","Producto en Sitios Web"
"Product Info Column","Columna de Información de Producto"
"Product Information","Información de producto"
"Product Link Block Template","Plantilla de Bloque de Vínculo de Producto"
"Product Link Inline Template","Plantilla En Línea de Vínculo de Producto"
"Product Listing Sort by","Listado de Productos Ordenar Por"
"Product Name","Nombre de Producto"
"Product Prices","Precios de Producto"
"Product Reviews","Opiniones de Producto"
"Product Tags","Etiqueta de Producto"
"Product Tier Price API","API de Precio de Nivel de Producto"
"Product Type","Tipo de Producto"
"Product URL Suffix","Sufijo de URL de producto"
"Product View Extra Hint","Sugerencia Adicional de Vista de Producto"
"Product attribute sets API","API de conjuntos de atributo de producto"
"Product attributes API","API de atributos de producto"
"Product collection expected.","Colección esperada de producto."
"Product is not loaded","El producto no se ha cargado"
"Product links API (related, cross sells, up sells)","API de vínculos de producto (relacionados, ventas cruzadas, ventas incrementadas)"
"Product name","Nombre de producto"
"Product types API","API de tipos de producto"
"Product with this combination of attributes already associated to configurable.","El producto con esta combinación de atributos ya ha sido asociado a configurables."
"Products","Productos"
"Products Comparison List","Lista de Comparación de Productos"
"Products Information","Información de Productos"
"Products Reviews","Opiniones de Productos"
"Products Sitemap","Mapa del sitio de productos"
"Products only","Sólo productos"
"Products per Page on Grid Allowed Values","Productos por Página en Valores Permitidos por la Cuadrícula"
"Products per Page on Grid Default Value","Productos por Página en Valor Predeterminado por la Cuadrícula"
