"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern"
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und darüber"
"Catalog Seo Sitemap (Common)","Suchmaschinenoptimierungsindex des Katalogs (allgemein)"
"Catalog Seo Sitemap (Product List)","Suchmaschinenoptimierungsindex des Katalogs (Produktliste)"
"Catalog URL Rewrites","Umschreibung der Katalog-URL"
"Catalog product custom option values API","API für benutzerdefinierte Optionswerte für Katalogprodukte"
"Catalog product custom options API","API für benutzerdefinierte Katalogprodukt-Optionen"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
"Categories Sitemap","Kategorienindex"
"Category","Kategorie"
"Category API","Kategorien-Programmierschnittstelle"
"Category Data","Kategoriedaten"
"Category Flat Data","Flache Kategoriedaten"
"Category Link Block Template","Kategorielink, Blockschablone"
"Category Link Inline Template","Kategorielink, eingebettet in Schablone"
"Category Products","Kategorieprodukte"
"Category Top Navigation","Obere Kategorien-Navigationsleiste"
"Category URL Suffix","Kategorie, URL-Suffix"
"Category attributes API","Kategorie-Merkmale, Programmierschnittstelle"
"Category move error","Kategorie-Bewegungsfehler"
"Category move operation is not possible: parent category is equal to child category.","Verschieben der Kategorie ist nicht möglich: Der übergeordnete Ordner gleicht dem untergeordneten."
"Category move operation is not possible: the current category was not found.","Verschieben der Kategorie ist nicht möglich: Die aktuelle Kategorie wurde nicht gefunden."
"Category move operation is not possible: the new parent category was not found.","Kategorie-Verschiebevorgang nicht möglich: die neue Position in der Baumstruktur konnte nicht gefunden werden."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorie muss eine Instanz von Mage_Catalog_Model_Category sein."
"Center","Mitte"
"Change","Ändern"
"Change or Retrieve attribute store view","Ändern und Wiederfinden der Speicheransicht der Eigenschaften"
"Change status","Status ändern"
"Check items to add to the cart or","Artikel überprüfen, um sie dem Einkaufswagen zuzufügen oder"
"Choose an Option...","Eine Option auswählen..."
"Clear All","Alle löschen"
"Clear Price","Preis löschen"
"Click for price","Klicken für den Preis"
"Close Window","Fenster Schließen"
"Collapse All","Alle einklappen"
"Comma-separated.","Durch Komma getrennt."
"Comparable","Vergleichbar"
"Comparable on Front-end","Vergleichbar am Frontend"
"Comparable on the Frontend","Vergleichbar am Frontend"
"Compare","Vergleichen"
"Compare Products","Produkte vergleichen"
"Conditions Combination","Bedingungenkombination"
"Configurable Product","Konfigurierbare Produkte"
"Configurable Product Settings","Konfigurierbare Produkteinstellungen"
"Configure Product","Produkt konfigurieren"
"Continue","Fortsetzen"
"Copy From Configurable","Aus konfigurierbaren Produkteinstellungen kopieren"
"Country/State","Land/Staat"
"Create","Erstellen"
"Create (Upload)","Erstellen (hochladen)"
"Create Empty","Leere Datei erstellen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung für URLs erstellen, wenn der URL-Schlüssel geändert wird"
"Create Permanent Redirect for old URL","Andauernde Umleitung für alte URL erstellen"
"Create Product Settings","Produkteinstellungen erstellen"
"Create Simple Associated Product","Erstellen eines einfachen dazugehörigen Produkts"
"Create attribute set based on another set","Attribute-Set aus einem anderen Set erstellen"
"Create new attribute","Neues Attribut erstellen"
"Create new category","Neue Kategorie erstellen"
"Create new product","Neues Produkt erstellen"
"Cross-sells","Querverkäufe"
"Currently Shopping by:","Derzeit einkaufend bei:"
"Custom Design","Eigene Gestaltung"
"Custom Options","Kundenoptionen"
"Custom options","Benutzerdefinierte Optionen"
"Customer Group","Kundengruppe"
"Customers Reviews","Berichte der Kunden"
"Customers Tagged Product","Produkt vom Kunden markiert"
"Data Type for Saving in Database","Datentyp für das Speichern in Datenbank"
"Date & Time Custom Options","Benutzerdefinierten Optionen bezüglich Datum und Uhrzeit"
"Date Fields Order","Feldbefehl Datum"
"Date Subscribed","Anmeldedatum"
"Datetime","Datetime"
"Decimal","Dezimal"
"Declare attribute value saving scope","Definiere Attribut  ""Wertsparender Spielraum"""
"Default ""What's This"" Text Message","""Was ist das""-Standard-Textmitteilung"
"Default Popup Text Message","Standard-Popup-Textmitteilung"
"Default Price","Vorgegebener Preis"
"Default Price Navigation Step","Navigationsschritt vorgegebener Preis"
"Default Qty","Standardanzahl"
"Default Values","Standardwerte"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiert den Umfang der Basiswährung (""Einstellen der Währung"" > ""Währungsoptionen"" > ""Basiswährung"")."
"Delete","Löschen"
"Delete Attribute","Attribute löschen"
"Delete Attribute Set","Attributreihe löschen"
"Delete Category","Kategorie löschen"
"Delete Group Price","Gruppenpreis löschen"
"Delete Option","Option löschen"
"Delete Row","Reihe löschen"
"Delete Search","Suche löschen"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete Tier","Ebene löschen"
"Delete attribute","Attribut löschen"
"Delete category","Kategorie entfernen"
"Delete product","Produkt löschen"
"Depends on design theme","abhängig vom Design Thema"
"Design","Gestaltung"
"Details","Details"
"Disabled","Deaktiviert"
"Disallowed file type.","Nicht erlaubter Dateityp"
"Display Actual Price","Tatsächlichen Preis anzeigen"
"Display Price Interval as One Price","Preisintervall als einen Preis anzeigen"
"Display Product Count","Produktanzahl anzeigen"
"Display in Suggested Terms","Anzeige laut vorgeschlagener Nutzungsbedingungen"
"Double click on a group to rename it","Doppel-Klick auf eine Gruppe um sie umzubennenen"
"Double click on above image to view full picture","Doppel-Klick auf das obige Image um Vollbild anzuzeigen"
"Downloadable Information","Informationen zum Herunterladen"
"Duplicate","duplizieren"
"Duplicate amount found.","Dupliziere die gefundene Menge (Summe)."
"Duplicate website group price customer group.","Webseite Gruppenpreis Kundengruppe duplizieren."
"Duplicate website tier price customer group and quantity.","Preisstruktur, Kundengruppe und Menge duplizieren."
"Duplicate website, country and state tax found.","Dupliziere die gefundene Website, Land und Gebühr."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Zum Beispiel: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamische Richtlinien-Analyse wirkt sich auf die Katalogleistung aus."
"Edit","Bearbeiten"
"Edit Attribute Set '%s'","Eigenschaftensatz '%s' bearbeiten"
"Edit Product Attribute","Produkteigenschaften bearbeiten"
"Edit Product Attribute ""%s""","Produkteigenschaft ""%s"" bearbeiten"
"Edit Search","Suche bearbeiten"
"Edit Search '%s'","Suche '%s' bearbeiten"
"Edit Set Name","Name bearbeiten einstellen"
"Email","E-Mail"
"Email to a Friend","E-Mail an einen Freund"
"Empty","Leer"
"Enable MAP","MAP aktivieren"
"Enable Qty Increments","Anzahlzunahme aktivieren"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Enabled","Aktiviert"
"Error during retrieval of option value: %s","Fehler bei Abfragen von Optionswert: %s"
"Exclude","Auschließen"
"Expand All","Alle erweitern"
"Failed","Fehlgeschlagen"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Datei %s ließ sich nicht kopieren. Bitte löschen sie die Medien mit fehlenden Bildern und versuchen sie es erneut."
"Failed to move file: %s","Datei konnte nicht verschoben werden: %s"
"Feature Products","Produkte bieten"
"Field is not complete","Feld ist nicht vollständig"
"File options format is not valid.","Dateioptionsformat ist nicht gültig."
"File upload failed","Dateiupload fehlgeschlagen"
"Filter model name must be declared.","Filtermodulname muss angegeben werden."
"Filter must be an object. Please set correct filter.","Filter muss ein Objekt sein. Stellen Sie bitte den korrekten Filter ein."
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Filterable (with results)","Filterbar (mit Ergebnissen)"
"First Name","Vorname"
"Fixed","Fix"
"For internal use.","Für interne Verwendung"
"For the last time placed.","Letzte Bestellung aufgegeben am"
"Frontend","Oberfläche"
"Frontend Model","Oberflächenmodell"
"Frontend Properties","Frontend-Eigenschaften"
"Gallery","Gallerie"
"General Information","Allgemeine Information"
"Get full information about attribute with list of options","Vollständige Angaben zum Attribut mit Liste möglicher Optionen einblenden"
"Get full information about custom option in product","Vollständige Informationen über die benutzerdefinierten Produktoptionen abrufen"
"Get list of available custom option types","Liste der verfügbaren benutzerdefinierten Optionstypen abrufen"
"Get list of non-default attributes by product type and attributes set","Liste nicht-standardmäßiger Attribute nach Art und Attributsatz einblenden"
"Get list of possible attribute types","Liste möglicher Attributtypen abrufen"
"Get special price","Angebote"
"Global","Global"
"Globally Editable","Global bearbeitbar"
"Go to Home Page","Zur Startseite gehen"
"Grid","Raster"
"Group add","Gruppe hinzufügen"
"Group remove","Gruppe entfernen"
"Grouped Product","Gruppiertes Produkt"
"Groups","Gruppen"
"Home","Startseite"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Falls leer, wird der Kategoriename verwendet"
"If empty, the Product Name will be used","Wenn nicht ausgefüllt, wird der Produktname genutzt"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine spezifische Shopansicht festlegen wird der Standard (Admin) Wert verwendet."
"Image","Bild"
"Image content is not valid base64 data.","Bildinhalt ist keine gültige base64 Datei."
"Image does not exist.","Bild existiert nicht"
"Image file was not found.","Bilddatei wurde nicht gefunden."
"Image type and information need to be specified for each store view.","Bildtyp und Informationen müssen für jede Shopansicht festgelegt werden."
"In Cart","Im Einkaufswagen"
"In Stock","Auf Lager"
"In stock","Auf Lager"
"Incl. Tax","Mit Mwst."
"Index product and categories URL rewrites","Index Produkt und Kategorien URL Neuschreibungen"
"Index product attributes for layered navigation building","Produktattribute für einen mehrstufigen Navigationsaufbau indizieren"
"Index product prices","Index Produktpreise"
"Indexed category/products association","Indizierte Kategorie/Produkassoziierung"
"Info","Informationen"
"Info Column Options Wrapper","Deckblatt Optionen für Infospalte"
"Input Type","Eingabetyp"
"Integer","Integer"
"Interval Division Limit","Internes Teilungslimit"
"Invalid Tier Prices","Üngültige Stufenpreise"
"Invalid attribute %s","Ungültiges Attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Option für Attribut %s definiert (%s), Eintrag wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültige Merkmale angegeben, Aufzeichnung wird übersprungen."
"Invalid block: %s.","Ungültiger Block: %s."
"Invalid category IDs.","Ungültige KategorieIDs."
"Invalid category.","Ungültige Kategorie"
"Invalid image file type.","Ungültiger Bilddateityp."
"Invalid image type.","Ungültige Bildart."
"Invalid option ID specified for %s (%s), skipping the record.","Ungültige OptionsID für %s (%s) festgelegt, wird übersprungen."
"Invalid product type specified, skipping the record.","Ungültiger Produkttyp ausgewählt, Aufzeichnung wird übersprungen."
"Invalid store specified","Ungültiger Store definiert"
"Invalid store specified, skipping the record.","Ungültiger Store definiert, Eintrag wird übersprungen."
"Invalid tier prices. The product is not associated to the requested website.","Ungültige Preisebene. Das Produkt ist nicht mit der angeforderten Webseite verbunden."
"Inventory","Inventar"
"Is Default","Als Standard"
"Is Required","Ist erforderlich"
"Items %s to %s of %s total","Artikel %s auf %s von %s gesamt"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gegenstände die im Katalog oder den Suchergebnissen nicht erscheinen sollen, sollten den Status ""Deaktiviert"" im gewünschten Shop haben."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die nicht in den Suchergebnissen oder im Katalog angezeigt werden sollen, sollten den Status 'Deaktiviert' im gewünschten Shop haben."
"Keep your eyes open for our special Back to School items and save A LOT!","Halten Sie die Augen offen für unsere speziellen Angebote zum Schulanfang und sparen Sie VIEL GELD!"
"Label","Label"
"Last Name","Letzter Name"
"Last Notification","Letzte Benachrichtigung"
"Layered Navigation","Mehstufige Navigation"
"Learn More","mehr dazu"
"Line %d, Email: %s","Zeile %d, Email: %s"
"Line %d, SKU: %s","Zeile %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwandt, Angebot, Mehrfachangebot)"
"Link product does not exist.","Verknüpftes Produkt existiert nicht."
"Link to a Specified Category","Link zu einer bestimmten Kategorie"
"Link to a Specified Product","Link zum angegebenen Produkt"
"List","Liste"
"List Mode","Listenmodus"
"List of Products that are set as New","Liste von Produkten, die als neu klassifiziert sind"
"List of types","Artenliste"
"Manage Attribute Sets","Attributsets verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Label / Options","Bezeichnungen/Optionen verwalten"
"Manage Options (values of your attribute)","Optionen (Werte Ihrer Attribute) verwalten"
"Manage Product Attributes","Produktattribute verwalten"
"Manage Product Sets","Produktsets verwalten"
"Manage Products","Produkte verwalten"
"Manage Stock","Lagerbestand verwalten"
"Manage Titles (Size, Color, etc.)","Titel verwalten (Größe, Farbe, etc.)"
"Max Characters","Maximale Anzahl Zeichen"
"Maximal Depth","Maximale Tiefe"
"Maximum Image Size","Maximale Bildgröße"
"Maximum Number of Price Intervals","Maximale Anzahl an Preisintervallen"
"Maximum Qty Allowed in Shopping Cart","Maximal im Warenkorb erlaubte Anzahl"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal erlaubte Bildgröße für '%s' ist %sx%s px."
"Maximum image height","Maximale Bildhöhe"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters:","Maximale Anzahl Zeichen:"
"Maximum number of price intervals is 100","Die maximale Anzahl an Preisintervallen ist 100."
"Media Image","Bild"
"Minimum Advertised Price","Beworbener Mindestpreis"
"Minimum Lines per Page","Minimale Zeilenanzahl pro Seite"
"Minimum Qty Allowed in Shopping Cart","Minimal im Warenkorb zulässige Menge"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimale Stückzahl für Nicht auf Lager-Status"
"Missing SKU, skipping the record.","Artikelnummer fehlt, Eintrag übersprungen."
"More Views","Mehr Ansichten"
"Move","Verschieben"
"Move category in tree","Kategorie in Verzeichnis verschieben"
"Must be in the allowed values list.","Muss ein Wert aus der Liste gültiger Werte sein."
"N/A","Nicht zutreffend"
"Name","Name"
"Name in %s","Name in %s"
"New Product","Neues Produkt"
"New Product Attribute","Neues Produktattribut"
"New Products","Neue Produkte"
"New Products Grid Template","Neue Produkt Rastervorlage"
"New Products List Template","Neue Produkt Listenvorlage"
"New Root Category","Neue Root Kategorie"
"New Search","Neue Suchabfrage"
"New Set Name","Neuer Setname"
"New Subcategory","Neue Unterkategorie"
"Next","Weiter"
"No","Nein"
"No image","Kein Bild"
"No layout updates","Keine Aktualisierungen des Layouts"
"No options of this product are available.","Es sind keine Optionen dieses Produkts verfügbar."
"No product collections found.","Keine Produktsammlungen gefunden."
"None","Keine"
"Not Visible Individually","Nicht individuell sichtbar"
"Notify Low Stock RSS","Lagerbestand RSS"
"Notify for Quantity Below","Bei unterer Anzahl benachrichtigen."
"Number of Products to Display","Anzahl angezeigter Produkte"
"Number of Uses","Anzahl der Verwendungen"
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (für die letzte platzierte Zeit)"
"OK","OK"
"OR","ODER"
"Old Price:","Alter Preis:"
"On Gesture","Gestik An"
"Option validation failed to add product to cart.","Überprüfung von Produkt-Optionen beim Hinzufügen zum Warenkorb fehlgeschlagen."
"Option values","Optionswerte"
"Option:","Option:"
"Options","Optionen"
"Options Control","Optionenkontrolle"
"Options is required","Optionen ist obligatorisch"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Unser Kunden-Service ist 24/7 erreichbar. Kontaktieren Sie uns unter (555)555-0123."
"Out of Stock","Nicht vorrätig"
"Out of stock","Ausverkauft"
"PM","Nachmittags"
"Page Title Separator","Trennzeichen im Seitentitel"
"Parent Category","Überkategorie"
"Pending","Ausstehend"
"Pending Reviews RSS","Ausstehende Kundenmeinungen RSS"
"Percentage","Prozentsatz"
"Please add rows to option.","Bitte Zeilen zur Option hinzufügen."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","ACHTUNG: Bei einem Klick auf die Zeile werden die Paketdaten geladen und überschreiben alle ungespeicherten Formulardaten."
"Please click on the Close Window button if it is not closed automatically.","Klicken Sie bitte auf die Schaltfläche Fenster Schließen, wenn dies nicht automatisch erfolgt."
"Please enter a new group name","Bitte geben Sie einen neuen Gruppennamen ein"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Bitte aktualisieren sie ""Katalog URL Versionen"" und ""Produkteigenschaften"" in System -> <a href=""%s"">Index Management</a>"
"Please select a static block ...","Wählen Sie bitte einen statischen Block..."
"Please select items.","Bitte wählen Sie Artikel."
"Please select one or more attributes.","Bitte wählen Sie ein oder mehrere Attribut(e)."
"Please select product(s).","Wählen Sie bitte ein Produkt(e)."
"Please select products for attributes update","Wählen Sie bitte Produkte für die Aktualisierung der Merkmale"
"Please set up merge date/time","Bitte Datum/Zeit-Verbindung einrichten"
"Please set up merge date/time later then present date","Zusammenfassung von Datum/Uhrzeit einstellen und dann das Datum anzeigen"
"Please specify date required option(s).","Bitte die benötigten Datum-Optionen angeben."
"Please specify the number of products, that will not be divided into subintervals.","Geben sie bitte die Anzahl an Artikeln an, die nicht in Teilintervalle geteilt werden."
"Please specify the product required option(s)","Bitte die obligatorischen Produktoption(en) angeben"
"Please specify the product required option(s).","Geben Sie bitte die obligatorischen Produktoption(en) an."
"Please specify the product\'s option(s).","Bitte die Produkt-Optionen angeben."
"Please specify the product\'s required option(s).","Geben Sie bitte die obligatorischen Option(en) für das Produkt an."
"Please specify the quantity of product(s).","Geben Sie bitte die Anzahl an Produkten an."
"Please specify time required option(s).","Bitte die benötigten Zeit-Optionen angeben."
"Please wait...","Bitte warten..."
"Position","Position"
"Position in Layered Navigation","Position in Filter-Navigation"
"Position of attribute in layered navigation block","Position des Attributs in Filter-Navigation"
"Prev","Vorschau"
"Previous","Vorige"
"Price","Preis"
"Price Navigation Step Calculation","Preis-Navigation Schritt Berechnung"
"Price Type","Preistyp"
