" Copy","Kopie"
"Newsletter Styles","Newsletterstile"
"Newsletter Subscribers","Newsletter Bezieher"
"Newsletter Subscription","Newsletter abonnieren"
"Newsletter Subscription Form Before","Vorhergehende Anmeldung zum Newsletter"
"Newsletter Subscriptions","Newsletter Abos"
"Newsletter Templates","Newsletter Vorlagen"
"Newsletter subscription confirmation","Newsletter Abonnementbestätigung"
"Newsletter subscription success","Newsletter Abonnement erfolgreich"
"Newsletter unsubscription success","Newsletter Abonnement erfolgreich gekündigt"
"No Templates Found","Keine Vorlagen gefunden"
"No problems found.","Keine Probleme gefunden."
"No subscribers selected.","Keine Abonnenten gewählt."
"Not Activated","Nicht aktiviert"
"Not Sent","Nicht gesendet"
"Pause","Pause"
"Paused","Pausiert"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail Adresse ein"
"Please enter new template name","Bitte geben Sie einen neuen Vorlagennamen ein"
"Please refer to exeption.log","Bitte sehen sie hier nach: Ausnahmen.log"
"Please select subscriber(s)","Bitte wählen Sie den/die Abonnent/en"
"Preview","Vorschau"
"Preview Template","Vorschau der Vorlage"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange Datum Start"
"Queue Finish","Warteschlange Fertig"
"Queue Information","Warteschlange Informationen"
"Queue Newsletter...","Warteschlange Newsletter..."
"Queue Start","Warteschlange Start"
"Queue Subject","Warteschlange Gegendstand"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
"Resume","Fortfahren"
"Return HTML Version","HTML Version zurückholen"
"Save As","Speichern unter"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Save and Resume","Speichern und fortfahren"
"Selected problem subscribers have been unsubscribed.","Ausgewählte Problemabonnenten wurden gekündigt."
"Selected problems have been deleted.","Ausgewählte Probleme wurden gelöscht."
"Sender","Absender"
"Sender Email","Absender E-Mail"
"Sender Name","Absender Name"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Sign up for our newsletter","Melden Sie sich für unseren Newsletter an"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Wir bitten um Entschuldigung, aber der Administrator hat die Anmeldung für Gäste verweigert. Bitte <a href=""%s"">register</a>."
"Start","Start"
"Status","Status"
"Store","Shop"
"Store View","Store-Ansicht"
"Subject","Betreff"
"Subscribe","Abonnieren"
"Subscribed","Abonniert"
"Subscriber","Abonnent"
"Subscribers","Abonnenten"
"Subscribers From","Abonennten aus"
"Subscription Options","Abonnement Optionen"
"Success Email Sender","Erfolg E-Mail-Absender"
"Success Email Template","Erfolg E-Mail-Vorlage"
"Template Content","Vorlagen-Inhalt"
"Template Information","Vorlagen-Information"
"Template Name","Name der Vorlage"
"Template Styles","Vorlagenstile"
"Template Subject","Vorlagen-Betreff"
"Template Type","Vorlagentyp"
"Thank you for your subscription.","Danke für Ihr Abonnement."
"The subscription has been removed.","Das Abonnement wurde entfernt."
"The subscription has been saved.","Das Abonnement wurde gespeichert."
"There was a problem with the subscription.","Bei dem Abonnement ist ein Problem aufgetreten."
"There was a problem with the subscription: %s","Beim Abonnement ist ein Problem aufgetreten: %s"
"There was a problem with the un-subscription.","Bei der Kündigung des Abonnements ist ein Problem aufgetreten."
"This email address is already assigned to another user.","Diese E-Mail-Adresse wird schon von einem anderen Nutzer verwendet."
"Type","Typ"
"Unconfirmed","Unbestätigt"
"Unsubscribe","Abonnement kündigen"
"Unsubscribe Selected","""Abonnement beenden"" ausgewählt"
"Unsubscribed","Abonnements gekündigt"
"Unsubscription Email Sender","Kündigungs-E-Mail-Absender"
"Unsubscription Email Template","E-Mail-Vorlage zur Beendigung des Abonnements"
"View Newsletter","Newsletter ansehen"
"Website","Website"
"You have been unsubscribed.","Ihr Abonnement wurde gekündigt."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
