" or "," oder "
"Address Templates","Adressvorlagen (Templates)"
"Addresses","Adressen"
"Admin","Admin"
"All","Alle"
"All Store Views","Alle Ansichten des Geschäfts"
"All countries","Alle Länder"
"Always optional.","Immer fakultativ"
"Amount","Summe"
"An error occurred while deleting the address.","Beim Löschen der Adresse ist ein Fehler aufgetreten."
"An error occurred while retrieving the option value: %s.","Ein Fehler ist aufgetreten beim Auslesen des Einstellungswerts: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ein Fehler ist beim Speichern der Sammlung aufgetreten. Abbrechen. Fehler: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Options-ID wurde für %s angegeben (%s). Eintrag wird übersprungen."
"Approved","Bestätigt"
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie den Eintrag überspringen wollen?"
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, dass Sie das Hinzufügen dieser Adresse abbrechen wollen?"
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen wollen?"
"Are you sure?","Sind Sie sicher?"
"Array of Entity collections is expected.","Ein Array von Entitätssammlungen wurde erwartet."
"Assign a Customer Group","Kundengruppe zuordnen."
"Average Sale","Durchschnittsverkauf"
"Back","Zurück"
"Back - link to the previously viewed page","Zurück - Link zur vorher angeschauten Seite"
"Back to Login","Zurück zur Anmeldung"
"Bad request.","Fehlerhafter Aufruf."
"Bill to Name","Rechnung auf Namen"
"Bought From","Gekauft von"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie sich anmelden, können Sie den Bezahlprozess schneller durchlaufen, mehrere Lieferadressen speichern, Ihre Bestellungen in Ihrem Konto anschauen und verfolgen und vieles mehr."
"CSV","CSV"
"Cancel","Abbrechen"
"Cannot save address.","Adresse speichern nicht möglich."
"Cannot save the customer.","Speichern des Kunden nicht möglich."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Das Kundenkonto kann nicht global geteilt werden, da Kundenkonten mit den gleichen E-Mails bereits auf verschiedenen Websites existieren und nicht zusammengeführt werden können."
"Change Account Password","Kontopasswort ändern."
"Change Billing Address","Versandadresse ändern"
"Change Password","Passwort ändern"
"Change Shipping Address","Versandadresse ändern"
"City","Stadt"
"Company","Firma"
"Config","Konfig."
"Configure","Konfigurieren"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Confirmation Link Email","Bestätigungslink-E-Mail"
"Confirmed","Bestätigt"
"Contact Information","Kontaktinformation"
"Continue Shopping","Einkauf fortfahren"
"Country","Land"
"Create","Erstellen"
"Create New Account Options","Neue Kontoptionen erstellen"
"Create New Customer Account","Neues Kundenkonto erstellen"
"Create Order","Bestellung anlegen"
"Create an Account","Konto erstellen"
"Create customer","Kunden erstellen"
"Create customer address","Kundenadresse erstellen"
"Current Password","Aktuelles Passwort"
"Customer","Kunde"
"Customer API","Kunden-API"
"Customer Account Edit Form","Kundenkonto-Editierformular"
"Customer Account Login Form","Kundenkonto-Anmeldeformular"
"Customer Account Logout Success","Kundenkonto erfolgreich abgemeldet"
"Customer Account Registration Form","Kundenkonto-Registrierungsformular"
"Customer Addresses","Kundenadressen"
"Customer Configuration","Kundenkonfiguration"
"Customer Forgot Password Form","Kunde-Hat-Passwort-Vergessen-Formular"
"Customer Group","Kundengruppe"
"Customer Groups","Kundengruppen"
"Customer Information","Konteninformation"
"Customer Login","Kundenanmeldung"
"Customer My Account (All Pages)","Mein Kundenkonto (alle Seiten)"
"Customer My Account Address Book","Mein Kundenkonto Adressbuch"
"Customer My Account Address Edit Form","Mein Kundenkonto Adresseneditierformular"
"Customer My Account Dashboard","Mein Kundenkonto Dashboard"
"Customer Since","Kunde Seit"
"Customer View","Kundenansicht"
"Customer collection expected.","Kundensammlung erwartet"
"Customer email is required","Kunden-E-Mail-Adresse ist erforderlich"
"Customer website ID must be specified when using the website scope","Kunden-Webseiten-Identifikation muss bei Nutzung der Seite angegeben werden"
"Customer will stay on the current page if ""No"" is selected.","Kunden werden auf der derzeitigen Seite bleiben, wenn ""Nein"" ausgewählt ist."
"Customers","Kunden"
"Customers Only","Nur für Kunden"
"Customers Section","Kundenbereich"
"DD","DD"
"Date","Datum"
"Date Added","Hinzugefügt am"
"Date of Birth","Geburtstag"
"Day","Tag"
"Days in Wishlist","Tage in der Wunschliste"
"Default Addresses","Standardadressen"
"Default Billing Address","Standart Versandaresse"
"Default Email Domain","Standard-E-Mail-Domäne"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard-Lieferadresse"
"Default Welcome Email","Standard-Begrüßungs-E-Mail"
"Delete","Löschen"
"Delete Address","Adresse löschen"
"Delete Customer","Kunden löschen"
"Delete Customer Group","Kundengruppe löschen"
"Delete customer","Kunde löschen"
"Delete customer address","Kundenadresse löschen"
"Deleted Stores","Stores löschen"
"Details","Details"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Account Info","Kontodaten bearbeiten"
"Edit Account Information","Kontodaten bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Address Entry","Adresseintrag bearbeiten"
"Edit Customer Group ""%s""","Kundengruppe ""%s"" bearbeiten"
"Edit Customer Groups","Kundengruppen bearbeiten"
"Edit Customer's Address","Kundenadresse bearbeiten"
"Edit Group","Gruppe bearbeiten"
"Edit Newsletters","Newsletters bearbeiten"
"Email","E-Mail"
"Email Address","E-Mail-Adresse"
"Email Sender","E-Mail-Absender"
"Email:","E-Mail:"
"Entity collection is expected.","Sammlung der Entität wird erwartet."
"Excel XML","Excel-XML"
"Failed to confirm customer account.","Bestätigung des Kundenkontos fehlgeschlagen."
"Fax","Fax"
"First Name","Vorname"
"Forgot Email Sender","E-mail Absender vergessen"
"Forgot Email Template","E-mail Template vergessen"
"Forgot Your Password","Passwort vergessen"
"Forgot Your Password?","Passwort vergessen?"
"Form Fields Before","Vorheriges Dokumentfeld"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Meinem Konto Dashboard aus, können Sie einen Schnappschuss Ihrer aktuellen Kontoaktivität sehen und Ihre Kontoinformationen aktualisieren. Wählen Sie den nachfolgenden Link um Informationen zu sehen oder zu aktualisieren."
"Gender","Geschlecht"
"Group","Gruppe"
"Guest","Gast"
"IP Address","IP Adresse"
"Invalid customer data","Ungültige Kundendaten"
"Invalid email address.","Ungültige Email-Adresse."
"Last Date Subscribed","Zuletzt abonniert"
"Last Date Unsubscribed","Zuletzt gekündigt"
"Lifetime Sales","Gesamteinnahmen"
"Log In","Anmelden"
"Login","Einloggen"
"Login Options","Login Optionen"
"Login or Create an Account","Anmelden oder Benutzerkonto erstellen"
"MM","MM"
"Missing firstname, skipping the record.","Vorname fehlt, überspringe Eintrag."
"Missing lastname, skipping the record.","Nachname fehlt, überspringe Eintrag."
"My Account Wrapper","Meine Account-Verpackung"
"My Dashboard","Meine Startseite"
"Name and Address Options","Namen- und Adressoptionen"
"Never","Niemals"
"New Address Entry","Neuer Adresseintrag"
"New Customer Address","Neue Kundenadresse"
"New Customer Groups","Neue Kundengruppen"
"New Group","Neue Gruppe"
"New Password","Neues Passwort"
"New account confirmation key","Neuer Kontobestätigungscode"
"New account confirmed","Neues Konto bestätigt"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Ende"
"Newsletter Received","Newsletter empfangen"
"Newsletter Subscription","Newsletter abonnieren"
"No Newsletter Found","Kein Newsletter gefunden"
"No item specified.","Kein Objekt angegeben."
"Not confirmed, can login","Nicht bestätigt, kann sich anmelden"
"Number of Lines in a Street Address ","Zeilenzahl in einer Postadresse"
"Offline","Offline"
"Online","Online"
"Online Customers","Online-Kunden"
"Online Minutes Interval","Online-Minuten-Intervall"
"Order #","Bestellung #"
"Order Total","Gesamtsumme Bestellung"
"Orders","Aufträge"
"PDF","PDF"
"Password Options","Passwortoptionen"
"Paused","Pausiert"
"Pending","Ausstehend"
"Per Website","Pro Webseite"
"Personal Information","Persönliche Informationen"
"Please enter your email below and we will send you a new password.","Bitte geben Sie unten Ihre E-Mail-Adresse ein, und wir senden Ihnen ein neues Passwort."
"Please enter your email.","Bitte geben Sie Ihre E-Mail-Adresse ein."
"Please select","Bitte auswählen"
"Please, check your email for confirmation key.","Bitte überprüfen Sie Ihre E-Mails auf den Bestätigungscode."
"Price","Preis"
"Product ID","Produkt-ID"
"Product Reviews","Produktreviews"
"Product Tags","Produkttags"
"Purchase On","Gekauft am"
"Purchased At","Gekauft bei"
"Recent Orders","Letzte Bestellungen"
"Redirect Customer to Account Dashboard after Logging in","Kunden nach Login zur Kontostartseite umleiten"
"Refunded","Rückerstattet"
"Registered Customers","Registrierte Kunden"
"Remove","Entfernen"
"Retrieve address data","Adressdaten abfragen"
"Retrieve address info","Adressinfo abfragen"
"Retrieve customer data","Kundendaten abfragen"
"Retrieve your confirmation link here","Bestätigungslink hier anfordern"
"SKU","SKU"
"Sales Statistics","Verkaufsstatistiken"
"Save Customer Group","Kundengruppe speichern"
"Save Password","Passwort speichern"
"Save and Continue Edit","Speichern und Bearbeitung fortsetzen"
"Saved %d record(s)","%d gespeicherte(r) Eintrag/Einträge"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon (;) getrennte Werte.<br/>Setzen Sie ein Semikolon an den Anfang für eine leere erste Option.<br/>Leer lassen für ein offenes Textfeld."
"Send From","Senden von"
"Send Welcome Email","Willkommen eMail senden"
"Send confirmation link","Bestätigungslink senden"
"Sent","Gesendet"
"Set as Default Billing Address","Rechnungsadresse als Vorgabe einstellen"
"Shipped to Last Name","Versendet an Nachname"
"Shopping Cart","Warenkorb"
"Show Date of Birth","Geburtsdatum anzeigen"
"Show Gender","Geschlecht anzeigen"
"Show Prefix","Präfix anzeigen"
"Show Suffix","Suffix anzeigen"
"Sign Up for Newsletter","Für Newsletter eintragen"
"Skipping import row, website ""%s"" field does not exist.","Import-Zeile übersprungen, Feld für Webseite ""%s"" existiert nicht."
"Store View","Store-Ansicht"
"Street Address","Adresse Strasse"
"Subject","Betreff"
"Submit","Senden"
"Subscribed to Newsletter?","Newletter abonniert?"
"Suffix Dropdown Options","Optionen für Suffix-Aufklappmenü"
"Tax Class","Steuerklasse"
"Telephone","Telefon"
"Text One Line","Text einzeilig"
"The account information has been saved.","Benutzerkonto Information wurde gespeichert."
"The address has been deleted.","Die Adresse wurde gelöscht."
"The customer group has been deleted.","Die Kundengruppe wurde gelöscht."
"The group ""%s"" cannot be deleted","Die Gruppe ""%s"" kann nicht gelöscht werden"
"The suffix that goes after name (Jr., Sr., etc.)","Das Suffix nach dem Namen (Jr., Sr., usw.)"
"There are no items in customer's wishlist at the moment","Momentan gibt es keine Artikel auf dem Wunschzettel des Kunden"
"There are no items in customer\'s shopping cart at the moment","Es gibt momentan keine Artikel im Kundenwarenkorb"
"This account is not confirmed.","Dieses Benutzerkonto wurde nicht bestätigt."
"This customer has no saved addresses.","Dieser Kunde besitzt keine gespeicherten Adressen."
"This email will be sent instead of default welcome email, after account confirmation.","Diese E-Mail wird statt der Standard Willkommensnachricht nach dem Anlegen eines Benutzerkontos verschickt."
"To Cart","Zum Warenkorb"
"Type","Typ"
"Unknown","Unbekannt"
"Unsubscribe from Newsletter","Vom Newsletter abmelden"
"Update customer data","Kundendaten aktualisieren"
"Use as My Default Billing Address","Als meine Standard-Rechnungsadresse verwenden"
"Use as my default billing address","Als meine Standard-Rechnungsadresse verwenden"
"View","Anzeigen"
"Visitors Only","Nur Besucher"
"Wishlist","Wunschzettel"
"Wrong customer account specified.","Falsches Benutzerkonto angegeben."
"Wrong email.","Falsche E-Mail."
"Year","Jahr"
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter angemeldet."
"You are now logged out","Sie sind jetzt abgemeldet"
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse."
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse."
"You have not set a default shipping address.","Sie haben keine Standard-Versandadresse angegeben."
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt."
"ZIP","Postleitzahl"
"ZIP/Post Code","Postleitzahl"
"n/a","Keine Angabe"
"General Subscription","Allgemeines Abonnement"
"Generate Human-Friendly Customer ID","Menschenfreundliche Kunden-ID entwickeln"
"Global","Global"
"Grand Total","Gesamtbetrag"
"Group Information","Guppeninformation"
"Group Name","Guppenname"
"HTML","HTML"
"Hello, %s!","Hallo %s!"
"If you have an account with us, log in using your email address.","Wenn Sie ein Konto bei uns haben, loggen Sie sich mit ihrer E-Mail Adresse ein."
"ID","ID"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte an."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Option für Attribut %s definiert (%s), Eintrag wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültiges Attributset definiert, Eintrag wird übersprungen."
"Invalid current password","Das aktuelle Passwort ist ungültig"
"Invalid login or password.","Anmeldername oder Passwort ungültig."
"Invalid store specified, skipping the record.","Ungültiger Store definiert, Eintrag wird übersprungen."
"Last Activity","Letzte Aktivität"
"Last Name","Nachname"
"Last URL","Letzte URL"
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen."
"Leave empty for default (2). Valid range: 1-4","Für Standard (2) leer lassen. Gültige Werte: 1-4"
"Log Out","Abmelden"
"Login Information","Login Informationen"
"Login and password are required.","Benutzername und Passwort sind erforderlich."
"M.I.","M.I."
"Manage Addresses","Adressen verwalten"
"Manage Customers","Kunden verwalten"
"Missing email, skipping the record.","E-Mail fehlt, überspringe Eintrag."
"Month","Monat"
"My Account","Benutzerkonto"
"My Orders","Meine Bestellungen"
"Name","Name"
"New Address","Neue Adresse"
"New Customer","Neuer Kunde"
"New Customer Group","Neue Kundengruppe"
"New Customers","Neue Kunden"
"New account","Neues Konto"
"New password","Neues Passwort"
"New password field cannot be empty.","Das Feld für das neue Passwort kann nicht leer sein."
"Newsletter Information","Newsletter Information"
"Newsletter Start","Newsletter Start"
"Newsletters","Newsletter"
"No Items Found","Keine Objekte gefunden"
"No customer collections found","Keine Kundensammlungen gefunden"
"Not Sent","Nicht gesendet"
"Not confirmed, cannot login","Nicht bestätigt, kann sich nicht anmelden"
"Online Customers Options","Online-Kunden-Optionen"
"Password","Passwort"
"Password Management","Passwortverwaltung"
"Password forgotten","Passwort vergessen"
"Password:","Passwort:"
"Please enter your email below and we\'ll send you confirmation link for it.","Bitte geben Sie unten Ihre E-Mail-Adresse ein, und wir senden Ihnen einen Bestätigungslink."
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen"
"Prefix","Vorwahl"
"Prefix Dropdown Options","Vorwahl-Auswahlboxoptionen"
"Product","Produkt"
"Product Name","Produktname"
"Qty","Anzahl"
"Records for %s store found.","Einträge für %s Laden gefunden."
"Require Emails Confirmation","E-Mail-Bestätigung nötig"
"Retrieve customer addresses","Kundenadressen abfragen"
"Retrieve customer groups","Kundengruppen abfragen"
"Retrieve customer info","Kundeninfo abfragen"
"Retrieve customers","Kunden abfragen"
"Retrieve your password here","Passwort hier anfordern"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save Customer","Kunden speichern"
"Send Welcome Email after Confirmation","Willkommen eMail nach Bestätigung senden"
"Send auto-generated password","Automatisch generiertes Passwort senden"
"Sending","Wird gesendet"
"Session Start Time","Startzeit der Session"
"Set as Default Shipping Address","Versandadresse als Vorgabe einstellen"
"Share Customer Accounts","Kundenkonten gemeinsam nutzen"
"Shipped to First Name","Versendet an Vorname"
"Shipped to Name","Versendet an Name"
"Shopping Cart - %d item(s)","Einkaufswagen - %d Artikel"
"Show Middle Name (initial)","Zweiten Vornamen anzeigen (Initialen)"
"Show Tax/VAT Number","Steuer/MwSt. Nummer anzeigen"
"Skipping import row, required field ""%s"" is not defined.","Import der Reihe wird jetzt übersprungen. Das benötigte Feld ""%s"" ist nicht definiert."
"State/Province","Staat/Provinz"
"Status","Status"
"Store","Shop"
"Street Address %s","Adresse Strasse %s"
"Subscribe to Newsletter","Newsletter abonnieren"
"Suffix","Suffix"
"Tag Name","Tagname"
"Tax/VAT number","USt.ID"
"Text","Text"
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s."
"The address does not belong to this customer.","Diese Adresse gehört nicht zu diesem Kunden."
"The address has been saved.","Die Adresse wurde gespeichert."
"The customer does not have default billing address.","Der Kunde hat keine Standard-Rechnungsadresse."
"The customer group has been saved.","Die Kundengruppe wurde gespeichert."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Ihr Passwort muß aus mindest 6 Zeichen bestehen. Leerzeichen am Anfang oder Ende werden abgeschnitten."
"The title that goes before name (Mr., Mrs., etc.)","Die Anrede vor dem Namen (Hr., Fr., usw.)"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Es existiert schon ein Account mit dieser E-Mail-Adresse. Falls Sie sicher sein sollten, dass es Ihre E-Mail-Adresse ist, <a href=""%s"">klicken Sie hier</a>, um Ihr Passwort und Zugang zum Account zu erhalten."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Dieser Account wurde noch nicht bestätigt. <a href=""%s"">Klicken Sie hier</a>, um die Bestätigungsmail noch einmal zu senden."
"This customer email already exists","Diese Kunden-Mailadresse existiert bereits"
"This email address was not found in our records.","Diese E-Mail-Adresse wurde in unserem System nicht gefunden."
"This email does not require confirmation.","Diese E-Mail erfordert keine Bestätigung."
"This is My Default %s Address","Dies ist meine Standard %s Adresse"
"Total","Gesamtbetrag"
"Unable to save the customer.","Speichern von Kunde nicht möglich."
"Update","Aktualisieren"
"Update customer address data","Kundenadressdaten aktualisieren"
"Use as My Default %s Address","Als meine Standard %s Adresse verwenden"
"Use as My Default Shipping Address","Als meine Standard-Versandadresse verwenden"
"Use as my default shipping address","Als meine Standardlieferadresse verwenden"
"View Order","Bestellung ansehen"
"Visitor","Besucher"
"Website","Website"
"Welcome Email","Willkommensnachricht"
"Wishlist - %d item(s)","Wunschzettel - %d Artikel"
"Wrong confirmation key.","Falscher Bestätigungsschlüssel."
"Wrong transactional account email type","Falsche Girokonto E-Mail"
"YYYY","JJJJ"
"You are currently not subscribed to any newsletter.","Sie sind momentan für keinen Newsletter angemeldet."
"You are currently not subscribed to our newsletter.","Sie sind momentan nicht für unseren Newsletter angemeldet."
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo 'Allgemeines' angemeldet."
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden innerhalb von 5 Sekunden zu unserer Startseite weitergeleitet."
"You have no additional entries in your address book.","Sie besitzen keine zusätzlichen Einträge in Ihrem Adressbuch."
"You have no default entries in your address book.","In Ihrem Adressbuch befinden sich keine Standard-Einträge."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse angegeben."
"You have placed no orders yet.","Sie haben noch keine Bestellung aufgegeben."
"Your account balance is: %s","Ihr Kontostand beträgt: %s"
"Zip/Postal Code","Postleitzahl"
"or","oder"
"register","Registrieren"
