"Abandoned Carts","Unbenutzte Einkaufswagen"
"Match Period To","Entsprechungszeitraum"
"Month","Monat"
"Most Viewed","am meisten angesehen"
"Name","Name"
"New Accounts","Neue Konten"
"No","Nein"
"Number Added","Anzahl hinzugefügt"
"Number Fulfilled","Anzahl erfüllt"
"Number Of Reviews","Anzahl der Bewertungen"
"Number Purchased","Anzahl der erworbenen Artikel"
"Number Viewed","Anzahl wie oft angesehen"
"Number of Items","Anzahl der Artikel"
"Number of New Accounts","Anzahl der neuen Konten"
"Number of Products to display","Anzahl der darzustellenden Artikel"
"Number of Reviews","Anzahl der Bewertungen"
"Number of Times Deleted","Anzahl wie oft gelöscht"
"Number of Total Tags","Gesamtzahl aller Etiketten"
"Number of Unique Tags","Anzahl einzelner Etiketten"
"Number of Views","Anzahl wie oft angesehen"
"Number of items bought from a wishlist: %s","Anzahl der Artikel die aus einer Wunschliste gekauft wurden: in %"
"Number of times wishlists have been shared (emailed): %s","Anzahl wie oft Wunschlisten per email verteilt wurden: in %"
"Number of wishlist conversions: %s","Anzahl der Konvertierung von Wunschlisten: in %"
"Number of wishlist referrals: %s","Anzahl der Empfehlungen von Wunschlisten: in %"
"Number of wishlists: %s","Anzahl der Wunschlisten: in %"
"Order Status","Status des Auftrags"
"Order Taxes Report Grouped by Tax Rate","Auftragssteuermeldung unterteilt nach Steuersatz"
"Orders","Aufträge"
"Out of stock","Nicht lieferbar"
"Period","Zeitraum"
"Poducts Report","Artikelmeldung"
"Popular Tags","Beliebte Tags"
"Popularity","Popularität"
"Price","Preis"
"Product Name","Produktname"
"Product Reviews","Produktreviews"
"Product SKU","Bestandseinheit des Produktes"
"Product Tags","Produkttags"
"Products","Produkte"
"Products Ordered","Bestellte Artikel"
"Products Report","Artikelmeldung"
"Products Reviews","Artikelbewertungen"
"Products Tags","Etiketten der Artikel"
"Products in carts","Artikel in den Warenkörben"
"Purchases","Käufe"
"Quantity Ordered","bestellte Menge"
"Quantity of Items","Artikelmenge"
"Recently Compared","zuletzt verglichen"
"Recently Compared Products","zuletzt verglichene Artikel"
"Recently Viewed","Kürzlich angesehen"
"Recently Viewed Products","Kürzlich angesehene Produkte"
"Recently Viewed/Compared Products","Kürzlich angesehene / verglichene Produkte"
"Refresh Lifetime Statistics","Aktualisiere lebenslange Statistik"
"Refresh Statistics","Aktualisiere Statistik"
"Refresh Statistics for the Last Day","Aktualisiere Statistik für den letzten Tag"
"Refunds","Gutschriften"
"Report","Report"
"Reports","Berichte"
"Results","Ergebnisse"
"Revenue","Umsatz"
"Review","Review"
"Reviews","Bewertungen"
"Reviews for %s","Bewertungen für %s"
"Sales","Verkäufe"
"Sales Report","Verkaufsreport"
"Search Query","Suchbegriff"
"Search Terms","Suchbegriffe"
"Select day of the month.","Wählen Sie ein Datum aus."
"Shipping","Lieferung"
"Shopping Cart","Warenkorb"
"Shopping Cart Price Rule","Warenkorb Preisregel"
"Show Actual Values","Tatsächliche Werte anzeigen"
"Show Report","Report anzeigen"
"Show for Current","Anzeige für aktuellen Eintrag"
"Specified","Spezifiziert"
"Statistics","Statistik"
"Stock Qty","Anzahl auf Lager"
"Submitted In","Abgeschickt in"
"Submitted On","Abgeschickt am"
"Subtotal","Zwischensumme"
"Tag","Tag"
"Tag ""%s"" details","Schild ""%s"" Details"
"Tag Detail","Detail zu Tag"
"Tag Name","Tagname"
"Tag Use","Tag-Benutzung"
"Tags Submitted by %s","Tags eingetragen von %s"
"Tags submitted to %s","Tags versandt an %s"
"Tax","Steuer"
"Title","Titel"
"To","An"
"Total","Gesamtbetrag"
"Total Invoiced vs. Paid Report","Gesamtgegenüberstellung Berechnet zu Bezahlt"
"Total Ordered Report","Report Gesamtbestellvolumen"
"Total Refunded Report","Gesamtreport zu Rückerstattungen"
"Total Shipped Report","Gesamtreport versendeter Produkte"
"Total Tags","Gesamtanzahl Tags"
"Total invoiced","Insgesamt berechnet"
"Total refunded","Erstatteter Gesamtbetrag"
"Updated At","Aktualisiert am"
"Viewed Products Grid Template","Tabellarische Vorlage für angesehene Produkte"
"Viewed Products List Template","Vorlage für Liste der angesehenen Produkte"
"Visible In","Sichtbar in"
"Wishlist Report","Wunschzettelreport"
"Wishlist vs. Regular Order","Gegenüberstellung Wunschzettel zu regulärer Bestellung"
"Wishlists","Wunschzettel"
"Year","Jahr"
"Year-To-Date Starts","Kalenderjahr startet"
"Yes","Ja"
"Your Recently Compared","Ihre letzten Vergleiche"
"Your Recently Viewed","Ihre zuletzt angesehenen"
"undefined","undefiniert"
