" and ","und"
"Billing Address","Rechnungsadresse"
"Billing Agreement","Rechnungsvereinbarung"
"Bundle Items","Bundleartikel"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Ein Bundle mit dynamischer Preisgestaltung kann keine individuell definierten Optionen beinhalten. Optionen werden nicht gespeichert."
"CSV / Tab separated","CSV/ Tabulator-getrennt"
"Cancel URL: ","URL abmelden"
"Card Verification Number","Kartenprüfnummer"
"Carrier","Carrier"
"Catalog","Katalog"
"Chairs","Stühle"
"Change Orientation","Ausrichtung ändern"
"Changes have been saved to theme.","Änderungen zum Thema wurden gespeichert."
"Channel","Kanal"
"Child Transactions","Untergeordnete Transaktionen"
"Choose Store View","Store-Ansicht auswählen"
"Choose a selection...","Wählen Sie..."
"Clear","Löschen"
"Client Session Timeout (sec.)","Kunde Session-Timeout (in Sekunden)"
"Close","Schließen"
"Confirmed email:","Bestätigte E-Mail:"
"Connect with the Magento Community","Mit der Magento Community verbinden"
"Contents","Inhalte"
"Continue","Weiter"
"Country:","Land:"
"Created At","Erstellte At"
"Credit Card %s","Kreditkarten"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Memo History","Gutschrift Historie"
"Credit Memo Totals","Gutschrift Insgesamt"
"Current Configuration Scope:","Aktuelles Konfigurationsumfang:"
"Custom","Kundenspezifisch"
"Custom Colors","Benutzerdefinierte Farben"
"Customer","Kunde"
"Customer Group:","Kundengruppe:"
"Customer Since:","Kunde seit:"
"Customers","Kunden"
"DHTML Date/Time Selector","DHTML-Datum-/Zeitauswahl"
"Dashboard","Dashboard"
"Data Format","Datenformat"
"Data transfer:","Datentransfer:"
"Date selection:","Datumswahl:"
"Date selector","Datumswähler"
"Decimal separator:","Dezimaltrenner:"
"Default (Admin) Values","Standardwerte (Verwaltung)"
"Default Billing Address","Standard-Rechnungsadresse"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Default Values","Standardwerte"
"Delete","Löschen"
"Deselect All","Alle abwählen"
"Direction:","Richtung:"
"Display %s first","%s zuerst anzeigen"
"Distributed under GNU LGPL. See %s for details.","Als GNU LGPL vertrieben. Siehe %s für weitere Informationen."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Aktivieren Sie keine AHV oder CSC-Optionen. Diese funktionieren nicht im Payflow Link Silent Mode."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Stellen Sie keine Felder im Block der Rechnungs-und Versandinformationen in Ihrem Zahlungskonto auf Bearbeiten."
"Drag to move","Ziehen, um zu bewegen"
"Edit Filter","Filter bearbeiten"
"Edit Role","Funktion bearbeiten"
"Edit User '%s'","Benutzer '%s' bearbeiten"
"Email","E-Mail"
"Email Preview","E-Mail-Voransicht"
"Email:","E-Mail:"
"Enable Secure Token:","Aktivieren Sie sichere Entnahme:"
"Enclose Values In:","Werte einschließen in:"
"Entity Attributes","Entitätenattribute"
"Entity type:","Einheitstyp:"
"Excl. Tax","Steuer weglassen"
"Expiration Date","Ablaufdatum"
"Expiration Date: %s/%s","Auslaufdatum: %s/%s"
"Export","Export"
"Export Filters","Exportfilter"
"Export to:","Exportieren nach:"
"Export:","Export:"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"FILTERS APPLIED","Filter angewendet"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Feldzuweisung"
"File Information","Dateiinformation"
"File mode","Dateimodus"
"File name:","Dateiname:"
"Files","Dateien"
"Finished profile execution.","Profilausführung.beendet"
"First Name:","Vorname:"
"For latest version visit: %s","Für die neueste Version besuchen Sie: %s"
"From","Von"
"General Information","Allgemeine Information"
"General Settings","Allgemeine Einstellungen"
"Get help for this page","Hilfe für diese Seite erhalten"
"Global Record Search","Allgemeine Registersuche"
"Go Today","Heute geht's los"
"Go to messages inbox","Zum Posteingang"
"Go to notifications","Zu den Benachrichtigungen"
"Google Base Items","Google Base Artikel"
"Group:","Gruppe:"
"Help Us Keep Magento Healthy - Report All Bugs","Helfen Sie uns, Magento gesund zu halten - melden Sie alle Fehler"
"Home","Startseite"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Falls Ihre Magneto-Instanz für mehrere Webseiten verwendet wird, müssen Sie einen separaten Payflow Link-Account für jede Webseite erstellen."
"Ignore","Ignorieren"
"Images","Bilder"
"Import","Import"
"Import Service","Import Service"
"Important: ","Wichtig:"
"In Database:","In der Datenbank:"
"In File:","In der Datei:"
"In Stock","Auf Lager"
"Inactive Tabs","Inaktive Tabs"
"Incl. Tax","Steuer inkludieren"
"Include","Inkludieren"
"Interactive","Interaktiv"
"Interface Locale: %s","Sprache der Benutzeroberfläche: %s"
"Invalid webservice adapter specified.","Ungültiger Webservice Adapter angegeben."
"Invalid webservice handler specified.","Ungültiger Webservice Handler angegeben."
"Invoice History","Rechnungsverlauf"
"Invoice Totals","Rechnungsgesamtbetrag"
"Is Closed","Geschlossen"
"Issue Number","Ausgabenumer"
"Issuer: %s","Bearbeiter: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Letzte 5 Bestellungen"
"Last 5 Search Terms","Letzte 5 Suchbegriffe"
"Last Logged In (%s):","Zuletzt angemeldet (%s):"
"Last Logged In:","Zuletzt angemeldet:"
"Last Name:","Nachname:"
"Latest Message:","Letzte Nachricht:"
"Leave empty to use tax identifier","Leer lassen für Steuer-Bezeichner"
"Links with associated products will retain only after saving current product.","Links zu zugewiesenen Produkten werden nur nach Speichern des aktuellen Produkts beibehalten."
"Loading Preview...","Lade Vorschau..."
"Loading...","Wird geladen..."
"Local Server","Lokaler Server"
"Local/Remote Server","Lokaler/Entfernter Server"
"Log In","Anmelden"
"Log Out","Abmelden"
"Logged in as %s","Angemeldet als %s"
"MS Excel XML","Microsoft Excel XML"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Sektion"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento Version %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade;, ist eine Handelsmarke von Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Haupt-Tabs"
"Make Inactive","Inaktiv machen"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Stellen Sie sicher, dass die Kodierung der Datei konsistent ist und in einer der unterstützen Kodierungen gespeichert ist (UTF-8 oder ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Stellen Sie sicher, dass Sie die Designeinstellungen für das Payflow Link-Formular in Ihrem Payflow Link-Account konfigurieren."
"Manage Stores","Stores verwalten"
"Max","Max"
"Min","Min"
"More Tabs","Mehr Tabs"
"N/A","Nicht verfügbar"
"Name","Name"
"Name on Card","Name auf Karte"
"Name on the Card: %s","Name auf der Karte: %s"
"Name:","Name:"
"Next month (hold for menu)","Nächster Monat (fürs Menü behalten)"
"Next page","Nächste Seite"
"Next year (hold for menu)","Nächstes Jahr (fürs Menü behalten)"
"No","Nein"
"No Data Found","Keine Dateien gefunden"
"No information available.","Keine Information verfügbar."
"No profile loaded...","Kein Profil geladen"
"No search keywords.","Keine Suchstichwörter"
"None","Keine"
"Note:","Notiz:"
"Number of records:","Anzahl der Einträge:"
"Old rate:","Alter Tarif:"
"On my website","Auf meiner Webseite"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Sobald Sie sich in Ihren Payflow Link-Account einloggen, gehen Sie zum Menü Service Settings - Hosted Checkout Pages - Set Up und stellen Sie die Optionen wie folgt ein"
"Only mapped fields","Nur abgebildete Felder"
"Options menu items","Optionsmenü-Elemente"
"Order ID","BestellungsID"
"Order cannot be placed.","Die Bestellung kann nicht aufgegeben werden."
"Original Magento attribute names in first row:","Ursprüngliche Magento Attributnamen in der ersten Reihe:"
"Out of stock","Ausverkauft"
"Package","Verpackung"
"Packages","Pakete"
"Page","Seite"
"Parent Transaction ID","Transaktions-Stammkennung"
"Passive mode","Passiver Modus"
"Password","Passwort"
"Path","Pfad"
"Path:","Pfad:"
"Personal Information","Persönliche Informationen"
"Phone:","Telefon:"
"Please Select","Bitte auswählen"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Bitte bestätigen Sie, dass Sie die Seite wechseln möchten. Alle Daten, die nicht gespeichert wurden, gehen verloren."
"Please continue with placing order.","Bitte fahren Sie mit Ihrer Bestellung fort."
"Please enter 6 or more characters.","Bitte geben Sie mindestens sechs Zeichen ein."
"Please enter a number greater than 0 in this field.","Bitte geben Sie in diesem Feld eine Zahl ein, die größer als 0 ist."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen Betrag in US-Dollar ein. Zum Beispiel 100,00 US-Dollar."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein. Zum Beispiel http://www.example.com oder www.example.com"
"Please enter a valid URL. http:// is required","Bitte geben Sie eine gültige URL ein. http:// ist erforderlich"
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige E-Mail Adresse ein. Zum Beispiel johndoe@domain.com"
"Please enter a valid number in this field.","Bitte geben Sie in dieses Feld eine gültige Nummer ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123)456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid value from list","Bitte geben Sie einen gültigen Wert aus der Liste ein."
"Please enter a valid value, ex: 10,20,30","Bitte geben Sie einen gültigen Wert ein, z.B. 10, 20, 30"
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 90602 oder 90602-1234."
"Please enter another credit card number to complete your purchase.","Bitte geben Sie eine andere Kreditkarten-Nummer ein, um Ihren Kauf abzuschließen."
"Please enter valid password.","Bitte geben Sie ein gültiges Passwort ein."
"Please make sure that your changes were saved before running the profile.","Bitte stellen Sie sicher, dass Ihre Änderungen gespeichert wurden, bevor Sie auf das Profil zugreifen."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select State/Province.","Bitte Bundesstaat/ Provinz auswählen."
"Please select an option.","Bitte wählen Sie eine Option."
"Please select one of the above options.","Bitte wählen Sie eine der oben genannten Optionen."
"Please select one of the options.","Bitte wählen Sie eine Option."
"Please use in this field only ""a-z,0-9,_"".","Bitte verwenden Sie in diesem Feld nur ""a-z,0-9._""."
"Please use letters only (a-z) in this field.","Bitte verwenden Sie in diesem Feld ausschließlich Buchstaben (a-z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte verwenden Sie in diesem Feld nur Zahlen. Vermeiden Sie bitte Leerzeichen und andere Zeichen, wie Punkt oder Komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte verwenden Sie in diesem Feld ausschließlich Buchstaben (a-z) oder Zahlen (0-9). Leerzeichen oder sonstige Zeichen sind nicht zulässig."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bitte verwenden Sie in diesen Feld ausschließlich Buchstaben (a-z) oder Zahlen (0-9) oder Leerzeichen sowie #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie nur dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2006 für den 17. März 2006."
"Please wait while the indexes are being refreshed.","Bitte warten Sie einen Moment, während die Indexe aktualisiert werden."
"Please wait, loading...","Bitte warten, lädt..."
"Preset Theme","Aktuelles Theme"
"Prev. month (hold for menu)","Letzter Monat (halten für Menü)"
"Prev. year (hold for menu)","Letztes Jahr (halten für Menü)"
"Preview","Vorschau"
"Previous page","Vorhergehende Seite"
"Price:","Preis:"
"Product Name3 ","Produktname3"
"Product Name3 1","Produktname3 1"
"Product Name3 2","Produktname3 2"
"Products","Produkte"
"Profile Information","Profilinformation"
"Qty:","Menge:"
"Read details","Details lesen"
"Reference ID","Referenz-ID"
"Regular Price:","Normalpreis:"
"Remote FTP","Remote FTP"
"Remove","Entfernen"
"Required settings","Benötigte Einstellungen"
"Reset theme to default","Auf Standard-Theme zurücksetzen"
"Resource Access","Betriebsmittelzugriff"
"Resources","Betriebsmittel"
"Return URL: ","Rückleitungs-URL:"
"Role Users","Rolle Benutzer"
"Roles","Rollen"
"Roles Resources","Rollen Betriebsmittel"
"SKU:","SKU:"
"SORT BY:","SORTIEREN NACH:"
"Save Theme","Theme Speichern"
"Screens:","Bildschirme:"
"Select All","Alle auswählen"
"Select Date","Datum auswählen"
"Select Range","Sortiment auswählen"
"Select Visible","Sichtbare auswählen"
"Select date","Datum wählen"
"Shipment Comments","Lieferungskommentare"
"Shipment History","Versand Historie"
"Shipping Address","Lieferungsadresse"
"Shipping address selection is not applicable","Auswahl der Versandanschrift nicht zutreffend"
"Shipping method selection is not applicable","Auswahl der Versandart nicht zutreffend"
"Show By","Angezeigt von"
"Show Report For","Bericht anzeigen für"
"Show confirmation page: ","Bestätigungsseite anzeigen:"
"Silent Post URL:","Stille Post URL:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Einige Artikel in dieser Bestellung haben unterschiedliche Rechnungs- und Versandarten. Sie können erst eine Sendung erstellen, nachdem die Rechnung generiert wurde."
"Sort Order","Sortierreihenfolge"
"Special Price:","Sezialpreis:"
"Spreadsheet Name:","Name des Kalkulationsblatts:"
"Start Date","Startdatum"
"Start/Reset Validation...","Validierung starten/ zurücksetzen ..."
"Starting profile execution, please wait...","Profil-Ausführung wird gestartet, bitte warten..."
"State/Province:","Bundesstaat/ Provinz:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Lagerbestand:"
"Store:","Store:"
"Switch/Solo card issue number: %s","Switch/ Solo Karte Nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/ Solo Karte Gültigkeitsbeginn: %s/%s"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Nur Switch/ Solo/ Maestro (UK Inland)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/ Solo/ Maestro (UK Inland) Kartennummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/ Solo/ Maestro (UK Inland) Gültigkeitsbeginn der Karte: %s/%s"
"Synchronization is required.","Synchronisation ist erforderlich."
"System busy","System belegt"
"T-Shirts","T-Shirts"
"Target","Ziel"
"Tell a Friend","Weiterempfehlen"
"The card has failed verification with the issuer bank.","Die Prüfung der Karte bei der Ausstellerbank ist fehlgeschlagen."
"The information in this tab has been changed.","Die Informationen in diesem Tab wurden geändert."
"Theme configurations are successfully reset.","Themenkonfigurationen wurden erfolgreich zurückgesetzt."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Es wurden fehlerhafte Zahlungsinformationen übermittelt oder das Zeitlimit ist überschritten. Bitte versuchen Sie es noch einmal."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dies ist ein Demo-Store. Bestellungen, die über diesen Store aufgegeben werden, werden nicht anerkannt oder ausgeführt."
"This is a required field.","Dies ist ein Pflichtfeld."
"This tab contains invalid data. Please solve the problem before saving.","Der Tab enthält ungültige Daten. Bitte das Problem vor dem Speichern beheben."
"Thumbnail","Miniaturansicht"
"Time selection:","Zeit Auswahl:"
"Time:","Zeit:"
"Title bar","Titelleiste"
"To","bis"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Zum Abbrechen anhängiger Genehmigungen und zur Freigabe von Beträge, die bereits während dieser Zahlung bearbeitet wurden, klicken Sie auf Abbrechen."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Um den Payflow Link zu benutzen, müssen Sie Ihr Payflow Link-Konto auf der Paypal-Website konfigurieren."
"Top 5 Search Terms","Top 5 Suchbegriffe"
"Total %d records found","Gesamtzahl von %d Einträgen gefunden"
"Track Order","Bestellung nachverfolgen"
"Track this shipment","Diese Sendung nachverfolgen"
"Transaction Data","Daten der Transaktion"
"Transaction Details","Details der Transaktion"
"Transaction ID","TransaktionsID"
"Transaction Type","Transaktionstyp"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Einloggen nicht möglich."
"Unknown Error","Unbekannter Fehler"
"Unknown Error.","Unbekannter Fehler."
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"Updated At","Aktualisiert am"
"User Name","Benutzername"
"User Roles","Benutzerrollen"
"Validation Results","Prüfergebnisse"
"View","Anzeigen"
"Warning! Empty value can cause problems with CSV format.","Warnung! Ein leerer Wert kann Probleme mit dem CSV Format verursachen."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warnung!\n\Diese Aktion entfernt diesen Benutzer von der bereits zugewiesenen Rolle\n\Sind Sie sicher?"
"Warning: Please do not close the window during importing/exporting data","Warnung! Bitte schliessen Sie dieses Fenter nicht während de Imports/Exports der Daten."
"We detected that your JavaScript seem to be disabled.","Wir haben festgestellt, daß Ihr JavaScript anscheinend abgeschaltet ist."
"Yes","Ja"
"You have %s unread message(s).","Sie haben %s ungelesene Nachricht(en)."
"critical","kritisch"
"items selected","Objekte ausgewählt"
"notice","Hinweis"
"to","bis"
"Update Preview","Update Vorschau"
"Use Default Value","Standardwerte benutzen"
"Use Silent Post:","Verwenden Sie Silent Post:"
"User","Benutzer"
"User name","Benutzername"
"Users","Benutzer"
"Value Delimiter:","Wertetrenner:"
"Verification Failed","Verifizierung fehlgeschlagen"
"Verification Successful","Verifizierung erfolgreich"
"Verification cannot be processed","Verifizierung kann nicht bearbeitet werden"
"View Details","Details ansehen"
"View Gallery","Galerie ansehen"
"View Statistics For","Statistiken ansehen für"
"Visibility:","Sichtbarkeit:"
"WS-I Compliance","WS-I Übereinstimmung"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warnung!\n\Diese Aktion entfernt diese Benutzer von den bereits zugewiesenen Rollen\n\Sind Sie sicher?"
"Web Services","Webdienste"
"What is this?","Was ist das?"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Sie müssen Javascript aktiviert haben um die Funktionalität dieser Webseite nutzen zu können."
"Your account has been deactivated.","Ihr Benutzerkonto wurde deaktiviert."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Ihre PHP Server Einstellungen erlauben es Ihnen Dateien mit maximal %s auf einmal hochzuladen. Bitte ändern Sie die Werte für post_max_size (derzeit %s) und upload_max_filesize (derzeit %s) in php.ini um grössere Dateien hochladen zu können."
"Zip/Postal Code:","ZIP-Code/Postleitzahl:"
"major","wichtig"
"minor","unwichtig"
"of %s pages","von %s Seiten"
"per page","pro Seite"
