"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço de Carrinho de Compras baseado em atributo ""%s"" ter sido desativado."
"%s Coupon(s) have been generated","%s Cupom(s) foram gerados"
"Actions","Ações"
"Edit Rule '%s'","Editar regra ""s%"""
"Excluding prefix, suffix and separators.","Excluindo sufixo, prefixo e separadores."
"FOUND","ENCONTRADO"
"Fixed amount discount","Valor de desconto fixo"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"For matching items only","Apenas para itens correspondentes"
"For shipment with matching items","Para o envio de itens correspondentes"
"Free Shipping","Frete Grátis"
"From Date","A Partir da Data"
"General Information","Informações gerais"
"Generate","Gerar"
"ID","Identidade"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Se  %s %s %s para uma subseleção de itens no carrinho correspondendo a %s destas condições:"
"If an item is %s in the cart with %s of these conditions true:","Se um item está %s no carrinho com %s destas condições verdadeiras:"
"If empty no separation.","Se vazio sem separação."
"If you select and save the rule you will be able to generate multiple coupon codes.","Se você selecionar e salvar a regra, será capaz de gerar múltiplos códigos de cupom."
"Inactive","Inativo"
"Item totals are not set for rule.","Os totais dos itens não são configurados via de regra."
"Labels","Etiquetas"
"Manage Coupon Codes","Gerenciar Códigos de Cupom"
"Maximum Qty Discount is Applied To","A Quantidade Máxima de Desconto é Aplicada A"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO LIGADO"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupom"
"Not valid data provided","Não há dados válidos"
"Number of Uses","Número de Usuários"
"Numeric","Numérico"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Porcentagem do desconto sobre o preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos do produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linhas no carrinho"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule is not defined","A regra não está definida"
"Sales Discount Amount","Valor do Desconto de Venda"
"Sales Subtotal Amount","Subtotal do Valor de Vendas"
"Sales Total Amount","Total do Valor de Vendas"
"Save and Continue Edit","Salvar e continuar a editar"
"Shipping Country","País de Envio"
"Shipping Method","Tipo de Frete"
"Shipping Postcode","Código Postal de Envio"
"Shipping Region","Região de Envio"
"Shipping State/Province","Estado/Província de Envio"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupom Específico"
"Status","Status"
"Stop Further Rules Processing","Parar Outras Regras de Processamento"
"Store View Specific Labels","Vista das Marcas Específicas da Loja"
"Subtotal","Subtotal"
"Subtotal Amount","Valor Subtotal"
"The rule has been deleted.","A regra foi apagada."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists.","Essa regra não existe mais."
"Times Used","Vezes usadas"
"To Date","Até a Data Atual"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade total de itens"
"Total Weight","Peso Total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Não poi possível criar a Quantidade de Cupons solicitada. Por favor cheque as configurações e tente novamente."
"Unable to find a rule to delete.","Incapaz de encontrar uma regra para excluir."
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualização dos produtos %s %s: %s"
"Update the Product","Atualizar o Produto"
"Use Auto Generation","Usar Auto Geração"
"Used","Utilizado"
"Uses per Coupon","Uso por cupom"
"Uses per Customer","Uso por cliente"
"Website","Website"
"Websites","Sites"
"Wrong rule specified.","Especificação de regra incorreta."
"Yes","Sim"
"total amount","quantia total"
"total quantity","quantidade total"
