Product,"Nom produit"
Review,Avis
Reviews,Commentaires
"Customer Reviews Report","Customer Reviews Report"
"Customers Report","Rapports du client"
"Product Reviews Report","Product Reviews Report"
"Sales Report","Rapport de ventes"
"Best Sellers Report","Best Sellers Report"
"Tax Report","Tax Report"
"Shipping Report","Shipping Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Coupons Report","Coupons Report"
Coupons,Coupons
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Abandoned Carts","Paniers abandonnés"
Statistics,Statistiques
"No report code is specified.","No report code is specified."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1%","Customers that have wish list: %1%"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Récemment vus"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Produits récemment vus"
"Recently Compared","Récemment comparés"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","Liste des produits récemment consultés par Visiteur"
"Number of Products to display","Nombre de produits à afficher"
"Viewed Products Grid Template","Modèle de grille de produits vus"
"Viewed Products List Template","Formulaire-type de la liste des produits consultés"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Liste des produits récemment comparés et supprimés de la liste de comparaison de Visiteur"
"Compared Products Grid Template","Produits comparés sur une grille"
"Compared Products List Template","Produits comparés sur une liste"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
Hits,Clics
"Stock Quantity","Qté en stock"
"Ordered Quantity","Ordered Quantity"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone."
"Average (Approved)","Average (Approved)"
"Last Review","Dernier avis"
"Order Created Date","Order Created Date"
"Order Updated Date","Order Updated Date"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","The Order Updated Date report is displayed in real-time, and does not need to be refreshed."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Rafraîchir les statistiques de durée de vie"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Voulez-vous vraiment actualiser les statistiques ? Il peut y avoir une baisse des performances pendant cette opération."
"Refresh Statistics for the Last Day","Rafraîchir les statistiques de la veille"
"Are you sure you want to refresh statistics for last day?","Are you sure you want to refresh statistics for last day?"
undefined,indéfini
