All,Todo
"Add Root Category","Agregar categoría raíz"
"Create Permanent Redirect for old URL","Crear Redirección Permanente para la antigua URL"
Day,Day
Month,Month
Year,Year
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Agregar producto"
label,label
"Product Attributes","Atributos del producto"
"Add New Attribute","Añadir Nuevo Atributo"
"Save in New Attribute Set","Save in New Attribute Set"
"Enter Name for New Attribute Set","Enter Name for New Attribute Set"
"Save Attribute","Guardar Atributo"
"Delete Attribute","Borrar Atributo"
"Edit Product Attribute ""%1""","Edit Product Attribute ""%1"""
"New Product Attribute","Nuevo atributo de producto"
"Advanced Attribute Properties","Advanced Attribute Properties"
"Attribute Code","Attribute Code"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Default Value","Default Value"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Not shared with other products","Not shared with other products"
"Input Validation for Store Owner","Input Validation for Store Owner"
Global,Global
Scope,Alcance
"Declare attribute value saving scope","Declarar alcance de grabación de valor de atributo"
"Frontend Properties","Propiedades del Panel Delantero"
"Use in Quick Search","Utilizar en búsqueda rápida"
"Use in Advanced Search","Utilizar en búsqueda avanzada"
"Comparable on Frontend","Comparable on Frontend"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Allow HTML Tags on Frontend","Permitir etiquetas HTML en la interfaz del cliente"
"Visible on Catalog Pages on Frontend","Visible on Catalog Pages on Frontend"
"Used in Product Listing","Se utiliza en las listas de productos"
"Depends on design theme","Depende del tema de diseño"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de productos"
"Media Image","Imagen multimedia"
Gallery,Galería
"System Properties","Propiedades del sistema"
"Data Type for Saving in Database","Tipo de Datos a Guardar en la Base de Datos"
Text,Texto
Varchar,Varchar
Static,Estático
Datetime,Fecha
Decimal,Decimal
Integer,Entero
"Globally Editable","Editable globalmente"
"Attribute Information","Información de Atributo"
Properties,Propiedades
"Manage Labels","Manage Labels"
Visible,Visible
Searchable,"Puede buscarse"
Comparable,Comparable
"Delete Selected Group","Borrar Grupo Seleccionado"
"Delete Attribute Set","Establecer Atributo de Borrado"
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?"
"Save Attribute Set","Grabar conjunto de atributos"
"New Set Name","Nuevo nombre de conjunto"
"Edit Attribute Set '%1'","Edit Attribute Set '%1'"
Empty,Vacío(a)
"Add Attribute","Añadir Atributo"
"Add New Group","Agregar nuevo grupo"
"Add Group","Agregar grupo"
"Edit Set Name","Editar nombre del conjunto"
"For internal use","For internal use"
"Based On","Basado en"
"Add New Attribute Set","Agregar nuevo conjunto de atributos"
"Add New Set","Agregar nuevo conjunto"
"Product Templates","Product Templates"
"Close Window","Cerrar Ventana"
"New Product","Nuevo producto"
"Save & Edit","Save & Edit"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Attributes,Atributos
Change,Cambio
"Advanced Inventory","Advanced Inventory"
Websites,"Páginas web"
"Products Information","Información de Productos"
"Category Name","Category Name"
"Parent Category","Categoría principal"
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"There are no customers for this alert.","No hay clientes para esta alerta."
"Subscribe Date","Fecha suscrita"
"Last Notified","Última notificación"
"Send Count","Cantidad de envíos"
"New Attribute","New Attribute"
"Attribute Set","Conjunto de atributos"
"Add New Option","Añadir Nueva Opción"
"Import Options","Import Options"
Import,Import
"Add New Row","Agregar nueva fila"
"Delete Row","Borrar Fila"
"Tier Pricing","Precio de nivel"
"Default Price","Precio por Defecto"
"Add Group Price","Añadir precio de grupo"
"ALL GROUPS","TODOS LOS GRUPOS"
"Add Tier","Agregar capa"
"Default Values","Valores por Defecto"
"Related Products","Productos Relacionados"
Up-sells,"Ventas Sugestivas"
Cross-sells,"Ventas cruzadas."
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Change status","Cambiar estado"
"Update Attributes","Actualizar atributos"
"Click here or drag and drop to add images","Click here or drag and drop to add images"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Image Management","Image Management"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Add New Images","Agregar nuevas imágenes"
"Inc. Tax","Inc. Tax"
lbs,lbs
"Add New Search Term","Añadir Nueva Cláusula de Búsqueda"
"Save Search","Guardar Búsqueda"
"Delete Search","Borrar Búsqueda"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Nueva búsqueda"
"Search Information","Información de búsqueda"
"Search Query","Consulta de búsqueda"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"For the last time placed.","Para la última vez que se ha colocado."
"Number of Uses","Number of Uses"
"Synonym For","Sinónimo para"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","Redirigir URL"
"ex. http://domain.com","por ejemplo, http:/dominio.com"
"Display in Suggested Terms","Mostrar Cláusulas Sugeridas"
"Go to Home Page","Ir a la página de inicio"
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List","Lista de Comparación de Productos"
AM,AM
PM,PM
Categories,Categorías
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Administrar categorías"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Unable to save the category","Unable to save the category"
"You saved the category.","You saved the category."
"There was a category move error.","There was a category move error."
"There was a category move error %1","There was a category move error %1"
"You deleted the category.","You deleted the category."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"This product no longer exists.","Este producto ya no existe."
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"You duplicated the product.","You duplicated the product."
"Please select product(s).","Por favor, seleccione el/los producto(s)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Please select products for attributes update.","Please select products for attributes update."
"Manage Product Attributes","Administrar atributos del producto"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","No se puede editar este atributo."
"Edit Product Attribute","Editar característica de producto"
"An attribute with this code already exists.","An attribute with this code already exists."
"Attribute with the same code (%1) already exists.","Attribute with the same code (%1) already exists."
"Attribute Set with name '%1' already exists.","Attribute Set with name '%1' already exists."
"Something went wrong saving the attribute.","Something went wrong saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter."
"You can't update your attribute.","You can't update your attribute."
"You saved the product attribute.","You saved the product attribute."
"This attribute cannot be deleted.","No puede eliminarse este atributo."
"The product attribute has been deleted.","Se eliminó el atributo de producto."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"Something went wrong while saving this group.","Something went wrong while saving this group."
"Manage Attribute Sets","Administrar conjuntos de atributos"
"New Set","New Set"
"Manage Product Sets","Administrar conjuntos de productos"
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"You saved the attribute set.","You saved the attribute set."
"An error occurred while saving the attribute set.","Se produjo un error mientras se guardaba el conjunto de atributos."
"New Product Template","New Product Template"
"The attribute set has been removed.","The attribute set has been removed."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"Search Terms","Search Terms"
"This search no longer exists.","Esta búsqueda ya no existe."
"Edit Search","Editar búsqueda"
"You already have an identical search term query.","You already have an identical search term query."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"Please select catalog searches.","Please select catalog searches."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del producto añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"The product is not loaded.","The product is not loaded."
"Invalid attribute %1","Invalid attribute %1"
"Field ""%1"" was not found in DO ""%2"".","Field ""%1"" was not found in DO ""%2""."
Grid,Parrilla
List,Lista
"Product is not loaded","El producto no se ha cargado"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Sorry, but we can't move the category because we can't find the new parent category you selected."
"Sorry, but we can't move the category because we can't find the new category you selected.","Sorry, but we can't move the category because we can't find the new category you selected."
"We can't perform this category move operation because the parent category matches the child category.","We can't perform this category move operation because the parent category matches the child category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","No hay actualizaciones de diseño"
"Products only","Sólo productos"
"Static block only","Solo bloque estático"
"Static block and products","Bloque y productos estáticos"
"Please select a static block.","Please select a static block."
frontend_label,frontend_label
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
Manual,Manual
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,Flexibilidad
Tile,Mosaico
Top/Left,Superior/izquierda
Top/Right,Arriba/Derecha
Bottom/Left,Inferior/izquierda
Bottom/Right,Inferior/derecha
Center,Centro
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Index product and categories URL Rewrites","Index product and categories URL Rewrites"
"The category must be an instance of \Magento\Catalog\Model\Category.","The category must be an instance of \Magento\Catalog\Model\Category."
"Please correct the category.","Please correct the category."
"The attribute model is not defined.","The attribute model is not defined."
Category,Categoría
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","The filter must be an object. Please set correct filter."
"%1 and above","%1 and above"
"Clear Price","Borrar precio"
"The filters must be an array.","Los filtros deben ser una disposición."
"We found a duplicate website group price customer group.","We found a duplicate website group price customer group."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Use config","Usar configuración"
"In Cart",Carrito
"Before Order Confirmation","Antes de la Confirmación del Pedido"
"On Gesture","Sobre el gesto"
"We can't find the image file.","We can't find the image file."
"Index product attributes for layered navigation building","Indexar las características de producto para construir una navegación en capas"
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Please specify date required option(s).","Especifique las opciones obligatorias de la fecha."
"Please specify time required option(s).","Especifique las opciones obligatorias de la hora."
"Please specify the product's required option(s).","Por favor, especifique la(s) opción/opciones obligatoria(s) del producto."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We couldn't add the product to the cart because of an option validation issue.","We couldn't add the product to the cart because of an option validation issue."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"Maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
px.,px.
"The file options format is not valid.","The file options format is not valid."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Not Visible Individually","No es visible individualmente"
"Catalog, Search","Catálogo, Búsqueda"
"Something went wrong removing products from the websites.","Something went wrong removing products from the websites."
"Something went wrong adding products to websites.","Something went wrong adding products to websites."
"Attribute '%1' is locked. ","Attribute '%1' is locked. "
"Do not change the scope. ","Do not change the scope. "
"We found an unknown EAV indexer type ""%1"".","We found an unknown EAV indexer type ""%1""."
"A product type is not defined for the indexer.","No hay un tipo de producto definido para el motor de indexación."
"Something went wrong saving the URL rewite.","Something went wrong saving the URL rewite."
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"As low as:","Valor mínimo:"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Collapse All","Desplegar Todo"
"Expand All","Expandir todo"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Manage Titles (Size, Color, etc.)","Administrar títulos (tamaño, color, etc.)"
"Manage Options (values of your attribute)","Administrar opciones (valores del atributo)"
"Is Default","Es Por Defecto"
"Add Option","Add Option"
"Sort Option","Sort Option"
Groups,Grupos
"Double click on a group to rename it","Pinchar dos veces en un grupo para renombrarlo"
"Unassigned Attributes","Atributos sin asignar"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"We're unable to complete this request.","We're unable to complete this request."
"You cannot remove system attributes from this set.","You cannot remove system attributes from this set."
"Custom Options","Opciones Personalizadas"
"This is a required option.","This is a required option."
"Field is not complete","No se ha completado el campo"
"Allowed file extensions to upload","Extensiones de archivo permitidas para la carga"
"Maximum image width","Anchura máxima de la imagen"
"Maximum image height","Altura máxima de imagen"
"Maximum number of characters:","Cantidad máxima de caracteres"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Gestionar Existencias"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
Backorders,"Pedidos Pendientes"
"Notify for Quantity Below","Notificar cuando la Cantidad sea Inferior a"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Disponibilidad de inventario"
"In Stock","En stock"
"Out of Stock",Agotado
"Add Product To Websites","Agregar producto a sitios web"
"Remove Product From Websites","Eliminar el Producto de los sitios de Internet"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no quieres mostrar en el catálogo o en los resultados de búsqueda deberían tener el estado ""Inhabilitado"" en la tienda solicitada."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions","Extensiones de archivo permitidas"
"Maximum Image Size","Tamaño máximo de imagen"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"Sort Custom Option","Sort Custom Option"
"Max Characters","Número máximos de caractéres"
"Customer Group","Grupo de Clientes"
"Delete Group Price","Eliminar precio de grupo"
"Item Price","Item Price"
"and above","y por encima"
"Delete Tier","Borrar escalonamiento"
"Product In Websites","Producto en Sitios Web"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desee ver en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda correspondiente."
"(Copy data from: %1)","(Copy data from: %1)"
"Remove Image","Remove Image"
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Close panel","Close panel"
"Regular Price:","Precio Habitual:"
"Special Price:","Precio especial:"
"Product Alerts","Alertas de producto"
"Can be Divided into Multiple Boxes for Shipping","Puede dividirse en varias cajas para el envío"
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Select Product Actions","Select Product Actions"
"Price as configured:","Price as configured:"
"Click for price","Clic para precio"
"What's this?","¿Qué es esto?"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2","Buy %1 for %2"
each,cada
and,y
save,guardar
"Actual Price","Precio Actual"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Compare Products","Comparar Productos"
"1 item","1 item"
"%1 items","%1 items"
"Print This Page","Imprimir esta página"
"Remove Product","Remove Product"
"Add to Wishlist","Añadir a lista que quieres."
"You have no items to compare.","No tiene artículos para comparar."
"Are you sure you would like to remove this item from the compare products?","¿Está seguro de que desea eliminar este artículo de los productos de la comparación?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro de que desea eliminar todos los productos de la comparación?"
"Remove This Item","Eliminar este artículo"
Compare,Comparar
"Clear All","Limpiar Todo"
Prev,Prev
"There are no products matching the selection.","No hay ningún producto que se ajuste a su selección."
"Add to Compare","Añadir para comparar."
"Learn More","Más información"
"You may also be interested in the following product(s)","Te podría(n) interesar también el/los siguiente(s) producto(s)"
"More Choices:","More Choices:"
"New Products","Nuevos productos"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o."
"select all","seleccionar todo"
"View as","Ver como"
"Sort By","Ordenar por"
"Set Ascending Direction","En sentido ascendente"
"Set Descending Direction","Establecer dirección descendente"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Show,Mostrar
"Additional Information","Información adicional"
"More Views","Más vistas"
"Click on image to view it full sized","Click on image to view it full sized"
"Click on image to zoom","Click on image to zoom"
"Email to a Friend","Escribir un Email a un amigo"
Details,Detalles
Template,Plantilla
"File extension not known or unsupported type.","File extension not known or unsupported type."
"Configure Product","Configure Product"
"Select type of option.","Select type of option."
"Please add rows to option.","Por favor, añadir filas a la opción."
"Select Product","Select Product"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"unselect all","Deseleccionar todo"
"Maximal Depth","Maximal Depth"
"Anchor Custom Text","Texto personalizado del delimitador"
"Anchor Custom Title","Título personalizado del delimitador"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
Frontend,Frontend
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
Comma-separated.,Comma-separated.
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Search Engine Optimization"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark,Watermark
"Watermark Position","Watermark Position"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Minimum Advertised Price","Minimum Advertised Price"
"Enable MAP","Enable MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end."
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Product Flat Data","Datos Fijos de Producto"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de producto EAV a una estructura plana"
"Category Flat Data","Datos planos de Categoría"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Indexed category/products association","Asociación categoría/productos indexada"
"Product Categories","Categorías de Producto"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices","Indexar los precios de productos"
"Catalog New Products List","Lista de Nuevos Productos del Catálogo"
"List of Products that are set as New","Lista de productos marcados como nuevos"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Número de productos a mostrar"
"New Products Grid Template","Plantilla de cuadrícula de nuevos productos"
