All,Alles
"Advanced Inventory","Advanced Inventory"
Websites,Websites
"Products Information",Producteninformatie
"Category Name","Category Name"
"Parent Category","Parent Categorie"
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"There are no customers for this alert.","Er zijn geen klanten voor deze melding."
"Subscribe Date","Datum Ingeschreven"
"Last Notified","Laatste Notificatie"
"Send Count","Aantal Versturen"
"New Attribute","New Attribute"
"Attribute Set",Attributenset
"Add New Option","Voeg Nieuwe Optie Toe"
"Import Options","Import Options"
Import,Import
"Add New Row","Voeg Nieuwe Rij Toe"
"Delete Row","Verwijder Rij"
"Tier Pricing","Niveau Prijsstelling"
"Default Price","Vaststaande Prijs"
"Add Group Price","Groepsprijs toevoegen"
"ALL GROUPS","ALLE GROEPEN"
"Add Tier","Voeg Rang Toe"
"Default Values",Standaardwaardes
"Related Products","Gerelateerde Producten"
Up-sells,Up-sells
Cross-sells,Cross-sells
"Size for %1","Size for %1"
"Watermark File for %1","Watermark File for %1"
"Position of Watermark for %1","Position of Watermark for %1"
"Name in %1","Name in %1"
"Notify Low Stock RSS","Geef Lage Voorraad RSS aan"
"Change status","Verander status"
"Update Attributes","Update Attributen"
"Click here or drag and drop to add images","Click here or drag and drop to add images"
"Delete image","Delete image"
"Make Base","Make Base"
Hidden,Hidden
"Image Management","Image Management"
"start typing to search category","start typing to search category"
"New Category","New Category"
"Add New Images","Voeg Nieuwe Plaatjes toe"
"Inc. Tax","Inc. Tax"
lbs,lbs
"Add New Search Term","Voeg Nieuwe Zoekterm Toe"
"Save Search","Sla Zoekactie Op"
"Delete Search","Verwijder Zoekopdracht"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Nieuwe Zoekopdracht"
"Search Information",Zoekinformatie
"Search Query","Zoek Query"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (Voor de laatste keer geplaatst)"
"For the last time placed.","Het laatst geplaatst"
"Number of Uses","Number of Uses"
"Synonym For","Synoniem voor"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Redirect URL","Omleiding URL"
"ex. http://domain.com","bijv. http://domein.nl"
"Display in Suggested Terms","Toon in Voorgestelde Voorwaarden"
"Go to Home Page","Ga naar Homepage"
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List",Productvergelijkingslijst
AM,AM
PM,PM
Categories,Categoriën
"Manage Catalog Categories","Manage Catalogus Categorieën"
"Manage Categories","Beheer Categorieën"
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"Unable to save the category","Unable to save the category"
"You saved the category.","You saved the category."
"There was a category move error.","There was a category move error."
"There was a category move error %1","There was a category move error %1"
"You deleted the category.","You deleted the category."
"Something went wrong while trying to delete the category.","Something went wrong while trying to delete the category."
"This product no longer exists.","Dit product bestaat niet meer."
"Unable to save product","Unable to save product"
"You saved the product.","You saved the product."
"SKU for product %1 has been changed to %2.","SKU for product %1 has been changed to %2."
"You duplicated the product.","You duplicated the product."
"Please select product(s).","Selecteer alstublieft product(en)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating the product(s) status.","Something went wrong while updating the product(s) status."
"Please make sure to define SKU values for all processed products.","Please make sure to define SKU values for all processed products."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Please select products for attributes update.","Please select products for attributes update."
"Manage Product Attributes","Beheer Productkenmerken"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","Dit attribuut kan niet gewijzigd worden."
"Edit Product Attribute","Bewerken productattribuut"
"An attribute with this code already exists.","An attribute with this code already exists."
"Attribute with the same code (%1) already exists.","Attribute with the same code (%1) already exists."
"Attribute Set with name '%1' already exists.","Attribute Set with name '%1' already exists."
"Something went wrong saving the attribute.","Something went wrong saving the attribute."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter."
"You can't update your attribute.","You can't update your attribute."
"You saved the product attribute.","You saved the product attribute."
"This attribute cannot be deleted.","Dit attribuut kan niet verwijderd worden."
"The product attribute has been deleted.","Het productattribuut is verwijderd."
"We can't find an attribute to delete.","We can't find an attribute to delete."
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeds."
"Something went wrong while saving this group.","Something went wrong while saving this group."
"Manage Attribute Sets","Beheer Attribuut Sets"
"New Set","New Set"
"Manage Product Sets","Beheer Productgroepen"
"This attribute set no longer exists.","Deze attribuutset bestaat niet meer."
"You saved the attribute set.","You saved the attribute set."
"An error occurred while saving the attribute set.","Er is een fout opgetreden tijdens het opslaan van de attribuut set."
"New Product Template","New Product Template"
"The attribute set has been removed.","The attribute set has been removed."
"An error occurred while deleting this set.","An error occurred while deleting this set."
"Search Terms","Search Terms"
"This search no longer exists.","Deze zoekactie bestaat niet langer."
"Edit Search","Bewerk Zoekopdracht"
"You already have an identical search term query.","You already have an identical search term query."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"Please select catalog searches.","Please select catalog searches."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
"You removed product %1 from the comparison list.","You removed product %1 from the comparison list."
"You cleared the comparison list.","You cleared the comparison list."
"Something went wrong  clearing the comparison list.","Something went wrong  clearing the comparison list."
"To see product price, add this item to your cart. You can always remove it later.","Om de product prijs te zien, voeg dit artikel toe aan uw winkelwagen. U kunt het later altijd nog verwijderen."
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"The product is not loaded.","The product is not loaded."
"Invalid attribute %1","Invalid attribute %1"
"Field ""%1"" was not found in DO ""%2"".","Field ""%1"" was not found in DO ""%2""."
Grid,Rooster
List,Lijst
"Product is not loaded","Produkt is niet geladen"
"Bad controller interface for showing product","Bad controller interface for showing product"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Sorry, but we can't move the category because we can't find the new parent category you selected."
"Sorry, but we can't move the category because we can't find the new category you selected.","Sorry, but we can't move the category because we can't find the new category you selected."
"We can't perform this category move operation because the parent category matches the child category.","We can't perform this category move operation because the parent category matches the child category."
"The value of attribute ""%1"" must be unique.","The value of attribute ""%1"" must be unique."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"No layout updates","Geen lay-out updates"
"Products only","Producten alleen"
"Static block only","Alleen statisch blok"
"Static block and products","Statisch blok en producten"
"Please select a static block.","Please select a static block."
frontend_label,frontend_label
"-- Please Select a Category --","-- Please Select a Category --"
"Grid Only","Grid Only"
"List Only","List Only"
"Grid (default) / List","Grid (default) / List"
"List (default) / Grid","List (default) / Grid"
"Automatic (equalize price ranges)","Automatic (equalize price ranges)"
"Automatic (equalize product counts)","Automatic (equalize product counts)"
Manual,Manual
"-- Please select --","-- Please select --"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Parent Product Thumbnail","Parent Product Thumbnail"
"12h AM/PM","12h AM/PM"
24h,24h
Stretch,Periode
Tile,Tegel
Top/Left,Boven/Links
Top/Right,Top/Rechts
Bottom/Left,Onderaan/Links
Bottom/Right,Onderaan/Rechts
Center,Centrum
"Could not rebuild index for undefined product","Could not rebuild index for undefined product"
"Bad value was supplied.","Bad value was supplied."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"Index product and categories URL Rewrites","Index product and categories URL Rewrites"
"The category must be an instance of \Magento\Catalog\Model\Category.","The category must be an instance of \Magento\Catalog\Model\Category."
"Please correct the category.","Please correct the category."
"The attribute model is not defined.","The attribute model is not defined."
Category,Categorie
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","The filter must be an object. Please set correct filter."
"%1 and above","%1 and above"
"Clear Price","Verwijder Prijs"
"The filters must be an array.","De filters moeten een array zijn."
"We found a duplicate website group price customer group.","We found a duplicate website group price customer group."
"Group price must be a number greater than 0.","Group price must be a number greater than 0."
"The image does not exist.","The image does not exist."
"Please correct the image file type.","Please correct the image file type."
"We couldn't move this file: %1.","We couldn't move this file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","We couldn't copy file %1. Please delete media with non-existing images and try again."
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field."
"The value of attribute ""%1"" must be set","The value of attribute ""%1"" must be set"
"SKU length should be %1 characters maximum.","SKU length should be %1 characters maximum."
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value."
"We found a duplicate website, tier price, customer group and quantity.","We found a duplicate website, tier price, customer group and quantity."
"Use config","Gebruik config"
"In Cart","In Winkelwagen"
"Before Order Confirmation","Voor Bestelling Bevestiging"
"On Gesture","Op Gebaar"
"We can't find the image file.","We can't find the image file."
"Index product attributes for layered navigation building","Index product attributen voor layered navigatie building"
"The option type to get group instance is incorrect.","The option type to get group instance is incorrect."
"Select type options required values rows.","Selecteer optietype verplichte rijwaarden."
"Please specify date required option(s).","Specificeer alstublieft de benodige optie(s) voor de datum."
"Please specify time required option(s).","Specificeer alstublieft de benodigde optie(s) voor de tijd."
"Please specify the product's required option(s).","Gelieve het artikel's benodigde optie(s) te specificeren."
"The option instance type in options group is incorrect.","The option instance type in options group is incorrect."
"The product instance type in options group is incorrect.","The product instance type in options group is incorrect."
"The configuration item option instance in options group is incorrect.","The configuration item option instance in options group is incorrect."
"The configuration item instance in options group is incorrect.","The configuration item instance in options group is incorrect."
"The BuyRequest instance in options group is incorrect.","The BuyRequest instance in options group is incorrect."
"We couldn't add the product to the cart because of an option validation issue.","We couldn't add the product to the cart because of an option validation issue."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"The file '%1' for '%2' has an invalid extension.","The file '%1' for '%2' has an invalid extension."
"Maximum allowed image size for '%1' is %2x%3 px.","Maximum allowed image size for '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","The file '%1' you uploaded is larger than the %2 megabytes allowed by our server."
px.,px.
"The file options format is not valid.","The file options format is not valid."
"Some of the selected item options are not currently available.","Some of the selected item options are not currently available."
"The text is too long.","The text is too long."
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Not Visible Individually","Niet afzonderlijk zichtbaar"
"Catalog, Search","Catalogus, Zoeken"
"Something went wrong removing products from the websites.","Something went wrong removing products from the websites."
"Something went wrong adding products to websites.","Something went wrong adding products to websites."
"Attribute '%1' is locked. ","Attribute '%1' is locked. "
"Do not change the scope. ","Do not change the scope. "
"We found an unknown EAV indexer type ""%1"".","We found an unknown EAV indexer type ""%1""."
"A product type is not defined for the indexer.","Een product type is niet gedefinieerd voor de indexer."
"Something went wrong saving the URL rewite.","Something went wrong saving the URL rewite."
"Multiple Select","Multiple Select"
Dropdown,Dropdown
"Please specify either a category or a product, or both.","Please specify either a category or a product, or both."
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"As low as:","Zo laag als:"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Collapse All","Vouw Alles Op"
"Expand All","Klap Alles Uit"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Manage Titles (Size, Color, etc.)","Beheer Titels (Grootte, Kleur, etc.)"
"Manage Options (values of your attribute)","Beheer Opties (waarden van uw attribuut)"
"Is Default","Is Standaard"
"Add Option","Add Option"
"Sort Option","Sort Option"
Groups,Groepen
"Double click on a group to rename it","Dubbelklik op een groep om van naam te veranderen"
"Unassigned Attributes","Niet Toegewezen Attributen"
"A name is required.","A name is required."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer het opnieuw."
"Please enter a new group name.","Please enter a new group name."
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"We're unable to complete this request.","We're unable to complete this request."
"You cannot remove system attributes from this set.","You cannot remove system attributes from this set."
"Custom Options","Custom Opties"
"This is a required option.","This is a required option."
"Field is not complete","Veld is incompleet"
"Allowed file extensions to upload","Toegestane bestandsextensies om te uploaden"
"Maximum image width","Maximale beeldbreedte"
"Maximum image height","Maximale beeldhoogte"
"Maximum number of characters:","Maximaal aantal karakters"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Beheer Voorraad"
"Minimum Qty for Item's Status to be Out of Stock","Minimum Qty for Item's Status to be Out of Stock"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
Backorders,Backorders
"Notify for Quantity Below","Geef Kwantiteit Beneden aan"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Voorraad beschikbaarheid"
"In Stock","In voorraad"
"Out of Stock","Niet voorradig"
"Add Product To Websites","Voeg Product Toe Aan Websites"
"Remove Product From Websites","Verwijder product van websites"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items waarvan u niet wilt dat ze te zien zijn in de catalogus of zoekresultaten, dienen de status 'Uitgeschakeld' te hebben in de gewenste winkel."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Allowed File Extensions","Toegestane Bestandsextensies"
"Maximum Image Size","Maximum Grootte Afbeelding"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
"Sort Custom Option","Sort Custom Option"
"Max Characters","Max Karakters"
"Customer Group",Klantgroep
"Delete Group Price","Verwijder Groepsprijs"
"Item Price","Item Price"
"and above","en hoger"
"Delete Tier","Verwijder Rij"
"Product In Websites","Product in websites"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items waarvan u niet wilt dat ze te zien zijn in de catalogus of zoekresultaten, dienen de status 'Uitgeschakeld' te hebben in de gewenste winkel."
"(Copy data from: %1)","(Copy data from: %1)"
"Remove Image","Remove Image"
"Alt Text","Alt Text"
Role,Role
"Hide from Product Page","Hide from Product Page"
"Close panel","Close panel"
"Regular Price:","Normale prijs:"
"Special Price:","Speciale prijs:"
"Product Alerts","Product Waarschuwingen"
"Can be Divided into Multiple Boxes for Shipping","Kan Worden Verdeeld over Meerdere Dozen bij Verzending"
"Basic Settings","Basic Settings"
"Advanced Settings","Advanced Settings"
"Select Product Actions","Select Product Actions"
"Price as configured:","Price as configured:"
"Click for price","Klik voor de prijs"
"What's this?","Wat is dit?"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2","Buy %1 for %2"
each,ieder
and,en
save,bewaar
"Actual Price","Werkelijke Prijs"
"Shop By","Shoppen op"
"Shopping Options","Winkel Opties"
"Compare Products","Vergelijk Producten"
"1 item","1 item"
"%1 items","%1 items"
"Print This Page","Deze pagina afdrukken"
"Remove Product","Remove Product"
"Add to Wishlist","Aan verlanglijst toevoegen"
"You have no items to compare.","U heeft geen artikelen om te vergelijken."
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit item van uw vergeleken producten wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten van uw vergelijking wilt verwijderen?"
"Remove This Item","Verwijder Dit Item"
Compare,Vergelijk
"Clear All","Verwijder Alles"
Prev,Vorige
"There are no products matching the selection.","Er zijn geen producten die overeenkomen met de selectie."
"Add to Compare","Voeg toe om te Vergelijken"
"Learn More","Meer Informatie"
"You may also be interested in the following product(s)","U heeft wellicht ook interesse in de volgende product(en):"
"More Choices:","More Choices:"
"New Products","Nieuwe Producten"
"Check items to add to the cart or","Controleer items om aan het winkelwagentje toe te voegen of"
"select all","alle selecteren"
"View as","Bekijk als"
"Sort By","Sorteren op"
"Set Ascending Direction","Stel een Oplopende Directie in"
"Set Descending Direction","Stel een Aflopende Directie in"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Show,Toon
"Additional Information","Aanvullende Informatie"
"More Views","Meer Views"
"Click on image to view it full sized","Click on image to view it full sized"
"Click on image to zoom","Click on image to zoom"
"Email to a Friend","E-mail Vriend"
Details,Details
Template,Sjabloon
"File extension not known or unsupported type.","File extension not known or unsupported type."
"Configure Product","Configure Product"
"Select type of option.","Select type of option."
"Please add rows to option.","Voeg rijen toe aan optie."
"Select Product","Select Product"
"Choose existing category.","Choose existing category."
"Create Category","Create Category"
"unselect all","Onselecteer alles"
"Maximal Depth","Maximal Depth"
"Anchor Custom Text","Anker Custom Tekst"
"Anchor Custom Title","Anker Custom Titel"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
Frontend,Frontend
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
Comma-separated.,Comma-separated.
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Search Engine Optimization"
"Category URL Suffix","Category URL Suffix"
"You need to refresh the cache.","You need to refresh the cache."
"Product URL Suffix","Product URL Suffix"
"Use Categories Path for Product URLs","Use Categories Path for Product URLs"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Category Top Navigation"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Product Image Watermarks","Product Image Watermarks"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
Watermark,Watermark
"Watermark Position","Watermark Position"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Minimum Advertised Price","Minimum Advertised Price"
"Enable MAP","Enable MAP"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the front end."
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Product Flat Data","Product Platte Gegevens"
"Reorganize EAV product structure to flat structure","Organiseer EAV product structuur naar een platte structuur"
"Category Flat Data","Categorie Flat Data"
"Reorganize EAV category structure to flat structure","Reorganiseer EAV categoriestructuur naar platte structuur"
"Indexed category/products association","Geïndexeerde categorie/producten verbinding"
"Product Categories","Product Categorieën"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices","Index product prijzen"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
