"%s %s cycle.","%s %s 周期。"
"Maximum Payment Failures","最多付款失败次数"
"Maximum Trial Billing Cycles","最长试用记账周期"
"Merchant ID","分行ID"
"Minimum Order Total","最小订单总数"
"Month","月"
"N/A","N/A"
"Name on Card","卡片上的名字"
"Name on the Card","持卡人名字"
"New Order Status","新订单状态"
"Number of billing periods that make up one billing cycle.","组成一个账单循环的账单周期数量。"
"Order action is not available.","订购操作不可用。"
"Overrides API URL that may be specified by a payment method.","覆盖可能由支付方式指定的 API URL。"
"Password","密码"
"Payment ID: %s","支付 ID：%s"
"Payment Method","支付方式"
"Payment Methods","支付方式"
"Payment Methods Section","支付方式区域"
"Payment Reference ID","支付参考 ID"
"Payment Services","支付服务"
"Payment from Applicable Countries","从可接受的国家支付"
"Payment from Specific Countries","从指定的国家支付"
"Payment method code is not set.","支付方式代码未设置。"
"Payment method code is undefined.","支付方式代码未定义。"
"Payment profile is invalid:\n%s","支付资料无效：\n%s"
"Period frequency is wrong.","周期频率错误。"
"Please enter a valid credit card verification number.","请输入有效的信用卡验证码。"
"Processor ID","处理器 ID"
"Purchase Order","采购订单"
"Purchase Order Number","采购订单号"
"Purchase Order Number:","采购订单号"
"Purchase Order Number: %s","付款的订单号：%s"
"Recurring Profile Start Date","周期性配置文件开始日期"
"Recurring profile start date has invalid format.","周期性配置文件开始日期格式无效。"
"Reference ID is not set.","参考ID未设置。"
"Refund action is not available.","退款操作不可用。"
"Repeats %s time(s).","重复 %s 次。"
"Repeats until suspended or canceled.","一直重复，直到被挂起或取消。"
"Request Card Security Code","请求卡安全码。"
"Saved CC","保存的CC"
"Schedule Description","计划描述"
"Schedule description must be not empty.","计划描述不能为空"
"Selected payment type is not allowed for billing country.","发卡行所在国不允许使用所选支付类类型。"
"Send Check to","发送支票给"
"Send Check to:","发送支票给："
"Severe 3D Secure Card Validation","提供 3D 安全信用卡验证"
"Severe validation removes chargeback liability on merchant.","严格的验证可避免分行的退款责任。"
"Shipping Amount","运送量"
"Short description of the recurring payment. By default equals to the product name.","周期性付款的简短描述。默认等于产品名。"
"Sort Order","排序顺序"
"Start Date","开始日期"
"Start date has invalid format.","开始日期格式无效。"
"Start date is undefined.","开始日期未定义。"
"Subscriber Name","订阅者姓名"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro卡号"
"Switch/Solo/Maestro Only","仅限 Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro开始日期"
"Tax Amount","税额"
"Test Mode","测试模式"
"The date when billing for the profile begins.","该配置文件记账的开始日期。"
"The number of billing cycles for payment period.","支付周期内记账循环的数量。"
"The number of scheduled payments that can fail before the profile is automatically suspended.","配置文件被自动挂起之前，支付计划的失败数量。"
"The payment review action is unavailable.","支付审查操作不可用。"
"Title","标题"
"Trial Billing Amount","尝试记账帐户。"
"Trial Billing Frequency","尝试记账频率"
"Trial Billing Period Unit","尝试记账周期单位"
"Trial Period","尝试周期"
"Trial billing amount is wrong.","尝试记账额度有误。"
"Trial billing period unit is wrong.","尝试记账周期单位有误。"
"Trial period frequency is wrong.","尝试周期频率有误。"
"Trial period max cycles is wrong.","尝试周期最大周期有误。"
"Two Weeks","两周"
"Unable to save Billing Agreement:","无法保存记账协议："
"Unit for billing during the subscription period.","订阅期限内的记账单位。"
"Unsupported currency code: %s.","不支持的货币代码：%s"
"Void action is not available.","空操作不可用。"
"Week","周"
"What is this?","这是什么？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","如果初始费用失败，或添加到余款余额中，是否挂起支付配置文件。"
"Wrong %s specified.","指定的 %s 有误。"
"Wrong or empty billing amount specified.","指定的记账额度有误或为空。"
"Year","年"
"Zero Subtotal Checkout","无小计结账"
