"%s was added to your shopping cart.","%s se ha añadido a su cesta"
"%s was updated in your shopping cart.","Se actualizó %s en su cesta de la compra."
"* Required Fields","* Campos Requeridos"
"Create Shipping Address","Crear dirección de envío"
"Create an order from shopping cart","Crear un pedido a partir de su cesta de la compra"
"Create shopping cart","Crear cesta de la compra"
"Customer Address is not valid.","La dirección del cliente no es válida."
"Customer Information","Información del cliente"
"Customer's information","Información del cliente"
"Data saving problem","Error al guardar los datos."
"Default Billing","Facturación por defecto"
"Default Shipping","Envío por defecto"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Deshabilitado"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Mostrar el resumen del carro"
"Display Shopping Cart Sidebar","Mostrar el carro en la barra lateral"
"Display item quantities","Mostrar cantidades de artículos"
"Display number of items in cart","Mostrar número de artículos en el carro"
"Display number of items in wishlist","Mostrar número de artículos en la lista de la compra"
"Easy access to your order history and status","Acceso rápido a su historial de pedidos y estado"
"Edit","Editar"
"Edit Address","Cambiar la dirección"
"Edit Billing Address","Editar la dirección de facturación"
"Edit Condition","Editar condición"
"Edit Items","Editar artículos"
"Edit Shipping Address","Editar la dirección de envío"
"Edit Terms and Conditions","Editar claúsulas y condiciones"
"Edit Your Cart","Editar carro"
"Edit item","Editar artículo"
"Edit item parameters","Editar parámetros del artículo"
"Email Address","Dirección de email"
"Enable Onepage Checkout","Habilitar página de pago única"
"Enable Terms and Conditions","Habilitar claúsulas y condiciones"
"Enabled","Habilitado"
"Enter a New Address","Introducir una dirección nueva"
"Enter your coupon code if you have one.","Introducir un código de cupón, si tiene."
"Enter your destination to get a shipping estimate.","Introduzca un destino para obtener una estimación de los gastos de envío."
"Estimate Shipping and Tax","Estimación de los costes de envío y tasas"
"Excl. Tax","Impuestos no incluidos"
"Fast and easy check out","Pago sencillo"
"Fax","Fax"
"Forgot an Item?","¿Olvidó un artículo?"
"Forgot your password?","¿Olvidó su contraseña?"
"Get a Quote","Obtener una cotización"
"Get list of available payment methods","Obtener la lista de métodos de pago disponibles"
"Get list of available shipping methods","Obtener la lista de tipos de envío disponibles"
"Get list of products in shopping cart","Obtenga la lista de productos en el carro de la compra"
"Get terms and conditions","Obtener los términos y condiciones"
"Get total prices for shopping cart","Obtener los precios totales del carro de la compra"
"Gift Message","Mensaje regalo"
"Grand Total:","Total final:"
"Grouped Product Image","Imagen de productos agrupados"
"HTML","HTML"
"ID","Identificación"
"Incl. Tax","Impuestos incluidos"
"Invalid checkout type.","Página no válida."
"Invalid data.","Datos no válidos."
"Invalid email address ""%s""","Dirección de correo electrónico no válida ""%s"""
"Invalid method: %s","Método no válido: %s"
"Invalid shipping method.","Método de compra no válido."
"Item not found or already ordered","No se encontró el artículo, o ya fue pedido"
"Items","Artículos."
"Items After","Artículos Después"
"Items Before","Artículos Antes"
"Load customer quote error","Error en la carga de cotización del cliente"
"Loading next step...","Cargando próximo paso..."
"Login","Entrar"
"Login/Registration Before","Iniciar sesión/Registrarse antes"
"Manage Terms and Conditions","Gestión de términos y condiciones"
"Maximum Display Recently Added Item(s)","Cantidad máxima de artículos agregados recientemente que se muestran"
"Maximum qty allowed for Shipping to multiple addresses is %s","La cantidad máxima permitida para el envío a varias direcciones es de  %s"
"Minimum order amount is %s","El importe mínimo del pedido es %s"
"Move","Mover"
"Move to Wishlist","Trasladar a la Lista de Deseos"
"Multishipping Checkout","Compra con envío a varias direcciones"
"Multishipping Checkout Address (Any) Form","Formulario de dirección (cualquiera) de compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Creation","Creación de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Edit Form","Formulario de edición de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Address Selection","Selección de dirección de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Billing Information Step","Paso de información de facturación para compra con envío a varias direcciones"
"Multishipping Checkout Customer Address Edit Form","Formulario de edición de dirección del cliente para compra con envío a varias direcciones"
"Multishipping Checkout Overview","Descripción general de la compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Creation","Creación de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Edit Form","Formulario de edición de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Address Selection","Selección de dirección de envío para compra con envío a varias direcciones"
"Multishipping Checkout Shipping Information Step","Paso de información de envío para compra con envío a varias direcciones"
"Multishipping Checkout Success","La compra con envío a varias direcciones se realizó correctamente"
"My Cart","Mi carrito"
"My Cart (%s item)","Mi carrito (% artículos)"
"My Cart (%s items)","Mi carrito (% artículos)"
"My Cart Link","Enlace a mi carrito"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","EL TOTAL DEL PEDIDO SE MOSTRARÁ ANTES DE QUE ENVÍE EL PEDIDO"
"One Page Checkout","Cobro de una página"
"One Page Checkout Failure","Error en la compra en una página"
"One Page Checkout Overview","Resumen en un página de la caja"
"One Page Checkout Success","La compra en una página se realizó correctamente"
"One item of products do not have identifier or sku","Un artículo de productos no tiene identificador o número de referencia"
"One item of products is not belong any of quote item","Un artículo de productos no pertenece a ningún artículo citado"
"Order #","Número de pedido"
"Order Review","Comentario del pedido"
"Order Success","El pedido se realizó correctamente"
"Order place error.","Error en el pedido"
"Other Items in Your Order","Otros artículos de su pedido"
"Overview Items After","Resumen de artículos después"
"Password","Contraseña"
"Payment Failed Email Reciever","Correo electrónico del receptor del pago fallido"
"Payment Failed Email Sender","Remitente del mensaje de correo electrónico de error en el pago"
"Payment Failed Emails","Mensajes de correo electrónico de error en el pago"
"Payment Failed Template","Plantilla de error en el pago"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Payment Methods After Checkout Button","Métodos de pago después de presionar el botón de compra"
"Payment Methods Before Checkout Button","Métodos de pago antes del botón de cobro"
"Payment method information","Información de las formas de pago"
"Payment method is not defined","El método de pago no está definido"
"Payment methods in shopping cart","Formas de pago del carro de la compra"
"Payment profile # %s: ""%s"".","Perfil de pago # %s: ""%s""."
"Place Order","Hacer un pedido"
"Please agree to all Terms and Conditions before placing the order.","Debe manifestar su conformidad con todos los términos y condiciones antes de hacer el pedido."
"Please agree to all Terms and Conditions before placing the orders.","Debe manifestar su conformidad con todos los términos y condiciones antes de hacer los pedidos."
"Please agree to all the terms and conditions before placing the order.","Debe manifestar su conformidad con todos los términos y condiciones antes de hacer el pedido."
"Please check billing address information.","Por favor, verifique la dirección de facturación."
"Please check shipping address information.","Por favor, verifique la dirección de envío."
"Please check shipping addresses information.","Por favor, verifique las direcciones de envío"
"Please choose to register or to checkout as a guest","Por favor, seleccione la opción de registrarse o la de tramitar el pedido como invitado"
"Please log in below:","Inicie sesión a continuación:"
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Please select shipping address for applicable items","Seleccione la dirección de envío para los artículos correspondientes"
"Please select shipping methods for all addresses","Seleccione los métodos de envío para todas las direcciones"
"Please select valid payment method.","Por favor, seleccione un método de pago válido."
"Please specify payment method.","Especifique el método de pago."
"Please specify shipping method.","Por favor, especifique el modo de envío."
"Please specify shipping methods for all addresses.","Por favor, especifique los modos de envío en todas las direcciones."
"Price","Precio"
"Proceed to Checkout","Continuar con la compra"
"Product","Producto"
"Product Name","Nombre de Producto"
"Products","Productos"
"Qty","Cant."
"Qty:","Cant.:"
"Quantity was recalculated from %d to %d","La cantidad ha sido recalculada a partir de %d a %d"
"Quote Lifetime (days)","Período de validez de la cotización (días)"
"Quote item does not exist.","El artículo mencionado no existe."
"Quote item is not found.","El artículo mencionado no se ha encontrado"
"Recently added item(s)","Elementos agregados recientemente"
"Register","Registrarse"
"Register and save time!","Regístrese y ahorre tiempo."
"Register to Create an Account","Registrarse para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para que sus futuras transacciones sean más cómodas:"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar Este Artículo"
"Remove coupon code from shopping cart","Quite el código del cupón del carro de la compra"
"Remove item","Eliminar artículo"
"Remove product from shopping cart","Quite el producto del carro de la compra"
"Remove product(s) from shopping cart","Quite el producto(s) del carro de la compra"
"Require Customer To Be Logged In To Checkout","El cliente debe estar conectado para realizar el pedido"
"Retrieve information about shopping cart","Recupere la información de carro de la compra"
"Review Order","Revise su pedido"
"Review Order - %s","Revise su pedido - %s"
"Sales","Ventas"
"Save Condition","Guardar cambio"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Ver precio antes de la confirmación del pedido."
"Select Address","Seleccionar dirección"
"Select Addresses","Seleccionar direcciones"
"Select Shipping Method","Seleccionar método de envío"
"Select State/Province...","Seleccionar estado/provincia..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva."
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío desde su libreta de direcciones o introduzca una nueva dirección."
"Send Payment Failed Email Copy Method","Método de envío de correo electrónico de error en el pago"
"Send Payment Failed Email Copy To","Destinatario de correo electrónico de error en el pago"
"Send To","Enviar a"
"Separate by "","".","Separado por "",""."
"Set customer for shopping cart","Ajuste del cliente para el carro de la compra"
"Set customer's addresses in shopping cart","Indique dirección del cliente en el carrito de la compra"
"Set payment method","Seleccione método de pago"
"Set shipping method","Seleccione método de envío"
"Ship to Multiple Addresses","Enviar a varias direcciones"
"Ship to different address","Enviar a distintas direcciones"
"Ship to this address","Enviar a esta dirección"
"Shipping Address","Dirección de Envío"
"Shipping Information","Dirección de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping To","Envío a"
"Shipping information","Información de envío"
"Shipping method has not been selected yet","Aun no se ha seleccionado un método de envío"
"Shipping methods in shopping cart","Métodos de envío en el carrito de la compra"
"Shipping selection is not applicable.","No se aplica la selección de envío."
"Shopping Cart","Carro de la compra"
"Shopping Cart Form Before","Formulario previo al carrito de compras"
"Shopping Cart Sidebar","Barra lateral del carrito de compras"
"Shopping Cart Sidebar Extra Actions","Opciones extra en la barra lateral del carrito de la compra"
"Shopping Cart is Empty","El carrito de compras está vacío"
"Shopping cart ability to set coupon code","Posibilidad de aplicar código de descuento en el carrito de la compra"
"Show Content as","Mostrar contenido como"
"Some of the requested products are not available in the desired quantity.","Algunos de los productos solicitados no están disponibles en la cantidad deseada."
"Some of the requested products are unavailable.","Alguno de los productos solicitados no está disponible."
"Some products quantities were recalculated because of quantity increment mismatch","Las cantidades de algunos productos se han recalculado debido a desajustes en el incremento de cantidades"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Lo sentimos, la opción de pago como invitado no está habilitada. Por favor, inténtelo de nuevo o contacte con el dueño de la tienda."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Lo sentimos, no puede realizar pedidos como invitado. Vuelva a intentarlo o contacte con el dueño de la tienda."
"Sorry, no quotes are available for this order at this time.","Lamentamos informarle que en este momento no hay cotizaciones disponibles para este pedido."
"State/Province","Estado/Provincia"
"Status","Progreso"
"Store View","Ver Tienda"
"Street Address","Calle"
"Street Address %s","Calle %s"
"Submitting order information...","Enviando información del pedido..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","El subtotal debe superar el importe mínimo del pedido"
"Telephone","Teléfono"
"Terms and Conditions","Términos y condiciones"
"Terms and Conditions Information","Información sobre los términos y condiciones"
"Terms and conditions","Términos y condiciones"
"Text","Texto"
"Thank you for your purchase!","Gracias por su compra."
"The condition has been deleted","Se eliminó la condición"
"The condition has been saved.","Se guardó la condición."
"The onepage checkout is disabled.","El pago por página está deshabilitado."
"The product could not be found.","No se encontró el producto."
"The product does not exist.","El producto no existe."
"There are <a href=""%s"">%s items</a> in your cart.","Hay <a href=""%s"">%s productos</a> en su carrito."
"There is <a href=""%s"">1 item</a> in your cart.","Hay <a href=""%s"">1 producto</a> en su carrito."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Ya hay un cliente registrado con esta dirección de correo electrónico. Por favor, conéctese utilizando esta dirección o introduzca una dirección de correo electrónico diferente para crear su cuenta."
"There was an error processing your order. Please contact us or try again later.","Se produjo un error al procesar su pedido. Póngase en contacto con nosotros o vuelva a intentarlo más tarde."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Total"
"Total for this address","Total para esta dirección"
"Unable to set Payment Method.","No se puede establecer método de pago."
"Unit Price","Precio por unidad"
"Update Cart","Actualizar carrito"
"Update Qty &amp; Addresses","Actualizar cantidad y direcciones"
"Update Shopping Cart","Actualizar carrito de compras"
"Update Total","Actualizar total"
"Update product quantities in shopping cart","Actualizar cantidades del producto en el carrito de la compra"
"Update product(s) quantities in shopping cart","Actualizar cantidades de (los) producto(s) en el carrito de la compra"
"Use Billing Address","Utilizar dirección de facturación"
"VAT Number","Número de IVA"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando su pedido y pronto recibirá un mensaje de correo electrónico con los detalles de éste. Cuando se envíe su pedido, recibirá otro correo electrónico con un enlace para hacer un seguimiento de su progreso."
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá un mensaje de correo electrónico con los detalles de su pedido y un enlace para hacer un seguimiento de su progreso."
"Your Checkout Progress","Progreso de su compra"
"Your billing agreement # is: %s.","Su número de acuerdo de facturación es: %s."
"Your order # is: %s.","Su número de pedido es: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Su pedido no se ha podido completar porque no hay ningún método de pago disponible."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Su pedido no puede completarse en este momento ya que no hay métodos de envío disponibles. Realice los cambios necesarios en su dirección de envío."
"Your order has been received.","Se recibió su pedido."
"Your order number is ","Su número de pedido es"
"Your recurring payment profiles:","Su perfil de pago periódico:"
"Zip/Postal Code","Código Postal"
