" and ","并且"
"BINARY","二进制"
"Back","返回"
"Big Image","大图片"
"Billing Address","账单地址"
"Billing Agreement","记账协议"
"Bundle Items","捆绑项"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","与动态价格的捆绑不能包含自定义的选项。选项将无法保存。"
"CSV / Tab separated","CSV / Tab分隔"
"Cancel URL: ","取消URL："
"Card Verification Number","卡片验证号码"
"Carrier","运营商"
"Catalog","分类"
"Chairs","链"
"Change Orientation","更改方向"
"Changes have been saved to theme.","变动已保存到主题中。"
"Channel","渠道"
"Child Transactions","子交易"
"Choose Store View","选择店铺视图"
"Choose a selection...","选择一个选项..."
"Clear","清空"
"Client Session Timeout (sec.)","客户端会话超时（秒。）"
"Close","关闭"
"Confirmed email:","确认邮件："
"Connect with the Magento Community","连接到Magento社区"
"Contents","内容"
"Continue","继续"
"Country:","国家："
"Created At","创建于"
"Credit Card %s","信用卡 %s"
"Credit Card Number","信用卡号码"
"Credit Card Number: xxxx-%s","信用卡号码：xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型：%s"
"Credit Memo History","信用记录历史"
"Credit Memo Totals","信用记录总数"
"Current Configuration Scope:","当前配置范围："
"Custom","自定义"
"Custom Colors","自定义颜色"
"Customer","客户"
"Customer Group:","顾客组："
"Customer Since:","顾客注册于："
"Customers","客户"
"DHTML Date/Time Selector","DHTML 日期/时间选择器"
"Dashboard","仪表板"
"Data Format","数据格式"
"Data transfer:","数据传输："
"Date selection:","选择日期："
"Date selector","日期选择器"
"Decimal separator:","十进制分隔符："
"Default (Admin) Values","默认（管理）值"
"Default Billing Address","默认账单地址"
"Default Response Charset","默认响应字符集"
"Default Values","默认值"
"Delete","删除"
"Deselect All","全部反选"
"Direction:","指导："
"Display %s first","显示前 %s个"
"Distributed under GNU LGPL. See %s for details.","在GNU LGPL下分发。详情请参考 %s。"
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","不要启用 AVS 或 CSC 选项。使用Payflow链接安静模式时无法使用这些选项。"
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","不要在 账单 和 运送 信息中设置任何字段作为 PayPal 帐户的可编辑内容。"
"Drag to move","拖拽以移动"
"Edit Filter","编辑筛选器"
"Edit Role","编辑角色"
"Edit User '%s'","编辑用户'%s'"
"Email","电子邮件"
"Email Preview","邮件预览"
"Email:","电子邮件："
"Enable Secure Token:","启用安全令牌："
"Enclose Values In:","将值包含于："
"Entity Attributes","编辑属性"
"Entity type:","实体类型："
"Excl. Tax","不含税"
"Expiration Date","过期日期"
"Expiration Date: %s/%s","过期日期：%s/%s"
"Export","导出"
"Export Filters","导出筛选器"
"Export to:","导出到："
"Export:","导出："
"Extension","扩展"
"Extensions","扩展"
"FILTERS APPLIED","过滤器已应用"
"FTP Host[:Port]","FTP主机[:端口]"
"Field Mapping","字段映射"
"File Information","文件信息"
"File mode","文件模式"
"File name:","文件名："
"Files","文件"
"Finished profile execution.","配置文件执行完毕。"
"First Name:","名字："
"For latest version visit: %s","最新版访问：%s"
"From","来自"
"General Information","常规信息"
"General Settings","常规设置"
"Get help for this page","获得有关本页面的帮助"
"Global Record Search","全局记录搜索"
"Go Today","转到今天"
"Go to messages inbox","进入信息收件箱"
"Go to notifications","打开通知"
"Google Base Items","Google Base项目"
"Group:","组："
"Help Us Keep Magento Healthy - Report All Bugs","帮助我们保持Magento的健康 - 汇报所有Bug"
"Home","主页"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","如果您的 Magento 实例被用于多个网站，则必须为每个网站配置独立的 Payflow 链接帐户。"
"Ignore","忽略"
"Images","图像"
"Import","导入"
"Import Service","导入服务"
"Important: ","重要："
"In Database:","在数据库："
"In File:","在文件："
"In Stock","有货"
"Inactive Tabs","非活跃选项卡"
"Incl. Tax","含税"
"Include","包含"
"Interactive","交互"
"Interface Locale: %s","界面区域：%s"
"Invalid webservice adapter specified.","指定的Web服务适配器无效。"
"Invalid webservice handler specified.","指定的Web服务处理程序无效。"
"Invoice History","发票历史"
"Invoice Totals","发票总数"
"Is Closed","已关闭"
"Issue Number","问题编号"
"Issuer: %s","颁发者：%s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS缓存"
"Last 5 Orders","上五个订单"
"Last 5 Search Terms","上五个搜索条件"
"Last Logged In (%s):","上次登录于（%s）："
"Last Logged In:","上次登录："
"Last Name:","姓氏："
"Latest Message:","最新信息："
"Leave empty to use tax identifier","留空即可使用传真标识符"
"Links with associated products will retain only after saving current product.","关联产品的链接只有在保存当前产品后才能维持。"
"Loading Preview...","正在加载预览..."
"Loading...","正在加载..."
"Local Server","本地服务器"
"Local/Remote Server","本地/远程服务器"
"Log In","登录"
"Log Out","注销"
"Logged in as %s","登录为 %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API 部分"
"Magento Logo","Magento徽标"
"Magento ver. %s","Magento ver.%s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; 是Magento Inc.的商标<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","主选项卡"
"Make Inactive","使其不活跃"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","确保该字段编码方式的一致，并使用可支持的编码方式保存（UTF-8或ANSI）。"
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","确保您在自己的 Payflow 链接帐户中针对 Payflow 链接表单配置了设计选项。"
"Manage Stores","管理店铺"
"Max","最大"
"Min","最小"
"More Tabs","更多选项卡"
"N/A","N/A"
"Name","姓名"
"Name on Card","卡片上的名字"
"Name on the Card: %s","卡片上的名字：%s"
"Name:","姓名："
"Next month (hold for menu)","下个月（按下可打开菜单）"
"Next page","下一页"
"Next year (hold for menu)","明年（按下可打开菜单）"
"No","否"
"No Data Found","数据未找到"
"No information available.","无可用信息。"
"No profile loaded...","未加载配置文件..."
"No search keywords.","无搜索关键字。"
"None","无"
"Note:","注意："
"Number of records:","记录数量："
"Old rate:","原本的比例："
"On my website","在我的网站"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","一旦使用您的 Payflow 链接帐户登录，请进入 服务设置 - 托管的支付页面 - 设置 菜单，并设置相关选项。"
"Only mapped fields","只映射字段"
"Options menu items","选项菜单项"
"Order ID","订单 ID"
"Order cannot be placed.","无法下订单。"
"Original Magento attribute names in first row:","原始Magento属性名位于第一行："
"Out of stock","缺货"
"Package","包裹"
"Packages","包裹"
"Page","页面"
"Parent Transaction ID","父交易ID"
"Passive mode","主动模式"
"Password","密码"
"Path","路径"
"Path:","路径："
"Personal Information","个人信息"
"Phone:",""
"Please Select","请选择"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","请确认网站参数。所有未保存数据都将丢失。"
"Please continue with placing order.","请继续下订单。"
"Please enter 6 or more characters.","请输入 6 个或更多个字符。"
"Please enter a number greater than 0 in this field.","请在该字段中输入大于0的数字。"
"Please enter a valid $ amount. For example $100.00.","请输入有效的金额，例如$100.00。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入有效的URL，例如http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","请输入有效URL，需要包含 http://"
"Please enter a valid credit card number.","请输入有效的信用卡卡号。"
"Please enter a valid date.","请输入有效日期"
"Please enter a valid email address. For example johndoe@domain.com.","请输入有效邮件地址。例如johndoe@domain.com。"
"Please enter a valid number in this field.","请在此区域输入有效的数字。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入有效的电话号码。例如 (123) 456-7890 或 123-456-7890。"
"Please enter a valid social security number. For example 123-45-6789.","请输入有效社会安全号码，例如123-45-6789。"
"Please enter a valid value from list","请从列表中输入有效的数值"
"Please enter a valid value, ex: 10,20,30","请输入有效值，例如10、20、30"
"Please enter a valid zip code.","请输入有效的邮政编码。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入有效邮编，例如90602或90602-1234。"
"Please enter another credit card number to complete your purchase.","请输入其他信用卡号码以完成您的购买。"
"Please enter valid password.","请输入有效密码。"
"Please make sure that your changes were saved before running the profile.","请确保在运行个人资料前，您的更改已保存。"
"Please make sure your passwords match.","请确保密码匹配。"
"Please select State/Province.","请选择州/省。"
"Please select an option.","请选择一个选项。"
"Please select one of the above options.","请选择上列选项中的一个。"
"Please select one of the options.","请选择下列一个选项。"
"Please use in this field only ""a-z,0-9,_"".","请在该字段中只使用 ""a-z,0-9,_""。"
"Please use letters only (a-z) in this field.","请在此区域仅使用字母 (a-z)。"
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","请在该字段中只使用数字。请不要使用空格或其它字符，例如句点或逗号。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请在该字段中只使用字母（a-z）或数字（0-9）。不能使用空格或其它字符。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请在此区域仅使用字母 (a-z) 或数字 (0-9) 或空格以及 #。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用这样的日期格式：dd/mm/yyyy。例如17/03/2006代表2006年3月17日。"
"Please wait while the indexes are being refreshed.","索引正在刷新，请等待。"
"Please wait, loading...","请稍候，正在加载..."
"Preset Theme","预设主题"
"Prev. month (hold for menu)","上个月（按下菜单）"
"Prev. year (hold for menu)","去年（按下可打开菜单）"
"Preview","预览"
"Previous page","上一页"
"Price:","价格："
"Product Name3 ","产品名 3"
"Product Name3 1","产品名 3 1"
"Product Name3 2","产品名 3 2"
"Products","产品"
"Profile Information","配置文件信息"
"Qty:","数量："
"Read details","阅读详情"
"Reference ID","参考ID"
"Regular Price:","常规价格："
"Remote FTP","远程FTP"
"Remove","删除"
"Required settings","必须的设置"
"Reset theme to default","将主题重设为默认"
"Resource Access","资源访问"
"Resources","资源"
"Return URL: ","返回URL："
"Role Users","角色用户"
"Roles","角色"
"Roles Resources","角色资源"
"SKU:","SKU："
"SORT BY:","排序方式："
"Save Theme","保存主题"
"Screens:","屏幕："
"Select All","全选"
"Select Date","选择日期"
"Select Range","选择范围"
"Select Visible","选择可见性"
"Select date","选择日期"
"Shipment Comments","运单评论"
"Shipment History","运送历史"
"Shipping Address","送货地址"
"Shipping address selection is not applicable","所选送货地址不可用"
"Shipping method selection is not applicable","所选送货方法不可用"
"Show By","显示条件"
"Show Report For","显示报告"
"Show confirmation page: ","显示配置页面："
"Silent Post URL:","安静发布 URL："
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","该订单中的某些项目具有不同的发票和送货类型。您只能在创建发票后创建运单。"
"Sort Order","排序顺序"
"Special Price:","特殊价格："
"Spreadsheet Name:","表格名称："
"Start Date","开始日期"
"Start/Reset Validation...","开始/重设验证..."
"Starting profile execution, please wait...","开始执行配置文件，请稍候..."
"State/Province:","州/省："
"Status","状态"
"Status:","状态："
"Stock Quantity:","存货数量："
"Store:","店铺："
"Switch/Solo card issue number: %s","Switch/Solo卡发卡号：%s"
"Switch/Solo card start Date: %s/%s","切换/专用卡开始日期：%s/%s"
"Switch/Solo/Maestro Only","仅限 Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","仅限Switch/Solo/Maestro（UK Domestic）"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic)卡发卡号：%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) 卡发卡日期：%s/%s"
"Synchronization is required.","需要进行同步。"
"System busy","系统忙碌"
"T-Shirts","T恤"
"Target","目标"
"Tell a Friend","告诉朋友"
"The card has failed verification with the issuer bank.","卡片与发卡行的验证失败。"
"The information in this tab has been changed.","该选项卡中的信息已变更。"
"Theme configurations are successfully reset.","这些配置已成功重设。"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","提交的支付信息错误，或时间限制已到。请重试。"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是一个演示商店。任何在此商店下的订单将无法被兑现或履行。"
"This is a required field.","这是必填区域。"
"This tab contains invalid data. Please solve the problem before saving.","该选项卡包含无效数据。请在保存前解决问题。"
"Thumbnail","缩略图"
"Time selection:","时间选择："
"Time:","时间："
"Title bar","标题栏"
"To","发送至"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","要取消挂起的授权，并释放支付过程中已经被处理的授权，请点击取消。"
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","要使用 Payflow 链接，您必须在 Paypal 网站配置您的 Payflow 链接帐户。"
"Top 5 Search Terms","前五位搜索条件"
"Total %d records found","共找到 %s条记录"
"Track Order","追踪订单"
"Track this shipment","追踪该运单"
"Transaction Data","交易数据"
"Transaction Details","交易详情"
"Transaction ID","交易ID"
"Transaction Type","交易类型"
"Type","类型"
"Type:","类型："
"Unable to login.","无法登录。"
"Unknown Error","未知错误"
"Unknown Error.","未知错误。"
"Unselect All","全部反选"
"Unselect Visible","反选可见性"
"Updated At","更新于"
"User Name","用户名"
"User Roles","用户角色"
"Validation Results","验证结果"
"View","查看"
"Warning! Empty value can cause problems with CSV format.","警告！空值将导致CSV格式出问题。"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","警告！\r\n该操作会将用户从已分配的角色中删除\r\n是否继续？"
"Warning: Please do not close the window during importing/exporting data","警告：请不要在导入/导出数据过程中关闭该窗口"
"We detected that your JavaScript seem to be disabled.","我们检测到您似乎禁用了JaveScript。"
"Yes","是"
"You have %s unread message(s).","您有 %s 封未读邮件。"
"critical","重要"
"images/logo.gif","mages/logo.gif"
"items selected","以选项"
"notice","注意"
"to","至"
"Update Preview","更新预览"
"Use Default Value","使用默认值"
"Use Silent Post:","使用安静发布："
"User","用户"
"User name","用户名"
"Users","用户"
"Value Delimiter:","值界定符："
"Verification Failed","验证失败"
"Verification Successful","验证成功"
"Verification cannot be processed","验证工作无法处理"
"View Details","查看详情"
"View Gallery","查看画廊"
"View Statistics For","查看状态"
"Visibility:","可见性："
"WS-I Compliance","WS-I 兼容"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","警告！\r\n该操作将从已分配的角色中将这些用户删除\r\n您是否真要这样做？"
"Web Services","Web服务"
"What is this?","这是什么？"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","您必须在浏览器中启用JavaScript才能使用本网站的功能。"
"Your account has been deactivated.","您的帐户已被撤销。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","您的服务器PHP设置使您可以同时上传不超过 %s 文件。如果想上传大文件，请修改php.ini文件中的 post_max_size （当前为 %s）与 upload_max_filesize （当前为 %s）值。"
"Zip/Postal Code:","邮编："
"major","主要"
"minor","次要"
"of %s pages","共 %s 页"
"per page","每页"
