sku,linked_sku
"WS08","24-UG06
24-WG087
24-WG085
24-WG082-pink"
"WS09","24-WG085_Group
24-UG04
24-WG081-gray
24-WG082-pink"
"WS10","24-WG081-gray
24-WG085_Group
24-WG088
24-UG03"
"WS11","24-WG088
24-UG02
24-UG06
24-WG082-pink"
"WS12","24-WG087
24-UG06
24-UG07
24-WG084"
"WB01","24-UG01
24-WG081-gray
24-UG07
24-WG087"
"WB02","24-WG087
24-UG07
24-UG06
24-WG085"
"WB03","24-WG085
24-WG087
24-WG082-pink
24-UG02"
"WB04","24-UG03
24-UG04
24-UG05
24-UG06"
"WB05","24-WG085
24-WG088
24-WG083-blue
24-UG05"
"WT01","24-UG06
24-WG081-gray
24-UG07
24-WG082-pink"
"WT02","24-WG088
24-WG085
24-UG01
24-WG080"
"WT03","24-UG02
24-WG083-blue
24-WG088
24-WG084"
"WT04","24-UG06
24-WG084
24-WG083-blue
24-UG04"
"WT05","24-WG085_Group
24-WG085
24-UG07
24-UG03"
"WT06","24-UG05
24-UG01
24-UG06
24-WG083-blue"
"WT07","24-WG085_Group
24-UG01
24-UG03
24-UG06"
"WT08","24-UG02
24-WG087
24-UG07
24-UG06"
"WT09","24-UG04
24-WG084
24-WG083-blue
24-UG07"
"WP01","24-UG04
24-WG084
24-UG01
24-WG082-pink"
"WP02","24-WG087
24-UG06
24-WG086
24-WG088"
"WP03","24-UG07
24-UG02
24-UG03
24-UG06"
"WP04","24-UG04
24-WG085
24-WG084
24-UG07"
"WP05","24-UG01
24-WG083-blue
24-UG06
24-WG082-pink"
"WP06","24-UG03
24-UG02
24-WG081-gray
24-WG084"
"WP07","24-UG06
24-UG01
24-WG082-pink
24-WG084"
"WP08","24-UG06
24-UG05
24-WG084
24-WG088"
"WP09","24-WG081-gray
24-UG04
24-WG084
24-UG07"
"WP10","24-UG06
24-UG01
24-WG087
24-WG085"
"WP11","24-UG05
24-WG084
24-UG04
24-UG03"
"WP12","24-WG080
24-UG06
24-UG02
24-WG083-blue"
"WP13","24-UG07
24-WG083-blue
24-UG03
24-UG06"
"WSH01","24-UG03
24-UG01
24-UG02
24-WG085"
"WSH02","24-UG01
24-WG081-gray
24-WG086
24-WG082-pink"
"WSH03","24-WG086
24-WG088
24-WG083-blue
24-UG04"
"WSH04","24-WG085
24-WG080
24-UG05
24-WG088"
"WSH05","24-WG083-blue
24-UG05
24-UG06
24-UG07"
"WSH06","24-WG081-gray
24-UG03
24-UG04
24-WG080"
"WSH07","24-UG05
24-UG06
24-UG03
24-WG087"
"WSH08","24-WG080
24-UG05
24-WG087
24-WG083-blue"
"WSH09","24-WG087
24-UG01
24-WG085_Group
24-WG086"
"WSH10","24-UG06
24-UG07
24-UG04
24-UG01"
"WSH11","24-WG083-blue
24-UG01
24-UG04
24-UG06"
"WSH12","24-WG085
24-UG05
24-WG084
24-WG083-blue"
"MH01","24-WG081-gray
24-WG085_Group
24-WG080
24-UG06"
"MH02","24-WG080
24-WG085_Group
24-WG083-blue
24-WG084"
"MH03","24-WG085
24-WG087
24-WG086
24-UG06"
"MH04","24-WG081-gray
24-UG01
24-UG04
24-WG086"
"MH05","24-UG02
24-WG080
24-WG083-blue
24-WG086"
"MH06","24-WG083-blue
24-UG04
24-WG085
24-UG06"
"MH07","24-UG06
24-UG07
24-WG088
24-WG080"
"MH08","24-WG081-gray
24-UG07
24-UG06
24-UG03"
"MH09","24-WG084
24-WG087
24-WG082-pink
24-UG02"
"MH10","24-WG088
24-UG01
24-WG082-pink
24-WG086"
"MH11","24-UG06
24-WG085_Group
24-UG03
24-UG05"
"MH12","24-UG06
24-WG082-pink
24-WG083-blue
24-WG087"
"MH13","24-UG03
24-UG02
24-WG086
24-WG081-gray"
"MJ01","24-WG082-pink
24-WG086
24-UG07
24-UG04"
"MJ02","24-WG082-pink
24-WG088
24-UG01
24-WG081-gray"
"MJ03","24-WG083-blue
24-UG02
24-UG06
24-WG085"
"MJ04","24-WG084
24-WG085_Group
24-UG01
24-WG085"
"MJ06","24-WG084
24-WG085_Group
24-WG085
24-WG086"
"MJ07","24-WG080
24-WG086
24-WG084
24-WG087"
"MJ08","24-WG085
24-WG083-blue
24-UG06
24-WG085_Group"
"MJ09","24-UG06
24-UG07
24-WG081-gray
24-WG086"
"MJ10","24-WG084
24-UG02
24-WG086
24-UG07"
"MJ11","24-UG06
24-UG01
24-WG088
24-UG03"
"MJ12","24-WG085
24-WG081-gray
24-WG083-blue
24-UG07"
"MS01","24-UG06
24-WG086
24-UG05
24-UG07"
"MS02","24-UG03
24-WG081-gray
24-UG07
24-UG06"
"MS03","24-WG087
24-UG06
24-WG085_Group
24-UG02"
"MS04","24-UG06
24-UG03
24-WG082-pink
24-WG083-blue"
"MS05","24-WG082-pink
24-UG06
24-UG03
24-UG04"
"MS06","24-UG05
24-WG087
24-UG01
24-UG02"
"MS07","24-UG05
24-WG083-blue
24-WG085
24-UG01"
"MS08","24-UG01
24-WG083-blue
24-WG085_Group
24-WG082-pink"
"MS09","24-WG084
24-UG01
24-WG087
24-WG085_Group"
"MS10","24-UG01
24-WG088
24-WG086
24-WG085_Group"
"MS11","24-UG06
24-UG03
24-WG083-blue
24-WG081-gray"
"MS12","24-UG07
24-WG083-blue
24-WG088
24-WG082-pink"
"MT01","24-WG081-gray
24-WG085_Group
24-UG01
24-WG088"
"MT02","24-UG06
24-WG088
24-WG087
24-UG04"
"MT03","24-UG07
24-WG083-blue
24-UG06
24-UG01"
"MT04","24-UG07
24-WG083-blue
24-WG085
24-UG05"
"MT05","24-WG081-gray
24-WG080
24-WG087
24-UG03"
"MT06","24-WG080
24-UG07
24-WG083-blue
24-UG06"
"MT07","24-WG085_Group
24-WG088
24-WG086
24-WG082-pink"
"MT08","24-UG07
24-WG088
24-WG085
24-WG083-blue"
"MT09","24-UG06
24-UG05
24-UG03
24-UG04"
"MT10","24-UG04
24-UG07
24-WG087
24-UG03"
"MT11","24-WG081-gray
24-WG083-blue
24-WG084
24-UG03"
"MT12","24-WG085_Group
24-WG088
24-UG06
24-UG04"
"MP01","24-UG02
24-UG07
24-WG087
24-WG088"
"MP02","24-UG04
24-WG085_Group
24-UG03
24-UG02"
"MP03","24-UG06
24-WG081-gray
24-WG085
24-WG088"
"MP04","24-UG03
24-WG083-blue
24-WG085
24-UG05"
"MP05","24-UG06
24-WG087
24-WG086
24-WG082-pink"
"MP06","24-WG088
24-WG084
24-UG06
24-UG04"
"MP07","24-WG081-gray
24-WG086
24-WG080
24-UG03"
"MP08","24-UG07
24-WG081-gray
24-UG06
24-WG087"
"MP09","24-WG082-pink
24-UG02
24-WG081-gray
24-UG05"
"MP10","24-UG06
24-WG080
24-WG081-gray
24-WG085"
"MP11","24-UG01
24-WG085
24-UG04
24-UG06"
"MP12","24-WG084
24-UG06
24-UG05
24-WG080"
"MSH01","24-WG080
24-UG03
24-UG04
24-WG088"
"MSH02","24-UG04
24-WG086
24-UG02
24-WG084"
"MSH03","24-UG05
24-UG02
24-WG083-blue
24-UG06"
"MSH04","24-WG080
24-UG06
24-UG05
24-UG01"
"MSH05","24-WG088
24-UG01
24-UG06
24-WG082-pink"
"MSH06","24-UG02
24-WG083-blue
24-UG03
24-UG05"
"MSH07","24-UG03
24-UG06
24-UG01
24-WG085"
"MSH08","24-UG06
24-UG03
24-UG07
24-WG088"
"MSH09","24-WG082-pink
24-UG02
24-UG05
24-WG088"
"MSH10","24-UG06
24-UG04
24-WG085_Group
24-UG07"
"MSH11","24-UG05
24-UG06
24-WG087
24-WG083-blue"
"MSH12","24-UG01
24-WG080
24-UG04
24-UG06"
