" or ","o bien"
"Are you sure that you want to remove this item?","¿Está seguro de que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Está seguro de que desea cancelar el proceso de agregado de esta dirección?"
"Are you sure you want to delete this address?","¿Estás seguro de querer borrar esta dirección?"
"Are you sure?","¿Está seguro?"
"Array of Entity collections is expected.","Se espera una disposición de colecciones de entidad."
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Volver"
"Back - link to the previously viewed page","Atrás: enlace a la página vista anteriormente"
"Back to Login","Volver a Conexión"
"Bad request.","Solicitud incorrecta."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","En base al ID del IVA, el cliente pertenece al Grupo de clientes %s."
"Bill to Name","Nombre de la factura"
"Bought From","Comprado a"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda podrás moverte más rápidamente por el proceso de pago, guardar múltiples direcciones de envío, ver y seguir el rastro de los pedidos de tu cuenta y más."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save a new password.","No se ha podido grabar una nueva contraseña."
"Cannot save address.","No se puede guardar la dirección."
"Cannot save the customer.","No se puede guardar el cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","No se pueden compartir las cuentas de cliente de forma global porque existen algunas cuentas de cliente con la misma dirección de correo electrónico en varios sitios web, y no se pueden combinar."
"Change Account Password","Cambiar contraseña de cuenta"
"Change Billing Address","Cambiar la Dirección de Facturación"
"Change Password","Cambiar Contraseña"
"Change Shipping Address","Cambiar la Dirección de Envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Configure","Configurar"
"Confirm New Password","Confirmar la Nueva Contraseña"
"Confirm Password","Confirma Contraseña"
"Confirmation Link Email","Enlace de confirmación de Email"
"Confirmed","Confirmado"
"Contact Information","Información de Contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear."
"Create New Account Options","Crear nuevas opciones de cuenta"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create Order","Crear pedido"
"Create an Account","Crear una Cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección de cliente"
"Current Password","Contraseña Actual"
"Customer","Cliente"
"Customer API","API del cliente"
"Customer Account Edit Form","Formulario de Edición de Cuenta del Cliente"
"Customer Account Login Form","Formulario de Conexión de Cuenta del Cliente"
"Customer Account Logout Success","Desconexión correcta de la Cuenta del Cliente"
"Customer Account Registration Form","Formulario de Registro de Cuenta del Cliente"
"Customer Addresses","Dirección de cliente"
"Customer Configuration","Configuración de cliente"
"Customer Forgot Password Form","Formulario de Contraseña Olvidada del Cliente"
"Customer Group","Grupo de Clientes"
"Customer Groups","Grupos de Cliente"
"Customer Information","Información de cliente"
"Customer Login","Identificador de cliente"
"Customer My Account (All Pages)","Mi Cuenta de Cliente (Todas las Páginas)"
"Customer My Account Address Book","Libreta de Dirección de Mi Cuenta de Cliente"
"Customer My Account Address Edit Form","Formulario de Edición de Direcciones de Mi Cuenta de Cliente"
"Customer My Account Dashboard","Panel de Control de Mi Cuenta de Cliente"
"Customer Since","Cliente desde"
"Customer View","Vista de cliente"
"Customer collection expected.","Se espera colección de clientes"
"Customer email is required","Se requiere email del cliente"
"Customer website ID must be specified when using the website scope","Debe especificarse la identificación de página web del cliente cuando se usa el campo de la página web"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección de clientes."
"DD","DD"
"Date","Fecha"
"Date Added","Añadido el día"
"Date of Birth","Fecha de Nacimiento"
"Day","Día"
"Days in Wishlist","Días en la lista de deseos"
"Default Addresses","Dirección por Defecto"
"Default Billing Address","Dirección de Facturación por Defecto"
"Default Email Domain","Email predeterminado del dominio"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de Envío por Defecto"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor por defecto para deshabilitar los cambios automáticos de grupo en base al ID del IVA"
"Default Welcome Email","Email de bienvenida predeterminado"
"Delete","Eliminar"
"Delete Address","Borrar Dirección"
"Delete Customer","Borrar cliente"
"Delete Customer Group","Borrar grupo de cliente"
"Delete customer","Eliminar cliente"
"Delete customer address","Borrar dirección de cliente"
"Deleted Stores","Tiendas borradas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar información de cuenta"
"Edit Account Information","Cambiar la información de la cuenta"
"Edit Address","Cambiar la dirección"
"Edit Address Entry","Cambiar el registro de la dirección"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
"Edit Customer Groups","Editar grupos de clientes"
"Edit Customer's Address","Editar dirección del cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Cambiar los boletines"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Email Sender","Remitente del email"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Habilitar asignación automática al grupo de clientes"
"Entity collection is expected.","Se espera entidad de recogida."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falló al confirmar la cuenta de cliente."
"Fax","Fax"
"First Name","Nombre"
"Forgot Email Template","Plantilla de Email olvidada"
"Forgot Password","Olvidé la contraseña"
"Forgot Your Password","Olvidaste Tu Contraseña"
"Forgot Your Password?","¿Ha olvidado la contraseña?"
"Forgot and Remind Email Sender","Emisor de dirección de correo olvidada y recordatorio"
"Form Fields Before","Campos de Formulario Antes de"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control de mi cuenta» puede ver una instantánea de la actividad reciente en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información."
"Gender","Género"
"Gender is required.","Se requiere el género."
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","Global"
"Grand Total","Suma total"
"Group","Grupo"
"Group Information","Información de grupo"
"Group Name","Nombre de grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Guest","Invitado"
"HTML","HTML"
"Hello, %s!","Hola, %s:"
"ID","Identificación"
"IP Address","Dirección IP"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %s recibirás un correo electrónico con un enlace para reiniciar tu contraseña."
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation","Si es un cliente registrado de IVA, por favor pulse <a href=""%s"">aquí</a> para introducir su dirección de facturación para un cálculo correcto del IVA"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Si es un cliente registrado de IVA, por favor pulse <a href=""%s"">aquí</a> para introducir su dirección de envío para un cálculo correcto del IVA"
"If you believe this is an error, please contact us at %s","Si cree que es un error, por favor, contacte con nosotros en %s"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor ingrese."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo no válida para el atributo %s (%s). Se omitirá el registro."
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos no válido. Se omitirá el registro."
"Invalid billing address for (%s)","Dirección de facturación no válida para (%s)"
"Invalid current password","Contraseña actual inválida"
"Invalid customer data","datos de cliente inválidos"
"Invalid email address ""%s"".","Dirección de mail ""%s"" no válida."
"Invalid email address.","dirección de email inválida"
"Invalid login or password.","usuario o contraseña inválidos."
"Invalid password reset token.","La contraseña no es correcta, reinicia el token."
"Invalid shipping address for (%s)","Dirección de envío no válida para (%s)"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Invalid website, skipping the record, line: %s","Página web no válida, saltando el registro, línea: %s"
"Last Activity","Ultima actividad"
"Last Date Subscribed","Ultima fecha suscrita"
"Last Date Unsubscribed","Ultima fecha no suscrita"
"Last Name","Apellido"
"Last URL","Ultima URL"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Dejar en blanco por defecto (2). Rango válido: 1-4"
"Lifetime Sales","Ventas de por vida"
"Log In","Inicio de sesión"
"Log Out","Fin de sesión"
"Login","Entrar"
"Login Information","Información de registro"
"Login Options","Opciones de ingreso"
"Login and password are required.","Se requiere identificador y contraseña."
"Login or Create an Account","Entre o cree una cuenta"
"MM","MM"
"Manage Addresses","Gestionar las direcciones"
"Manage Customers","Gestionar Clientes"
"Maximum length must be less then %s symbols","La longitud máxima debe ser menor de %s símbolos."
"Missing email, skipping the record, line: %s","Falta la dirección de correo, saltando el registro, línea: %s"
"Missing email, skipping the record.","Falta email, saltando el registro."
"Missing first name, skipping the record, line: %s","Falta el nombre, saltando el registro, línea: %s"
"Missing firstname, skipping the record.","Falta el nombre, saltando el registro."
"Missing last name, skipping the record, line: %s","Falta el apellido, saltando el registro, línea: %s"
"Missing lastname, skipping the record.","Falta apellido, saltando el registro."
"Missing website, skipping the record, line: %s","Falta la página web, saltando el registro, línea: %s"
"Month","Mes"
"My Account","Mi cuenta"
"My Account Wrapper","El Wrapper de mi Cuenta"
"My Dashboard","Mi panel de control"
"My Orders","Mis pedidos"
"Name","Nombre"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address","Nueva Dirección"
"New Address Entry","Nueva Anotación de Dirección"
"New Customer","Nuevo cliente"
"New Customer Address","Nueva dirección de cliente"
"New Customer Group","Nuevo grupo de cliente"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos Clientes"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"New account","Nueva cuenta"
"New account confirmation key","Nueva clave de confirmación de cuenta"
"New account confirmed","Nueva cuenta confirmada"
"New password field cannot be empty.","El campo de nueva contraseña no puede estar en blanco."
"Newsletter","Boletín informativo"
"Newsletter Finish","Fin del boletín informativo"
"Newsletter Information","Información del boletín informativo"
"Newsletter Received","Boletín informativo recibido"
"Newsletter Start","Inicio del boletín informativo"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Newsletters","Boletín de Noticias"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines informativos"
"No customer collections found","No se encontraron recopilaciones de clientes"
"No item specified.","No es especificaron artículos."
"Not Sent","No enviado"
"Not confirmed, can login","Sin confirmar. Puede iniciar sesión"
"Not confirmed, cannot login","Sin confirmar. No puede iniciar sesión"
"Number of Lines in a Street Address ","Cantidad de líneas de la dirección"
"Offline","Sin conexión"
"Online","Conectado"
"Online Customers","Clientes conectados"
"Online Customers Options","Opciones de los clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Número de pedido"
"Order Total","Total del pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Administración de contraseñas"
"Password Options","Opciones de contraseña"
"Password forgotten","Olvido de contraseña"
"Password:","Contraseña:"
"Paused","En pausa"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información Personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca un 1 o un número superior en este campo."
"Please enter a valid date between %s and %s at %s.","Por favor, introduzca una fecha válida entre %s y %s en %s."
"Please enter a valid date equal to or greater than %s at %s.","Por favor, introduzca una fecha válida igual o mayor que %s en %s."
"Please enter a valid date less than or equal to %s at %s.","Por favor, introduzca una fecha válida menor o igual que %s en %s."
"Please enter the city.","Por favor, introduce la ciudad."
"Please enter the country.","Por favor, introduce el país."
"Please enter the first name.","Por favor, introduce el nombre."
"Please enter the last name.","Por favor, introduce el apellido."
"Please enter the state/province.","Por favor, introduce el estado/provincia."
"Please enter the street.","Por favor, introduce la calle."
"Please enter the telephone number.","Por favor, introduce el número de teléfono."
"Please enter the zip/postal code.","Por favor, introduce el código postal."
"Please enter your email address below. You will receive a link to reset your password.","Escriba su correo electrónico más abajo. Recibirá un enlace para restablecer su contraseña."
"Please enter your email below and we\'ll send you confirmation link for it.","Introduzca su dirección de correo electrónico a continuación y le enviaremos un enlace de confirmación."
"Please enter your email.","Introduzca su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrate de que las contraseñas coinciden."
"Please select","Seleccione"
"Please select a website which contains store view","Por favor, seleccione una página web que contenga la vista de tienda"
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Please, check your email for confirmation key.","Revise su correo electrónico y busque la clave de confirmación."
"Prefix Dropdown Options","Opciones de la lista desplegable de prefijos"
"Price","Precio"
"Product","Producto"
"Product ID","ID de Producto"
"Product Name","Nombre del producto"
"Product Reviews","Opiniones de Producto"
"Product Tags","Etiqueta de Producto"
"Purchase On","Adquirido el"
"Purchased At","Adquirido en"
"Qty","Cantidad"
"Recent Orders","Pedidos recientes"
"Records for %s store found.","Se encontraron registros para la tienda %s."
"Recovery Link Expiration Period (days)","Periodo de caducidad del enlace de recuperación (días)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado"
"Registered Customers","Clientes Registrados"
"Remind Email Template","Plantilla de recordatorio de correo electrónico"
"Remind Password","Recordar contraseña"
"Remove","Eliminar"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Reset a Password","Restablecer contraseña"
"Retrieve address data","Recuperar datos de la dirección"
"Retrieve address info","Recuperar información de la dirección"
"Retrieve customer addresses","Recuperar direcciones de los clientes"
"Retrieve customer data","Recuperar datos de los clientes"
"Retrieve customer groups","Recuperar grupos de clientes"
"Retrieve customer info","Recuperar información de los clientes"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recupere aquí su enlace de confirmación"
"Retrieve your password here","Recupere aquí su contraseña"
"SKU","SKU"
"Sales Statistics","Estadísticas de ventas"
"Save","Guardar"
"Save Address","Guardar Dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save Password","Guardar Contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","Registro(s) %d Guardado(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto y coma (;).<br/>Coloque un punto y coma al comienzo para dejar la primera opción vacía.<br/>Deje el primer lugar vacío para crear un campo de texto abierto."
"Send From","Enviar Desde"
"Send Welcome Email","Enviar mensaje de correo electrónico de bienvenida"
"Send Welcome Email after Confirmation","Enviar mensaje de correo electrónico de bienvenida después de la confirmación"
"Send auto-generated password","Enviar contraseña generada automáticame"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviada"
"Session Start Time","Hora de inicio de sesión"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to First Name","Nombre del destinatario"
"Shipped to Last Name","Apellido del destinatario"
"Shipped to Name","Nombre del destinatario"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart - %d item(s)","Carrito de compras: %d artículos"
"Shopping Cart of %1$s - %2$d item(s)","Carro de la compra de %1$s - %2$d artículo(s)"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Sign Up for Newsletter","Darse de Alta para Boletín de Noticias"
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"Skipping import row, website ""%s"" field does not exist.","Omitida la importación de la fila, el campo ""%s"" de la página web no existe"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Ver Tienda"
"Street Address","Dirección de Calle"
"Street Address %s","%s de Calle"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Subscribed to Newsletter?","¿Está suscrito al boletín informativo?"
"Suffix Dropdown Options","Opciones de la lista desplegable Sufijos"
"Tag Name","Nombre de la etiqueta"
"Tax Calculation Based On","Cálculo de impuestos en base a"
"Tax Class","Clase impositiva"
"Tax/VAT number","Número de IVA/impuestos"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto (una línea)"
"Thank you for registering with %s.","Gracias por registrarse en %s."
"The Date of Birth is required.","Se requiere la fecha de nacimiento."
"The TAX/VAT number is required.","Se requiere el número de IVA."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","El ID de IVA introducido (%s) no es un ID de IVA válido. El cliente podría pertenecer al grupo de clientes %s."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA no es válido. Se utilizará el Grupo de cliente actual."
"The account information has been saved.","Se guardó la información de la cuenta."
"The address does not belong to this customer.","La dirección no pertenece a este cliente."
"The address has been deleted.","Se eliminó la dirección."
"The address has been saved.","Se guardó la dirección."
"The customer ID and email did not match, skipping the record, line: %s","El ID de cliente y el correo electrónico no coinciden, saltando el registro, línea: %s"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The customer email (%s) already exists, skipping the record, line: %s","La dirección de correo (%s) del cliente ya existe, saltando el registro, línea: %s"
"The customer group has been deleted.","Se eliminó el grupo de clientes."
"The customer group has been saved.","Se guardó el grupo de clientes."
"The customer is currently assigned to Customer Group %s.","El cliente está asignado actualmente al grupo de cliente %s."
"The first name cannot be empty.","El nombre no puede estar vacío."
"The group ""%s"" cannot be deleted","El grupo ""%s"" no se puede eliminar"
"The last name cannot be empty.","El apellido no puede estar vacío."
"The minimum password length is %s","La longitud mínima de la contraseña es de %s"
"The password cannot be empty.","La contraseña no puede estar vacía."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Se ignorarán los espacios antes o después."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"There are no items in customer's wishlist at the moment","En este momento no hay artículos en la lista de deseos del cliente."
"There are no items in customer\'s shopping cart at the moment","En este momento no hay artículos en el carrito de compras del cliente."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que esa es su dirección de correo electrónico, <a href=""%s"">pulse aquí</a> para conseguir su contraseña y acceder a su cuenta."
"There was an error validating the VAT ID.","Ha habido un error validando el ID de IVA."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Ha habido un error validando el ID de IVA. El cliente podría pertenecer al grupo de cliente %s."
"This account is not confirmed.","Esta cuenta no está confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href=""%s"">Pulse aquí</a> para volver a enviar el correo electrónico de confirmación."
"This customer email already exists","Este correo electrónico de cliente ya existe"
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This email does not require confirmation.","Esta dirección de correo electrónico no necesita confirmación."
"This email will be sent instead of default welcome email, after account confirmation.","Se enviará este mensaje de correo electrónico en lugar del mensaje de bienvenida predeterminado, después de la confirmación de la cuenta."
"This is My Default %s Address","Esta es mi %s Dirección por Defecto"
"To Cart","Al carrito"
"Total","Total"
"Type","Tipo"
"Unable to save the customer.","No se puede guardar el cliente."
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update","Actualización"
"Update customer address data","Actualizar datos de dirección del cliente"
"Update customer data","Actualizar datos del cliente"
"Use as My Default %s Address","Utilizar como mi %s Dirección por Defecto"
"Use as My Default Billing Address","Utilizar como mi dirección de facturación por defecto"
"Use as My Default Shipping Address","Utilizar como mi dirección de envío por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilizar como mi dirección de envío por defecto"
"VAT Number","Número de IVA"
"VAT Request Date","Fecha de petición de IVA"
"VAT Request Identifier","Identificador de petición de IVA"
"Validate VAT Number","Validar número de IVA"
"Validate on Each Transaction","Validar en cada transacción"
"Validation Error Group","Grupo de error de validación"
"View","Ver"
"View Order","Ver Pedido"
"Visitor","Visitante"
"Visitors Only","Sólo para visitantes"
"Website","Sitio web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist","Lista de deseos"
"Wishlist - %d item(s)","Lista de deseos: %d artículos"
"Would you like to change the Customer Group for this order?","¿Quiere cambiar el grupo de cliente para este pedido?"
"Wrong confirmation key.","Clave de confirmación incorrecta."
"Wrong customer account specified.","Se especificó una cuenta de cliente incorrecta."
"Wrong email.","Dirección de correo electrónico incorrecta."
"Wrong transactional account email type","Tipo de correo electrónico de cuenta de transacciones equivocado"
"YYYY","AAAA"
"Year","Año"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias"
"You are currently not subscribed to our newsletter.","Actualmente no está suscrito a nuestro boletín informativo."
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You are currently subscribed to our newsletter.","Actualmente estás suscrito a nuestro boletín de noticias"
"You are now logged out","Ha cerrado sesión."
"You have logged out and will be redirected to our homepage in 5 seconds.","Ha cerrado sesión y será redirigido a nuestra página principal en 5 segundos."
"You have no additional address entries in your address book.","No tienes anotaciones adicionales de dirección en tu libreta de direcciones."
"You have no additional entries in your address book.","No tiene más entradas en su libreta de direcciones."
"You have no default billing address in your address book.","No tienes ninguna dirección de facturación por defecto en tu libreta de direcciones."
"You have no default entries in your address book.","No tiene entradas predeterminadas en su libreta de direcciones."
"You have no default shipping address in your address book.","No tienes ninguna dirección de envío por defecto en tu libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no orders yet.","Aún no ha hecho pedidos."
"You have placed no products yet.","Aún no ha ingresado productos."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"Your account balance is: %s","El saldo de su cuenta es: %s"
"Your password has been updated.","Se ha actualizado su contraseña."
"Your password reset link has expired.","El enlace para reiniciar la contraseña ha caducado."
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"Zip/Postal Code","Código Postal"
"n/a","n/d"
"or","o bien"
"register","registro"
