"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"%s was updated in your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"Get terms and conditions","Obtenir les conditions"
"Get total prices for shopping cart","Obtenir le prix total du panier"
"Gift Message","Message du cadeau"
"Grand Total:","Total :"
"Grouped Product Image","Image groupée du produit"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Taxe comprise"
"Invalid method: %s","Méthode invalide : %s"
"Item not found or already ordered","Objets non trouvés ou déjà commandés"
"Items","Articles"
"Items After","Articles après"
"Items Before","Articles avant"
"Load customer quote error","Charger erreur devis client"
"Loading next step...","Chargement étape suivante..."
"Login","Identifiant"
"Login/Registration Before","Connexion/Inscription avant"
"Manage Checkout Terms and Conditions","Gérer termes et conditions au passage en caisse"
"Maximum Display Recently Added Item(s)","Affichage maximum article(s) récemment ajouté(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qté maximum permise pour expédition à multiples adresses est %s"
"Move to Wishlist","Mettre en souhaits"
"Multishipping Checkout","Sortie caisse différentes expéditions"
"Multishipping Checkout Address (Any) Form","Formulaire sortie caisse différentes expéditions (toutes)"
"Multishipping Checkout Billing Address Creation","Création adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Address Edit Form","Modification formulaire adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Address Selection","Sélection adresse facturation sortie caisse multiples expéditions"
"Multishipping Checkout Billing Information Step","Étape information facturation sortie caisse multiples expéditions"
"Multishipping Checkout Customer Address Edit Form","Modifier formulaire adresse client sortie caisse multiples expéditions"
"Multishipping Checkout Overview","Vue générale sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Creation","Création adresse expédition sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Edit Form","Modifier formulaire adresse expédition sortie caisse multiples expéditions"
"Multishipping Checkout Shipping Address Selection","Sélection adresse expédition sortie caisse multiples expédition"
"Multishipping Checkout Shipping Information Step","Étape information expédition sortie caisse multiples expéditions"
"Multishipping Checkout Success","Sortie caisse multiples expéditions réussie"
"My Cart","Mon caddy"
"My Cart (%s)","Mon caddy (%s)"
"My Cart (%s item)","Mon caddy (%s article)"
"My Cart (%s items)","Mon caddy (%s articles)"
"My Cart Link","Lien vers Mon caddy"
"New Address","Nouvelle adresse"
"New Condition","Nouvelle Condition"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","LE TOTAL DE LA COMMANDE SERA AFFICHE AVANT QUE VOUS NE CONFIRMIEZ"
"One Page Checkout","Vérification une page"
"One Page Checkout Failure","Échec de règlement une page"
"One Page Checkout Overview","Aperçu caisse de sortie en une page"
"One Page Checkout Success","Succès de règlement une page"
"One item of products do not have identifier or sku","Un objet n'a pas d'identifiant ou sku"
"One item of products is not belong any of quote item","Un objet ne correspond à aucune estimation"
"Order #","Commande n°"
"Order Review","Révision commande"
"Order Success","Succès commande"
"Order Total will be displayed before you submit the order.","Le total de la commande sera affiché avant que vous ne confirmiez."
"Order place error.","Erreur passage commande."
"Other Items in Your Order","Autres articles dans votre panier"
"Overview Items After","Aperçu articles après"
"Password","Mot de passe"
"Payment Failed Email Reciever","Échec paiement destinataire courriel"
"Payment Failed Email Sender","Échec paiement expéditeur courriel"
"Payment Failed Emails","Échec paiement courriels"
"Payment Failed Template","Modèle Échec paiement"
"Payment Information","Information paiement"
"Payment Method","Méthode de paiement"
"Payment Methods After Checkout Button","Méthodes paiement après bouton règlement"
"Payment Methods Before Checkout Button","Méthodes paiement avant bouton règlement"
"Payment method information","Renseignements méthode de paiement"
"Payment method is not defined","La méthode de paiement n'est pas définie"
"Payment methods in shopping cart","Méthodes de paiement dans le panier"
"Payment profile # %s: ""%s"".","Profil de paiement # %s: ""%s""."
"Place Order","Placer une commande"
"Please agree to all Terms and Conditions before placing the order.","Veuillez agréer à tous les termes et conditions avant de passer commande."
"Please agree to all Terms and Conditions before placing the orders.","Veuillez agréer à tous les termes et conditions avant de passer les commandes."
"Please agree to all the terms and conditions before placing the order.","Veuillez agréer à tous les termes et conditions avant de passer commande."
"Please log in below:","Veuillez vous connecter ci-dessous :"
"Please select region, state or province","Veuillez sélectionner la région, l'état et le pays"
"Please select shipping address for applicable items","Veuillez sélectionner l'adresse d'expédition"
"Please select shipping methods for all addresses","Veuillez sélectionner une méthode d'expédition pour toutes les adresses"
"Price","Prix"
"Proceed to Checkout","Continuer le paiement"
"Product","Produit"
"Product Name","Nom produit"
"Products","Produits"
"Qty","Qté"
"Qty:","Quantité :"
"Quantity was recalculated from %d to %d","La quantité a été recalculée de %d à %d"
"Quote Lifetime (days)","Estimation"
"Quote item does not exist.","L'article évalué n'existe pas."
"Quote item is not found.","L'article évalué n'a pas été trouvé."
"Recently added item(s)","Objets ajoutés récemment"
"Register","S'enregistrer"
"Register and save time!","S'enregistre et gagner du temps !"
"Register to Create an Account","S'enregistrer pour créer un compte"
"Register with us for future convenience:","S'enregistrer pour plus de pratique"
"Remove Item","Supprimer objet"
"Remove This Item","Supprimer cet objet"
"Remove coupon code from shopping cart","Retirer le code coupon du panier"
"Remove item","Supprimer l'objet"
"Remove product from shopping cart","Retirer le produit du panier"
"Remove product(s) from shopping cart","Retirer le(s) produit(s) du panier"
"Retrieve information about shopping cart","Récupérer les informations relatives au panier"
"Review Order","Vérification de la commande"
"Review Order - %s","Vérification de la commande - %s"
"Sales","Ventes"
"Save Condition","Sauvegarder les conditions"
"Save in address book","Sauvegarder dans le carnet d'adresses"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"Select Address","Sélectionner adresse"
"Select Addresses","Sélectionner adresses"
"Select Shipping Method","Sélectionner méthode d'expédition"
"Select State/Province...","Sélectionner état/pays"
"Select a billing address from your address book or enter a new address.","Choisir une adresse de facturation depuis votre carnet d'adresses ou entrer une nouvelle adresse."
"Select a shipping address from your address book or enter a new address.","Choisir une adresse de facturation depuis votre carnet d'adresses ou entrer une nouvelle adresse."
"Send Payment Failed Email Copy Method","Méthode d'envoi des mails de notification d'échec de paiement"
"Send Payment Failed Email Copy To","Envoyer les mails de notification d'échec de paiement à"
"Send To","Envoyer à"
"Separate by "","".","Séparer par des "",""."
"Set customer for shopping cart","Définir le client pour le panier"
"Set customer's addresses in shopping cart","Fixer les adresses de clients dans le panier"
"Set payment method","Déterminer la méthode de paiement"
"Set shipping method","Déterminer la méthode d'expédition"
"Ship to Multiple Addresses","Envoyer à plusieurs adresses"
"Ship to different address","Envoyer à une différente adresse"
"Ship to this address","Envoyer à cette adresse"
"Shipping Address","Adresse d'expédition"
"Shipping Information","Informations d'expédition"
"Shipping Method","Méthode d'expédition"
"Shipping Methods","Méthode d'envoi"
"Shipping To","Expédition à"
"Shipping information","Informations d'expédition"
"Shipping method has not been selected yet","Méthode d'expédition non sélectionnée"
"Shipping methods in shopping cart","Méthodes d'expédition dans le panier"
"Shipping selection is not applicable.","Méthode d'expédition non disponible."
"Shopping Cart","Panier"
"Shopping Cart Form Before","Panier précédent"
"Shopping Cart Sidebar","Barre d'outils du panier"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Le panier est vide"
"Shopping cart ability to set coupon code","Possibilité d'utiliser des codes de réduction"
"Show Content as","Afficher le contenu comme"
"Some of the requested products are not available in the desired quantity.","Certains des produits demandés ne sont pas disponibles dans les quantités demandées."
"Some of the requested products are unavailable.","Certains des produits demandés ne sont pas disponibles."
"Some products quantities were recalculated because of quantity increment mismatch","Certaines quantités de produits ont été recalculées en raison d'incompatibilités."
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'est actuellement disponible pour cette commande."
"State/Province","Etat/pays"
"Status","Statut"
"Store View","Vue du magasin"
"Street Address","Rue"
"Street Address %s","Rue %s"
"Submitting order information...","Envoi des informations de la commande ...."
"Subtotal","Sous-total"
"Telephone","Téléphone"
"Terms and Conditions","Conditions d'utilisation"
"Terms and Conditions Information","Information des conditions d'utilisation"
"Terms and conditions","Conditions d'utilisation"
"Text","Texte"
"Thank you for your purchase!","Merci pour votre achat !"
"The condition has been deleted","La condition a été supprimée"
"The condition has been saved.","La condition a été enregistrée"
"The onepage checkout is disabled.","Le paiement express est désactivé."
"The product could not be found.","Le produit n'a pas pu être trouvé."
"The product does not exist.","Le produit n'existe pas."
"There are <a href=""%s"">%s items</a> in your cart.","Il y a <a href=""%s"">%s objets</a> dans votre panier."
"There is <a href=""%s"">1 item</a> in your cart.","<a href=""%s"">1 objet</a> dans votre panier"
"There was an error processing your order. Please contact us or try again later.","Il y a une erreur lors de la confirmation de votre commande. Veuillez nous contacter ou réessayer plus tard."
"This condition no longer exists.","Cette condition n'existe plus."
"Total","Total"
"Total for this address","Total pour cette adresse"
"Unable to set Payment Method.","Impossible de définir la méthode de paiement"
"Unit Price","Prix unitaire"
"Update Cart","Mettre à jour le panier"
"Update Qty &amp; Addresses","Mettre à jour la quantité"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Update product quantities in shopping cart","Mettre à jour les quantités de produit dans le panier"
"Update product(s) quantities in shopping cart","Mettre à jour les quantités de produits dans le panier"
"Use Billing Address","Utiliser l'adresse de facturation"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Nous sommes en train de prendre en compte votre commande et vous recevrez rapidement un email. Une fois la commande expédiée, vous recevrez un autre email avec un lien vers le suivi."
"What's this?","Qu'est-ce ?"
"You have no items in your shopping cart.","Il n'y a aucun objet dans votre panier."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous recevrez un mail de confirmation de commande, puis un second mail vous permettant d'accéder au suivi du colis."
"Your Checkout Progress","Progression du paiement"
"Your billing agreement # is: %s.","Votre accord de facturation # est : %s."
"Your order # is: %s.","Votre commande # est %s."
"Your order has been received","Votre commande a bien été reçue"
"Your order number is ","Votre numéro de commande est"
"Your recurring payment profiles:","Vos profils de paiement récurrents sont :"
"Zip/Postal Code","Code postal"
