"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Règles de prix du panier basées sur l'attribut ""%s"" ont été désactivées."
"%s Coupon(s) have been generated","%s bon(s) ont été créés"
"Actions","Action"
"If you select and save the rule you will be able to generate multiple coupon codes.","Si vous sélectionnez et sauvegardez la règle, vous aurez la possibilité de créer plusieurs codes de bon."
"Inactive","Inactif"
"Item totals are not set for rule.","Le total des objets n'est pas déterminé."
"Labels","Etiquettes"
"Manage Coupon Codes","Gérer les codes de bon"
"Maximum Qty Discount is Applied To","La remise qté maximale est appliquée à"
"NOT FOUND","NON TROUVE"
"NOT LOGGED IN","DÉCONNECTÉ"
"New Rule","Nouvelle règle"
"No","Non"
"No Coupon","Pas de coupon"
"Not valid data provided","Aucune donnée valide fournie"
"Number of Uses","Nombre d'utilisations"
"Numeric","Numérique"
"Payment Method","Méthode de paiement"
"Percent of product price discount","Pour cent de réduction des prix des produits"
"Period","Période"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produits"
"Products subselection","Sous-sélection de produits"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Ligne total dans le panier"
"Rule Information","Information de règle"
"Rule Name","Nom de règle"
"Rule is not defined","La règle n'est pas définie"
"Sales Discount Amount","Montant des ventes discount"
"Sales Subtotal Amount","Montant du sous-total des ventes"
"Sales Total Amount","Montant total des ventes"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Shipping Country","Méthode d'expédition"
"Shipping Method","Méthode d'expédition"
"Shipping Postcode","Code postal pour l'expédition"
"Shipping Region","Région d'expédition"
"Shipping State/Province","État/Région d'expédition"
"Shopping Cart Price Rule","Règle de prix du panier"
"Shopping Cart Price Rules","Règles de prix du panier"
"Special Price","Prix spécial"
"Specific Coupon","Coupon spécifique"
"Status","Statut"
"Stop Further Rules Processing","Ne pas aller plus loin dans le traitement des règles"
"Store View Specific Labels","Voir le magasin Labels spécifiques"
"Subtotal","Sous-total"
"Subtotal Amount","Montant du sous-total"
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été sauvée."
"This rule no longer exists.","Cette règle n'existe plus."
"Times Used","Périodes utilisées"
"To Date","Date de fin"
"To Fixed Value","Une certaine valeur"
"To Percentage","Au pourcentage"
"Total","Total"
"Total Amount","Montant total"
"Total Items Quantity","Quantité d'articles totale"
"Total Weight","Poids total"
"Unable to create requested Coupon Qty. Please check settings and try again.","Impossible de générer la quantité de bons demandée. Veuillez vérifier les paramètres et réessayer."
"Unable to find a rule to delete.","Aucune règle à supprimer"
"Update prices using the following information","Mettre à jour les prix en utilisant les informations suivantes"
"Update product's %s %s: %s","Mettre à jour le %s %s du produit: %s"
"Update the Product","Mettre à jour le produit"
"Use Auto Generation","Utiliser la création automatique"
"Used","Utilisé"
"Uses per Coupon","Utilisations par coupon"
"Uses per Customer","Utilisations par client"
"Website","Site web"
"Websites","Sites Web"
"Wrong rule specified.","Une mauvaise règle a été spécifiée."
"Yes","oui"
"total amount","montant total"
"total quantity","quantité totale"
