"-OR-","-OU-"
"Incentive","Motivation"
"Initiation Date","Date d'initiation"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Options Integral Evolution"
"Invoice ID","Identifiant de la facture"
"Issuer Liability","Responsabilité de l'émetteur"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Il est recommandé de fixer cette valeur sur ""Carte de crédit"""
"It is recommended to set this value to ""PayPal"" per store views.","Il est recommandé de fixer cette valeur sur ""Paypal"""
"Items in Your Shopping Cart","Objets dans votre panier"
"Last Correlation ID","Dernier identifiant en corrélation"
"Last Transaction ID","Dernier identifiant de transaction"
"Learn More","En savoir plus"
"Login","Identifiant"
"Looking for PayPal? We have our own tab to the left under Sales.","Vous cherchez Paypal ? Nous avons notre propre onglet à gauche, sous Ventes."
"Mass Pay Payment","Paiement de masse"
"Matched (CVV2)","Correspondance (CVV2)"
"Matched (CVV2CSC)","Correspondante (CVV2CSC)"
"Matched Address only (no ZIP)","Adresse correspondante uniquement (pas de ZIP)"
"Matched Address only (no ZIP). International","Adresse correspondante uniquement (pas de ZIP). International"
"Matched Postal Code only (no Address)","Code postal correspondant uniquement (pas d'adresse)"
"Matched five-digit ZIP only (no Address)","ZIP à 5 chiffres  correspondant uniquement (pas d'adresse)"
"Matched whole nine-didgit ZIP (no Address)","ZIP complet à 9 chiffres  correspondant uniquement (pas d'adresse)"
"Merchant Account","Compte du vendeur"
"Merchant Country","Pays du vendeur"
"Merchant Liability","Responsabilité du vendeur"
"Merchant Protection Eligibility","éligibilité à la protection du vendeur"
"Merchant Referral Bonus","Bonus de parrainage d'un vendeur"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Le vendeur n'a pas de compte avec un mécanisme de virement. Il doit manuellement accepter ou refuser ce paiement depuis la vue générale de votre compte."
"Merchant account is not verified.","Le compte du vendeur n'est pas vérifié."
"Merchant denied this pending payment.","Le vendeur a refusé ce paiement en attente."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Le vendeur utilise un compte en dehors des Etats Unis et ne dispose pas d'un mécanisme de virement de fonds."
"Merchant must upgrade account to Business or Premier status.","Le vendeur doit disposer d'un compte Business ou Premier."
"Merchant reference ID format is not supported.","Le format de l'identifiant du vendeur n'est pas supporté."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Le vendeur doit postuler via Paypal pour activer les accords de facture. N'activez pas cette option avant que Paypal ne confirme que ceux-ci sont activés pour le compte vendeur."
"Mobile Payment (made via a mobile phone)","Paiement via mobile (effectué depuis un téléphone mobile)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Différentes monnaies. Le vendeur doit manuellement accepter ou refuser ce paiement depuis la vue générale de votre compte."
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse non spécifiée, ou pas de réponse. Service non disponible."
"N/A. Global Unavailable","N/A. Indisponible"
"N/A. International Unavailable","N/A. International indisponible."
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Le vendeur a indiqué que ce CVV2 n'est pas présent."
"N/A. No response","N/A Pas de réponse"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Non autorisé pour les transactions Internet ou mobiles"
"N/A. Not processed","N/A. Non effectué."
"N/A. Retry","N/A. Réessayez"
"N/A. Service not Supported","N/A. Service non supporté"
"N/A. Service not available","N/A. Service non disponible."
"N/A. Service not supported","N/A. Appareil non supporté"
"N/A. The merchant did not provide AVS information","N/A. Le vendeur n'a pas fourni d'informations AVS."
"N/A. The merchant has not implemented CVV2 code handling","N/A. Le vendeur n'a pas implémenté la gestion du code CVV2"
"N/A. Unavailable","N/A. Indisponible."
"Negative Balance","Solde négatif"
"Never","Jamais"
"No","Non"
"No Details matched","Pas de détail trouvé"
"No Details matched. International","Pas de détail trouvé. International"
"No Liability Shift","Pas de transfert de responsabilité"
"No Logo","Pas de logo"
"No match","Aucun résultat"
"None of the address information matched","Aucune des informations de l'adresse ne correspondait."
"Note: %s","Note : %s"
"Nothing to fetch because of an empty configuration.","Rien à rapporter car la configuration est vide."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Sachez que Paypal peut gérer jusqu'à 10 options de livraisons. C'est pourquoi Magento transférera uniquement les 10 options les moins coûteuses s'il y en a plus de 10 disponibles."
"Notified customer about creditmemo #%s.","Client notifié à propos de la note de crédit #%s."
"Notified customer about invoice #%s.","Client notifié à propos de la note facture #%s."
"Now accepting PayPal (150 X 40)","PayPal désormais accepté (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal désormais accepté (150 X 60)"
"Number of Child Authorizations","Quantité d'autorisations pour enfant"
"Open Authorization","Ouvrir autorisation"
"Order","Commande"
"Order ID","ID de la commande"
"Order Valid Period (days)","Période valide de commande (en jours)"
"Ordered amount of %s.","Montant commandé de %s"
"Ordering amount of %s is pending approval on gateway.","Le montant commandé de %s est en cours d'approbation sur la passerelle."
"Page Background Color","Couleur de l'arrière plan de la page"
"Page Style","Style de la page"
"Part of the address information matched","Une partie des informations de l'adresse correspond"
"Partner","Partenaire"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Options Pasarela integral"
"Password","Mot de passe"
"Pay Now","Payer maintenant"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","Fonction de gestion de la balance de votre compte Paypal"
"PayPal Buyer Warranty Bonus","Bonus de garantie pour l'acheteur de Paypal"
"PayPal Debit Card Cash Advance","Avance en liquide de carte de débit Paypal"
"PayPal Debit Card Withdrawal from ATM","Retrait depuis distributeur automatique à partir d'une carte de débit Paypal"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","Le mot de vérification du paiement express via Paypal n'existe pas."
"PayPal Express Order Review Form","Formulaire de vérification du paiement express via Paypal."
"PayPal Fee Information","Informations des frais Paypal"
"PayPal Merchant Pages Style","Style des pages des vendeurs Paypal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Options PayPal Pro"
"PayPal Product Logo","Logo de produit PayPal"
"PayPal Protection Bonus","Bonus de protection Paypal"
"PayPal Reference ID","Identifiant de référence Paypal"
"PayPal Reference ID Type","Type d'identifiant de référence Paypal"
"PayPal Settlement Reports","Rapports d'accords de Paypal"
"PayPal certificate does not exist.","Le certificat Paypal n'existe pas."
"PayPal certificate file is empty.","Le fichier de certificat Paypal est vide."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal ne traite pas les commandes d'un montant égal à zéro. Pour finaliser votre achat, procédez au paiement standard."
"PayPal gateway has rejected request. %s","Le passerelle de Paypal a rejeté la requête. %s"
"PayPal processes all of your orders, and you get paid.","Paypal gère toutes vos commandes, et vous recevez l'argent."
"PayPal response hasn't required fields.","La réponse PayPal n'a pas les champs obligatoires."
"PayPal retains reports for 45 days.","Paypal conserve les rapports pendant 45 jours."
"PayPal/Centinel Electronic Commerce Indicator","Indicateur de commerce électronique de Paypal."
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Identifiant de l'adresse de l'acheteur"
"Payer Address Status","Statut de l'adresse du payeur"
"Payer Email","E-mail du payeur"
"Payer Email: %s","E-mail du payeur : %s"
"Payer ID","ID du payeur"
"Payer Status","Statut du payeur"
"Payer is not identified.","Le payeur n'est pas identifié."
"Payflow Link (for USA and Canada)","Lien Payflow (pour les USA et le Canada)"
"Payflow Link Settings","Paramètres lien Payflow"
"Payflow Pro Gateway","Passerelle Payflow Pro"
"Payflow Pro Settings","Options de Payflow Pro"
"Payment Action","Paiement"
"Payment Applicable From","Paiement disponible depuis"
"Payment Method","Méthode de paiement"
"Payment Refund initiated by merchant","Remboursement de paiement initié par le marchand"
"Payment has been declined. Please try again.","Le paiement a été refusé. Veuillez réessayer."
"Payment is being reviewed by PayPal for risk.","Le paiement est vérifié par Paypal car présente des risques de sécurité."
"Payment was made to an email address that is not yet registered or confirmed.","Le paiement a été effectué à une adresse e-mail pas encore inscrite ou confirmée."
"Payments by PayPal (150 X 40)","Paiements par PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Paiements par PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Paiements par cartes + protection vendeur - <strong style=""color:red"">Contacter PayPal avant l'activation</strong>"
"Paypal Billing Agreement Settings","Réglages de l'accord de facturation PayPal"
"Pending PayPal","En attente de Paypal"
"Place Order","Placer une commande"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter toutes les conditions générales avant de passer la commande."
"Please contact PayPal Customer Service.","Veuillez contacter le service clients de Paypal."
"Please do not refresh the page until you complete payment.","Merci de ne pas actualiser cette page avant la finalisation du paiement."
"Please select a shipping method...","Veuillez sélectionner une méthode d'expédition ..."
"Points Incentive Redemption","Rédemption sensible aux points"
"Postage Payment to either USPS or UPS","Envoi d'un paiement à USPS ou UPS"
"Preapproved Payment (BillUser API), either sent or received","Paiement pré-approuvé soit envoyé soit reçu"
"Preapproved Payment ID","Identifiant du paiement pré-approuvé"
"Price","Prix"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Accepter les cartes de crédit directement depuis votre site avec la solution tout-en-un de Paypal."
"Product Name","Nom produit"
"Proxy Host","Hébergeur du proxy"
"Proxy Port","Port du proxy"
"Qty","Qté"
"Quick set-up service lets your customers securely complete transactions.","Un service de configuration rapide permet à vos clients d'effectuer des transactions en toute sécurité."
"Reauthorization","Autorisation"
"Reference Information","Informations de référence"
"Refund issued by merchant.","Remboursement effectué par le vendeur."
"Reimbursement for a chargeback.","Remboursement."
"Reimbursement of Chargeback","Remboursement."
"Report Date","Date de rapport"
"Reports","Rapports"
"Requested %s and configured %s merchant emails do not match.","Les adresses email demandées %s et configurées %s ne correspondent pas."
"Require CVV Entry","Demander une entrée CVV"
"Reversal","Annulation"
"Reversal of General Account Hold","Annulation de l'attente du compte"
"Reversal of Points Usage","Annulation de l'utilisation des points"
"Reversal of an adjustment.","Annulation d'un ajustement."
"Reversal of hold for Dispute Investigation","Annulation d'un litige."
"Review Order","Vérification de la commande"
"Reward Voucher Redemption","Récompensez échange des coupons."
"SFTP Credentials","Pièces d'identité SFTP"
"Sale","Vente"
"Sales","Ventes"
"Sandbox Credentials","Pièces d'identité du bac à sable"
"Sandbox Mode","Mode bac à sable"
"Schedule","Programme"
"Schedule description is too long.","Description de l'agenda trop longue."
"Scheduled Fetching","Récupération prévue."
"Select a PayPal Solution","Choisissez une solution Paypal."
"Settlement Consolidation","Consolidation de l'accord."
"Settlement Report Settings","Options des rapports d'accords."
"Settlement of a chargeback.","Accord de remboursement."
"Severe 3D Secure Card Validation","Validation de carte 3D Secure rigoureuse"
"Severe Validation Removes Chargeback Liability on Merchant","La validation annule la responsabilité du vendeur."
"Severe validation removes chargeback liability on merchant.","La validation rigoureuse supprime la responsabilité du vendeur sur les remboursements."
"Shipping","Envoi"
"Shipping Address","Adresse d'expédition"
"Shipping Information","Informations d'expédition"
"Shipping Method","Méthode d'expédition"
"Shop now using (150 X 40)","Boutique utilisant maintenant (150 X 40)"
"Shop now using (150 X 60)","Boutique utilisant maintenant (150 X 60)"
"Shortcut","Raccourci"
"Shortcut Buttons Flavor","Apparence des boutons de raccourci"
"Shortcut on Product View","Raccourci vers la vue du produit"
"Shortcut on Shopping Cart","Raccourci vers le panier"
"Sign a billing agreement to streamline further purchases with PayPal.","Signez un accord de facture pour continuer vos achats via Paypal."
"Solo","solo"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'est actuellement disponible pour cette commande."
"Sort Order","Trier les widgets"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indique ce qu'est la période de garantie sur le compte pour entreprises de Paypal. Elle doit correspondre aux paramètres de Paypal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indique ce qu'est la période valide de commande sur le compte pour entreprises de Paypal. Elle doit correspondre aux paramètres de Paypal."
"Static","Statique"
"Submitting order information...","Envoi des informations de la commande ...."
"Subscriber name is too long.","Le nom de l'inscrit est trop long"
"Subscription ID","Identifiant de l'inscrit"
"Subscription Payment, either payment sent or payment received","Paiement inscrit, soit envoyé soit reçu"
"Subtotal","Sous-total"
"Summary Text for Aggregated Cart","Texte résumant pour les paniers agrégés"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","La prise en charge des cartes American Express nécessite un accord supplémentaire. En savoir plus : <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Mode test."
"The background color for the checkout page around the header and payment form.","La couleur de fond pour la page de paiement autour de l'entête et du formulaire de paiement."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","La couleur de fond de l'entête de la page de paiement. Code HTML hexadécimal en ASCII de six caractères, non sensible à la case."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Le nombre d'autorisations pour enfant sur votre compte Paypal est d'un enfant. Pour en autoriser davantage, veuillez contacter Paypal."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","L'image en haut à gauche de la page de paiement. Taille maximum : 750 x 90 pixels. <strong style=""color:red"">https</strong> est fortement conseillé."
"The maximum number of child authorizations is reached.","Le nombre maximum d'autorisations pour enfant est atteint."
"The merchant account is not yet verified.","Le compte du vendeur n'est pas vérifié."
"The payment curency does not match any of the merchant\'s balances currency.","La monnaie du paiement ne correspond pas aux monnaies acceptées par le vendeur."
"The payment eCheck is not yet cleared.","Le paiement eCheck n'est pas encore validé."
"The payment is authorized but not settled.","Le paiement est autorisé, mais pas terminé."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Le paiement est en attente car il a été fait vers une adresse qui n'est pas encore enregistrée ou confirmée."
"The payment is pending while it is being reviewed by PayPal for risk.","Le paiement est en attente d'être revu par Paypal."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Le paiement a été effectué via carte de crédit. Afin de recevoir les fonds, le vendeur doit obtenir un compte Business ou Premier."
"There was an error processing your order. Please contact us or try again later.","Il y a eu une erreur dans le traitement de votre commande. Veuillez nous contacter ou réessayez plus tard."
"Time of Day","Heure"
"Title","Titre"
"Transaction ID","ID de la transaction"
"Transaction Information","Information de la transaction"
"Transfer Cart Line Items","Transférer objets du panier"
"Transfer Shipping Options","Options d'expédition du transfert"
"Triggered Fraud Filters","A déclenché les détecteurs de fraude"
"Unable to cancel Express Checkout.","N'a pas pu annuler le paiement express."
"Unable to change status. Current status is not correspond to real status.","Impossible de modifier le statut. Le statut actuel ne correspond pas au statut réel."
"Unable to communicate with the PayPal gateway.","Impossible de communiquer avec la passerelle de Paypal."
"Unable to initialize Express Checkout review.","N'a pas pu initialiser la revue du paiement express."
"Unable to initialize Express Checkout.","Impossible de lancer le Checkout Express."
"Unable to place the order.","N'a pas pu effectuer la commande."
"Unable to process Express Checkout approval.","N'a pas pu obtenir l'accord pour le paiement express."
"Unable to start Express Checkout.","N'a pas pu lancer le paiement express."
"Unable to update shipping method.","N'a pas pu mettre à jour la méthode d'expédition."
"Unknown reason. Please contact PayPal customer service.","Raison inconnue. Veuillez contacter le service client de Paypal."
"Update Shipping Method","Mettre à jour la méthode d'expédition"
"Use Proxy","Utiliser un proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilisez deux points pour spécifier le port. Exemple : ""test.exemple.com : 5224""."
"User","Utilisateur"
"User-initiated Currency Conversion","Conversion de monnaie initiée par l'utilisateur"
"Uses store frontend name by default.","Utilise le nom d'interface de la boutique par défaut."
"Vendor","Vendeur"
"View","Vue"
"View Demo","Voir démonstration"
"View PayPal solutions.","Voir les solutions Paypal"
"View Transaction","Voir la transaction"
"View Transaction Details","Voir les détails de la transction"
"Virtual PayPal Debit Card Transaction","Transaction via carte de débit virtuelle Paypal"
"Virtual Terminal Payment","Terminal virtuel de paiement"
"Void","Annuler"
"Waiting until Customer\'s eCheck will be cleared.","En attente de la vérification de l'eCheck du client."
"We prefer PayPal (150 X 40)","Nous préférons Paypal (150 X 40)"
"We prefer PayPal (150 X 60)","Nous préférons Paypal (150 X 60)"
"Website Payments Plus","Paiements site Internet Plus"
"Website Payments Plus Settings","Paiements site Internet Plus Paramètres"
"Website Payments Pro","Paiements professionnels pour sites"
"Website Payments Pro (Payflow Edition) Settings","Options de paiements professionnels pour sites"
"Website Payments Pro Hosted Solution","Paiements site Internet Pro Solution hébergée"
