" or "," ou "
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirm Password","Confirmez le mot de passe"
"Confirmation Link Email","E-mail de confirmation"
"Confirmed","Confirmé"
"Contact Information","Informations de contact"
"Continue Shopping","Continuer les achats"
"Country","Pays"
"Create","Créer"
"Create New Account Options","Créer Nouveau Compte Options"
"Create New Customer Account","Créer un nouveau compte client"
"Create Order","Créer une commande"
"Create an Account","Créer un compte"
"Create customer","Créer un client"
"Create customer address","Créer l'adresse du client"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer API","API utilisateur"
"Customer Account Edit Form","Formulaire de modification du compte client"
"Customer Account Login Form","Formulaire de connexion client"
"Customer Account Logout Success","Déconnexion du client effectuée"
"Customer Account Registration Form","Formulaire d'inscription compte client"
"Customer Addresses","Adresses du client"
"Customer Configuration","Configuration client"
"Customer Forgot Password Form","Formulaire d'oubli de mot de passe client"
"Customer Group","Groupe du client"
"Customer Groups","Groupes de clients"
"Customer Information","Information sur le client"
"Customer Login","Login du client"
"Customer My Account (All Pages)","Mon compte client (toutes les pages)"
"Customer My Account Address Book","Mon compte client carnet d'adresses"
"Customer My Account Address Edit Form","Mon compte client formulaire de modification d'adresse"
"Customer My Account Dashboard","Mon compte client tableau de bord"
"Customer Since","Client depuis"
"Customer View","Voir le client"
"Customer collection expected.","La collection du client est attendue."
"Customer email is required","L'adresse courriel du client est nécessaire"
"Customer website ID must be specified when using the website scope","L'identification du client sur le site web doit être indiqué lors de l'utilisation du site"
"Customer will stay on the current page if ""No"" is selected.","Les utilisateurs resteront sur la page actuelle si ""Non"" est sélectionné"
"Customers","Clients"
"Customers Only","Clients seulement"
"Customers Section","Section clients"
"DD","DD"
"Date","Date"
"Date Added","Date ajoutée"
"Date of Birth","Date de naissance"
"Day","Jour"
"Days in Wishlist","Jours dans la liste de cadeaux"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de l'e-mail par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse d'expédition par défaut"
"Default Welcome Email","E-mail de bienvenue par défaut"
"Delete","Supprimer"
"Delete Address","Supprimer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de client"
"Delete customer","Supprimer l'utilisateur"
"Delete customer address","Supprimer l'adresse du client"
"Deleted Stores","Magasins supprimés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Modifier"
"Edit Account Info","Éditer les informations du compte"
"Edit Account Information","Éditer les informations du compte"
"Edit Address","Éditer l'adresse"
"Edit Address Entry","Éditer l'entrée adresse"
"Edit Customer Group ""%s""","Modifier le groupe utilisateur ""%s"""
"Edit Customer Groups","Éditer les groupes de clients"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Éditer le groupe"
"Edit Newsletters","Éditer les newsletters"
"Email","Email"
"Email Address","Adresse email"
"Email Sender","Expéditeur de l'email"
"Email:","Email :"
"Entity collection is expected.","Une collection d'entité est attendue"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Échec de la confirmation du compte client."
"Fax","Fax"
"First Name","Prénom"
"Forgot Email Sender","Expéditeur du mail oublié"
"Forgot Email Template","Modèle du mail oublié"
"Forgot Your Password","Mot de passe oublié"
"Forgot Your Password?","Mot de passe oublié?"
"Form Fields Before","Champs des formulaires avant"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vous pouvez avoir un aperçu de votre activité récente dans le tableau de bord de votre compte. Vous pouvez également mettre à jour les informations de votre compte. Sélectionner un lien ci-dessous pour voir ou éditer vos informations."
"Gender","Genre"
"Group","Groupe"
"Guest","Invité"
"IP Address","Adresse IP"
"Invalid customer data","Données client invalides"
"Invalid email address.","Adresse mail invalide"
"Last Date Subscribed","Dernière date d'inscription"
"Last Date Unsubscribed","Dernière date de désinscription"
"Lifetime Sales","Ventes à vie"
"Log In","Connexion"
"Login","Identifiant"
"Login Options","Options d'identification"
"Login or Create an Account","Connectez-vous ou créez un compte"
"MM","MM"
"Missing firstname, skipping the record.","Prénom manquant, ignorer."
"Missing lastname, skipping the record.","Nom de famille manquant, ignorer."
"My Account Wrapper","Mon compte"
"My Dashboard","Mon espace de travail"
"Name and Address Options","Options du nom et de l'adresse"
"Never","Jamais"
"New Address Entry","Nouvelle entrée d'adresse"
"New Customer Address","Nouvelle adresse utilisateur"
"New Customer Groups","Nouveaux groupes d'utilistateurs"
"New Group","Nouveau groupe"
"New Password","Nouveau mot de passe"
"New account confirmation key","Nouvelle clé de confirmation du compte"
"New account confirmed","Nouveau compte confirmé"
"Newsletter","Newsletter"
"Newsletter Finish","Fin de la lettre d'informations"
"Newsletter Received","Lettre d'informations reçue"
"Newsletter Subscription","Abonnement à la newsletter"
"No Newsletter Found","Aucune lettre d'information trouvée"
"No item specified.","Pas d'objet spécifié"
"Not confirmed, can login","Non confirmé, peut se connecter"
"Number of Lines in a Street Address ","Nombre de lignes dans l'adresse"
"Offline","Hors ligne"
"Online","En ligne"
"Online Customers","Utilisateurs en ligne"
"Online Minutes Interval","Intervalle des minutes en ligne"
"Order #","Commande n°"
"Order Total","Total de la commande"
"Orders","Commandes"
"PDF","PDF"
"Password Options","Option du mot de passe"
"Paused","En pause"
"Pending","En cours"
"Per Website","Par site web"
"Personal Information","Information personnelle"
"Please enter your email below and we will send you a new password.","Veuillez entrer votre adresse email ci-dessous et nous vous enverrons un nouveau mot de passe."
"Please enter your email.","Veuillez entrer votre adresse email."
"Please select","Veuillez sélectionner"
"Please, check your email for confirmation key.","Veuillez vérifier vos emails pour la clé de confirmation."
"Price","Prix"
"Product ID","Identifiant du produit"
"Product Reviews","Avis sur le produit"
"Product Tags","Étiquettes des produits"
"Purchase On","Commander via"
"Purchased At","Commandé via"
"Recent Orders","Commandes récentes"
"Redirect Customer to Account Dashboard after Logging in","Rediriger l'utilisateur vers son tableau de bord après la connexioin"
"Refunded","Remboursé"
"Registered Customers","Utilisateurs enregistrés"
"Remove","Supprimer"
"Retrieve address data","Récupérer les données de l'adresse"
"Retrieve address info","Récupérer les informations de l'adresse"
"Retrieve customer data","Récupérer les données de l'utilisateur"
"Retrieve your confirmation link here","Récupérer votre lien de confirmation ici"
"SKU","SKU"
"Sales Statistics","Statistiques de vente"
"Save Customer Group","Enregistrer le groupe de clients"
"Save Password","Enregistrer le mot de passe"
"Save and Continue Edit","Sauvegarder et continuer l'édition"
"Saved %d record(s)","Sauvegardé %d enregistrement(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valeurs séparées par des points-virgules (;).<br/>Mettre le point-virgule au début pour que la première option soit vide.<br/>Laisser vide pour que le champ de texte soit ouvert."
"Send From","Envoyer depuis"
"Send Welcome Email","Envoyer l'e-mail de bienvenue"
"Send confirmation link","Envoyer le lien de confirmation"
"Sent","Envoyé"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Shipped to Last Name","Expédié à Nom de famille"
"Shopping Cart","Panier"
"Show Date of Birth","Montrer la date de naissance"
"Show Gender","Montrer le genre"
"Show Prefix","Montrer le préfixe"
"Show Suffix","Montrer le suffixe"
"Sign Up for Newsletter","S'inscrire à la newsletter"
"Skipping import row, website ""%s"" field does not exist.","Ignorer la ligne importation, le champ site web ""%s"" n'existe pas."
"Store View","Vue du magasin"
"Street Address","Adresse postale"
"Subject","Sujet"
"Submit","Soumettre"
"Subscribed to Newsletter?","Inscrit à la newsletter ?"
"Suffix Dropdown Options","Option de la liste déroulante de suffixe"
"Tax Class","Classe d'impôt"
"Telephone","Téléphone"
"Text One Line","Texte une ligne"
"The account information has been saved.","Les informations du compte ont été sauvegardées."
"The address has been deleted.","Cette adresse a été supprimée."
"The customer group has been deleted.","Le groupe d'utilisateurs a été supprimé."
"The group ""%s"" cannot be deleted","Le groupe ""%s"" ne peut pas être supprimé"
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe suivant le nom (Jr, Sr, etc)"
"There are no items in customer's wishlist at the moment","Il n'y a pas d'objets dans la liste de voeux de l'utilisateur"
"There are no items in customer\'s shopping cart at the moment","Il n'y a pas d'objets dans le panier d'utilisateur"
"This account is not confirmed.","Ce compte n'est pas confirmé."
"This customer has no saved addresses.","Cet utilisateur n'a aucune adresse enregistrée."
"This email will be sent instead of default welcome email, after account confirmation.","Cet email sera envoyé au lieu du message de bienvenue par défaut, après la confirmation du compte."
"To Cart","Vers le panier"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from Newsletter","Se désinscrire de la lettre d'informations"
"Update customer data","Mettre à jour les données de l'utilisateur"
"Use as My Default Billing Address","Utiliser comme mon adresse de facturation par défaut"
"Use as my default billing address","Utiliser comme mon adresse de facturation par défaut."
"View","Vue"
"Visitors Only","Visiteurs uniquement"
"Wishlist","Liste de cadeaux"
"Wrong customer account specified.","Mauvais compte utilisateur."
"Wrong email.","Mauvaise adresse email."
"Year","Année"
"You are currently subscribed to our newsletter.","Vous êtes actuellement abonné à notre lettre d'informations."
"You are now logged out","Vous êtes maintenant déconnecté."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse d'expédition par défaut dans votre carnet d'adresses."
"You have not set a default shipping address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"You have placed no products yet.","Vous n'avez placé aucun produit."
"ZIP","ZIP"
"ZIP/Post Code","Code postal"
"n/a","n/a"
"General Subscription","Abonnement général"
"Generate Human-Friendly Customer ID","Générer un ID client intelligible"
"Global","Global"
"Grand Total","Total final"
"Group Information","Informations sur le groupe"
"Group Name","Nom du groupe"
"HTML","HTML"
"Hello, %s!","Bonjour %s!"
"If you have an account with us, log in using your email address.","Si vous avez un compte chez nous, connectez-vous à l'aide de votre adresse email."
"ID","ID"
"If you have an account with us, please log in.","Si vous avez un compte chez nous, identifiez-vous."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Option d'attribut invalide spécifiée pour l'attribut %s (%s), enregistrement sauté."
"Invalid attribute set specified, skipping the record.","Ensemble d'attributs spécifiés invalide, enregistrement sauté."
"Invalid current password","Mot de passe invalide"
"Invalid login or password.","Login ou mot de passe invalide"
"Invalid store specified, skipping the record.","Magasin spécifié invalide, enregistrement sauté."
"Last Activity","Dernière activité"
"Last Name","Nom"
"Last URL","Dernier lien"
"Leave empty for default (15 minutes).","Laisser vide par défaut (15 minutes)"
"Leave empty for default (2). Valid range: 1-4","Laisser vide par défaut (2). Valeurs valides de 1 à 4."
"Log Out","Déconnexion"
"Login Information","Information de connexion"
"Login and password are required.","Le nom d'utilisateur et le mot de passe sont requis."
"M.I.","M.I."
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les utilisateurs"
"Missing email, skipping the record.","Adresses manquante, ignorer."
"Month","Mois"
"My Account","Mon compte"
"My Orders","Mes commades"
"Name","Nom"
"New Address","Nouvelle adresse"
"New Customer","Nouvel utilisateur"
"New Customer Group","Nouveau groupe d'utilisateurs"
"New Customers","Nouveaux utilisateurs"
"New account","Nouveau compte"
"New password","Nouveau mot de passe"
"New password field cannot be empty.","Le champ nouveau mot de passe ne peut pas être vide."
"Newsletter Information","Information de la lettre"
"Newsletter Start","Début de la lettre d'information"
"Newsletters","Lettres d'information"
"No Items Found","Pas d'objet trouvé"
"No customer collections found","Aucune collection d'utilisateur"
"Not Sent","Non envoyé"
"Not confirmed, cannot login","Non confirmé, ne peut pas se connecter"
"Online Customers Options","Options des utilisateurs en ligne"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password forgotten","Mot de passe oublié"
"Password:","Mot de passe :"
"Please enter your email below and we\'ll send you confirmation link for it.","Veuillez entrer votre adresse email ci-dessous et nous vous enverrons un lien de confirmation."
"Please select region, state or province","Veuillez sélectionner la région, l'état et le pays"
"Prefix","Préfixe"
"Prefix Dropdown Options","Options de préfixe"
"Product","Produit"
"Product Name","Nom du produit"
"Qty","Qté"
"Records for %s store found.","Enregistrements pour %s boutiques trouvés."
"Require Emails Confirmation","Nécessaire confirmation par email"
"Retrieve customer addresses","Récupérer les adresses des utilisateurs"
"Retrieve customer groups","Récupérer les groupes utilisateurs"
"Retrieve customer info","Récupérer les infos de l'utilisateur"
"Retrieve customers","Récupérer les utilisateurs"
"Retrieve your password here","Récupérer votre mot de passe ici"
"Save","Enregistrer"
"Save Address","Enregister l'adresse"
"Save Customer","Enregistrer le client"
"Send Welcome Email after Confirmation","Envoyer l'e-mail de bienvenue après confirmation"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Sending","Envoi"
"Session Start Time","Heure de début de session"
"Set as Default Shipping Address","Définir comme adresse d'expédition par défaut"
"Share Customer Accounts","Partager les comptes client"
"Shipped to First Name","Expédié à Prénom"
"Shipped to Name","Expédié à Nom"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Middle Name (initial)","Montrer le deuxième prénom (initial)"
"Show Tax/VAT Number","Montrer le numéro de taxe/TVA"
"Skipping import row, required field ""%s"" is not defined.","Sauter la ligne d'importation, le champ requis ""%s"" n'est pas défini."
"State/Province","Etat/pays"
"Status","Statut"
"Store","Magasin"
"Street Address %s","Rue %s"
"Subscribe to Newsletter","S'inscrire à la newsletter"
"Suffix","Suffixe"
"Tag Name","Nom de l'étiquette"
"Tax/VAT number","Numéro TVA"
"Text","Texte"
"Thank you for registering with %s.","Merci de vous être inscrit à %s."
"The address does not belong to this customer.","Cette adresse n'appartient pas à cet utilisateur."
"The address has been saved.","L'adresse a été enregistrée."
"The customer does not have default billing address.","L'utilisateur ne dispose pas d'une adresse de facturation par défaut."
"The customer group has been saved.","Le groupe d'utilisateurs a été enregistré."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit contenir au moins 6 caractères. Les espaces seront ignorés."
"The title that goes before name (Mr., Mrs., etc.)","Le titre qui va avant le nom (M, Mme, Mlle, etc)"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Il y a déjà un compte avec cette adresse email. Si vous êtes sûr qu'il s'agit de votre adresse email, <a href=""%s"">cliquez ici</a> pour obtenir votre mot de passe et accéder à votre compte."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer un mail de confirmation."
"This customer email already exists","Cette adresse d'utilisateur existe déjà."
"This email address was not found in our records.","Cette adresse email n'a pas été trouvée dans nos dossiers."
"This email does not require confirmation.","Cet email ne nécessite pas de confirmation."
"This is My Default %s Address","Il s'agit de mon adresse par défaut %s"
"Total","Total"
"Unable to save the customer.","Impossible d'enregistrer l'utilisateur."
"Update","Mise à jour"
"Update customer address data","Mettre à jour l'adresse de l'utilisateur"
"Use as My Default %s Address","Utiliser comme mon adresse par défaut %s"
"Use as My Default Shipping Address","Utiliser comme mon adresse d'expédition par défaut"
"Use as my default shipping address","À utiliser comme mon adresse de livraison par défaut"
"View Order","Voir la commande"
"Visitor","Visiteur"
"Website","Site"
"Welcome Email","Email de bienvenue"
"Wishlist - %d item(s)","Liste de voeux - %d objets"
"Wrong confirmation key.","Clé de confirmation erronée."
"Wrong transactional account email type","Mauvais type d'email pour le compte de transaction"
"YYYY","AAAA"
"You are currently not subscribed to any newsletter.","Vous n'êtes actuellement abonné à aucune lettre d'informations."
"You are currently not subscribed to our newsletter.","Vous n'êtes pas actuellement abonné à notre lettre d'informations."
"You are currently subscribed to 'General Subscription'.","Vous êtes actuellement abonné à no ""Souscription générale"""
"You have logged out and will be redirected to our homepage in 5 seconds.","Vous êtes déconnecté et serez redirigé vers notre page d'accueil dans 5 secondes."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no default entries in your address book.","Vous n'avez pas d'adresses par défaut dans votre carnet d'adresses."
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"You have placed no orders yet.","Vous n'avez placé aucune commande."
"Your account balance is: %s","La balance de votre compte est : %s"
"Zip/Postal Code","Code postal"
"or","ou"
"register","s'enregistrer"
