"# of Use","Utilisation numéro #"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"%s and above","%s et au dessus"
"Anchor Custom Title","Fixer titre personnalisé"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable aux produits et aux catégories du catalogue seulement. Tout contenu media sera inséré dans l'éditeur comme une URL statique. Cela n'est pas mis à jour si l'URL de base de la configuration système est modifiée."
"Apply MAP (Default Value)","Appliquer MAP (Valeur par défaut"
"Apply To","Appliquer à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Etes-vous sur de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Etes-vous sur de vouloir enlever tous les produits de votre comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Etes-vous sur de vouloir enlever cet article des produits comparés ?"
"Are you sure?","Etes-vous sûr ?"
"As low as:","Aussi bas que:"
"Assign","Attribuer"
"Assign product link","Attribuer le lien du produit"
"Assign product to category","Attribuer le produit à la catégorie"
"Assigned Products","Produits Attribués"
"Associated Products","Produits Associés"
"Attrib. Set Name","Attib. Nom de la Série"
"Attribute ""%s"" is invalid.","Attribut ""%s"" invalide."
"Attribute ""%s"" is required.","Attribut ""%s"" requis."
"Attribute Information","Informations sur l'attribut"
"Attribute Model","Modèle de l'attribut"
"Attribute Name:","Nom de l'attribut:"
"Attribute Set","Ensemble d'attributs"
"Attribute Sets","Ensembles d'attributs"
"Attribute add","Attribut ajouter"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Le code d'attribut est invalide. Veuillez n'utiliser que des lettres (a-z), chiffres (0-9) ou underscores (_) dans ce champ, le premier caractère devant être une lettre."
"Attribute group with the \/name/\ name already exists","Groupe d'attribut avec le nom \/name/\ existe déjà"
"Attribute remove","Attribut effacer"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Les noms des attributs peuvent être définis par magasin"
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité:"
"Back","Retour"
"Backend Model","Modèle d'interface"
"Backend Table","Tableau d'interface"
"Backend Table Title","Titre du tableau d'interface"
"Backorders","Ruptures de stock"
"Based On","Basé sur"
"Before Order Confirmation","Avant la confirmation de commande"
"Best Value","Meilleure valeur"
"Block after Info Column","Bloc après Colonne Info"
"Bottom Block Options Wrapper","Bloc Inférieur Options d'Emballage"
"Bottom/Left","Inférieur/Gauche"
"Bottom/Right","Inférieur/ Droite"
"Browse By","Parcourir par"
"Bundle Items","Lot d'objets"
"Buy %1$s","Acheter %1$s"
"Buy %1$s for","Acheter %1$s pour"
"Buy %1$s for %2$s","Acheter %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Acheter %1$s pour %2$s (%3$s TTC) chacun"
"Buy %1$s for %2$s each","Acheter %1$s pour %2$s chacun"
"Cache Lifetime (Seconds)","Durée de vie du Cache (Secondes)"
"Cache refresh needed.","Réactualisation du Cache nécessaire"
"Can be Divided into Multiple Boxes for Shipping","Peut être divisé en plusieurs boîtes pour le transport"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un type d'entrée catalogue Menu Déroulant"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type d'entrée catalogue Menu Déroulant, Sélection Multiple et Prix"
"Can\'t create image.","Ne peut pas créer l'image."
"Cancel","Annuler"
"Cannot create image.","Ne peut pas créer l'image."
"Cannot create writeable directory '%s'.","Ne peut pas créer un répertoire enregistrable '%s'."
"Cart Item Attribute","Attribut de l'article du panier"
"Catalog","Catalogue"
"Catalog Category (Anchor)","Catégorie Catalogue (Attaché)"
"Catalog Category (Non-Anchor)","Catégorie Catalogue (Non-Attaché)"
"Catalog Category Link","Lien de la Catégorie Catalogue"
"Catalog New Products List","List des Nouveaux Produits du Catalogue"
"Catalog Price Scope","Etendue des Prix du Catalogue"
"Catalog Product Compare List","Liste de Comparaison des Produits du Catalogue"
"Catalog Product Email to a Friend","Envoyer le catalogue de produits par email à un ami"
"Catalog Product Image Gallery Popup","Popup Galerie d'Images du Produit du Catalogue"
"Catalog Product Link","Lien du Produit Catalogue"
"Catalog Product View (Any)","Affichage du Produit Catalogue (Tous)"
"Catalog Product View (Configurable)","Affichage du Produit Catalogue (Configurable)"
"Catalog Product View (Grouped)","Affichage du Produit Catalogue (Groupé)"
"Catalog Product View (Simple)","Affichage du Produit Catalogue (Simple)"
"Catalog Product View (Virtual)","Affichage du Produit Catalogue (Virtuel)"
"Catalog Section","Section Catalogue"
"Catalog Seo Popular Search Terms","Catalogue SEO Termes de Recherche Populaires"
"Catalog Seo Sitemap (Category List)","Catalogue SEO Plan du Site (Liste des catégories)"
"Catalog Seo Sitemap (Category Tree)","Catalogue SEO Plan du Site (Arbre des catégories)"
"Catalog Seo Sitemap (Common)","Catalogue SEO Plan du Site (Courant)"
"Catalog Seo Sitemap (Product List)","Catalogue SEO Plan du Site (Liste des Produits)"
"Catalog URL Rewrites","Catalogue Réécritures URL"
"Catalog product custom option values API","Interface de Programmation Applicative (API) des valeurs de l'option personnalisée des produits du catalogue"
"Catalog product custom options API","Interface de Programmation Applicative (API) des options personnalisées des produits du catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","catégories"
"Categories Sitemap","Catégories Plan du Site"
"Category","Catégorie"
"Category API","Catégorie API"
"Category Data","Données de la Catégorie"
"Category Flat Data","Données Fixes de la Catégorie"
"Category Link Block Template","Bloc Modèle du Lien de la Catégorie"
"Category Link Inline Template","Modèle Préféré du Lien de la Catégorie"
"Category Products","Produits de la Catégorie"
"Category Top Navigation","Haut de la Catégorie Navigation"
"Category URL Suffix","Suffixe de l'URL de la Catégorie"
"Category attributes API","Attributs API de la Catégorie"
"Category move error","Erreur de déplacement de catégorie"
"Category move operation is not possible: parent category is equal to child category.","L'opération de déplacement de catégorie n'est pas possible : la catégorie parent est la même que la catégorie enfant."
"Category move operation is not possible: the current category was not found.","L'opération de déplacement de catégorie n'est pas possible : la catégorie actuelle n'a pas été trouvée."
"Category move operation is not possible: the new parent category was not found.","L'opération de déplacement de la catégorie n'est pas possible: la nouvelle catégorie mère n'a pas été trouvée."
"Category must be an instance of Mage_Catalog_Model_Category.","La catégorie doit être un exemple de Mage_Catalogue_Modèle_Catégorie."
"Center","Centrer"
"Change","Changer"
"Change or Retrieve attribute store view","Modifier ou récupérer des attributs de la vue de la boutique"
"Change status","Changer le satut"
"Check items to add to the cart or","Cocher les articles à ajouter au panier ou"
"Choose an Option...","Choisir une option..."
"Clear All","Tout effacer"
"Clear Price","Réinitialiser le prix"
"Click for price","Cliquez pour le prix"
"Close Window","Fermer la fenêtre"
"Collapse All","Afficher tout"
"Comma-separated.","Séparé(es) par des virgules."
"Comparable","Comparable"
"Comparable on Front-end","Comparable depuis l'interface"
"Comparable on the Frontend","Comparable depuis l'interface"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Conditions Combination","Combinaison de conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Réglages du produit configurable"
"Configure Product","Configurer produit"
"Continue","Continuer"
"Copy From Configurable","Copier depuis configurable"
"Country/State","Pays/État"
"Create","Créer"
"Create (Upload)","Créer (envoyer)"
"Create Empty","Créer vide"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une Redirection Permanente pour les URL si la Combinaison URL a changé"
"Create Permanent Redirect for old URL","Créer une redirection permanente pour une vieille URL"
"Create Product Settings","Créer les réglages du produits"
"Create Simple Associated Product","Créer des produits simples associés"
"Create attribute set based on another set","Créer un ensemble d'attributs basé sur un autre ensemble"
"Create new attribute","Créer un nouvel attribut"
"Create new category","Créer une nouvelle catégorie"
"Create new product","Créer un nouveau produit"
"Cross-sells","Ventes liées"
"Currently Shopping by:","Shopping actuel par :"
"Custom Design","Dessin sur mesure"
"Custom Options","Personnaliser les options"
"Custom options","Options personnalisées"
"Customer Group","Groupe du client"
"Customers Reviews","Avis des clients"
"Customers Tagged Product","Les acheteurs ont étiqueté le produit"
"Data Type for Saving in Database","Type de données pour enregistrement dans la base de données"
"Date & Time Custom Options","Options de date et d'heure personnalisées"
"Date Fields Order","Ordre des champs de date"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la valeur d'économies"
"Default ""What's This"" Text Message","Message texte par défaut ""Qu'est-ce"""
"Default Popup Text Message","Message text pop-up par défaut"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Prix par défaut pour la navigation"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Définit l'étendue de base des monnaies (""Monnaies"" > ""Options des monnaies"" > ""Monnaies de base"")"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer l'ensemble d'attributs"
"Delete Category","Supprimer catégorie"
"Delete Group Price","Supprimer le prix de groupe"
"Delete Option","Supprimer option"
"Delete Row","Supprimer ligne"
"Delete Search","Supprimer recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete Tier","Supprimer le niveau"
"Delete attribute","Supprimer l'attribut"
"Delete category","Supprimer catégorie"
"Delete product","Supprimer produit"
"Depends on design theme","Dépend du thème visuel"
"Design","Design"
"Details","Détails"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier non autorisé."
"Display Actual Price","Afficher le prix réel"
"Display Price Interval as One Price","Afficher l'intervalle de prix comme Un Prix"
"Display Product Count","Afficher le nombre de produits"
"Display in Suggested Terms","Afficher dans les termes suggérés."
"Double click on a group to rename it","Double cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double cliquez sur une image pour taille réelle"
"Downloadable Information","Informations téléchargeables"
"Duplicate","Copier"
"Duplicate amount found.","Montant copié trouvé."
"Duplicate website group price customer group.","Copier le site internet prix de groupe clientèle."
"Duplicate website tier price customer group and quantity.","Dupliquer le prix de groupe client du site et la quantité."
"Duplicate website, country and state tax found.","Copie du site web, du pays et de la région trouvée."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}.Des chemins dynamiques ont un impact sur les performances du catalogue."
"Edit","Éditer"
"Edit Attribute Set '%s'","Modifier le jeu d'attributs : '%s'"
"Edit Product Attribute","Modifier l'attribut du produit"
"Edit Product Attribute ""%s""","Modifier attribut de produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Modifier la recherche '%s'"
"Edit Set Name","Modifier le nom défini"
"Email","Email"
"Email to a Friend","Envoyer à un ami par email"
"Empty","Vide"
"Enable MAP","Activer MAP"
"Enable Qty Increments","Activer quantité"
"Enable WYSIWYG","Permettre WYSIWYG"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option:% s"
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Echoué"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Echec de la copie du fichier %s. Veuillez supprimer les fichiers avec des images non existantes, et réessayer."
"Failed to move file: %s","Impossible de déplacer le fichier: %s"
"Feature Products","Produits à l'affiche"
"Field is not complete","Le champ n'est pas complet"
"File options format is not valid.","Le format des options du fichier n'est pas valide."
"File upload failed","L'envoi du fichier a échoué."
"Filter model name must be declared.","Un nom de modèle de filtre doit être précisé."
"Filter must be an object. Please set correct filter.","Le filtre doit être un objet. Veuillez définir un filtre correct."
"Filterable (no results)","Filtrable (pas de résultat)"
"Filterable (with results)","Filtrable (avec résultats)"
"First Name","Prénom"
"Fixed","Fixé"
"For internal use.","Pour usage interne."
"For the last time placed.","Placé pour la dernière fois."
"Frontend","Interface"
"Frontend Model","Modèle d'interface"
"Frontend Properties","Propriétés front-end"
"Gallery","Galerie"
"General Information","Informations générales"
"Get full information about attribute with list of options","Obtenez toutes les informations des attributs avec une liste des options"
"Get full information about custom option in product","Obtenez des renseignements complets sur l'option personnalisée dans le produit"
"Get list of available custom option types","Obtenez la liste des types d'options personnalisées disponibles"
"Get list of non-default attributes by product type and attributes set","Obtenez une liste des attributs, autres que celui par défaut, par type de produits et ensemble d'attributs"
"Get list of possible attribute types","Obtenir la liste des types d'attributs possibles"
"Get special price","Obtenez un prix spécial"
"Global","Global"
"Globally Editable","Globalement modifiable"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Group add","Groupe ajouter"
"Group remove","Suppression de groupe"
"Grouped Product","Produits  groupés"
"Groups","Groupes"
"Home","Accueil"
"ID","ID"
"ID: %s","Identifiant : %s"
"If empty, the Category Name will be used","Si vide, la catégorie Nom sera utilisé."
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne précisez pas une valeur d'option pour une vue spécifique de boutique alors la valeur par défaut sera utilisée."
"Image","Image"
"Image content is not valid base64 data.","Le contenu de l'image n'est pas valide à base64."
"Image does not exist.","L'image n'existe pas."
"Image file was not found.","Fichier image introuvable."
"Image type and information need to be specified for each store view.","Le type d'image et les informations doivent être précisés pour chaque vue de la boutique."
"In Cart","Dans le panier"
"In Stock","En stock."
"In stock","En stock"
"Incl. Tax","TTC"
"Index product and categories URL rewrites","Réécriture de l'index des produits et catégories"
"Index product attributes for layered navigation building","Attributs de la navigation par couches de l'index des produits"
"Index product prices","Prix de l'index des produits"
"Indexed category/products association","Catégorie indexée/association de produits"
"Info","Détails"
"Info Column Options Wrapper","Colonne infos options enrouler"
"Input Type","Entrer le type"
"Integer","Entier"
"Interval Division Limit","Limite de la division d'intervalle"
"Invalid Tier Prices","Prix invalides"
"Invalid attribute %s","Attribut %s invalide"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Option d'attribut invalide spécifiée pour l'attribut %s (%s), enregistrement sauté."
"Invalid attribute set specified, skipping the record.","Attribut de l'ensemble spécifié non-valide, passer le dossier."
"Invalid block: %s.","Bloc invalide : %s."
"Invalid category IDs.","Identifiants de catégorie invalides."
"Invalid category.","Catégorie non-valide."
"Invalid image file type.","Type de fichier image invalide."
"Invalid image type.","Type d'image non-valide."
"Invalid option ID specified for %s (%s), skipping the record.","Identifiant de l'option invalide pour %s (%s), ignorer."
"Invalid product type specified, skipping the record.","Le type de produit spécifié n'est pas valide, passer le dossier."
"Invalid store specified","Boutique spécifiée invalide"
"Invalid store specified, skipping the record.","Magasin spécifié invalide, enregistrement sauté."
"Invalid tier prices. The product is not associated to the requested website.","Niveau de prix non-valide. Le produit n'est pas associé au site demandé."
"Inventory","Inventaire"
"Is Default","Est par défaut"
"Is Required","Est requis"
"Items %s to %s of %s total","Éléments %s à %s sur un total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les éléments que vous ne souhaitez pas afficher dans les résultats de recherche ou dans le catalogue devrait avoir le statut ""Désactivé"" dans le magasin souhaité."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Objets que vous ne voulez pas afficher dans le catalogue ou les résultats de recherche doivent avoir le statut ""Désactivé"" dans la boutique en question."
"Keep your eyes open for our special Back to School items and save A LOT!","Gardez vos yeux ouverts pour nos articles spécialement destinés à la rentrée scolaire et économisez UN MAX !"
"Label","Label"
"Last Name","Nom de famille"
"Last Notification","Dernière notification"
"Layered Navigation","Navigation par couches"
"Learn More","En savoir plus"
"Line %d, Email: %s","Ligne %d, email : %s"
"Line %d, SKU: %s","Ligne %d, SKU : %s"
"Link (Related, Up sell, Cross sell)","Lien (lié, vente)"
"Link product does not exist.","Le lien du produit n'existe pas."
"Link to a Specified Category","Lien vers une catégorie précise"
"Link to a Specified Product","Lien vers un produit déterminé"
"List","Liste"
"List Mode","Mode liste"
"List of Products that are set as New","Liste de produits nouveaux"
"List of types","Liste de types"
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Attributes","Gérer attributs"
"Manage Catalog Categories","Gérer les catégories de catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de l'attribut)"
"Manage Product Attributes","Gérer les attributs de produit"
"Manage Product Sets","Gérer les jeux de produits"
"Manage Products","Gérer les produits"
"Manage Stock","Gérer le stock"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc)"
"Max Characters","Caractères max."
"Maximal Depth","Profondeur maximale"
"Maximum Image Size","Taille maximum de l'image"
"Maximum Number of Price Intervals","Nombre maximal d'intervalles de prix"
"Maximum Qty Allowed in Shopping Cart","Quantité maximum autorisée dans le panier"
"Maximum allowed image size for '%s' is %sx%s px.","La taille d'image maximale autorisée pour '%s' est %sx%sp px."
"Maximum image height","Hauteur maximale de l'image"
"Maximum image width","Largeur maximale de l'image"
"Maximum number of characters:","Nombre de caractères maximum :"
"Maximum number of price intervals is 100","Le nombre maximal d'intervalles de prix est de 100"
"Media Image","Image media"
"Minimum Advertised Price","Prix minimum annoncés"
"Minimum Lines per Page","Lignes minimum par page"
"Minimum Qty Allowed in Shopping Cart","Quantité minimum autorisée dans le panier"
"Minimum Qty for Item\'s Status to be Out of Stock","Quantité minimum pour que le statut de l'article soit ""Rupture de stock"""
"Missing SKU, skipping the record.","SKU manquant, le dossier est sauté."
"More Views","Plus de vues"
"Move","Déplacer"
"Move category in tree","Déplacez la catégorie dans l'arbre"
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées."
"N/A","N/A"
"Name","Nom"
"Name in %s","Nom dans %s"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut de produit"
"New Products","Nouveaux produits"
"New Products Grid Template","Modèle de grille nouveaux produits"
"New Products List Template","Modèle de liste nouveaux produits"
"New Root Category","Nouvelle catégorie principale"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom d'ensemble"
"New Subcategory","Nouvelle sous-catégorie"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Aucune mise à jour de mise en page"
"No options of this product are available.","Il n'y a pas d'options disponibles pour ce produit"
"No product collections found.","Pas de collection de produits trouvée."
"None","aucun"
"Not Visible Individually","Pas visibles individuellement"
"Notify Low Stock RSS","Notifier le faible stock dans le RSS"
"Notify for Quantity Below","Notifier pour les quantités en dessous de"
"Number of Products to Display","Nombre de produits à afficher"
"Number of Uses","Nombre d'utilisations"
"Number of results","Nombre de résultats"
"Number of results (For the last time placed)","Nombre de résultats (pour la dernière fois)"
"OK","OK"
"OR","OU"
"Old Price:","Ancien prix :"
"On Gesture","Par geste"
"Option validation failed to add product to cart.","Échec de l'ajout de la validation de l'option au panier."
"Option values","Valeurs d'option"
"Option:","Option:"
"Options","Options"
"Options Control","Contrôle de l'option"
"Options is required","Option requise"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Notre service client est disponible 24 heures sur 24, 7 jours sur 7. Appelez-nous au (555) 555-0123."
"Out of Stock","En rupture de stock"
"Out of stock","Epuisé"
"PM","PM"
"Page Title Separator","Séparateur titre de la page"
"Parent Category","Catégorie parent"
"Pending","En cours"
"Pending Reviews RSS","RSS des avis en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Veuillez ajouter des lignes à l'option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Veuillez faire attention : une fois que vous cliquez sur la ligne, les données du paquet sélectionné se chargeront et toutes les données non-enregistrées seront perdues."
"Please click on the Close Window button if it is not closed automatically.","Veuillez cliquer sur le bouton Fermer la fenêtre si celle-ci n'est pas fermée automatiquement."
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Veuillez actualiser""URL de réécriture du catalogue"" et ""Attributs de produits"" dans Système -> <a href=""%s"">Gestion de l'Index</a>"
"Please select a static block ...","Veuillez sélectionner un bloc statique..."
"Please select items.","Veuillez sélectionner des articles."
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attribut(s)."
"Please select product(s).","Veuillez sélectionner le(s) produit(s)."
"Please select products for attributes update","Veuillez sélectionner des produits pour la mise à jour des attributs"
"Please set up merge date/time","Veuillez définir la fusion date/heure"
"Please set up merge date/time later then present date","Veuillez mettre en place une fusion date/heure ultérieure à la date actuelle"
"Please specify date required option(s).","Veuillez spécifier l'(les) option(s) requise(s) pour la date."
"Please specify the number of products, that will not be divided into subintervals.","Veuillez spécifier le nombre de produits qui ne seront pas divisés en sous-intervalles."
"Please specify the product required option(s)","Veuillez spécifier l'option/ les options requise(s) pour le produit"
"Please specify the product required option(s).","Veuillez spécifier l'option/les options requise(s) pour le produit."
"Please specify the product\'s option(s).","Veuillez spécifier les options du produit."
"Please specify the product\'s required option(s).","Veuillez spécifier l'option/les options requise(s) du produit."
"Please specify the quantity of product(s).","Veuillez spécifier la quantité de produit(s)."
"Please specify time required option(s).","Veuillez spécifier les options dépendant du temps."
"Please wait...","Veuillez patienter..."
"Position","Position"
"Position in Layered Navigation","Position dans la navigation par niveau"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc navigation par niveaux"
"Prev","Préc"
"Previous","Précédent"
"Price","Prix"
"Price Navigation Step Calculation","Calcul Prix Etape de Navigation"
"Price Type","Type de prix"
"Price is not available","Le prix n'est pas disponible"
"Price values for options should be specified in system base currency.","Les valeurs des prix pour les options devraient être définies dans une devise de base du système"
"Price:","Prix:"
"Price: %s","Prix : %s"
"Print This Page","Imprimer cette page"
"Product","Produit"
"Product API","Produit API"
"Product Alerts","Alertes produit"
"Product Attribute","Attribut de produit"
"Product Attributes","Attributs Produit"
"Product Categories","Catégories Produit"
"Product Extra Info","Informations supplémentaires sur le produit"
"Product Flat Data","Données fixes du produit"
"Product ID","ID produit"
"Product Image Placeholders","Paramètres Image du Produit"
"Product Image Watermarks","Filigranes Image du Produit"
"Product Images","Images du Produit"
"Product Images API","Images API du Produit"
"Product In Websites","Produit dans les Sites Internet"
"Product Info Column","Colonne d'informations du Produit"
"Product Information","Information produit"
"Product Link Block Template","Produit Lien Modèle Bloc"
"Product Link Inline Template","Produit Lien Modèle Conforme"
"Product Listing Sort by","Liste des Produits triés par"
"Product Name","Nom du produit"
"Product Prices","Prix des Produits"
"Product Reviews","Avis sur le produit"
"Product Tags","Étiquettes des produits"
"Product Tier Price API","Produit Niveau de Prix API"
"Product Type","Type de Produit"
"Product URL Suffix","Suffixe URL du produit"
"Product View Extra Hint","Vue par produit trace supplémentaire"
"Product attribute sets API","Jeux d'attributs Produit API"
"Product attributes API","Attributs API du produit"
"Product collection expected.","Collection du produit attendu."
"Product is not loaded","Le produit n'est pas chargé"
"Product links API (related, cross sells, up sells)","API de liens de produits (liés, ventes croisées ...)"
"Product name","Nom du produit"
"Product types API","Types API du produit"
"Product with this combination of attributes already associated to configurable.","Les produits avec cette combinaison d'attributs sont déjà associés à configurable."
"Products","Produits"
"Products Comparison List","Liste de comparaison des produits"
"Products Information","Information des produits"
"Products Reviews","Avis sur les produits"
"Products Sitemap","Plan du site produits"
"Products only","Produits seulement"
"Products per Page on Grid Allowed Values","Produits par page sur les valeurs autorisées des lignes"
