"%s %s cycle.","%s %s Zyklus."
"--Please Select--","--Bitte auswählen--"
"Refund action is not available.","Rückerstattung Aktion ist nicht verfügbar."
"Repeats %s time(s).","Wiederholt %s mal(e)."
"Repeats until suspended or canceled.","Wiederholt bis angehalten oder abgebrochen."
"Request Card Security Code","Kartensicherheitscode anfordern"
"Saved CC","Gespeichertes CC"
"Schedule Description","Ablaufplanbeschreibung"
"Schedule description must be not empty.","Ablaufplanbeschreibung darf nicht leer sein."
"Selected payment type is not allowed for billing country.","Der ausgewählte Zahlungstyp ist für das in der Rechnungsadresse genannte Land nicht erlaubt."
"Send Check to","Sende Scheck an"
"Send Check to:","Sende Scheck an:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validierung"
"Severe validation removes chargeback liability on merchant.","Severe Validierung entfernt Ausgleichhaftung des Händlers."
"Shipping Amount","Versandbetrag"
"Short description of the recurring payment. By default equals to the product name.","Kurze Beschreibung der turnusmäßigen Zahlung. Standardmäßig ist das der Produktname."
"Sort Order","Sortierreihenfolge"
"Start Date","Startdatum"
"Start date has invalid format.","Startdatum hat ein ungültiges Format."
"Start date is undefined.","Startdatum ist nicht definiert."
"Subscriber Name","Abonnentenname"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro-Issue Number"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro-Start Date"
"Tax Amount","Steuerbetrag"
"Test Mode","Testmodus"
"The date when billing for the profile begins.","Das Datum an dem die Abrechnung für das Profil beginnt."
"The number of billing cycles for payment period.","Die Anzahl der Abrechnungszeiträume für die Zahlungsart."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Die Anzahl der planmäßigen Zahlungen die fehlschlagen dürfen bis das Profil automatisch suspendiert wird."
"The payment review action is unavailable.","Die Zahlungsreviewaktion ist nicht verfügbar."
"Title","Titel"
"Trial Billing Amount","Probeabrechnungsbetrag"
"Trial Billing Frequency","Probeabrechnungsfrequenz"
"Trial Billing Period Unit","Probeabrechnungsperiodeneinheit"
"Trial Period","Probeperiode"
"Trial billing amount is wrong.","Probeabrechnungsbetrag ist falsch."
"Trial billing period unit is wrong.","Probeabrechnungsperiodeneinheit ist falsch."
"Trial period frequency is wrong.","Probeperiodenfrequenz ist falsch."
"Trial period max cycles is wrong.","Maximale Zyklen für Probeperiode ist falsch."
"Two Weeks","Zwei Wochen"
"Unable to save Billing Agreement:","Abrechnungsvereinbarung kann nicht gespeichert werden:"
"Unit for billing during the subscription period.","Einheit für Abrechnung der Abonnementperiode."
"Unsupported currency code: %s.","Nicht unterstützter Währungscode: %s."
"Void action is not available.","Leer-Aktion ist nicht verfügbar."
"Week","Woche"
"What is this?","Was ist das?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Ob das Zahlungsprofil suspendiert werden soll, wenn die Erstzahlung fehlschlägt, oder ob der Betrag zur ausstehenden Bilanz hinzugefügt werden soll."
"Wrong %s specified.","%s ist falsch spezifiziert."
"Wrong or empty billing amount specified.","Falscher oder leerer Abrechnungsbetrag spezifiziert."
"Year","Jahr"
"Zero Subtotal Checkout","Leere Zwischensumme Checkout"
