Product,Productnaam
"Products Ordered","Bestelde Producten"
"Most Viewed","Meest bekeken"
"Show Report","Toon Rapport"
Interval,Periode
"Refresh Statistics","Statistieken verversen"
"Customers Reviews",Klantenrecensies
"Reviews for %1","Reviews for %1"
Detail,Detail
"Products Reviews",Productrecensies
"Products Bestsellers Report","Products Bestsellers Report"
"Coupons Usage Report","Kortingsbonnengebruik verslag"
"Price Rule","Winkelkarretje Prijs Regel"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Total Invoiced vs. Paid Report","Totaal gefactureerd vs. betaald verslag"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Totaal terugbetaald verslag"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total Refunded"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Totaal besteld verslag"
"Sales Items","Sales Items"
Profit,Profit
Paid,Paid
"Sales Tax","Sales Tax"
"Sales Shipping","Sales Shipping"
"Total Shipped Report","Totaal verzonden verslag"
Carrier/Method,Carrier/Method
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Bestelling Belasting Verslagen gesorteerd op Belastingtarief"
Rate,Rate
"Abandoned carts","Verlaten winkelmanden"
"Applied Coupon","Gebruikte kortingsbon"
"Products in carts","Producten in mandjes"
Carts,Mandjes
"Wish Lists","Wish Lists"
"Wishlist Purchase","Gekocht van verlanglijstjes"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Aantal keer verwijderd"
"Index type is not valid","Index type is not valid"
"Search Terms Report","Search Terms Report"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, ' 'click <a href=""%3"">here</a>."
"New Accounts Report","New Accounts Report"
"Order Count Report","Order Count Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Total Report","Order Total Report"
"Ordered Products Report","Ordered Products Report"
"Product Views Report","Product Views Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Low Stock Report","Low Stock Report"
"Low Stock","Lage Voorraad"
"Downloads Report","Downloads Report"
Review,recensie
Reviews,Reviews
"Customer Reviews Report","Customer Reviews Report"
"Customers Report",Klantenverslag
"Product Reviews Report","Product Reviews Report"
"Sales Report",Verkooprapport
"Best Sellers Report","Best Sellers Report"
"Tax Report","Tax Report"
"Shipping Report","Shipping Report"
"Invoice Report","Invoice Report"
"Refunds Report","Refunds Report"
"Coupons Report","Coupons Report"
Coupons,Waardebonnen
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Abandoned Carts","Verlaten winkelwagens"
Statistics,Statistieken
"No report code is specified.","No report code is specified."
"Recent statistics have been updated.","Recent statistics have been updated."
"We can't refresh recent statistics.","We can't refresh recent statistics."
"We updated lifetime statistics.","We updated lifetime statistics."
"We can't refresh lifetime statistics.","We can't refresh lifetime statistics."
"The product type filter specified is incorrect.","The product type filter specified is incorrect."
"Order Taxes Report Grouped by Tax Rates","Order Taxes Report Grouped by Tax Rates"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Promotion Coupons Usage Report","Promotion Coupons Usage Report"
"Most Viewed Products Report","Most Viewed Products Report"
"Show By","Show By"
"Select Date","Select Date"
"Customers that have wish list: %1%","Customers that have wish list: %1%"
"Number of wish lists: %1","Number of wish lists: %1"
"Number of items bought from a wish list: %1","Number of items bought from a wish list: %1"
"Number of times wish lists have been shared (emailed): %1","Number of times wish lists have been shared (emailed): %1"
"Number of wish list referrals: %1","Number of wish list referrals: %1"
"Number of wish list conversions: %1","Number of wish list conversions: %1"
"Show Report For:","Show Report For:"
"Recently Viewed","Recent bekeken"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed Products","Onlangs Bekeken Producten"
"Recently Compared","Recent vergeleken"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Show for Current","Show for Current"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Year-To-Date Starts","Year-To-Date Starts"
"Current Month Starts","Current Month Starts"
"Select day of the month.","Select day of the month."
"List of Products Recently Viewed by Visitor","Lijst van Producten die Recentelijk Bekeken zijn door Bezoeker"
"Number of Products to display","Aantal producten die u kunt laten zien"
"Viewed Products Grid Template","Toon productenrooster sjabloon"
"Viewed Products List Template","Toon productenlijst sjabloon"
"Viewed Products Images and Names Template","Viewed Products Images and Names Template"
"Viewed Products Names Only Template","Viewed Products Names Only Template"
"Viewed Products Images Only Template","Viewed Products Images Only Template"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lijst van Producten die Recentelijk Vergeleken en Verwijderd zijn van de Vergelijkingslijst door de Bezoeker."
"Compared Products Grid Template","Vergeleken producten rooster sjabloon"
"Compared Products List Template","Vergeleken producten lijst sjabloon"
"Compared Products Images and Names Template","Compared Products Images and Names Template"
"Compared Product Names Only Template","Compared Product Names Only Template"
"Compared Product Images Only Template","Compared Product Images Only Template"
Hits,Bezoeken
"Stock Quantity","Voorraad Quantity"
"Ordered Quantity","Ordered Quantity"
"This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone.","This report uses timezone configuration data. Be sure to refresh lifetime statistics any time you change store timezone."
"Average (Approved)","Average (Approved)"
"Last Review","Laatste Beoordeling"
"Order Created Date","Order Created Date"
"Order Updated Date","Order Updated Date"
"The Order Updated Date report is displayed in real-time, and does not need to be refreshed.","The Order Updated Date report is displayed in real-time, and does not need to be refreshed."
"Last Invoice Created Date","Last Invoice Created Date"
"Last Credit Memo Created Date","Last Credit Memo Created Date"
"First Invoice Created Date","First Invoice Created Date"
"Refresh Lifetime Statistics","Levensduur statistieken verversen"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Weet u zeker dat u de levensduur statistieken wilt verversen? Deze operatie kan de performantie negatief beïnvloeden."
"Refresh Statistics for the Last Day","Statistiek voor de laatste dag verversen"
"Are you sure you want to refresh statistics for last day?","Are you sure you want to refresh statistics for last day?"
undefined,ongedefinieerd
