Cancel,Cancelar
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
Subscriber,Assinante
"Queue Start Date","Início  da fila de dados"
"Queue Subject","Assunto da Fila"
"Error Code","Erro do código"
"Error Text","Erro do texto"
"Queue Start","Começo da Fila"
"Queue End","Fim da Fila"
Processed,Processado
Unsubscribe,Desinscrever
"Customer First Name","Primeiro Nome do Cliente"
"Customer Last Name","Último Nome do Cliente"
"Not Activated","Não ativado."
Subscribed,Assinado
Unsubscribed,Desinscrito
Unconfirmed,"Não Confirmado"
