"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"* Required Fields","* Campos obrigatórios"
"Ship to Multiple Addresses","Entregar em Vários Endereços"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de Envio"
"Shipping Information","Dados de Frete"
"Shipping Method","Tipo de Frete"
"Shipping Methods","Tipos de Frete"
"Shipping To","Enviar Para"
"Shipping information","Informação de Envio"
"Shipping method has not been selected yet","Método de envio ainda não foi selecionado"
"Shipping methods in shopping cart","Métodos de envio no carrinho de compras"
"Shipping selection is not applicable.","Seleção de envio não é aplicável"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Form Before","Anterior Formulário de Carrinho de Compras"
"Shopping Cart Sidebar","Barra Lateral do Carrinho de Compras"
"Shopping Cart Sidebar Extra Actions","Ações Extra da Barra Lateral do Carrinho de Compras"
"Shopping Cart is Empty","Carrinho de Compras está Vazio"
"Shopping cart ability to set coupon code","Capacidade do carrinho de compras para definir código de cupom"
"Show Content as","Mostrar Conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos solicitados não estão disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas por causa de incompatibilidade no incremento da quantidade"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, o checkout de convidado não está ativado. Por favor tente novamente ou entre em contato com o proprietário da loja."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Desculpe, o checkout de convidado não é permitido. Por favor tente novamente ou entre em contato com o proprietário da loja."
"Sorry, no quotes are available for this order at this time.","Desculpe, não há citações disponíveis neste momento para esta ordem."
"State/Province","Estado/Província"
"Status","Status"
"Store View","Visualização da loja"
"Street Address","Endereço da Rua"
"Street Address %s","Endereço da Rua %s"
"Submitting order information...","Enviando informações da ordem..."
"Subtotal","Subtotal"
"Subtotal must exceed minimum order amount","O subtotal precisa exceder a quantidade mínima de pedido"
"Telephone","Telefone"
"Terms and Conditions","Termos e Condições"
"Terms and Conditions Information","Informação de Termos e Condições"
"Terms and conditions","Termos e Condições"
"Text","Texto"
"Thank you for your purchase!","Obrigado por sua compra!"
"The condition has been deleted","A condição foi apagada"
"The condition has been saved.","A condição foi salva."
"The onepage checkout is disabled.","O checkout de uma página está desativado."
"The product could not be found.","O produto não pôde ser encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Há <a href=""%s"">%s itens</a> no seu carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","Há <a href=""%s"">1 item</a> no seu carrinho."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Já há um usuário registrado usando esse endereço de e-mail. Por favor faça login usando esse endereço de e-mail ou informe um endereço de e-mail diferente para registrar a sua conta."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar sua ordem. Entre em contato conosco ou tente novamente mais tarde."
"This condition no longer exists.","Esta condição não existe mais."
"Total","Total"
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Não é possível definir o Método de Pagamento."
"Unit Price","Preço Unitário"
"Update Cart","Atualizar Carrinho"
"Update Qty &amp; Addresses","Atualização de Quantidade e Endereços"
"Update Shopping Cart","Atualização do Carrinho de Compras"
"Update Total","Atualizar Total"
"Update product quantities in shopping cart","Atualizar quantidades de produtos no carrinho de compras"
"Update product(s) quantities in shopping cart","Atualizar quantidades de produto(s) no carrinho de compras"
"Use Billing Address","Use Endereço de Cobrança"
"VAT Number","Número VAT"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos processando o seu pedido e em breve você receberá um email com detalhes da ordem. Uma vez que o pedido seja enviado você receberá outro email com um link para acompanhar seu progresso."
"What's this?","O que é isso?"
"You have no items in your shopping cart.","Você não possui itens no carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você irá receber um e-mail de confirmação de pedido com detalhes de seu pedido e um link para acompanhar o progresso."
"Your Checkout Progress","Progresso de seu Pagamento"
"Your billing agreement # is: %s.","Seu acordo de faturamento # está: %s."
"Your order # is: %s.","Seu pedido # está: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser concluído neste momento pois não há métodos de pagamento disponíveis para ele."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento pois não há métodos de envio disponíveis para ele. Por favor faça as mudanças necessárias no seu endereço de envio."
"Your order has been received.","Seu pedido foi recebido."
"Your order number is ","O número do seu pedido é"
"Your recurring payment profiles:","Seus perfis de pagamentos recorrentes:"
"Zip/Postal Code","Zip/Código Postal"
