"* Select shipping method","* Selecteer  verzendmethode"
"Google Risk Information:","Google Risico Informatie:"
"Ground","Grond"
"Hide Cart Contents","Verberg Kaart Inhoud"
"Home Delivery","Thuisbezorging"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wanneer ontvankelijk, zal de inhoud van de kaart worden verborgen na het klikken op de Google Checkout knop in het boodschappenkarretje en worden hersteld als de ""Pas Kaart Aan"" link is geactiveerd."
"Inches","Inches (duimen)"
"Invoice Auto-Created: %s","Factuur Automatisch Aangemaakt: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Is Koper Bereid Marketing Emails te Ontvangen: %s"
"Key/URL delivery","Key/URL levering"
"Large - %s","Large - %s"
"Latest Charge: %s","Laatst gemaakte Kosten: %s"
"Latest Chargeback: %s","Laatste Chargeback: %s"
"Latest Refund: %s","Laatste Terugbetaling: %s"
"Location","Locatie"
"Media Mail","Mediapost"
"Medium - %s","Medium - %s"
"Merchant ID","Verkopers Identificatie"
"Merchant Key","Handels Toets"
"Method","Methode"
"New Order Status","Nieuwe Status van de Bestelling"
"Next Day Air","Levering volgende werkdag"
"Next Day Air Early AM","Levering volgende werkdag in de vroege ochtend"
"Next Day Air Saver","Levering volgende werkdag"
"No","Nee"
"No Comment","Geen commentaar"
"No Reason","Zonder Reden"
"Optimistic","Optimistisch"
"Optional, leave empty for home page.","Optioneel, laat leeg voor de home page."
"Order creation error","Bestelorder aanmaak fout"
"Parcel Post","Pakketpost"
"Pessimistic","Pessimistisch"
"Priority Mail","Prioritaire Post"
"Priority Overnight","Levering volgende werkdag"
"Rate 1 Amount","Niveau 1 Aantal"
"Rate 1 Ship To Applicable Countries","Niveau 1 Verzend Naar Geschikte Landen"
"Rate 1 Ship to Specific Countries","Niveau 1 Verzend naar Specifieke Landen"
"Rate 1 Title","Niveau 1 Titel"
"Rate 2 Amount","Niveau 2 Aantal"
"Rate 2 Ship To Applicable Countries","Niveau 2 Venzend Naar Geschikte Landen"
"Rate 2 Ship to Specific Countries","Niveau 2 Verzend naar Specifieke Landen"
"Rate 2 Title","Niveau 2 Titel"
"Rate 3 Amount","Niveau 3 Aantal"
"Rate 3 Ship To Applicable Countries","Niveau 3 Verzend Naar Geschikte Landen"
"Rate 3 Ship to Specific Countries","Niveau 3 Verzend naar Specifieke Landen"
"Rate 3 Title","Niveau 3 Titel"
"Remove","Verwijderen"
"Required for live Google Checkout transactions.","Noodzakelijk voor live Google Checkout transacties."
"Residential","residentieel"
"Sandbox","Zandbak"
"Secure Callback URL","Veilige Terugbelfunctie URL"
"Small - %s","Small - %s"
"Standard Overnight","Standaard levering volgende werkdag"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","De toegepaste hoeveelheid b.t.w. is gebaseerd op de ontvangen informatie van Google Checkout, omdat de ontvangen hoeveelheid b.t.w. anders is dan de berekende."
"Title","Titel"
"Total Chargeback: %s","Totale Chargeback: %s"
"Total Charged: %s","Totaal Bedrag: %s"
"Total Refunded: %s","Totale teruggave: %s"
"Transparent","Transparant"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Unknown Reason","Onbekende Reden"
"White Background","Witte Achtergrond"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","U gaat binnen enkele seconden terug naar GoogleCheckout"
