Custom,Kundenspezifisch
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"View Demo","Demo anzeigen"
"See terms","See terms"
"You will be redirected to the PayPal website.","Sie werden zur PayPal Webseite weitergeleitet."
"Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?","Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?"
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal-Website weitergeleitet, wenn Sie eine Bestellung aufgeben."
"Click here if you are not redirected within 10 seconds.","Click here if you are not redirected within 10 seconds."
"You will be redirected to the PayPal website in a few seconds.","Sie werden in wenigen Sekunden auf die PayPal Website weitergeleitet."
"You canceled the billing agreement.","You canceled the billing agreement."
"We could not cancel the billing agreement.","We could not cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We could not delete the billing agreement.","We could not delete the billing agreement."
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"View Transaction","Transaktion anzeigen"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from '%2@%3'.","We fetched %1 report rows from '%2@%3'."
"We couldn't fetch reports from '%1@%2'.","We couldn't fetch reports from '%1@%2'."
"Billing Agreement # %1","Billing Agreement # %1"
"We couldn't start the billing agreement wizard.","We couldn't start the billing agreement wizard."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"We couldn't cancel the billing agreement.","We couldn't cancel the billing agreement."
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"We can't start Express Checkout.","We can't start Express Checkout."
"Express Checkout and Order have been canceled.","Express-Checkout und Bestellung wurden storniert."
"Express Checkout has been canceled.","Express-Checkout storniert."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't place the order.","We can't place the order."
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express-Checkout Token existiert nicht."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"PayPal response hasn't required fields.","Die erforderlichen Pflichtfelder für die PayPal Antwort wurden nicht ausgefüllt."
"Something went wrong while processing your order.","Something went wrong while processing your order."
"PayPal gateway has rejected request. %1","PayPal gateway has rejected request. %1"
"PayPal gateway rejected the request. %1","PayPal gateway rejected the request. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Abrechnungsvereinbarung kann nicht gespeichert werden:"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","Wir bevorzugen PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Wir bevorzugen PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Jetzt wird PayPal (150 X 60) angenommen"
"Now accepting PayPal (150 X 40)","Wir nehmen jetzt PayPal an (150 X 40)"
"Payments by PayPal (150 X 60)","Zahlungen durch PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Zahlungen durch PayPal (150 X 40)"
"Shop now using (150 X 60)","Kaufen Sie jetzt ein indem sie (150 X 60) nutzen"
"Shop now using (150 X 40)","Kaufen Sie jetzt mit (150 X 40)"
Shortcut,Shortcut
"Acceptance Mark Image","Akzeptanz Kennzeichnungs-Logo"
Sale,Verkauf
"For Virtual Quotes Only","Nur für virtuelle Angebote"
Auto,Automatisch
"Ask Customer","Beim Kunden anfragen"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","API Signatur"
"API Certificate",API-Zertifikat
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.","Die maximal mögliche Anzahl an Kinder-Autorisationen ist erreicht."
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process."
"Payer is not identified.","Zahler ist nicht identifiziert"
"Last Transaction ID","Letzte Überweisungs-Kennnummer"
"This customer did not include a confirmed address.","This customer did not include a confirmed address."
"The payment is authorized but not settled.","Die Zahlung wurde autorisiert aber noch nicht ausgeführt."
"The payment eCheck is not yet cleared.","Zahlung per eCheck ist noch nicht vereinbart."
"The merchant holds a non-U.S. account and does not have a withdrawal mechanism.","The merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"The payment currency does not match any of the merchant's balances currency.","The payment currency does not match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","Zahlung steht noch aus und wird von PayPal auf Risiken geprüft."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Die Zahlung steht noch aus, da sie an eine Email-Adresse versandt wurde, die weder registriert noch bestätigt ist."
"The merchant account is not yet verified.","Das Händlerkonto wurde noch nicht verifiziert."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Die Zahlung wurde mit Kreditkarte getätigt. Damit der Händler Zahlungen erhalten kann, muss er sein Konto auf Business- oder Premiumstatus upgraden."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Storno einer Änderung"
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Rückerstattung für eine Rückbuchung"
"Settlement of a chargeback.","Zahlung eine Rücklastschrift"
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Unbekannter Grund. Bitte kontaktieren Sie den PayPal Kundenservice."
"Payer ID","Zahler Kennnummer"
"Payer Email","Zahler Email"
"Payer Status","Zahler Status"
"Payer Address ID","Zahler Adressen Kennummer"
"Payer Address Status","Adressenstatus des Zahlers"
"Merchant Protection Eligibility","Händlerschutz Berechtigung"
"Triggered Fraud Filters","Ausgelöste Betrugsfilter"
"Last Correlation ID","Letzte Korrelations Identifizierung"
"Address Verification System Response","Adressen Prüfsystem Rückmeldung"
"CVV2 Check Result by PayPal","CVV2 Prüfergebnis durch PayPal"
"Buyer's Tax ID","Steuernummer des Käufers"
"Buyer's Tax ID Type","Art der Steuernummer des Käufers"
Chargeback,Rücklastschrift
Complaint,Complaint
Dispute,Dispute
"Matched Address only (no ZIP)","Nur übereinstimmende Adresse (keine Postleitzahl)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","Keine Details stimmen überein"
"No Details matched. International","Keines der Details stimmt überein. International"
"Exact Match. Address and nine-digit ZIP code","Genaue Übereinstimmung. Adresse und neunstellige Postleitzahl"
"Exact Match. Address and Postal Code. International","Genaue Übereinstimmung. Adresse und Postleitzahl. International"
"Exact Match. Address and Postal Code. UK-specific","Genaue Übereinstimmung. Adresse und Postleitzahl. GB-spezifisch"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Nicht zutreffend.  MOTO (Internet/Telefon) Transaktionen nicht erlaubt"
"N/A. Global Unavailable","N/A. Weltweit nicht verfügbar"
"N/A. International Unavailable","N/A. International nicht verfügbar"
"Matched five-digit ZIP only (no Address)","Nur die fünfstellige Postleitzahl stimmt überein (keine Adresse)"
"Matched Postal Code only (no Address)","Nur die Postleitzahl stimmt überein (keine Adresse)"
"N/A. Retry","N/A. wiederholen"
"N/A. Service not Supported","Nicht zutreffend. Service nicht angeboten"
"N/A. Unavailable","N/A. Nicht verfügbar"
"Matched whole nine-didgit ZIP (no Address)","Die ganze neunstellige Postleitzahl stimmt überein (keine Adresse)"
"Yes. Matched Address and five-didgit ZIP","Ja. Adresse und fünfstellige Postleitzahl stimmen überein."
"All the address information matched","Alle Adressdaten stimmen überein"
"None of the address information matched","Keine der Adress-Informationen stimmt überein"
"Part of the address information matched","Die Adressen-Information stimmt teilweise überein"
"N/A. The merchant did not provide AVS information","Nicht zutreffend. Der Händler hat keine AVS Informationen angegeben"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse nicht geprüft oder der Käufer bekam keine Antwort. Service nicht verfügbar."
"Matched (CVV2CSC)","Übereinstimmung (CVV2CSC)"
"No match","Keine Übereinstimmung"
"N/A. Not processed","N/A. Nicht verarbeitet"
"N/A. Service not supported","Nicht verfügbar. Service wird nicht unterstützt."
"N/A. Service not available","N/A. Service ist nicht verfügbar"
"N/A. No response","N/A. Keine Antwort"
"Matched (CVV2)","abgeglichen (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Der Händler benutzt keine CVV2 Code Verarbeitung"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Händler hat angezeigt, dasssich CVV2 nicht auf der Karte befindet."
"Authenticated, Good Result","Authentifiziert, richtiges Ergebnis"
"Authenticated, Bad Result","Authentifiziert, falsches Ergebnis"
"Attempted Authentication, Good Result","Versuchte Authentifizierung, richtiges Ergebnis"
"Attempted Authentication, Bad Result","Versuchte Authentifizierung, falsches Ergebnis"
"No Liability Shift","Keine Haftung Wechseln"
"Issuer Liability","Haftung des Ausstellers"
CNPJ,CNPJ
CPF,CPF
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"Created billing agreement #%1.","Created billing agreement #%1."
"We couldn't create a billing agreement for this order.","We couldn't create a billing agreement for this order."
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Fetch transaction details method does not exists in Payflow","Fetch transaction details method does not exists in Payflow"
"We cannot send the new order email.","We cannot send the new order email."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"Payment transactions disallow storing objects.","Zahlungen beinhalten nicht das Speichern der Objekte."
"You need to enter a transaction ID.","You need to enter a transaction ID."
"This operation requires an existing transaction object.","Dieser Vorgang erfordert einen bestehenden Transaktionsgegenstand."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date",Berichtsdatum
"Merchant Account","Händler Konto"
"Transaction ID",TransaktionsID
"Invoice ID",Rechnungsnummer
"PayPal Reference ID","PayPal Referenz-Kennnummer"
"PayPal Reference ID Type","PayPal Referenz.Kennnummerntyp"
"Event Code",Vorgang-Schlüssel
"Finish Date","Finish Date"
"Debit or Credit","Soll oder Haben"
"Gross Amount",Bruttobetrag
"Fee Debit or Credit","Gebühr Soll oder Haben"
"Fee Amount","Gebühr Betrag"
"Order ID",Bestellungsidentifizierung
"Subscription ID",Bestellnummer
"Preapproved Payment ID","Vorabgenehmigte Zahlung Kennnummer"
Credit,Guthaben
Debit,Soll
"General: received payment of a type not belonging to the other T00xx categories","Allemein: Zahlung eines Typs erhalten, der nicht zu den anderen T00xx Kategorien gehört"
"Mass Pay Payment","""Mass Pay"" Zahlungen"
"Subscription Payment, either payment sent or payment received","Abonnementzahlung, entweder geschickte Zahlung oder Zahlung erhalten"
"Preapproved Payment (BillUser API), either sent or received","Vorausgenehmigte Bezahlung (BillUser API), entweder geschickt oder erhalten"
"eBay Auction Payment","eBay Auktion Zahlung"
"Direct Payment API","Direktzahlung API"
"Express Checkout APIs","Express Kaufabwicklung APIs"
"Website Payments Standard Payment","Webseite Zahlungen Standard Zahlung"
"Postage Payment to either USPS or UPS","Zahlung der Versandgebühr entweder an USPS oder UPS"
"Gift Certificate Payment: purchase of Gift Certificate","Zahlung mit Geschenkgutschein: Kauf von Geschenkgutscheinen"
"Auction Payment other than through eBay","Eine andere Auktionszahlung als über eBay"
"Mobile Payment (made via a mobile phone)","Handy Zahlung (Zahlung erfolgt per Handy)"
"Virtual Terminal Payment","Virtuelles Zahlungsterminal"
"General: non-payment fee of a type not belonging to the other T01xx categories","Gebühr für Zahlungsverweigerung eines Typs, der nicht zu den anderen T01xx Kategorien gehört"
"Fee: Web Site Payments Pro Account Monthly","Gebühr: monatliche Zahlungen der Webseite für Konto"
"Fee: Foreign ACH Withdrawal","Gebühr Storno"
"Fee: WorldLink Check Withdrawal","Gebühr: WorldLink Scheckauszahlung"
"Fee: Mass Pay Request","Gebühr: Anforderung Sammelzahlung"
"General Currency Conversion","Allgemein Währungsumrechnung"
"User-initiated Currency Conversion","Vom Benutzer ausgelöste Währungsumrechnung"
"Currency Conversion required to cover negative balance","Währungsumrechnung erforderlich, um negatives Saldo zu decken"
"General Funding of PayPal Account ","Allgemein Finanzierung des PayPal Kontos"
"PayPal Balance Manager function of PayPal account","PayPal Guthaben-Managerfunktion des PayPal Kontos"
"ACH Funding for Funds Recovery from Account Balance","ACH Finanzierung der Zurückgewinnung des Kontostands"
"EFT Funding (German banking)","EFT Finanzierung (Deutsches Banksystem)"
"General Withdrawal from PayPal Account","Allgemein Abhebung vom PayPal Konto"
AutoSweep,Selbstdurchlauf
"General: Use of PayPal account for purchasing as well as receiving payments","Allgemein: Verwendung des PayPal Kontos für Einkauf und den Empfang von Zahlungen"
"Virtual PayPal Debit Card Transaction","Virtuelle PayPal Überweisung mit Debitkarte"
"PayPal Debit Card Withdrawal from ATM","PayPal Debitkarte Abhebung von ATM"
"Hidden Virtual PayPal Debit Card Transaction","Verborgene virtuelle PayPal Debitkarten Überweisung"
"PayPal Debit Card Cash Advance","PayPal Debitkarte Barvorschuss"
"General: Withdrawal from PayPal Account","Allgemein: Abhebung vom PayPal Konto"
"General (Purchase with a credit card)","Allgemein (Kauf mit einer Kreditkarte)"
"Negative Balance","Negatives Guthaben"
"General: bonus of a type not belonging to the other T08xx categories","Allgemein: Bonus eines Typs der nicht zu den anderen T08xx Kategorien gehört"
"Debit Card Cash Back","Debitkarte Cash Back"
"Merchant Referral Bonus","Händler Empfehlungsbonus"
"Balance Manager Account Bonus","Guthaben-Manager Kontobonus"
"PayPal Buyer Warranty Bonus","PayPal Käufer Garantiebonus"
"PayPal Protection Bonus","PayPal Schutz Bonus"
"Bonus for first ACH Use","Bonus für erste ACH-Benutzung"
"General Redemption","Allgemein Rückzahlung"
"Gift Certificate Redemption","Einlösung von Geschenkgutscheinen"
"Points Incentive Redemption","Einlösung von Loyalitätspunkten"
"Coupon Redemption",Coupon-Einlösung
"Reward Voucher Redemption","Belohnungsgutschein Einlösung"
"General. Product no longer supported","Allgemein. Produkt wird nicht mehr untersützt"
"General: reversal of a type not belonging to the other T11xx categories","Allgemein: Storno eines Typs der nicht zu den anderen T11xx Kategorien gehört"
"ACH Withdrawal","ACH Abhebung"
"Debit Card Transaction","Debitkarte Überweisung"
"Reversal of Points Usage","Points Rückbelastung"
"ACH Deposit (Reversal)","ACH Einlage (Stornierung)"
"Reversal of General Account Hold","Storno des Hauptkontos durchführen"
"Account-to-Account Payment, initiated by PayPal","Konto-zu-Konto Zahlung, von PayPal eingeleitet"
"Payment Refund initiated by merchant","Rückerstattung der Zahlung durch den Händler initiiert"
"Fee Reversal","Gebühr: ACH Auslands-Abhebung[caution! - this translation is for job#55147 and vice versa. sorry]"
"Hold for Dispute Investigation","Zurückgehalten wegen Disput Überprüfung"
"Reversal of hold for Dispute Investigation","Stornierung einer Reservierung des Kontos wegen Disput Untersuchung"
"General: adjustment of a type not belonging to the other T12xx categories","Allgemein: Einstellung eines Typs der nicht zu den anderen T12xx Kategorien gehört"
Reversal,Rückbelastung
Charge-off,abbuchen
Incentive,Anreiz
"Reimbursement of Chargeback","Rückerstattung einer Rücklastschrift"
"General (Authorization)","Allgemein (Berechtigung)"
Reauthorization,"Erneute Autorisierung"
Void,Leer
"General (Dividend)","Allgemein (Dividende)"
"General: temporary hold of a type not belonging to the other T15xx categories","Allgemein: Vorübergehende Einbehaltung eines Typs, der nicht zu den anderen T15xx Kategorien gehört"
"Open Authorization","Autorisierung öffnen"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Einlage (Für Dispute oder andere Untersuchungen zurückgehalten)"
"Available Balance","Verfügbares Guthaben"
Funding,Finanzierung
"General: Withdrawal to Non-Bank Entity","Allgemein: Abhebung von Nichtbank-Finanzintermediären"
"WorldLink Withdrawal","WorldLink Abhebung"
"Buyer Credit Payment","Käuferkredit Zahlung"
"General Adjustment without businessrelated event","Allgemeine Einstellung ohne geschäftsbezogenen Vorgang"
"General (Funds Transfer from PayPal Account to Another)","Allgemein (Geldtransfer von einem PayPal Konto auf ein anderes)"
"Settlement Consolidation","Zahlung Zusammenführung"
"General: event not yet categorized","Allgemein: noch nicht klassifiziert"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Header (center)","Header (center)"
"Sidebar (right)","Sidebar (right)"
"Near PayPal Credit checkout button","Near PayPal Credit checkout button"
"Every 3 days","alle 3 Tage"
"Every 7 days","alle 7 Tage"
"Every 10 days","alle 10 Tage"
"Every 14 days","alle 14 Tage"
"Every 30 days","alle 30 Tage"
"Every 40 days","alle 40 Tage"
"No Logo","Kein Logo"
"Pending PayPal","PayPal ausstehend"
"Billing Agreement",Rechnungsvereinbarung
"Created At","Created At"
"Updated At","Updated At"
"-- Please Select Billing Agreement--","-- Bitte wählen Sie Rechnungsvereinbarung --"
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
Status:,Status:
Created:,Created:
Updated:,Updated:
"Payment Method:","Payment Method:"
"Ship To","Ship To"
"Back to Billing Agreements","Zurück zu Rechnungsvereinbarungen"
"There are no billing agreements yet.","Es gibt noch keine Rechnungsvereinbahrungen."
"New Billing Agreement","Neue Abrechnungsvereinbarung"
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
Create...,Create...
"Your billing agreement # is: %1.","Your billing agreement # is: %1."
"Review Order","Auftrag überprüfen"
"Please select a shipping method...","Bitte wählen Sie eine Versandart aus..."
"Update Shipping Method","Update Shipping Method"
"Edit Payment Information","Edit Payment Information"
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Please update order data to get shipping methods and rates","Aktualisieren Sie bitte die Auftragsdaten für Versandmethoden und -tarife"
"Checkout with PayPal","Mit PayPal abmelden"
"Please do not refresh the page until you complete payment.","Bitte die Seite nicht aktualisieren, bis Sie die Zahlung abgeschlossen haben."
"You will be required to enter your payment details after you place an order.","Sie werden aufgefordert, Ihre Zahlungsdaten eingeben, nachdem Sie eine Bestellung aufgegeben haben."
"Additional Options","Zusätzliche Optionen"
"Acceptance Mark","Akzeptanz Kennzeichnung"
"What is PayPal?","Was ist PayPal?"
"Sign a billing agreement to streamline further purchases with PayPal.","Unterzeichnen sie eine Rechnungsvereinbarung, um zukünftige Käufe mit PayPal zu rationalisieren."
Schedule,Schedule
Size,Size
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"Test Mode","Test Mode"
"Payment Action","Payment Action"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Debug Mode","Debug Mode"
"Sandbox Mode","Sandbox Mode"
1,1
"Merchant Location","Merchant Location"
"Merchant Country","Merchant Country"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Includes Express Checkout)"
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Required PayPal Settings","Required PayPal Settings"
"Website Payments Pro and Express Checkout","Website Payments Pro and Express Checkout"
"Enable this Solution","Enable this Solution"
"Advertise PayPal Credit","Advertise PayPal Credit"
"
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        ","
                            <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                        "
"Home Page","Home Page"
"Catalog Category Page","Catalog Category Page"
"Catalog Product Page","Catalog Product Page"
"Checkout Cart Page","Checkout Cart Page"
"Basic Settings - PayPal Website Payments Pro","Basic Settings - PayPal Website Payments Pro"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"Credit Card Settings","Credit Card Settings"
"Allowed Credit Card Types","Allowed Credit Card Types"
