"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s is toegevoegd aan uw wensenlijst. Klik <a href=""%2$s"">hier</a> om verder te gaan met winkelen."
"%1$s has been updated in your wishlist.","%1$s is geüpdatet in uw wensenlijst."
"%d product(s) have been added to shopping cart: %s.","%d product(en) zijn toegevoegd aan het winkelwagentje: %s."
"%s for ""%s"".","%s voor ""%s""."
"%s has been moved to wishlist %s","%s is verplaatst naar verlanglijstje %s"
"%s's Wishlist","%s's Verlanglijstje"
"* Required Fields","* Vereiste velden"
"Days in Wishlist","Dagen in Wensenlijst"
"Display Wishlist Summary","Laat Wensenlijst Samenvatting Zien"
"Edit","Bewerken"
"Email Sender","E-mail Verzender"
"Email Template","E-mail Sjabloon"
"Email address can\'t be empty.","E-mailadres mag niet leeg zijn."
"Email addresses, separated by commas","E-mailadressen, gedeeld door komma's"
"Enabled","Aan"
"General Options","Algemene opties"
"Go to Wishlist","Ga naar Verlanglijstje"
"Helper for wishlist options rendering doesn't implement required interface.","Helper voor wensenlijst instellingen weergave kan het benodigde interface niet implementeren."
"In stock","In voorraad"
"Last Added Items","Laatst Toegevoegde Items"
"Message","Boodschap"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Mijn Verlanglijstje (%d item)"
"My Wishlist (%d items)","Mijn Verlanglijstje (%d items)"
"My Wishlist <small>(%d)</small>","Mijn Verlanglijstje <small>(%d)</small>"
"My Wishlist Link","Mijn Wensenlijst Link"
"Options Details","Instellingen Details"
"Out of stock","Uit voorraad"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Vul alstublieft geldige email adressen in, gescheiden door komma's. Bijvoorbeeld johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Voer alstublieft een geldig email adres in."
"Please, enter your comments...","Alstublieft, vul uw commentaar in..."
"Product","Product"
"Product Details and Comment","Product Details en het Commentaar"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(en) %s hebben verplichte opties. Elk van deze producten kan alleen afzonderlijk aan het winkelwagentje toegevoegd worden."
"Product(s) %s have required options. Each product can only be added individually.","Product(en) %s hebben vereiste opties. Elk product kan alleen afzonderlijk worden toegevoegd."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link naar %s's verlanglijstje"
"Remove Item","Artikel verwijderen"
"Remove This Item","Verwijder Dit Item"
"Remove item","Verwijder artikel"
"Requested cart item doesn't exist","Aangevraagde winkelwagen item bestaat niet"
"Requested wishlist doesn't exist","Aangevraagde verlanglijstje bestaat niet"
"Share Options","Deel Opties"
"Share Wishlist","Deel Verlanglijstje"
"Share Your Wishlist","Deel Uw Verlanglijstje"
"Sharing Information","Informatie over Delen"
"This product(s) is currently out of stock","Dit product(en) is momenteel niet op voorraad"
"Unable to add the following product(s) to shopping cart: %s.","Niet mogelijk om het volgende product(en) toe te voegen aan uw bestelling: %s."
"Update Wishlist","Bijwerken Verlanglijst"
"User description","Gebruikers beschrijving"
"View Details","Details bekijken"
"View Product","Product Bekijken"
"What's this?","Wat is dit?"
"Wishlist","Verlanglijst"
"Wishlist Section","Onderdeel Verlanglijst"
"Wishlist Sharing","Verlanglijst Delen"
"Wishlist could not be created.","Verlanglijst kan niet worden gemaakt."
"Wishlist is empty now.","Verlanglijst is nu leeg."
"You have no items in your wishlist.","U heeft geen onderdelen in uw verlanglijst."
"Your Wishlist has been shared.","Uw Verlanglijst is gedeeld."
