"%s %s cycle.","Ciclo %s %s."
"--Please Select--","--Por Favor, Escolha--"
"Purchase Order Number","Número de Ordem de Compra"
"Purchase Order Number:","Número de Ordem de Compra:"
"Purchase Order Number: %s","Número do Pedido de Compra: %s"
"Recurring Profile Start Date","Data Inicial de Perfil Recorrente"
"Recurring profile start date has invalid format.","A data inicial de perfil recorrente tem formato inválido."
"Reference ID is not set.","A identificação da referência não está configurada."
"Refund action is not available.","Ação de reembolso não está disponível."
"Repeats %s time(s).","Repete %s vez(es)."
"Repeats until suspended or canceled.","Repete até suspensão ou cancelamento."
"Request Card Security Code","Solicitar Código de Segurança do Cartão"
"Saved CC","CC Salvo"
"Schedule Description","Descrição do Agendamento"
"Schedule description must be not empty.","A descrição de agendamento não pode estar vazia."
"Selected payment type is not allowed for billing country.","O tipo de pagamento selecionado não é permitido para o país de cobrança."
"Send Check to","Enviar Cheque para"
"Send Check to:","Enviar Cheque para:"
"Severe 3D Secure Card Validation","Validação de Cartão Severe 3D Secure"
"Severe validation removes chargeback liability on merchant.","A validação rigorosa isenta o comerciante da responsabilidade de desconto."
"Shipping Amount","Valor do Frete"
"Short description of the recurring payment. By default equals to the product name.","Breve descrição do pagamento recorrente. Por padrão, é igual ao nome do produto."
"Sort Order","Classificar pedido"
"Start Date","Data de início"
"Start date has invalid format.","A data inicial tem formato inválido."
"Start date is undefined.","A data inicial está indefinida."
"Subscriber Name","Nome do Assinante"
"Switch/Solo/Maestro Issue Number","Número de Emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Somente Swith/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data Inicial do Switch/Solo/Maestro"
"Tax Amount","Valor do Imposto"
"Test Mode","Modo de Teste"
"The date when billing for the profile begins.","A data em que o faturamento para o perfil começa."
"The number of billing cycles for payment period.","O número de ciclos de faturamento para o período de pagamento."
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos programados que podem falhar antes que o perfil seja automaticamente suspenso."
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"Title","Título"
"Trial Billing Amount","Teste de Faturamento de Valor"
"Trial Billing Frequency","Teste de Faturamento de Frequência"
"Trial Billing Period Unit","Teste de Faturamento de Unidade de Período"
"Trial Period","Período Experimental"
"Trial billing amount is wrong.","Teste de faturamento de valor está errado."
"Trial billing period unit is wrong.","Teste de faturamento de unidade de período está errado."
"Trial period frequency is wrong.","Teste de faturamento de frequência está errado."
"Trial period max cycles is wrong.","Ciclo máximo de período experimental está errado."
"Two Weeks","Duas Semanas"
"Unable to save Billing Agreement:","Não foi possível salvar Acordo de Cobrança:"
"Unit for billing during the subscription period.","Unidade de faturamento durante o período de subscrição."
"Unsupported currency code: %s.","Código de moeda não suportada: %s."
"Void action is not available.","Ação de cancelamento não está disponível."
"Week","Semana"
"What is this?","O que é isso?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Quer se suspenda o perfil de pagamento se a taxa inicial falhar ou se adicione ao saldo devedor."
"Wrong %s specified.","%s errado especificado."
"Wrong or empty billing amount specified.","Montante de faturação especificado errado ou vazio."
"Year","Ano"
"Zero Subtotal Checkout","Subtotal Checkout Zero"
