"%s","%s"
"%s already exist.","%s bestaan al."
"%s already exists.","%s bestaat al."
"-- Please Select --","-- Selecteer a.u.b.--"
"Login is Case Sensitive","Inloggen is hoofdlettergevoelig"
"Logo Image","Logo afbeelding"
"Logo Image Alt","Logo afbeelding Alt"
"Logo Image Src","Logo afbeeldingsbestand"
"Mail Sending Settings","Email verstuur instellingen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Verzeker u ervan dat de basis-URL eindigt met '/' (schuine streep), bijvoorbeeld http://yourdomain/magento/"
"Manage Stores","Beheer winkels"
"Match expressions in the same order as displayed in the configuration.","Stem expressies overeen in dezelfde volgorde als weergegeven in de configuratie"
"Media Storage","Media Opslag"
"Merge CSS Files","CSS Bestanden Samenvoegen"
"Merge JavaScript Files","Voeg JavaScript bestanden samen"
"Miscellaneous HTML","Gemengde HTML"
"Miscellaneous Scripts","Veelsoortige Scripts"
"Model class does not exist: %s.","Model klasse bestaat niet: %s."
"Model collection resource name is not defined.","Model collectie bronnaam is niet gedefinieerd."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%$s"" kan niet afhankelijk zijn van ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" heeft module ""%2$s"" nodig."
"Name","Naam"
"New Design Change","Nieuwe Ontwerpverandering"
"New Store","Nieuwe Winkel"
"New Store View","Nieuwe winkelweergave"
"New Website","Nieuwe Website"
"No","Nee"
"Offloader header","Ontlader koptekst"
"PHP SOAP extension is required.","PHP SOAP extensie is vereist."
"Package","Pakket"
"Pagination","Paginanummering"
"Pagination Frame","Paginatie Frame"
"Pagination Frame Skip","Paginatie Frame Skip"
"Parent directory does not exist: %s","Hoofd pad bestaat niet: %s"
"Path ""%value%"" is not available and cannot be used.","Pad ""%value%"" is niet beschikbaar en kan niet gebruikt worden."
"Path ""%value%"" is protected and cannot be used.","Pad ""%value%"" is beschermd en kan niet worden gebruikt."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Pad ""%value%"" mag geen parent directory traversal bevatten (""../"", ""..\\)."""
"Please define flag code.","Definieer a.u.b. de vlagcode"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer 6 of meer karakters in a.u.b. Spaties worden genegeerd."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Geef 7 of meer karakters in. Wachtwoord moet zowel cijfers als letters bevatten."
"Please enter a number 0 or greater in this field.","Voer een nummer groter dan 0 in."
"Please enter a number 1 or greater in this field.","Voer aub een nummer 1 of hoger in dit veld in."
"Please enter a number greater than 0 in this field.","Voer a.u.b. een nummer groter dan 0 in dit veld."
"Please enter a number lower than 100.","Voer a.u.b. een nummer beneden de 100 in dit veld."
"Please enter a valid $ amount. For example $100.00.","Voer a.u.b. een geldig € hoeveelheid in. Bijvoorbeeld €100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Voer a.u.b. een geldige URL sleutel in. Bijvoorbeeld ""voorbeeld-pagina"", ""voorbeeld-pagina.html"" of ""eenanderniveau/voorbeeld-pagina""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Voer a.u.b. een geldige YRL in. Bijvoorbeeld http://www.voorbeeld.com of www.voorbeeld.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Voer een geldige URL in. Protocol is vereist (http://, https:// of ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Voer a.u.b. een geldige XML-identificeerder in. Bijvoorbeeld iets_1, blok5, id-4."
"Please enter a valid credit card number.","Voer a.u.b. een geldig creditcardnummer in."
"Please enter a valid credit card verification number.","Voer a.u.b. een geldig creditcard verificatienummer in."
"Please enter a valid date between %s and %s","Voer a.u.b. een geldige datum in tussen %s en %s"
"Please enter a valid date equal to or greater than %s","Voer een geldige datum in groter dan of gelijk aan %s"
"Please enter a valid date less than or equal to %s","Voer a.u.b. een geldige datum in die minder of gelijk aan %s is."
"Please enter a valid date.","Voer a.u.b. een geldige datum in."
"Please enter a valid day (1-%d).","Voer a.u.b. een geldige dag in (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Voer a.u.b. een geldig e-mailadres in. Bijvoorbeeld johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Voer een geldig faxnummer in. Bijvoorbeeld (123) 456-7890 of 123-456-7890."
"Please enter a valid full date","Voer a.u.b. een geldige, volledige datum in"
"Please enter a valid month (1-12).","Voer een geldige maand in (1-12)."
"Please enter a valid number in this field.","Voer in dit veld een geldig nummer in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Voer een geldig telefoonnummer in. Bijvoorbeeld (123) 456-7890 of 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Voer a.u.b. een geldig BSN-nummer in. Bijvoorbeeld 123456789."
"Please enter a valid year (1900-%d).","Voer een geldig jaar in (1900-%d)."
"Please enter a valid zip code.","Voer een geldige postcode in."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer a.u.b. een geldige postcode in. Bijvoorbeeld 1234 AB."
"Please enter issue number or start date for switch/solo card type.","Voer uitgavenummer in of start datum voor switch/solo kaarttype."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Voer een geldige CSS-lengte in. Bijvoorbeeld 100px, 77pt, 20em, .5ex of 50%"
"Please make sure your passwords match.","Let er alstublieft op dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer Staat/Provincie."
"Please select a file","Selecteer een bestand"
"Please select an option.","Selecteer een optie."
"Please select one of the above options.","Selecteer alstublieft een van de bovenstaande opties."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please set available and/or protected paths list(s) before validation.","Stel beschikbare en/of beschermde pad lijst(en) in voor validatie."
"Please specify either a category or a product, or both.","Specificeerd a.u.b. een categorie of een product, of beide."
"Please use letters only (a-z or A-Z) in this field.","Gebruik a.u.b. alleen letters (a-z of A-Z) in dit veld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Gebruik alleen getallen in dit veld. Vermijd spaties of andere tekens zoals punten of komma's."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z of A-Z) of nummers (0-9) in dit veld. Spaties en andere karakters zijn niet toegestaan."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Gebruikt alleen letters (a-z of A-Z), getallen (0-9), spaties of #  in dit veld."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gelieve alleen de letters (a-z of A-Z), nummers (0-9) en/of laag streepje(_) in dit veld te gebruiken, het eerste karakter moet een letter zijn."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruikt alleen letters (a-z of A-Z), getallen (0-9) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Please use only visible characters and spaces.","Gebruik alleen zichtbare karakters en spaties."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dit datumformat: dd/mm/jjjj. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Even geduld alstublieft, bezig met laden..."
"Polls","Peilingen"
"Port (25)","Poort (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Herstel Link Verloop Periode (dagen)"
"Request Path for Specified Store","Gevraagd Pad voor Gespecificeerde Winkel"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Opgevraagd bestand mag geen ouder-directory traverse (""../"", ""..\\ notatie)"" bevatten"
"Requested invalid store ""%s""","Gevraagde ongeldige winkel ""%s"""
"Resource is not set.","Bron is niet ingesteld"
"Retrieve store data","Winkeldata ophalen"
"Retrieve store list","Winkellijst ophalen"
"Return-Path Email","Return-Pad E-mail"
"Root Category","Wortelcategorie"
"Sales Representative","Verkoopvertegenwoordiger"
"Sales Representative Contact Email","Handelsvertegenwoordiger Contact E-mail"
"Sales Representative Contact Name","Handelsvertegenwoordiger Contact Naam"
"Save","Opslaan"
"Save Store","Bewaar Winkel"
"Save Store View","Bewaar Winkel View"
"Save Website","Sla website op"
"Search Engines Optimization","Zoekmachine Optimalisatie"
"Secure","Veilig"
"Security","Beveiliging"
"Select Date","Selecteer Datum"
"Select Media Database","Selecteer media database"
"Sender Email","Afzender Email"
"Sender Name","Naam Afzender"
"Services","Diensten"
"Session Cookie Management","Sessie cookie beheer"
"Session Lifetime (seconds)","Sessie duur (secondes)"
"Session Validation Settings","Sessie validatie-instellingen"
"Set Return-Path","Geef het return-path op"
"Set as Default","Stel in als Standaard"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Sort Order","Sorteer Bestelling"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","De gespecificeerde datum/tijd ""%1$s"" komt niet overeen met formaat ""%2$s""."
"Start date cannot be greater than end date.","Begin datum kan niet later zijn dan eind datum."
"Startup Page","Startpagina"
"Status","Status"
"Storage Configuration for Media","Opslag Configuratie voor Media"
"Store","Winkel"
"Store API","Winkel API"
"Store Contact Address","Winkel contactadres"
"Store Contact Information","Winkel contactinformatie"
"Store Contact Telephone","Winkel contact telefoon"
"Store Email Addresses","Winkel email adressen"
"Store Information","Winkel Informatie"
"Store Name","Winkel Naam"
"Store View","Winkelweergave"
"Store View Information","Winkel bekijk informatie"
"Store View Name","Zie Winkel Naam"
"Store view doesn't exist","Winkelweergave bestaat niet"
"Store with the same code","Winkel met zelfde code"
"System","Systeem"
"System Log File Name","Systeem log bestandsnaam"
"Template Path Hints","Sjabloon Pad Hints"
"Template Settings","Thema instellingen"
"Template Variables","Sjabloon Variabelen"
"Templates","Sjablonen"
"Text length does not satisfy specified text range.","Tekst lengte voldoet niet aan de vereiste tekstgebiedsvoorwaarden."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","De %s die u invoerde is onjuist. Verzeker u er a.u.b. van dat het geschreven is in ""http://domein.com/"" formaat."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De winkelcode mag alleen letters (a-z), nummers (0-9) en lage streepjes bevatten (_). Het eerste teken moet een letter zijn"
"The store does not exist","De winkel bestaat niet"
"The store has been deleted.","De winkel is verwijderd."
"The store has been saved.","De winkel is opgeslagen"
"The store view has been deleted.","Het winkelzicht is verwijderd."
"The store view has been saved","De winkelweergave is opgeslagen."
"The template Name must not be empty.","De Sjabloon Naam mag niet leeg zijn."
"The value is not within the specified range.","De waarde ligt niet in het toegestane gebied."
"The website does not exist.","De website bestaat niet."
"The website has been deleted.","De website is verwijderd."
"The website has been saved.","De website is opgeslagen."
"Themes","Thema's"
"This category and all its child elements","Deze categorie en alle onderelementen"
"This category and its child categories only","Deze categorie en de categorieën daarbinnen alleen"
"This category and its products only","Alleen deze categorie en haar producten"
"This category only","Alleen deze categorie"
"This date is a required value.","Deze datum is een vereiste waarde"
"This is a required field.","Dit is een verplicht veld."
"This store cannot be deleted.","De winkel kan niet verwijderd worden."
"This store view cannot be deleted.","Deze winkel kan niet verwijderd worden."
"This website cannot be deleted.","Deze website kan niet verwijderd worden."
"This will be displayed just before body closing tag.","Deze zullen worden vertoond, juist voor de body sluit tag."
"This will be included before head closing tag in page HTML.","Dit zal worden ingevoegd voor de sluitingstag in de head van de HTML."
"Timezone","Tijdzone"
"Title Prefix","Titel vooraf"
"Title Suffix","Titel"
"Transactional Emails","Transactionele Emails"
"Translate Inline","Vertaal in lijn"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Vertalingen, blokken en andere uitvoer zouden uitgeschakeld moeten zijn voor zowel front-end en administrator inline vertalingen."
"Translations","Vertalingen"
"Two and more slashes together are not permitted in request path","Twee of meer schuine strepen zijn niet toegestaan in gevraagde pad."
"Two and more slashes together are not permitted in url rewrite suffix","Twee of meer schuine strepen zijn niet toegestaan in URL herschrijvings navoeging"
"Unable to create directory: %s","Niet in staat om directory %s te maken"
"Unable to delete store view. Please, try again later.","Niet instaat om het winkelzicht te verwijderen. Probeer het later nogmaals."
"Unable to delete store. Please, try again later.","Kan de winkel niet verwijderen. Probeer het later nog eens a.u.b."
"Unable to delete website. Please, try again later.","Niet instaat om de website te verwijderen. Probeer het later nogmaals."
"Unable to proceed. Please, try again","Niet instaat om verder te gaan. Probeer het later nogmaals"
"Unable to proceed. Please, try again.","Kan niet verdergaan. Probeer a.u.b. opnieuw."
"Unable to save file ""%s"" at ""%s""","Niet in staat om bestand ""%s"" op te slaan in ""%s"""
"Unable to save file: %s","Niet in staat om bestand: %s op te slaan"
"Unknown old style column type definition: {$definition}.","Onbekende ouderwetse kolomtype definitie: {$definitie}."
"Unknown scope ""%s"".","Onbekende maat ""%s""."
"Unsecure","Onzeker"
"Url Options","Url Opties"
"Use Custom Admin Path","Gebruik Standaard Admin Pad"
"Use Custom Admin URL","Gebruik Aangepaste Admin URL"
"Use HTTP Only","Gebruik alleen HTTP"
"Use SID on Frontend","Gebruik SID op Frontend"
"Use Secure URLs in Admin","Gebruik zekere URLs in de administratie"
"Use Secure URLs in Frontend","Gebruik Veilige URL's in Frontend"
"Use Web Server Rewrites","Gebruik Web Server Rewrites"
"VAT Number","BTW nummer"
"Validate HTTP_USER_AGENT","Valideer HTTP_USER_AGENT"
"Validate HTTP_VIA","Valideer HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valideer HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valideer REMOTE_ADDR"
"Validation has failed.","Validatie is mislukt."
"Values less than 60 are ignored. Note that changes will apply after logout.","Waarden kleiner dan 60 worden genegeerd. N.b. veranderingen worden toegepast na logout."
"Variable Code must be unique.","Variabele Code moet uniek zijn."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Waarschuwing! Deze instelling aanzetten is niet aanbevolen op productiemilieu's, omdat het een potentieel beveiligingsgevaar oplevert."
"Web","Web"
"Website","Website"
"Website Information","Website Informatie"
"Website Name","Website naam"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code mag alleen letters (a-z), nummers (0-9) of underscore(_) bevatten, het eerste karakter moet een letter zijn."
"Website with the same code","Website met dezelfde code"
"Weekend Days","Weekend dagen"
"Welcome Text","Welkomsttekst"
"Wrong file info format","Verkeerde bestandsinformatiebestand"
"Wrong number of arguments for %s","Onjuist aantal argumenten voor %s"
"Wrong old style column type definition: {$definition}.","Verkeerde oude stijl kolom type definitie {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","U zult moeten inloggen nadat u uw standaard admin pad heeft bewaard."
"Your design change for the specified store intersects with another one, please specify another date range.","Uw ontwerp verandering voor de gespecificeerde store komt in conflict met een andere, specificeer a.u.b. een andere datumrange."
"database ""%s""","Database ""%s"""
