All,全部
"The customer is currently assigned to Customer Group %s.","该顾客被分配到顾客群体 %s。"
"Would you like to change the Customer Group for this order?",你是否想更改该订单的顾客群体？
"The VAT ID is valid. The current Customer Group will be used.","VAT ID 有效。将使用当前的顾客群体。"
"Based on the VAT ID, ' 'the customer would belong to the Customer Group %s.","Based on the VAT ID, ' 'the customer would belong to the Customer Group %s."
"The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s.","The VAT ID entered (%s) is not a valid VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s.","There was an error validating the VAT ID. ' 'The customer would belong to Customer Group %s."
"There was an error validating the VAT ID.","验证 VAT ID 时出错。"
"Validate VAT Number","验证 VAT 号码"
"Customer Login",客户登录
"Create New Customer Account",创建新客户帐户
"This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed.' ' <a href=""%1"">Click here</a> to resend confirmation email."
"Invalid login or password.",无效的登录名或密码。
"There was an error validating the login and password.","There was an error validating the login and password."
"Login and password are required.",需要登录和密码。
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%1"">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"Cannot save the customer.",无法保存客户。
"Thank you for registering with %1.","Thank you for registering with %1."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you shipping address for proper VAT calculation"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation","If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter you billing address for proper VAT calculation"
"Bad request.",请求有误。
"This confirmation key is invalid or has expired.","This confirmation key is invalid or has expired."
"There was an error confirming the account","There was an error confirming the account"
"Please, check your email for confirmation key.",请检查您的电子邮件以获取确认密钥。
"This email does not require confirmation.",该电子邮件不需要确认。
"Wrong email.",邮件有误。
"Please correct the email address.","Please correct the email address."
"Unable to send password reset email.","Unable to send password reset email."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","If there is an account associated with %1 you will receive an email with a link to reset your password."
"Please enter your email.",请输入您的电子邮件。
"Your password reset link has expired.",你的密码重设链接已过期。
"New Password and Confirm New Password values didn't match.","New Password and Confirm New Password values didn't match."
"New password field cannot be empty.",新密码字段不能为空。
"Your password has been updated.",你的密码已更新。
"There was an error saving the new password.","There was an error saving the new password."
"A problem was encountered trying to change password.","A problem was encountered trying to change password."
"Confirm your new password","Confirm your new password"
"Invalid input","Invalid input"
"The account information has been saved.",帐户信息已保存。
"The address has been saved.",地址已保存。
"Cannot save address.",无法保存地址。
"The address has been deleted.",地址已删除。
"An error occurred while deleting the address.",删除该地址时遇到了错误。
"No customer ID defined.","No customer ID defined."
"Please correct the quote items and try again.","Please correct the quote items and try again."
"New Group",新组
"New Customer Groups",新建客户组
"Edit Group",编辑组
"Edit Customer Groups",编辑客户组
"The customer group has been saved.",客户群组已保存。
"The customer group has been deleted.",客户组已删除。
"The customer group no longer exists.","The customer group no longer exists."
"Manage Customers",管理客户
"An error occurred while editing the customer.","An error occurred while editing the customer."
"You saved the customer.","You saved the customer."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"Customer will receive an email with a link to reset password.","Customer will receive an email with a link to reset password."
"An error occurred while resetting customer password.","An error occurred while resetting customer password."
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Please select customer(s).","Please select customer(s)."
"No wishlist item ID is defined.","No wishlist item ID is defined."
"Please load the wish list item.","Please load the wish list item."
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Please enter the first name.",请输入名字。
"Please enter the last name.",请输入姓氏。
"Please enter the street.",请输入街道。
"Please enter the city.",请输入城市。
"Please enter the telephone number.",请输入电话号码。
"Please enter the zip/postal code.",请输入邮编。
"Please enter the country.",请输入国家。
"Please enter the state/province.",请输入州/省。
"Per Website",每网站
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.",无法全局分享客户帐户，因为某些客户的帐户所用的邮件地址在多个网站是相同的，无法合并。
"This account is not confirmed.",该帐户尚未确认。
"Wrong transactional account email type",错误的交易账户电子邮件类型
"The first name cannot be empty.",名字不能为空。
"The last name cannot be empty.",姓氏不能为空。
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"The Date of Birth is required.",需提供生日。
"The TAX/VAT number is required.","需提供 TAX/VAT 号码。"
"Gender is required.",需提供性别信息。
"Invalid password reset token.",无效的密码重设令牌。
"The password must have at least %1 characters.","The password must have at least %1 characters."
"The password can not begin or end with a space.","The password can not begin or end with a space."
Admin,管理员
"Attribute object is undefined","Attribute object is undefined"
"""%1"" invalid type entered.","""%1"" invalid type entered."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" contains non-alphabetic or non-numeric characters."
"""%1"" is an empty string.","""%1"" is an empty string."
"""%1"" contains non-numeric characters.","""%1"" contains non-numeric characters."
"""%1"" contains non-alphabetic characters.","""%1"" contains non-alphabetic characters."
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
"""%1"" is not a valid hostname.","""%1"" is not a valid hostname."
"""%1"" exceeds the allowed length.","""%1"" exceeds the allowed length."
"'%value%' appears to be an IP address, but IP addresses are not allowed.","'%value%' appears to be an IP address, but IP addresses are not allowed."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list.","'%value%' appears to be a DNS hostname but cannot match TLD against known list."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position.","'%value%' appears to be a DNS hostname but contains a dash in an invalid position."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'.","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'."
"'%value%' appears to be a DNS hostname but cannot extract TLD part.","'%value%' appears to be a DNS hostname but cannot extract TLD part."
"'%value%' does not appear to be a valid local network name.","'%value%' does not appear to be a valid local network name."
"'%value%' appears to be a local network name but local network names are not allowed.","'%value%' appears to be a local network name but local network names are not allowed."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded.","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded."
"""%1"" is not a valid URL.","""%1"" is not a valid URL."
"""%1"" is not a valid date.","""%1"" is not a valid date."
"""%1"" does not fit the entered date format.","""%1"" does not fit the entered date format."
"""%1"" is a required value.","""%1"" is a required value."
"Please enter a valid date between %1 and %2 at %3.","Please enter a valid date between %1 and %2 at %3."
"Please enter a valid date equal to or greater than %1 at %2.","Please enter a valid date equal to or greater than %1 at %2."
"Please enter a valid date less than or equal to %1 at %2.","Please enter a valid date less than or equal to %1 at %2."
"""%1"" is not a valid file extension.","""%1"" is not a valid file extension."
"""%1"" is not a valid file.","""%1"" is not a valid file."
"""%1"" exceeds the allowed file size.","""%1"" exceeds the allowed file size."
"""%1"" is not a valid image format.","""%1"" is not a valid image format."
"""%1"" width exceeds allowed value of %2 px.","""%1"" width exceeds allowed value of %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" height exceeds allowed value of %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" length must be equal or greater than %2 characters."
"""%1"" length must be equal or less than %2 characters.","""%1"" length must be equal or less than %2 characters."
"Customer email is required",需要客户邮件
"Customer with the same email already exists in associated website.","Customer with the same email already exists in associated website."
"Customer website ID must be specified when using the website scope",使用网站范围时必须指定客户网站ID
"The group ""%1"" cannot be deleted","The group ""%1"" cannot be deleted"
"Password doesn't match for this account.","Password doesn't match for this account."
"Customer Group already exists.","Customer Group already exists."
"VAT Number is Invalid","VAT Number is Invalid"
"VAT Number is Valid","VAT Number is Valid"
"Customer Addresses",客户地址
"Are you sure you want to delete this address?",您是否确认要删除该地址？
"Set as Default Billing Address",设置为默认账单地址
"Default Billing Address",默认账单地址
"Set as Default Shipping Address",设置为默认运送地址
"Default Shipping Address",默认送货地址
"New Customer Address",新建客户地址
"Last Logged In:","Last Logged In:"
"Last Logged In (%1):","Last Logged In (%1):"
"Confirmed email:","Confirmed email:"
"Account Created on:","Account Created on:"
"Account Created on (%1):","Account Created on (%1):"
"Account Created in:","Account Created in:"
"Customer Group:","Customer Group:"
"Sales Statistics",销售数据统计
"Average Sale",平均销售
"Manage Addresses",管理地址
"Hello, %1!","Hello, %1!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.",在您的我的帐户仪表板中，您可以查看最近帐户活动的快照，并更新帐户信息。选择下面的链接以查看或修改信息。
"Change Password",更改密码
Newsletters,新闻邮件
"You are currently subscribed to 'General Subscription'.",您当前已订阅“常规订阅”。
"You are currently not subscribed to any newsletter.",您当前没有订阅任何新闻通讯。
"Default Addresses",默认地址
"Change Billing Address",更改账单地址
"You have no default billing address in your address book.",您的地址薄中没有默认账单地址。
"Change Shipping Address",更改送货地址
"You have no default shipping address in your address book.",您的地址薄中没有默认运送地址。
"Additional Address Entries",额外地址行
"You have no additional address entries in your address book.",您的地址薄中没有额外的地址条目。
"Use as my default billing address",使用并作为我的默认账单地址
"Use as my default shipping address",使用并作为我的默认运送地址
"Save Address",保存地址
"Go back","Go back"
"Please enter your email below and we will send you the confirmation link for it.","Please enter your email below and we will send you the confirmation link for it."
"Send confirmation link",发送确认链接
"Back to Login",返回到登录界面
"Current Password",当前密码
"Confirm New Password",确认新密码
"Please enter your email address below. You will receive a link to reset your password.",请在下面输入你的电子邮件地址。你将收到一个重置密码的链接。
"Registered Customers",已注册的客户
"If you have an account with us, log in using your email address.","If you have an account with us, log in using your email address."
"Subscription option","Subscription option"
"General Subscription",常规订阅
"Sign Up for Newsletter",订阅新闻邮件
"Address Information",地址信息
"Login Information",登录信息
"Create account","Create account"
"Reset a Password",重置密码
"You have logged out and will be redirected to our homepage in 5 seconds.",您已退出，5秒钟内会回到首页。
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",通过在我们的店铺中创建帐户，您将能用更快速度结账，保存多个送货地址，并可在您的帐户中查看并追踪您的订单，还有更多功能。
"Date of Birth",出生日期
DD,DD
MM,MM
YYYY,YYYY
Gender,性别
"Tax/VAT number",税/增值税号码
"Subscribe to Newsletter",订阅到新闻通讯
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Email Sender","Email Sender"
"Customer Configuration","Customer Configuration"
"Account Sharing Options","Account Sharing Options"
"Share Customer Accounts","Share Customer Accounts"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Create New Account Options","Create New Account Options"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","To show VAT number on frontend, set Show VAT Number on Frontend option to Yes."
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","Default Group"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","Validate on Each Transaction"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Default Value for Disable Automatic Group Changes Based on VAT ID"
"Show VAT Number on Frontend","Show VAT Number on Frontend"
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Default Welcome Email"
"Require Emails Confirmation","Require Emails Confirmation"
"Confirmation Link Email","Confirmation Link Email"
"Welcome Email","Welcome Email"
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Password Options"
"Forgot Email Template","Forgot Email Template"
"Remind Email Template","Remind Email Template"
"Reset Password Template","Reset Password Template"
"Password Template Email Sender","Password Template Email Sender"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    "
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
Group,分组
"Are you sure you want to delete?","Are you sure you want to delete?"
"Unsubscribe from Newsletter",退订新闻邮件
"Assign a Customer Group",分配客户组
Phone,Phone
ZIP,邮编
"Customer Since",客户加入日期
n/a,不可用
"Session Start Time",会话开始时间
"Last Activity",上次活动
"Last URL",最后一个URL
"Edit Account Information",修改帐户信息
"Forgot Your Password",忘记您的密码
"Password forgotten",密码忘记
"My Dashboard",我的仪表板
"You are now logged out",您已注销
