Code,Country,State,"Zip/Post Code",Rate,"Zip/Post is Range","Range From","Range To",default
US-AK-99786,US,AK,99786,3,,,,
US-AK-99788,US,AK,99788,3,,,,
US-AK-99801,US,AK,99801,5,,,,
US-AK-99802,US,AK,99802,5,,,,
US-AK-99803,US,AK,99803,5,,,,
US-AK-99811,US,AK,99811,5,,,,
US-AK-99812,US,AK,99812,5,,,,
US-AK-99820,US,AK,99820,3,,,,
US-AK-99821,US,AK,99821,5,,,,
US-AK-99824,US,AK,99824,5,,,,
US-AK-99826,US,AK,99826,3,,,,
US-AK-99827,US,AK,99827,4,,,,
US-AK-99829,US,AK,99829,6.5,,,,
US-AK-99830,US,AK,99830,5,,,,
US-AK-99832,US,AK,99832,4,,,,
US-AK-99833,US,AK,99833,6,,,,
US-AK-99835,US,AK,99835,5,,,,
US-AK-99836,US,AK,99836,5,,,,
US-AK-99840,US,AK,99840,3,,,,
US-AK-99841,US,AK,99841,2,,,,
US-AK-99850,US,AK,99850,5,,,,
US-AK-99901,US,AK,99901,6,,,,
US-AK-99903,US,AK,99903,6,,,,
US-AK-99918,US,AK,99918,6,,,,
US-AK-99919,US,AK,99919,6,,,,
US-AK-99921,US,AK,99921,5,,,,
US-AK-99922,US,AK,99922,4,,,,
US-AK-99925,US,AK,99925,5.5,,,,
US-AK-99928,US,AK,99928,2.5,,,,
US-AK-99929,US,AK,99929,7,,,,
US-AK-99950,US,AK,99950,6,,,,
US-AL-35004,US,AL,35004,9,,,,
US-AL-35005,US,AL,35005,9.5,,,,
US-AL-35006,US,AL,35006,6,,,,
US-AL-35007,US,AL,35007,9,,,,
US-AL-35010,US,AL,35010,8.5,,,,
US-AL-35011,US,AL,35011,8.5,,,,
US-AL-35013,US,AL,35013,7,,,,
US-AL-35014,US,AL,35014,7,,,,
US-AL-35015,US,AL,35015,10,,,,
US-AL-35016,US,AL,35016,9,,,,
US-AL-35019,US,AL,35019,8.5,,,,
US-AL-35020,US,AL,35020,10,,,,
US-AL-35021,US,AL,35021,10,,,,
US-AL-35022,US,AL,35022,10,,,,
US-AL-35023,US,AL,35023,10,,,,
US-AL-35031,US,AL,35031,6,,,,
US-AL-35032,US,AL,35032,7.5,,,,
US-AL-35033,US,AL,35033,8.5,,,,
US-AL-35034,US,AL,35034,8,,,,
US-AL-35035,US,AL,35035,8,,,,
US-AL-35036,US,AL,35036,10,,,,
US-AL-35038,US,AL,35038,8,,,,
US-AL-35040,US,AL,35040,9,,,,
US-AL-35042,US,AL,35042,9,,,,
US-AL-35043,US,AL,35043,9,,,,
US-AL-35044,US,AL,35044,8,,,,
US-AL-35045,US,AL,35045,8,,,,
US-AL-35046,US,AL,35046,5,,,,
US-AL-35048,US,AL,35048,10,,,,
US-AL-35049,US,AL,35049,8,,,,
US-AL-35051,US,AL,35051,5,,,,
US-AL-35052,US,AL,35052,9,,,,
US-AL-35053,US,AL,35053,8.5,,,,
US-AL-35054,US,AL,35054,6,,,,
US-AL-35055,US,AL,35055,9,,,,
US-AL-35056,US,AL,35056,9,,,,
US-AL-35057,US,AL,35057,8.5,,,,
US-AL-35058,US,AL,35058,8.5,,,,
US-AL-35060,US,AL,35060,7.75,,,,
US-AL-35061,US,AL,35061,10,,,,
US-AL-35062,US,AL,35062,8,,,,
US-AL-35063,US,AL,35063,6,,,,
US-AL-35064,US,AL,35064,10,,,,
US-AL-35068,US,AL,35068,10,,,,
US-AL-35070,US,AL,35070,8.5,,,,
US-AL-35071,US,AL,35071,10,,,,
US-AL-35072,US,AL,35072,6,,,,
US-AL-35073,US,AL,35073,9,,,,
US-AL-35074,US,AL,35074,9,,,,
US-AL-35077,US,AL,35077,8.5,,,,
US-AL-35078,US,AL,35078,9,,,,
US-AL-35079,US,AL,35079,6,,,,
US-AL-35080,US,AL,35080,9,,,,
US-AL-35082,US,AL,35082,6,,,,
US-AL-35083,US,AL,35083,8.5,,,,
US-AL-35085,US,AL,35085,5,,,,
US-AL-35087,US,AL,35087,8.5,,,,
US-AL-35089,US,AL,35089,6,,,,
US-AL-35091,US,AL,35091,10,,,,
US-AL-35094,US,AL,35094,10,,,,
US-AL-35096,US,AL,35096,10,,,,
US-AL-35097,US,AL,35097,8,,,,
US-AL-35098,US,AL,35098,8.5,,,,
US-AL-35111,US,AL,35111,6,,,,
US-AL-35112,US,AL,35112,10,,,,
US-AL-35114,US,AL,35114,9,,,,
US-AL-35115,US,AL,35115,9,,,,
US-AL-35116,US,AL,35116,10,,,,
US-AL-35117,US,AL,35117,6,,,,
US-AL-35118,US,AL,35118,9,,,,
US-AL-35119,US,AL,35119,8,,,,
US-AL-35120,US,AL,35120,9,,,,
US-AL-35121,US,AL,35121,9,,,,
US-AL-35123,US,AL,35123,8,,,,
US-AL-35124,US,AL,35124,9,,,,
US-AL-35125,US,AL,35125,6,,,,
US-AL-35126,US,AL,35126,6,,,,
US-AL-35127,US,AL,35127,9,,,,
US-AL-35128,US,AL,35128,10,,,,
US-AL-35130,US,AL,35130,6,,,,
US-AL-35131,US,AL,35131,10,,,,
US-AL-35133,US,AL,35133,6,,,,
US-AL-35135,US,AL,35135,10,,,,
US-AL-35136,US,AL,35136,8,,,,
US-AL-35137,US,AL,35137,7,,,,
US-AL-35139,US,AL,35139,9,,,,
US-AL-35142,US,AL,35142,9,,,,
US-AL-35143,US,AL,35143,5,,,,
US-AL-35144,US,AL,35144,9,,,,
US-AL-35146,US,AL,35146,6,,,,
US-AL-35147,US,AL,35147,5,,,,
US-AL-35148,US,AL,35148,9.5,,,,
US-AL-35149,US,AL,35149,7,,,,
US-AL-35150,US,AL,35150,8,,,,
US-AL-35151,US,AL,35151,7,,,,
US-AL-35160,US,AL,35160,10,,,,
US-AL-35161,US,AL,35161,10,,,,
US-AL-35171,US,AL,35171,8,,,,
US-AL-35172,US,AL,35172,6,,,,
US-AL-35173,US,AL,35173,10,,,,
US-AL-35175,US,AL,35175,5,,,,
US-AL-35176,US,AL,35176,5,,,,
US-AL-35178,US,AL,35178,9,,,,
US-AL-35179,US,AL,35179,8.5,,,,
US-AL-35180,US,AL,35180,6,,,,
US-AL-35181,US,AL,35181,8,,,,
US-AL-35182,US,AL,35182,6,,,,
US-AL-35183,US,AL,35183,6,,,,
US-AL-35184,US,AL,35184,8,,,,
US-AL-35185,US,AL,35185,7,,,,
US-AL-35186,US,AL,35186,8,,,,
US-AL-35187,US,AL,35187,6.5,,,,
US-AL-35188,US,AL,35188,10,,,,
US-AL-35201,US,AL,35201,10,,,,
US-AL-35202,US,AL,35202,10,,,,
US-AL-35203,US,AL,35203,10,,,,
US-AL-35204,US,AL,35204,10,,,,
US-AL-35205,US,AL,35205,10,,,,
US-AL-35206,US,AL,35206,10,,,,
US-AL-35207,US,AL,35207,10,,,,
US-AL-35208,US,AL,35208,10,,,,
US-AL-35209,US,AL,35209,9,,,,
US-AL-35210,US,AL,35210,10,,,,
US-AL-35211,US,AL,35211,10,,,,
US-AL-35212,US,AL,35212,10,,,,
US-AL-35213,US,AL,35213,9,,,,
US-AL-35214,US,AL,35214,6,,,,
US-AL-35215,US,AL,35215,8,,,,
US-AL-35216,US,AL,35216,9,,,,
US-AL-35217,US,AL,35217,10,,,,
US-AL-35218,US,AL,35218,10,,,,
US-AL-35219,US,AL,35219,9,,,,
US-AL-35220,US,AL,35220,8,,,,
US-AL-35221,US,AL,35221,10,,,,
US-AL-35222,US,AL,35222,10,,,,
US-AL-35223,US,AL,35223,9,,,,
US-AL-35224,US,AL,35224,10,,,,
US-AL-35226,US,AL,35226,9,,,,
US-AL-35228,US,AL,35228,10,,,,
US-AL-35229,US,AL,35229,10,,,,
US-AL-35231,US,AL,35231,6,,,,
US-AL-35232,US,AL,35232,10,,,,
US-AL-35233,US,AL,35233,10,,,,
US-AL-35234,US,AL,35234,10,,,,
US-AL-35235,US,AL,35235,10,,,,
US-AL-35236,US,AL,35236,9,,,,
US-AL-35237,US,AL,35237,10,,,,
US-AL-35238,US,AL,35238,8,,,,
US-AL-35242,US,AL,35242,6.5,,,,
US-AL-35243,US,AL,35243,9,,,,
US-AL-35244,US,AL,35244,9,,,,
US-AL-35246,US,AL,35246,10,,,,
US-AL-35249,US,AL,35249,10,,,,
US-AL-35253,US,AL,35253,9,,,,
US-AL-35254,US,AL,35254,10,,,,
US-AL-35255,US,AL,35255,10,,,,
US-AL-35259,US,AL,35259,9,,,,
US-AL-35260,US,AL,35260,9,,,,
US-AL-35261,US,AL,35261,10,,,,
US-AL-35266,US,AL,35266,9,,,,
US-AL-35270,US,AL,35270,10,,,,
US-AL-35282,US,AL,35282,10,,,,
US-AL-35283,US,AL,35283,10,,,,
US-AL-35285,US,AL,35285,10,,,,
US-AL-35287,US,AL,35287,10,,,,
US-AL-35288,US,AL,35288,10,,,,
US-AL-35290,US,AL,35290,10,,,,
US-AL-35291,US,AL,35291,10,,,,
US-AL-35292,US,AL,35292,10,,,,
US-AL-35293,US,AL,35293,9,,,,
US-AL-35294,US,AL,35294,10,,,,
US-AL-35295,US,AL,35295,10,,,,
US-AL-35296,US,AL,35296,10,,,,
US-AL-35297,US,AL,35297,10,,,,
US-AL-35298,US,AL,35298,10,,,,
US-AL-35401,US,AL,35401,9,,,,
US-AL-35402,US,AL,35402,9,,,,
US-AL-35403,US,AL,35403,9,,,,
US-AL-35404,US,AL,35404,9,,,,
US-AL-35405,US,AL,35405,9,,,,
US-AL-35406,US,AL,35406,9,,,,
US-AL-35407,US,AL,35407,9,,,,
US-AL-35440,US,AL,35440,9,,,,
US-AL-35441,US,AL,35441,7,,,,
US-AL-35442,US,AL,35442,8,,,,
US-AL-35443,US,AL,35443,7,,,,
US-AL-35444,US,AL,35444,9,,,,
US-AL-35446,US,AL,35446,9,,,,
US-AL-35447,US,AL,35447,7,,,,
US-AL-35448,US,AL,35448,7,,,,
US-AL-35449,US,AL,35449,9,,,,
US-AL-35452,US,AL,35452,9,,,,
US-AL-35453,US,AL,35453,9,,,,
US-AL-35456,US,AL,35456,9,,,,
US-AL-35457,US,AL,35457,9,,,,
US-AL-35458,US,AL,35458,9,,,,
US-AL-35459,US,AL,35459,7,,,,
US-AL-35460,US,AL,35460,7,,,,
US-AL-35461,US,AL,35461,7,,,,
US-AL-35462,US,AL,35462,10,,,,
US-AL-35463,US,AL,35463,9,,,,
US-AL-35464,US,AL,35464,7,,,,
US-AL-35466,US,AL,35466,7,,,,
US-AL-35468,US,AL,35468,9,,,,
US-AL-35469,US,AL,35469,7,,,,
US-AL-35470,US,AL,35470,7,,,,
US-AL-35471,US,AL,35471,8,,,,
US-AL-35473,US,AL,35473,9,,,,
US-AL-35474,US,AL,35474,7,,,,
US-AL-35475,US,AL,35475,9,,,,
US-AL-35476,US,AL,35476,9,,,,
US-AL-35477,US,AL,35477,7,,,,
US-AL-35478,US,AL,35478,9,,,,
US-AL-35480,US,AL,35480,9,,,,
US-AL-35481,US,AL,35481,7,,,,
US-AL-35482,US,AL,35482,9,,,,
US-AL-35485,US,AL,35485,9,,,,
US-AL-35486,US,AL,35486,9,,,,
US-AL-35487,US,AL,35487,9,,,,
US-AL-35490,US,AL,35490,9,,,,
US-AL-35491,US,AL,35491,7,,,,
US-AL-35501,US,AL,35501,9,,,,
US-AL-35502,US,AL,35502,9,,,,
US-AL-35503,US,AL,35503,6,,,,
US-AL-35504,US,AL,35504,6,,,,
US-AL-35540,US,AL,35540,6,,,,
US-AL-35541,US,AL,35541,6,,,,
US-AL-35542,US,AL,35542,6,,,,
US-AL-35543,US,AL,35543,8,,,,
US-AL-35544,US,AL,35544,6,,,,
US-AL-35545,US,AL,35545,7,,,,
US-AL-35546,US,AL,35546,6,,,,
US-AL-35548,US,AL,35548,9,,,,
US-AL-35549,US,AL,35549,9,,,,
US-AL-35550,US,AL,35550,6,,,,
US-AL-35551,US,AL,35551,9,,,,
US-AL-35552,US,AL,35552,6,,,,
US-AL-35553,US,AL,35553,6,,,,
US-AL-35554,US,AL,35554,6,,,,
US-AL-35555,US,AL,35555,6,,,,
US-AL-35559,US,AL,35559,7,,,,
US-AL-35560,US,AL,35560,6,,,,
US-AL-35563,US,AL,35563,9,,,,
US-AL-35564,US,AL,35564,8,,,,
US-AL-35565,US,AL,35565,9,,,,
US-AL-35570,US,AL,35570,9,,,,
US-AL-35571,US,AL,35571,6,,,,
US-AL-35572,US,AL,35572,6,,,,
US-AL-35573,US,AL,35573,7,,,,
US-AL-35574,US,AL,35574,7,,,,
US-AL-35575,US,AL,35575,8,,,,
US-AL-35576,US,AL,35576,6,,,,
US-AL-35577,US,AL,35577,6,,,,
US-AL-35578,US,AL,35578,6,,,,
US-AL-35579,US,AL,35579,6,,,,
US-AL-35580,US,AL,35580,6,,,,
US-AL-35581,US,AL,35581,6,,,,
US-AL-35582,US,AL,35582,8.5,,,,
US-AL-35584,US,AL,35584,8,,,,
US-AL-35585,US,AL,35585,6,,,,
US-AL-35586,US,AL,35586,6,,,,
US-AL-35587,US,AL,35587,6,,,,
US-AL-35592,US,AL,35592,6,,,,
US-AL-35593,US,AL,35593,6,,,,
US-AL-35594,US,AL,35594,9,,,,
US-AL-35601,US,AL,35601,9,,,,
US-AL-35602,US,AL,35602,9,,,,
US-AL-35603,US,AL,35603,9,,,,
US-AL-35609,US,AL,35609,9,,,,
US-AL-35610,US,AL,35610,5.5,,,,
US-AL-35611,US,AL,35611,9,,,,
US-AL-35612,US,AL,35612,9,,,,
US-AL-35613,US,AL,35613,6,,,,
US-AL-35614,US,AL,35614,6,,,,
US-AL-35615,US,AL,35615,6,,,,
US-AL-35616,US,AL,35616,5.5,,,,
US-AL-35617,US,AL,35617,5.5,,,,
US-AL-35618,US,AL,35618,7,,,,
US-AL-35619,US,AL,35619,7,,,,
US-AL-35620,US,AL,35620,6,,,,
US-AL-35621,US,AL,35621,7,,,,
US-AL-35622,US,AL,35622,7,,,,
US-AL-35630,US,AL,35630,8.5,,,,
US-AL-35631,US,AL,35631,8.5,,,,
US-AL-35632,US,AL,35632,8.5,,,,
US-AL-35633,US,AL,35633,5.5,,,,
US-AL-35634,US,AL,35634,5.5,,,,
US-AL-35640,US,AL,35640,9,,,,
US-AL-35643,US,AL,35643,7,,,,
US-AL-35645,US,AL,35645,5.5,,,,
US-AL-35646,US,AL,35646,5.5,,,,
US-AL-35647,US,AL,35647,6,,,,
US-AL-35648,US,AL,35648,5.5,,,,
US-AL-35649,US,AL,35649,6,,,,
US-AL-35650,US,AL,35650,7,,,,
US-AL-35651,US,AL,35651,7,,,,
US-AL-35652,US,AL,35652,5.5,,,,
US-AL-35653,US,AL,35653,9,,,,
US-AL-35654,US,AL,35654,6,,,,
US-AL-35660,US,AL,35660,9,,,,
US-AL-35661,US,AL,35661,9,,,,
US-AL-35662,US,AL,35662,9,,,,
US-AL-35670,US,AL,35670,7,,,,
US-AL-35671,US,AL,35671,6,,,,
US-AL-35672,US,AL,35672,7,,,,
US-AL-35673,US,AL,35673,7,,,,
US-AL-35674,US,AL,35674,9,,,,
US-AL-35677,US,AL,35677,5.5,,,,
US-AL-35699,US,AL,35699,9,,,,
US-AL-35739,US,AL,35739,6,,,,
US-AL-35740,US,AL,35740,9,,,,
US-AL-35741,US,AL,35741,5.5,,,,
US-AL-35742,US,AL,35742,6,,,,
US-AL-35744,US,AL,35744,6,,,,
US-AL-35745,US,AL,35745,6,,,,
US-AL-35746,US,AL,35746,6,,,,
US-AL-35747,US,AL,35747,5,,,,
US-AL-35748,US,AL,35748,5.5,,,,
US-AL-35749,US,AL,35749,5.5,,,,
US-AL-35750,US,AL,35750,5.5,,,,
US-AL-35751,US,AL,35751,6,,,,
US-AL-35752,US,AL,35752,9,,,,
US-AL-35754,US,AL,35754,7,,,,
US-AL-35755,US,AL,35755,8,,,,
US-AL-35756,US,AL,35756,6,,,,
US-AL-35757,US,AL,35757,5.5,,,,
US-AL-35758,US,AL,35758,9,,,,
US-AL-35759,US,AL,35759,5.5,,,,
US-AL-35760,US,AL,35760,5.5,,,,
US-AL-35761,US,AL,35761,5.5,,,,
US-AL-35762,US,AL,35762,8,,,,
US-AL-35763,US,AL,35763,8,,,,
US-AL-35764,US,AL,35764,6,,,,
US-AL-35765,US,AL,35765,6,,,,
US-AL-35766,US,AL,35766,6,,,,
US-AL-35767,US,AL,35767,5.5,,,,
US-AL-35768,US,AL,35768,9,,,,
US-AL-35769,US,AL,35769,9,,,,
US-AL-35771,US,AL,35771,6,,,,
US-AL-35772,US,AL,35772,9,,,,
US-AL-35773,US,AL,35773,5.5,,,,
US-AL-35774,US,AL,35774,6,,,,
US-AL-35775,US,AL,35775,7,,,,
US-AL-35776,US,AL,35776,6,,,,
US-AL-35801,US,AL,35801,8,,,,
US-AL-35802,US,AL,35802,8,,,,
US-AL-35803,US,AL,35803,8,,,,
US-AL-35804,US,AL,35804,8,,,,
US-AL-35805,US,AL,35805,8,,,,
US-AL-35806,US,AL,35806,8,,,,
US-AL-35807,US,AL,35807,8,,,,
US-AL-35808,US,AL,35808,5.5,,,,
US-AL-35809,US,AL,35809,8,,,,
US-AL-35810,US,AL,35810,8,,,,
US-AL-35811,US,AL,35811,5.5,,,,
US-AL-35812,US,AL,35812,8,,,,
US-AL-35813,US,AL,35813,8,,,,
US-AL-35814,US,AL,35814,8,,,,
US-AL-35815,US,AL,35815,8,,,,
US-AL-35816,US,AL,35816,8,,,,
US-AL-35824,US,AL,35824,8,,,,
US-AL-35893,US,AL,35893,8,,,,
US-AL-35894,US,AL,35894,8,,,,
US-AL-35895,US,AL,35895,8,,,,
US-AL-35896,US,AL,35896,8,,,,
US-AL-35897,US,AL,35897,5.5,,,,
US-AL-35899,US,AL,35899,8,,,,
US-AL-35901,US,AL,35901,9,,,,
US-AL-35902,US,AL,35902,9,,,,
US-AL-35903,US,AL,35903,9,,,,
US-AL-35904,US,AL,35904,9,,,,
US-AL-35905,US,AL,35905,9,,,,
US-AL-35906,US,AL,35906,9,,,,
US-AL-35907,US,AL,35907,9,,,,
US-AL-35950,US,AL,35950,8,,,,
US-AL-35951,US,AL,35951,7,,,,
US-AL-35952,US,AL,35952,5,,,,
US-AL-35953,US,AL,35953,6,,,,
US-AL-35954,US,AL,35954,5,,,,
US-AL-35956,US,AL,35956,5,,,,
US-AL-35957,US,AL,35957,8,,,,
US-AL-35958,US,AL,35958,6,,,,
US-AL-35959,US,AL,35959,7.5,,,,
US-AL-35960,US,AL,35960,7.5,,,,
US-AL-35961,US,AL,35961,5,,,,
US-AL-35962,US,AL,35962,5,,,,
US-AL-35963,US,AL,35963,5,,,,
US-AL-35964,US,AL,35964,8,,,,
US-AL-35966,US,AL,35966,6,,,,
US-AL-35967,US,AL,35967,8,,,,
US-AL-35968,US,AL,35968,5,,,,
US-AL-35971,US,AL,35971,5,,,,
US-AL-35972,US,AL,35972,5,,,,
US-AL-35973,US,AL,35973,7.5,,,,
US-AL-35974,US,AL,35974,8,,,,
US-AL-35975,US,AL,35975,5,,,,
US-AL-35976,US,AL,35976,7,,,,
US-AL-35978,US,AL,35978,9,,,,
US-AL-35979,US,AL,35979,5,,,,
US-AL-35980,US,AL,35980,5,,,,
US-AL-35981,US,AL,35981,7,,,,
US-AL-35983,US,AL,35983,9,,,,
US-AL-35984,US,AL,35984,5,,,,
US-AL-35986,US,AL,35986,9,,,,
US-AL-35987,US,AL,35987,8,,,,
US-AL-35988,US,AL,35988,9,,,,
US-AL-35989,US,AL,35989,5,,,,
US-AL-35990,US,AL,35990,8,,,,
US-AL-36003,US,AL,36003,6,,,,
US-AL-36005,US,AL,36005,6,,,,
US-AL-36006,US,AL,36006,6,,,,
US-AL-36008,US,AL,36008,6,,,,
US-AL-36009,US,AL,36009,7,,,,
US-AL-36010,US,AL,36010,8,,,,
US-AL-36013,US,AL,36013,8.75,,,,
US-AL-36015,US,AL,36015,5.5,,,,
US-AL-36016,US,AL,36016,5.5,,,,
US-AL-36017,US,AL,36017,8.5,,,,
US-AL-36020,US,AL,36020,8,,,,
US-AL-36022,US,AL,36022,5,,,,
US-AL-36023,US,AL,36023,9,,,,
US-AL-36024,US,AL,36024,5,,,,
US-AL-36025,US,AL,36025,6.5,,,,
US-AL-36026,US,AL,36026,5,,,,
US-AL-36027,US,AL,36027,9,,,,
US-AL-36028,US,AL,36028,8,,,,
US-AL-36029,US,AL,36029,6.5,,,,
US-AL-36030,US,AL,36030,5.5,,,,
US-AL-36031,US,AL,36031,5,,,,
US-AL-36032,US,AL,36032,10.5,,,,
US-AL-36033,US,AL,36033,9.5,,,,
US-AL-36034,US,AL,36034,5,,,,
US-AL-36035,US,AL,36035,6,,,,
US-AL-36036,US,AL,36036,6.5,,,,
US-AL-36037,US,AL,36037,5.5,,,,
US-AL-36038,US,AL,36038,7,,,,
US-AL-36039,US,AL,36039,5,,,,
US-AL-36040,US,AL,36040,10,,,,
US-AL-36041,US,AL,36041,7,,,,
US-AL-36042,US,AL,36042,7,,,,
US-AL-36043,US,AL,36043,8,,,,
US-AL-36045,US,AL,36045,9,,,,
US-AL-36046,US,AL,36046,7,,,,
US-AL-36047,US,AL,36047,8,,,,
US-AL-36048,US,AL,36048,5.5,,,,
US-AL-36049,US,AL,36049,9,,,,
US-AL-36051,US,AL,36051,6,,,,
US-AL-36052,US,AL,36052,6.5,,,,
US-AL-36053,US,AL,36053,5.5,,,,
US-AL-36054,US,AL,36054,8.5,,,,
US-AL-36057,US,AL,36057,7.625,,,,
US-AL-36061,US,AL,36061,7,,,,
US-AL-36062,US,AL,36062,9,,,,
US-AL-36064,US,AL,36064,8.75,,,,
US-AL-36065,US,AL,36065,6.5,,,,
US-AL-36066,US,AL,36066,9.5,,,,
US-AL-36067,US,AL,36067,9.5,,,,
US-AL-36068,US,AL,36068,9.5,,,,
US-AL-36069,US,AL,36069,6.5,,,,
US-AL-36071,US,AL,36071,7,,,,
US-AL-36072,US,AL,36072,9,,,,
US-AL-36075,US,AL,36075,7.5,,,,
US-AL-36078,US,AL,36078,9,,,,
US-AL-36079,US,AL,36079,9,,,,
US-AL-36080,US,AL,36080,5,,,,
US-AL-36081,US,AL,36081,9,,,,
US-AL-36082,US,AL,36082,9,,,,
US-AL-36083,US,AL,36083,10,,,,
US-AL-36087,US,AL,36087,10,,,,
US-AL-36088,US,AL,36088,10,,,,
US-AL-36089,US,AL,36089,9,,,,
US-AL-36091,US,AL,36091,5,,,,
US-AL-36092,US,AL,36092,5,,,,
US-AL-36093,US,AL,36093,5,,,,
US-AL-36101,US,AL,36101,10,,,,
US-AL-36102,US,AL,36102,10,,,,
US-AL-36103,US,AL,36103,10,,,,
US-AL-36104,US,AL,36104,10,,,,
US-AL-36105,US,AL,36105,10,,,,
US-AL-36106,US,AL,36106,10,,,,
US-AL-36107,US,AL,36107,10,,,,
US-AL-36108,US,AL,36108,10,,,,
US-AL-36109,US,AL,36109,10,,,,
US-AL-36110,US,AL,36110,10,,,,
US-AL-36111,US,AL,36111,10,,,,
US-AL-36112,US,AL,36112,10,,,,
US-AL-36113,US,AL,36113,10,,,,
US-AL-36114,US,AL,36114,10,,,,
US-AL-36115,US,AL,36115,10,,,,
US-AL-36116,US,AL,36116,10,,,,
US-AL-36117,US,AL,36117,10,,,,
US-AL-36118,US,AL,36118,10,,,,
US-AL-36119,US,AL,36119,10,,,,
US-AL-36120,US,AL,36120,10,,,,
US-AL-36121,US,AL,36121,10,,,,
US-AL-36123,US,AL,36123,10,,,,
US-AL-36124,US,AL,36124,10,,,,
US-AL-36125,US,AL,36125,10,,,,
