" or ","ou"
"Grand Total","Total geral"
"Group Information","Informação de Grupo"
"Group Name","Nome de Grupo"
"HTML","HTML"
"Hello, %s!","Olá, %s!"
"ID","Identidade"
"If you have an account with us, please log in.","Se você possui uma conta conosco, por favor, faça seu login"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválida para atributo %s (%s). Saltando o registro."
"Invalid attribute set specified, skipping the record.","Conjunto especificado de atributo inválido, ignorando o registro."
"Invalid current password","Senha atual inválida"
"Invalid login or password.","Acesso ou senha inválida."
"Invalid store specified, skipping the record.","Loja especificada inválida, ignorando o registro."
"Last Activity","Última atividade"
"Last Name","Último nome"
"Last URL","Último URL"
"Leave empty for default (15 minutes).","Deixar em branco por padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixar em branco por padrão (2). Intervalo válido: 1-4"
"Log Out","Sair"
"Login Information","Informações de login"
"Login and password are required.","Acesso e senha são obrigatórios."
"M.I.","M.I."
"Manage Addresses","Gerenciar endereços"
"Manage Customers","Gerenciar clientes"
"Missing email, skipping the record.","Erro de e-mail, pular o registro"
"Month","Mês"
"My Account","Minha Conta"
"My Orders","Meus Pedidos"
"Name","Nome"
"New Address","Novo Endereço"
"New Customer","Novo Cliente"
"New Customer Group","Novo grupo de cliente"
"New Customers","Novos clientes"
"New account","Nova conta"
"New password","Nova senha"
"New password field cannot be empty.","O campo de preenchimento de nova senha não pode ser deixado em branco."
"Newsletter Information","Informações de boletim à imprensa"
"Newsletter Start","Início do boletim à imprensa"
"Newsletters","Boletins informativos"
"No Items Found","Nenhum item encontrado"
"No customer collections found","Nenhuma coleção de cliente encontrada"
"Not Sent","Não Enviado"
"Not confirmed, cannot login","Não confirmado, não é possível conectar-se"
"Online Customers Options","Opções de clientes online"
"Password","Senha"
"Password Management","Gerenciamento de senha"
"Password forgotten","Senha esquecida"
"Password:","Senha:"
"Please enter your email below and we\'ll send you confirmation link for it.","Digite seu e-mail abaixo e enviaremos o link de confirmação."
"Please select region, state or province","Selecione a região, estado ou província"
"Prefix","Prefixo"
"Prefix Dropdown Options","Lista de opções de prefixo"
"Product","Produto"
"Product Name","Nome do produto"
"Qty","Quant."
"Records for %s store found.","Registros para loja %s encontrados."
"Require Emails Confirmation","Confirmação de e-mail obrigatória"
"Retrieve customer addresses","Recuperar endereço do cliente"
"Retrieve customer groups","Recuperar grupos do cliente"
"Retrieve customer info","Recuperar informações do cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your password here","Recupere sua senha aqui"
"Save","Salvar"
"Save Address","Salvar endereço"
"Save Customer","Salvar cliente"
"Send Welcome Email after Confirmation","Enviar e-mail de boas-vindas após confirmação"
"Send auto-generated password","Enviar senha gerada automaticamente"
"Sending","Enviando"
"Session Start Time","Horário de início da sessão"
"Set as Default Shipping Address","Ajustar como endereço de entrega padrão"
"Share Customer Accounts","Compartilhar contas do cliente"
"Shipped to First Name","Enviado para o primeiro nome"
"Shipped to Name","Enviado para o nome"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(ns)"
"Show Middle Name (initial)","Exibir nome do meio (inicial)"
"Show Tax/VAT Number","Exibir número fiscal"
"Skipping import row, required field ""%s"" is not defined.","Ignorar linha de importação, campo ""%s"" exigido não está definido."
"State/Province","Estado/Província"
"Status","Status"
"Store","Loja"
"Street Address %s","Endereço da Rua %s"
"Subscribe to Newsletter","Assinar o Boletim Informativo"
"Suffix","Sufixo"
"Tag Name","Nome de Marca"
"Tax/VAT number","Número de Taxas/IVA"
"Text","Texto"
"Thank you for registering with %s.","Obrigado por se registar com %s."
"The address does not belong to this customer.","O endereço não pertence a este cliente."
"The address has been saved.","O endereço foi salvo."
"The customer does not have default billing address.","O cliente não tem endereço de cobrança predefinido."
"The customer group has been saved.","O grupo de clientes foi salvo."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","A senha deve ter pelo menos 6 caracteres. Espaços à esquerda ou à direita serão ignorados."
"The title that goes before name (Mr., Mrs., etc.)","O título que vai antes do nome (Sr., Sra., etc.)"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de email. Se você tem certeza que é o seu endereço de email, <a href=""%s"">clique aqui</a> para obter a sua senha e acessar sua conta."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Essa conta não está confirmada. <a href=""%s"">Clique aqui</a> para reenviar email de confirmação."
"This customer email already exists","Este email do cliente já existe"
"This email address was not found in our records.","Este endereço de e-mail não foi encontrado em nossos registros."
"This email does not require confirmation.","Este email não requer confirmação."
"This is My Default %s Address","Este é o Meu Endereço %s Padrão"
"Total","Total"
"Unable to save the customer.","Não foi possível salvar o cliente."
"Update","Atualizar"
"Update customer address data","Atualizar os dados de endereço do cliente"
"Use as My Default %s Address","Use como Meu Endereço %s Padrão"
"Use as My Default Shipping Address","Use como Meu Endereço de Entrega Predefinido"
"Use as my default shipping address","Use como meu endereço de entrega padrão"
"View Order","Ver Solicitação"
"Visitor","Visitante"
"Website","Website"
"Welcome Email","E-mail de boas-vindas"
"Wishlist - %d item(s)","Lista de presentes - %d item(ns)"
"Wrong confirmation key.","A chave de confirmação está errada."
"Wrong transactional account email type","O tipo de e-mail de conta transacional está errado"
"YYYY","AAAA"
"You are currently not subscribed to any newsletter.","Você não está inscrito em nenhum boletim informativo."
"You are currently not subscribed to our newsletter.","Você ainda não assinou o nosso boletim informativo."
"You are currently subscribed to 'General Subscription'.","Você está atualmente inscrito em ""Assinatura Geral""."
"You have logged out and will be redirected to our homepage in 5 seconds.","Você se desconectou e será redirecionado para a nossa página inicial em 5 segundos."
"You have no additional entries in your address book.","Você não tem entradas adicionais em seu livro de endereços."
"You have no default entries in your address book.","Você não tem entradas padrão em seu livro de endereços."
"You have not set a default billing address.","Você não configurou um endereço de faturamento padrão."
"You have placed no orders yet.","Você ainda não fez pedidos."
"Your account balance is: %s","O saldo da sua conta é: %s"
"Zip/Postal Code","Zip/Código Postal"
"or","ou"
"register","registrar"
