"-OR-","-OU-"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primário"" (padrão), your_custom_value (um estilo de página de pagamento personalizada do seu perfil conta de comerciante)."
"Allowed Credit Card Types","Tipos de Cartão de Crédito Permitido"
"Also affects mini-shopping cart.","Também afeta o mini carrinho de compras."
"Ask Customer","Pergunte ao cliente"
"Attempted Authentication, Bad Result","Autenticação Tentada, Mau Resultado"
"Attempted Authentication, Good Result","Autenticação Tentada, Bom Resultado"
"Auction Payment other than through eBay","Pagamento de Leilão que não seja através de eBay"
"Authenticated, Bad Result","Autenticado, Mau Resultado"
"Authenticated, Good Result","Autenticado, Bom Resultado"
"Authorization","Autorização"
"Authorization Honor Period (days)","Período de Honra da Autorização (dias)"
"Authorization expired.","Autorização expirou."
"Authorization transaction is required to void.","Autorização da transação é necessária para anular."
"Authorization was voided by merchant.","Autorização foi anulada pelo comerciante."
"Authorized amount of %s.","Valor autorizado de %s."
"Authorizing amount of %s is pending approval on gateway.","Autorização de valor %s está pendente de aprovação no portal."
"Auto","Auto"
"AutoSweep","AutoVarredura"
"Available Balance","Saldo Disponível"
"Balance Manager Account Bonus","Conta de Gerente Bônus de Balanço"
"Billing Address","Endereço de faturamento"
"Billing Agreement Signup ","Aceitação do Contrato de Faturamento"
"Bonus for first ACH Use","Bônus pelo primeiro uso do ACH"
"Buyer Credit Payment","Pagamento de Crédito do Comprador"
"Buyer\'s Tax ID","CPF do Comprador"
"Buyer\'s Tax ID Type","Tipo de CPF/CNPJ do Comprador"
"By default it is ""reports.paypal.com"".","Por padrão, é ""reports.paypal.com""."
"CNPJ","CNPJ (Cadastro Nacional de Pessoas Jurídicas)"
"CPF","CPF (Cadastro de Contribuintes Pessoas Físicas)"
"CVV2 Check Result by PayPal","CVV2: Verificar Resultado pelo PayPal"
"Can not send new order email.","Não pode enviar e-mail com novo pedido."
"Cannot create target file for reading reports.","Não pode criar arquivo-alvo para relatórios de leitura."
"Centinel API URL","URL Centinel API"
"Centinel Custom API URL","URL para API Personalizado da Centinel"
"Charge-off","Baixa contábil"
"Chargeback","Estorno"
"Chargeback by customer.","Estorno para cliente."
"Checkout with PayPal","Fechar Pedido com o PayPal"
"City","Cidade"
"Click here if you are not redirected within 10 seconds...","Clique aqui se você não for redirecionado dentro de 10 segundos..."
"Company","Companhia"
"Completion Date","Data da Conclusão"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Conectando-se ao servidor SFTP do PayPal em busca de novos relatórios. Tem certeza de que deseja prosseguir?"
"Countries Payment Applicable From","Pagamento a Países Aplicável Desde"
"Country","País"
"Coupon Redemption","Resgate de Cupom"
"Credit","Crédito"
"Credit Card Settings","Configurações do Cartão de Crédito"
"Currency Conversion required to cover negative balance","Necessária a Conversão de Moeda para cobrir saldo negativo"
"Custom","Personalizado"
"Custom Endpoint Hostname or IP-Address","Nome de Terminal Servidor ou Endereço IP Personalizados"
"Custom Path","Caminho Personalizado"
"Customer Information","Dados do Cliente"
"Customer complaint.","Reclamação de cliente."
"Customer did not include a confirmed address.","O cliente não incluiu um endereço confirmado."
"Customer failed to pay.","Cliente não conseguiu pagar."
"Customer triggered a money-back guarantee.","O cliente acionou uma garantia de dinheiro devolvido."
"Customer used non-confirmed address.","O cliente usou um endereço não confirmado."
"Daily","Diário"
"Debit","Débito"
"Debit Card Cash Back","Desconto em Uso de Cartão de Débito"
"Debit Card Transaction","Transação em Cartão de Débito"
"Debit or Credit","Débito ou Crédito"
"Debug Mode","Modo de Depuração"
"Direct Payment API","API de Pagamento Direto"
"Discount","Desconto"
"Display Express Checkout in the Payment Information step","Exibe Checkout Expresso na etapa Informações de Pagamento"
"Displays on catalog pages and homepage.","Exibições em páginas de catálogo e na página inicial."
"Don't have a PayPal account? Simply enter your email address.","Não tem uma conta no PayPal? Basta digitar seu endereço de e-mail."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Não tem uma conta de comerciante no PayPal? Você pode aceitar pagamentos com cartão de crédito através do Payflow Pro."
"Dynamic","Dinâmico"
"EFT Funding (German banking)","Financiamento com transação eletrônica (banco alemão)"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Email Address","Endereço de e-mail"
"Email Associated with PayPal Merchant Account","E-mail Associado à Conta de Comerciante no PayPal"
"Enable Automatic Fetching","Habilitar Execução Automática"
"Enable PayPal Guest Checkout","Habilitar Conclusão de Pagamento pelo PayPal Sem Conta"
"Enabled","Ativado"
"Event","Evento"
"Event Code","Código de Evento"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 3 days","A cada 3 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"Every 7 days","A cada 7 dias"
"Exact Match. Address and Postal Code. International","Correspondência exata. Endereço e CEP. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência exata. Endereço e CEP. Específicas do Reino Unido"
"Exact Match. Address and nine-digit ZIP code","Correspondência exata. Endereço e código postal CEP de nove dígitos"
"Explanation: %s.","Explicação: %s."
"Express Checkout","Caixa Expresso"
"Express Checkout (Payflow Edition) Settings","Configurações de Caixa Expresso (Edição Payflow)"
"Express Checkout APIs","APIs Caixa Expresso"
"Express Checkout Settings","Configurações de Caixa Expresso"
"Express Checkout and Order have been canceled.","Caixa Expresso e Ordem foram canceladas."
"Express Checkout has been canceled.","Caixa Expresso foi cancelada."
"Failed to fetch reports from '%s@%s'.","Falha ao buscar relatórios de ""%s@%s""."
"Fax","Fax"
"Fee Amount","Valor da Taxa"
"Fee Debit or Credit","Taxa de Débito ou de Crédito"
"Fee Reversal","Reversão de Taxa"
"Fee: Foreign ACH Withdrawal","Taxa: Retirada ACH Exterior"
"Fee: Mass Pay Request","Taxa: Pedido de Pagamento em Massa"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Conta Pro de Pagamentos de Web Site Mensal"
"Fee: WorldLink Check Withdrawal","Taxa: Levantamento Verificado WorldLink"
"Fetch","Buscar"
"Fetch Updates","Buscar Atualizações"
"Fetched %s report rows from '%s@%s'.","%s Linhas de relatório buscadas de '%s@%s'."
"For Virtual Quotes Only","Somente para Orçamentos Virtuais"
"Frontend Experience Settings","Configurações de Experiência Frontend"
"Funding","Financiamento"
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos da Conta PayPal para Outra)"
"General (Purchase with a credit card)","Geral (Compra com Cartão de Crédito)"
"General Adjustment without businessrelated event","Ajuste Geral sem evento de negócios relacionado"
"General Currency Conversion","Conversão de Moeda em Geral"
"General Funding of PayPal Account ","Financiamento Geral de Conta PayPal"
"General Redemption","Redenção Geral"
"General Withdrawal from PayPal Account","Levantamento Geral a partir da Conta PayPal"
"General. Product no longer supported","Geral. Produto não é mais suportado"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso de conta PayPal para a compra bem como para receber pagamentos"
"General: Withdrawal from PayPal Account","Geral: Levantamento a partir da Conta PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Levantamento de Entidade Não-Bancária"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajuste de um tipo que não pertence às outras categorias T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bônus de um tipo que não pertence às outras categorias T08xx"
"General: event not yet categorized","Geral: evento ainda não classificado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa de não-pagamento de um tipo que não pertence às outras categorias T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: pagamento recebido de um tipo que não pertence às outras categorias T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: reversão de um tipo que não pertence às outras categorias T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: retenção temporária de um tipo que não pertence às outras categorias T15xx"
"Get Credentials from PayPal","Obter Credenciais do PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento de Vale Oferta: compra de Vale Oferta"
"Gift Certificate Redemption","Redenção de Vale Oferta"
"Gross Amount","Valor Bruto"
"Header Background Color","Cor de Fundo do Cabeçalho"
"Header Border Color","Cor da Margem do Cabeçalho"
"Header Image URL","URL da Imagem de Cabeçalho"
"Help","Ajuda"
"Hidden Virtual PayPal Debit Card Transaction","Transação Virtual Escondida com Cartão de Débito PayPal"
"Hold for Dispute Investigation","Espere por Investigação de Disputa"
"IPN ""%s"".","IPN ""%s""."
"IPN verification ""%s"".","Verificação de IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio, um valor definido será usado. URL personalizado pode ser fornecido por acordo CardinalCommerce."
"If not specified, Default Country from General Config will be used","Se não especificado, País Predefinido da Configuração Geral será usado"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver ativada, o cliente pode mudar o endereço de entrega e a forma de envio no site PayPal. No modo ao vivo funciona via protocolo único HTTPS."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossível emitir uma transação de reembolso porque a transação de captura não existe."
"Incentive","Incentivo"
"Initiation Date","Data de Início"
"Integral Evolution","Evolução Integral"
"Integral Evolution Settings","Configurações de Evolução Integral"
"Invoice ID","ID da fatura"
"Issuer Liability","Responsabilidade do Emissor"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Recomenda-se definir este valor como ""Cartão de Débito ou de Crédito"" por visualizações de loja."
"It is recommended to set this value to ""PayPal"" per store views.","Recomenda-se definir este valor como ""PayPal"" por visualizações de loja."
"Items in Your Shopping Cart","Itens em seu carrinho de compras"
"Last Correlation ID","ID da Última Correlação"
"Last Transaction ID","ID da Última Transação"
"Learn More","Saiba Mais"
"Login","Conectar-se"
"Looking for PayPal? We have our own tab to the left under Sales.","Procurando por PayPal? Nós temos nossa própria guia para a esquerda em Vendas."
"Mass Pay Payment","Pagamento de Pagamento em Massa"
"Matched (CVV2)","Correspondido (CVV2)"
"Matched (CVV2CSC)","Correspondido (CVV2CSC)"
"Matched Address only (no ZIP)","Apenas Endereço Correspondido (sem ZIP)"
"Matched Address only (no ZIP). International","Apenas Enedereço Correspondido (sem ZIP). Internacional"
"Matched Postal Code only (no Address)","Apenas Código Postal Correspondido (sem Endereço)"
"Matched five-digit ZIP only (no Address)","Apenas ZIP de cinco dígitos correspondido (sem Endereço)"
"Matched whole nine-didgit ZIP (no Address)","ZIP total de nove dígitos correspondido (sem Endereço)"
"Merchant Account","Conta do Comerciante"
"Merchant Country","País do Comerciante"
"Merchant Liability","Responsabilidade do Comerciante"
"Merchant Protection Eligibility","Elegibilidade de Proteção do Comerciante"
"Merchant Referral Bonus","Bónus de Comerciante"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Conta do comerciante não tem um mecanismo de levantamento. O comerciante deve aceitar ou recusar manualmente esse pagamento a partir de sua Visão Geral da conta."
"Merchant account is not verified.","Conta do comerciante não verificada."
"Merchant denied this pending payment.","Comerciante recusou o pagamento pendente."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","O comerciante é titular de uma conta fora dos EUA e não tem um mecanismo de levantamento."
"Merchant must upgrade account to Business or Premier status.","Comerciante deve atualizar a conta para status Business ou Premier."
"Merchant reference ID format is not supported.","Referência do formato ID do comerciante não é suportado."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Comerciantes necessitam se aplicar no PayPal para permitir a funcionalidade de acordos de faturamento. Não ative essa opção até que PayPal confirme que os acordos de faturamento estão ativados para a sua conta de comerciante."
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito através de um celular)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Questão multi-moeda. O comerciante deve manualmente aceitar ou recusar esse pagamento a partir da Visão Geral da Conta PayPal."
"N/A","Indisponível"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Endereço não verificado, ou comprador sem resposta. Serviço não disponível"
"N/A. Global Unavailable","N/A. Global Não Disponível"
"N/A. International Unavailable","N/A. Internacional Não Disponível"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Comerciante indicou que CVV2 não está presente no cartão"
"N/A. No response","N/A. Sem resposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Não permitido para transações MOTO (Internet/Telefone)"
"N/A. Not processed","N/A. Não processado"
"N/A. Retry","N/A. Tentar novamente"
"N/A. Service not Supported","N/A. Serviço não Suportado"
"N/A. Service not available","N/A. Serviço não disponível"
"N/A. Service not supported","N/A. Serviço não suportado"
"N/A. The merchant did not provide AVS information","N/A. O comerciante não forneceu informação AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. O comerciante não implementou manipulação de código CVV2"
"N/A. Unavailable","N/A. Indisponível"
"Negative Balance","Balanço Negativo"
"Never","Nunca"
"No","Não"
"No Details matched","Nenhuns Detalhes correspondem"
"No Details matched. International","Nenhuns Detalhes correspondem. Internacional"
"No Liability Shift","Nenhuma Mudança de Responsabilidade"
"No Logo","Nenhum Logo"
"No match","Nenhuma correspondência"
"None of the address information matched","Nenhuma das informações de endereço corresponderam"
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Nada para buscar por causa de uma configuração vazia."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Observe que o PayPal pode lidar com até 10 opções de envio. É por isso que Magento irá transferir apenas as 10 primeiras opções mais baratas de envio se houver mais de 10 disponíveis."
"Notified customer about creditmemo #%s.","Cliente notificado sobre nota de crédito #%s."
"Notified customer about invoice #%s.","Cliente notificado sobre fatura #%s."
"Now accepting PayPal (150 X 40)","Aceitando agora PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Aceitando agora PayPal (150 X 60)"
"Number of Child Authorizations","Número de Autorizações para Crianças"
"Open Authorization","Autorização Aberta"
"Order","Pedido"
"Order ID","ID da Ordem"
"Order Valid Period (days)","Período de Ordem Válida (dias)"
"Ordered amount of %s.","Valor ordenado de %s."
"Ordering amount of %s is pending approval on gateway.","Valor ordenado de %s está pendente de aprovação no gateway."
"Page Background Color","Cor de Fundo da Página"
"Page Style","Estilo da Página"
"Part of the address information matched","Parte das informações de endereço correspondeu"
"Partner","Parceiro"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Configurações Pasarela integral"
"Password","Senha"
"Pay Now","Pagar Agora"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","Função PayPal de Gerente de Saldo da conta PayPal"
"PayPal Buyer Warranty Bonus","Garantia Bonus de Comprador PayPal"
"PayPal Debit Card Cash Advance","Adiantamento de Dinheiro com Cartão de Débito PayPal"
"PayPal Debit Card Withdrawal from ATM","Levantamento de ATM com Cartão de Débito PayPal"
"PayPal Express Checkout Shortcut Wrapper","Atalho Envoltório PayPal de Checkout Expresso"
"PayPal Express Checkout Token does not exist.","Fechar Pedido com PayPal Express: Token não existe"
"PayPal Express Order Review Form","PayPal Express: Revisar Pedido"
"PayPal Fee Information","Informação de Taxa PayPal"
"PayPal Merchant Pages Style","Páginas Estilo Comerciante PayPal"
"PayPal Payments Advanced","Pagamentos PayPal Advanced"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Configurações PayPal Pro"
"PayPal Product Logo","Logo de Produto PayPal"
"PayPal Protection Bonus","Bônus de Proteção PayPal"
"PayPal Reference ID","ID de Referência PayPal"
"PayPal Reference ID Type","Tipo de ID de Referência PayPal"
"PayPal Settlement Reports","Relatórios de Pagamento PayPal"
"PayPal certificate does not exist.","Certificado PayPal não existe."
"PayPal certificate file is empty.","Arquivo de certificado PayPal está vazio."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal não oferece suporte a processamento de ordens com montante zero. Para concluir a sua compra, vá para o processo de compra standard."
"PayPal gateway has rejected request. %s","Portal PayPal rejeitou pedido. %s"
"PayPal processes all of your orders, and you get paid.","PayPal processa todas as suas ordens, e você é pago."
"PayPal response hasn't required fields.","Resposta PayPal não tem os campos obrigatórios."
"PayPal retains reports for 45 days.","PayPal retém relatórios por 45 dias."
"PayPal/Centinel Electronic Commerce Indicator","Indicador de Comércio Eletrônico PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","Resultado do Serviço de Autenticação Pagador Visa PayPal/Centinel"
"Payer Address ID","Identificação do Endereço do Pagante"
"Payer Address Status","Estado Atual do Endereço do Pagante"
"Payer Email","E-mail do Pagante"
"Payer ID","Identificação do Pagante"
"Payer Status","Estado Atual do Pagante"
"Payer is not identified.","O pagante não está identificado."
"Payflow Link (for USA and Canada)","Payflow Link (para EUA e Canadá)"
"Payflow Link Settings","Configurações do Payflow Link"
"Payflow Pro Gateway","Gateway do Payflow Pro"
"Payflow Pro Settings","Configurações do Payflow Pro"
"Payment Action","Ação de Pagamento"
"Payment Applicable From","Pagamento Aplicável Desde"
"Payment Refund initiated by merchant","Reembolso de Pagamento por iniciativa do Comerciante"
"Payment has been declined. Please try again.","O pagamento não foi realizado. Tente outra vez."
"Payment is being reviewed by PayPal for risk.","O pagamento está sendo revisado pelo PayPal quanto ao risco."
"Payment transactions disallow storing objects.","Transações de pagamento não permitem armazenar objetos."
"Payment was made to an email address that is not yet registered or confirmed.","O pagamento foi feito para um endereço de e-mail ainda não registrado ou confirmado."
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 x 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Pagamentos com cartões + proteção do vendedor - <strong style=""color:red"">Contactar o PayPal antes de ativar</strong>"
"Paypal Billing Agreement Settings","Configurações do Contrato de Faturamento do PayPal"
"Pending PayPal","Pendência com PayPal"
"Place Order","Colocar Ordem"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os Termos e Condições antes de colocar a ordem."
"Please contact PayPal Customer Service.","Entre em contato com o Atendimento ao Cliente PayPal."
"Please do not refresh the page until you complete payment.","Por favor não atualize a página até concluir o pagamento."
"Please select a shipping method...","Por favor selecione um método de envio..."
"Please select region, state or province","Selecione a região, estado ou província"
"Please update order data to get shipping methods and rates","Por favor atualize os dados do pedido para ver as formas de envio e tarifas"
"Points Incentive Redemption","Redenção de Pontos de Incentivo"
"Postage Payment to either USPS or UPS","Pagamento de Porte quer para USPS ou UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento Pré-aprovado (BillUser API), quer enviado ou recebido"
"Preapproved Payment ID","ID do Pagamento Pré-aprovado"
"Price","Preço"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Processe cartões de crédito diretamente em seu site com a solução de processamento de pagamento tudo-em-um on-line PayPal."
"Product Name","Nome do produto"
"Proxy Host","Anfitrião Proxy"
"Proxy Port","Porta Proxy"
"Qty","Quant."
"Reauthorization","Reautorização"
"Reference Information","Informação de Referência"
"Refund issued by merchant.","Restituição emitida pelo comerciante."
"Reimbursement for a chargeback.","Reembolso de uma cobrança retroativa."
"Reimbursement of Chargeback","Reembolso de Cobrança Retroativa."
"Report Date","Data do Relatório"
"Reports","Relatórios"
"Requested %s and configured %s merchant emails do not match.","%s solicitado e %s emails configurados do comerciante não coincidem."
"Require CVV Entry","Requer Entrada CVV"
"Require Customer's Billing Address","Solicitar endereço de cobrança do cliente"
"Reversal","Reversão"
"Reversal of General Account Hold","Reversão do Domínio da Conta Geral"
"Reversal of Points Usage","Reversão de Pontos de Uso"
"Reversal of an adjustment.","Reversão de um ajustamento."
"Reversal of hold for Dispute Investigation","Reversão de espera por Disputa de Investigação"
"Review Order","Analisar o pedido"
"Reward Voucher Redemption","Resgate de Voucher de Recompensa"
"SFTP Credentials","Credenciais SFTP"
"Sale","Venda"
"Sales","Vendas"
"Same as shipping","Mesmo de envio"
"Sandbox Credentials","Credenciais Sandbox"
"Sandbox Mode","Modo Sandbox"
"Schedule","Programa"
"Schedule description is too long.","A descrição do programa é muito longa"
"Scheduled Fetching","Buscando Programa"
"Select a PayPal Solution","Selecione a Solução PayPal"
"Server Error. Please try again.","Erro do servidor. Por favor tente novamente."
"Settlement Consolidation","Consolidação de liquidação"
"Settlement Report Settings","Configurações de relatório de liquidação"
"Settlement of a chargeback.","Liquidação de um estorno."
"Severe 3D Secure Card Validation","Validação de Cartão Severe 3D Secure"
"Severe Validation Removes Chargeback Liability on Merchant","Validação Severe Remove a Responsabilidade de Cobrança Retroativa no Comerciante"
"Severe validation removes chargeback liability on merchant.","A validação rigorosa isenta o comerciante da responsabilidade de desconto."
"Shipping","Remessa"
"Shipping Address","Endereço de Envio"
"Shipping Method","Tipo de Frete"
"Shop now using (150 X 40)","Compre agora usando (150 X 40)"
"Shop now using (150 X 60)","Compre agora usando (150 X 60)"
"Shortcut","Atalho"
"Shortcut Buttons Flavor","Sabor botões de atalho"
"Shortcut on Product View","Atalho na Visão do Produto"
"Shortcut on Shopping Cart","Atalho no Carrinho de Compras"
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um acordo de faturamento para agilizar ainda mais as compras com o PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Desculpe, não há citações disponíveis neste momento para esta ordem."
"Sort Order","Classificar pedido"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica o que o Período de Honra de Autorização é na conta PayPal do comerciante. Deve espelhar a configuração no PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica o que o Período de Ordem Válido é na conta PayPal do comerciante. Deve espelhar a configuração no PayPal."
"State/Province","Estado/Província"
"Static","Estático"
"Street Address","Endereço da Rua"
"Street Address %s","Endereço da Rua %s"
"Submitting order information...","Enviando informações da ordem..."
"Subscriber name is too long.","Nome do assinante é muito longo."
"Subscription ID","ID de Subscrição"
"Subscription Payment, either payment sent or payment received","Pagamento de Subscrição, ou de pagamento enviado ou pagamento recebido"
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Texto Resumo para Carrinho Agregado"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Apoio de cartões American Express exige um acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefone"
"Test Mode","Modo de Teste"
"The background color for the checkout page around the header and payment form.","A cor de fundo para a página de compra à volta do cabeçalho e formulário de pagamento."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor de fundo para o cabeçalho da página de compra. Código de seis caracteres, sem diferença de minúsculas e maiúsculas, de cor hexadecimal HTML em ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O número padrão de autorizações de criança em sua conta PayPal é 1. Para fazer autorizações múltiplas entre em contato com PayPal para pedir um aumento."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","A imagem no canto superior esquerdo da página de compra. Tamanho máximo é 750x90 pixels. <strong style=""color:red"">https</strong> é altamente recomendado."
"The maximum number of child authorizations is reached.","O número máximo de autorizações de criança foi atingido."
"The merchant account is not yet verified.","A conta de comerciante ainda não foi confirmada."
"The payment curency does not match any of the merchant\'s balances currency.","A moeda de pagamento não corresponde a nenhuma das moedas dos balanços do comerciante."
"The payment eCheck is not yet cleared.","O pagamento eCheck ainda não está clarificado."
"The payment is authorized but not settled.","O pagamento está autorizado, mas não liquidado."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um endereço de e-mail que ainda não está registrado ou confirmado."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto ele está sendo revisado para o risco por PayPal."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito via cartão de crédito. A fim de receber fundos o comerciante deve atualizar sua conta para status Business ou Premier."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar sua ordem. Entre em contato conosco ou tente novamente mais tarde."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Este recurso primeiro precisa ser ativado para a conta que aceita cartões de crédito através do suporte técnico PayPal ."
"This operation requires an existing transaction object.","Esta operação requer um objeto existente de transação."
"Time of Day","Hora do Dia"
"Title","Título"
"Transaction ID","ID da Transação"
"Transaction ID must not be empty.","A ID da transação não pode estar vazia."
"Transaction Information","Informação da Transação"
