"# of Use","# de Uso"
"%1$s incl tax.","%1$s de imposto incluído"
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s ou mais"
"Anchor Custom Text","Texto âncora personalizado"
"Anchor Custom Title","Título âncora personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicável ​​somente aos produtos de catálogo e categorias. Qualquer conteúdo de mídia será inserido no editor como um URL estático. Não é atualizado se o URL de sistema base de configurações mudar."
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply To","Aplicar a"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem certeza de que quer apagar esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem certeza de que gostaria de remover todos os produtos de sua comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem certeza de que deseja remover este item dos produtos comparados?"
"Are you sure?","Tem certeza?"
"As low as:","A partir de:"
"Assign","Atribuir"
"Assign product link","Atribuir link do produto"
"Assign product to category","Atribuir categoria ao produto"
"Assigned Products","Produtos Atribuídos"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome do conjunto de atributos"
"Attribute ""%s"" is invalid.","O atributo ""%s"" não é válido."
"Attribute ""%s"" is required.","O atributo ""%s"" é obrigatório."
"Attribute Information","Informação do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Set","Conjunto de Atributos"
"Attribute Sets","Conjuntos de atributos"
"Attribute add","Adicionar atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","O código do atributo não é válido. Utilize apenas letras (a-z), números (0-9) ou sublinhado (_) neste campo, o primeiro caractere deve ser uma letra."
"Attribute group with the \/name/\ name already exists","O grupo de atributo com o nome \/name/\ já existe."
"Attribute remove","Remover atributo"
"Attribute with the same code already exists","Atributo com o mesmo código já existe"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Os nomes dos atributos podem ser especificados por loja."
"Autogenerate","Geração Automática"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Backend Model","Modelo de Backend"
"Backend Table","Tabela de Backend"
"Backend Table Title","Título da Tabela de Backend"
"Backorders","Ordens em Atraso"
"Based On","Baseado Em"
"Before Order Confirmation","Antes de Confirmação de Ordem"
"Best Value","Melhor Preço"
"Block after Info Column","Bloco após Coluna de Informações"
"Bottom Block Options Wrapper","Envoltório de Opções do Bloco de Fundo"
"Bottom/Left","Fundo/Esquerdo"
"Bottom/Right","Fundo/Direito"
"Browse By","Procure Por"
"Bundle Items","Empacotar itens"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Cache Lifetime (Seconds)","Tempo de Vida de Cache (Segundos)"
"Cache refresh needed.","Necessária atualização de cache."
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para envio"
"Can be used only with catalog input type Dropdown","Pode ser usado somente com o tipo de catálogo de entrada Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com o tipo de catálogo de entrada Dropdown, Seleção Múltipla e Preço"
"Can\'t create image.","Não é possível criar imagem."
"Cancel","Cancelar"
"Cannot create image.","Não é possível criar imagem."
"Cannot create writeable directory '%s'.","Não é possível criar diretório gravável ""%s"" ."
"Cart Item Attribute","Atributo do Item do Carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoria de Catálogo (Âncora)"
"Catalog Category (Non-Anchor)","Categoria de Catálogo (Não-Âncora)"
"Catalog Category Link","Link da Categoria de Catálogo"
"Catalog New Products List","Lista de Novos Produtos de Catálogo"
"Catalog Price Scope","Limite do Preço de Catálogo"
"Catalog Product Compare List","Produto de Catálogo: Comparar Lista"
"Catalog Product Email to a Friend","Produto de Catálogo: Mandar E-Mail para Amigo"
"Catalog Product Image Gallery Popup","Produto de Catálogo: Pop-up da Galeria de Imagens"
"Catalog Product Link","Link do Produto de Catálogo"
"Catalog Product View (Any)","Visualizar Produto de Catálogo (Qualquer Um)"
"Catalog Product View (Configurable)","Visualizar Produto de Catálogo (Configurável)"
"Catalog Product View (Grouped)","Visualizar Produto de Catálogo (Agrupado)"
"Catalog Product View (Simple)","Visualizar Produto de Catálogo (Simples)"
"Catalog Product View (Virtual)","Visualizar Produto de Catálogo (Virtual)"
"Catalog Section","Seção de Catálogo"
"Catalog Seo Popular Search Terms","Termos de Busca Otimizados para Catálogo"
"Catalog Seo Sitemap (Category List)","Sitemap Otimizado para Catálogo (Lista de Categorias)"
"Catalog Seo Sitemap (Category Tree)","Sitemap Otimizado para Catálogo (Árvore de Categorias)"
"Catalog Seo Sitemap (Common)","Sitemap Otimizado para Catálogo (Comum)"
"Catalog Seo Sitemap (Product List)","Sitemap Otimizado para Catálogo (Lista de Produtos)"
"Catalog URL Rewrites","Reedições da URL de Catálogo"
"Catalog product custom option values API","API de valores de opções personalizadas de produtos do catálogo"
"Catalog product custom options API","API de opções personalizadas de produtos do catálogo"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorias"
"Categories Sitemap","Sitemap de Categorias"
"Category","Categoria"
"Category API","API de Categorias"
"Category Data","Dados da Categoria"
"Category Flat Data","Dados da Categoria Base"
"Category Link Block Template","Modelo de Categoria de Blocos de Ligação"
"Category Link Inline Template","Modelo de Categoria de Ligação Em Linha"
"Category Products","Categoria de Produtos"
"Category Top Navigation","Navegação de Melhores Categorias"
"Category URL Suffix","Sufixo URL de Categoria"
"Category attributes API","API Atributos de Categoria"
"Category move error","Erro de movimentação de categorias"
"Category move operation is not possible: parent category is equal to child category.","Operação de mudança de categoria não é possível: categoria pai é igual a categoria infantil."
"Category move operation is not possible: the current category was not found.","Operação de mudança de categoria não é possível: a categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","Operação de mudança de categoria não é possível: a nova categoria pai não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","Categoria deve ser uma instância de Mage_Catalog_Model_Category."
"Center","Centro"
"Change","Mudar"
"Change or Retrieve attribute store view","Alterar ou Recuperar vista atributo de loja"
"Change status","Alterar status"
"Check items to add to the cart or","Verificar itens a ser adicionados ao carrinho ou"
"Choose an Option...","Escolha uma Opção..."
"Clear All","Limpar Todos"
"Clear Price","Limpar preço"
"Click for price","Clique para o preço"
"Close Window","Fechar Janela"
"Collapse All","Fechar Tudo"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável no Início do Processo"
"Comparable on the Frontend","Comparável no Início do Processo"
"Compare","Comparar"
"Compare Products","Comparar Produtos"
"Conditions Combination","Combinação de condições"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Características do Produto Configurável"
"Configure Product","Configurar Produto"
"Continue","Continue"
"Copy From Configurable","Copiar de Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (Carregar)"
"Create Empty","Criar Vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar redirecionamento permanente para URLs em caso de alteração de chave de URL"
"Create Permanent Redirect for old URL","Criar Redirecionamento Permanente para antiga URL"
"Create Product Settings","Criar Configurações de Produto"
"Create Simple Associated Product","Criar Produto Associado Simples"
"Create attribute set based on another set","Criar conjunto de atributos baseado em outro conjunto"
"Create new attribute","Criar novo atributo"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by:","Atualmente Comprando por:"
"Custom Design","Personalizar Design"
"Custom Options","Personalizar Opções"
"Custom options","Opções personalizadas"
"Customer Group","Grupo de Clientes"
"Customers Reviews","Análises dos clientes"
"Customers Tagged Product","Produtos marcados pelos clientes"
"Data Type for Saving in Database","Tipo de dado para salvar na base de dados"
"Date & Time Custom Options","Opções personalizadas de data e hora"
"Date Fields Order","Ordem de campos de data"
"Date Subscribed","Data de inscrição"
"Datetime","Data e hora"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar escopo de economia do valor do atributo"
"Default ""What's This"" Text Message","Mensagem de texto padrão ""O que é isso"""
"Default Popup Text Message","Mensagem de texto de popup padrão"
"Default Price","Preço padrão"
"Default Price Navigation Step","Preço padrão de passo de navegação"
"Default Qty","Quantidade padrão"
"Default Values","Valores padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo de moeda base (""Configuração de moeda"" > ""Opções de moeda"" > ""Moeda base"")."
"Delete","Excluir"
"Delete Attribute","Apagar atributo"
"Delete Attribute Set","Excluir conjunto de atributos"
"Delete Category","Excluir categoria"
"Delete Group Price","Excluir preço de grupo"
"Delete Option","Excluir opção"
"Delete Row","Excluir linha"
"Delete Search","Excluir pesquisa"
"Delete Selected Group","Excluir grupo selecionado"
"Delete Tier","Excluir camada"
"Delete attribute","Excluir atributo"
"Delete category","Apagar categoria"
"Delete product","Apagar produto"
"Depends on design theme","Depende do tema do projeto (design)"
"Design","Design"
"Details","Detalhes"
"Disabled","Desativado"
"Disallowed file type.","Tipo de arquivo não permitido."
"Display Actual Price","Mostrar Preço Real"
"Display Price Interval as One Price","Exibir intervalo de preços como um preço"
"Display Product Count","Exibir contagem de produtos"
"Display in Suggested Terms","Exibir em Termos Sugeridos"
"Double click on a group to rename it","Dê um duplo clique em um grupo para renomeá-lo"
"Double click on above image to view full picture","Dê um duplo clique na imagem acima para ver imagem completa"
"Downloadable Information","Informação Transferível"
"Duplicate","Duplicado"
"Duplicate amount found.","Quantia duplicada encontrada."
"Duplicate website group price customer group.","Duplicar preço de grupo do website grupo do cliente."
"Duplicate website tier price customer group and quantity.","Preço nível do sítio Web de grupo de clientes e quantidade duplicados."
"Duplicate website, country and state tax found.","Sítio Web, país e taxa de estado encontrados duplicados."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Por exemplo, {{url mídia=""caminho/para/imagem.jpg""}} {{skin url=""caminho/para/picture.gif""}}. Análise dinâmica de directivas afeta o desempenho do catálogo."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar Conjunto de Atributos ""%s"""
"Edit Product Attribute","Editar Atributo do Produto"
"Edit Product Attribute ""%s""","Editar Atributo do Produto ""%s"""
"Edit Search","Editar Pesquisa"
"Edit Search '%s'","Editar Pesquisa ""%s"""
"Edit Set Name","Editar Nome de Conjunto"
"Email","E-mail"
"Email to a Friend","Enviar por e-mail a um amigo"
"Empty","Vazio"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar Incrementos na Qtde."
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enabled","Ativado"
"Error during retrieval of option value: %s","Erro ao recuperar valor de opção: %s"
"Exclude","Excluir"
"Expand All","Expandir Todos"
"Failed","Falha"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar arquivo %s. Favor apagar mídia com imagens inexistentes e tentar de novo."
"Failed to move file: %s","Falha ao mover arquivo: %s"
"Feature Products","Produtos em Oferta"
"Field is not complete","O campo está incompleto."
"File options format is not valid.","O formato das opções de arquivo é inválido."
"File upload failed","Falha ao carregar arquivo"
"Filter model name must be declared.","É preciso declarar o nome do modelo de filtro."
"Filter must be an object. Please set correct filter.","O filtro tem de ser um objeto. Favor ajustar filtro correto."
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Primeiro nome"
"Fixed","Fixado"
"For internal use.","Para uso interno."
"For the last time placed.","Colocado pela última vez."
"Frontend","Início do processo"
"Frontend Model","Modelo para Início de Processo"
"Frontend Properties","Propriedades de interface inicial"
"Gallery","Galeria"
"General Information","Informações gerais"
"Get full information about attribute with list of options","Obter informações completas sobre atributo com lista de opções"
"Get full information about custom option in product","Obter informações completas sobre opção personalizada em produto"
"Get list of available custom option types","Obter lista de tipos de opções personalizadas disponíveis"
"Get list of non-default attributes by product type and attributes set","Obter lista de atributos não-padrão por tipo de produto e atributos estabelecidos"
"Get list of possible attribute types","Obter lista de tipos de atributos possíveis"
"Get special price","Obter preço especial"
"Global","Global"
"Globally Editable","Globalmente Editável"
"Go to Home Page","Ir para Página Inicial"
"Grid","Grade"
"Group add","Adicionar em grupo"
"Group remove","Remover grupo"
"Grouped Product","Produto Agrupado"
"Groups","Grupos"
"Home","Início"
"ID","Identidade"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se deixado em branco, será usado o Nome da Categoria."
"If empty, the Product Name will be used","Se deixado em branco, será usado o Nome do Produto."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se não for especificado um valor para opção de visualização de loja específica, será usado o valor padrão (Admin)."
"Image","Imagem"
"Image content is not valid base64 data.","O conteúdo da imagem não é um dado base64 válido."
"Image does not exist.","Imagem inexistente."
"Image file was not found.","Arquivo de imagem não encontrado."
"Image type and information need to be specified for each store view.","O tipo e as informações da imagem devem ser especificados para cada visualização de loja."
"In Cart","No Carrinho"
"In Stock","No Estoque"
"In stock","Em estoque"
"Incl. Tax","Incluir taxas"
"Index product and categories URL rewrites","Produto do índice e as URL reescritas de categorias"
"Index product attributes for layered navigation building","Índice de atributos de produtos para construção em camadas de navegação"
"Index product prices","Preços de produtos de índice"
"Indexed category/products association","Associação de categoria/produtos indexados"
"Info","Informações"
"Info Column Options Wrapper","Envoltório das Opções da Coluna de Informações"
"Input Type","Tipo de entrada"
"Integer","Número Inteiro"
"Interval Division Limit","Limite Divisão Intervalo"
"Invalid Tier Prices","Preços de Nível Inválidos"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválida para atributo %s (%s). Saltando o registro."
"Invalid attribute set specified, skipping the record.","Conjunto especificado de atributo inválido, ignorando o registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","Identificações de categoria inválidas."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválido."
"Invalid image type.","Tipo inválido de imagem."
"Invalid option ID specified for %s (%s), skipping the record.","ID especificado de opção inválido para %s (%s), ignorando o registro."
"Invalid product type specified, skipping the record.","Tipo inválido de produto especificado, ignorando o registro."
"Invalid store specified","Loja especificada inválida"
"Invalid store specified, skipping the record.","Loja especificada inválida, ignorando o registro."
"Invalid tier prices. The product is not associated to the requested website.","Faixas de preço inválidas. O produto não está associado ao website solicitado."
"Inventory","Inventário"
"Is Default","É padrão"
"Is Required","É obrigatório"
"Items %s to %s of %s total","Itens %s a %s de um total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou resultados da pesquisa devem ter status de ""Inválido"" na loja desejada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar no catálogo ou resultados da pesquisa devem ter status de ""Inválido"" na loja desejada."
"Keep your eyes open for our special Back to School items and save A LOT!","Fique atento a nossos itens da Volta às Aulas e economize BASTANTE!"
"Label","Etiqueta"
"Last Name","Último nome"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação em Camadas"
"Learn More","Saiba Mais"
"Line %d, Email: %s","Linha %d, Email: %s"
"Line %d, SKU: %s","Linha %d, Unid. Manut. Estoque: %s"
"Link (Related, Up sell, Cross sell)","Link (Relacionados, Venda extra, Venda cruzada)"
"Link product does not exist.","Não existe o produto do link."
"Link to a Specified Category","Link para uma Categoria Especificada"
"Link to a Specified Product","Link para um Produto Especificado"
"List","Lista"
"List Mode","Modo de Lista"
"List of Products that are set as New","Lista de Produtos definidos como Novos"
"List of types","Lista de tipos"
"Manage Attribute Sets","Gerenciar Conjuntos de Atributos"
"Manage Attributes","Gerenciar Atributos"
"Manage Catalog Categories","Gerenciar Categorias de Catálogo"
"Manage Categories","Gerenciar Categorias"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Manage Options (values of your attribute)","Gerenciar Opções (valores de seu atributo)"
"Manage Product Attributes","Gerenciar Atributos do Produto"
"Manage Product Sets","Gerenciar Conjuntos de Produtos"
"Manage Products","Gerenciar Produtos"
"Manage Stock","Gerenciar Estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (Tamanho, Cor etc.)"
"Max Characters","Máx. de Caracteres"
"Maximal Depth","Altura máxima"
"Maximum Image Size","Tamanho Máximo de Imagem"
"Maximum Number of Price Intervals","Número máximo de intervalos de preços"
"Maximum Qty Allowed in Shopping Cart","Qtde. Máxima Permitida no Carrinho"
"Maximum allowed image size for '%s' is %sx%s px.","Máximo tamanho de imagem permitido para '%s' é %sx%s px."
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","O número máximo de intervalo de preços é 100"
"Media Image","Imagem de mídia"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines per Page","Número Mínimo de Linhas por Página"
"Minimum Qty Allowed in Shopping Cart","Qtde Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Qtde. Mínima de Itens para Estado Atual como Fora do Estoque"
"Missing SKU, skipping the record.","Unid. Manut. Estoque ausente. Saltando o registro."
"More Views","Mais Visualizações"
"Move","Mover"
"Move category in tree","Mover categoria na árvore"
"Must be in the allowed values list.","Tem(Têm) de estar na lista de valores permitidos."
"N/A","Indisponível"
"Name","Nome"
"Name in %s","Nome em %s"
"New Product","Novo Produto"
"New Product Attribute","Novo Atributo de Produto"
"New Products","Novos Produtos"
"New Products Grid Template","Modelo de Nova Rede de Produtos"
"New Products List Template","Modelo para Lista de Novos Produtos"
"New Root Category","Nova Categoria de Raiz"
"New Search","Nova Busca"
"New Set Name","Nome do Conjunto Novo"
"New Subcategory","Nova Subcategoria"
"Next","Próximo"
"No","Não"
"No image","Nenhuma imagem"
"No layout updates","Nenhuma atualização de disposição (layout)"
"No options of this product are available.","Nenhuma opção deste produto está disponível."
"No product collections found.","Nenhuma coleção de produtos encontrada."
"None","Nenhum"
"Not Visible Individually","Não Visível Individualmente"
"Notify Low Stock RSS","Notificar RSS de Estoque Baixo"
"Notify for Quantity Below","Notificar em Caso de Quantidade Abaixo"
"Number of Products to Display","Número de Produtos a Ser Exibidos"
"Number of Uses","Número de Usuários"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"OK","OK"
"OR","OU"
"Old Price:","Preço Antigo:"
"On Gesture","Sobre Gesticulação"
"Option validation failed to add product to cart.","Validação de opção falhou ao adicionar produto ao carrinho."
"Option values","Valores de opção"
"Option:","Opção:"
"Options","Opções"
"Options Control","Controle de Opções"
"Options is required","Opções: obrigatório"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nosso SAC funciona 24h, 7 dias/semana. Fale conosco: (555) 555-0123."
"Out of Stock","Esgotado"
"Out of stock","Fora de estoque"
"PM","PM"
"Page Title Separator","Separador de Título de Página"
"Parent Category","Categoria Pai"
"Pending","Pendente"
"Pending Reviews RSS","Comentários RSS Pendentes"
"Percentage","Percentagem"
"Please add rows to option.","Por favor adicione linhas à opção."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Por favor tome cuidado pois quando você clica na linha ela vai carregar os dados do formulário do pacote, o arquivo selecionado, e todos os dados não guardados do formulário serão perdidos."
"Please click on the Close Window button if it is not closed automatically.","Por favor clique no botão Fechar Janela, se não for fechado automaticamente."
"Please enter a new group name","Por favor insira um novo nome do grupo"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Por favor atualize ""URL de Catálogo Reescitos"" e ""Atributos de Produtos"" no Sistema -> <a href=""%s"">Administração Índice </a>"
"Please select a static block ...","Por favor selecione um bloco estático..."
"Please select items.","Favor selecionar itens."
"Please select one or more attributes.","Por favor selecione um ou mais atributos."
"Please select product(s).","Por favor selecione produto(s)."
"Please select products for attributes update","Por favor selecione produtos para os atributos de atualização"
"Please set up merge date/time","Por favor configure a fusão de data/hora"
"Please set up merge date/time later then present date","Por favor configure a fusão de data/hora para mais tarde que a presente data"
"Please specify date required option(s).","Favor especificar opção(ões) obrigatória(s) para data."
"Please specify the number of products, that will not be divided into subintervals.","Por favor especifique o número de produtos, que não será dividido em subintervalos."
"Please specify the product required option(s)","Favor especificar opção(ões) obrigatória(s) do produto"
"Please specify the product required option(s).","Favor especificar opção(ões) obrigatória(s) do produto."
"Please specify the product\'s option(s).","Por favor especifique a(s) opção/opções do produto."
"Please specify the product\'s required option(s).","Por favor especifique a(s) opção/opções necessária(s) do produto."
"Please specify the quantity of product(s).","Favor especificar a quantidade de produto(s)."
"Please specify time required option(s).","Favor especificar opção(ões) obrigatória(s) para hora."
"Please wait...","Por favor aguarde..."
"Position","Posição"
"Position in Layered Navigation","Posição na Navegação por Camadas"
"Position of attribute in layered navigation block","Posição de atributo em bloco de navegação em camadas"
"Prev","Prev"
"Previous","Anterior"
"Price","Preço"
"Price Navigation Step Calculation","Cálculo do Preço do Passo de Navegação"
"Price Type","Tipo de preço"
"Price is not available","Preço não está disponível"
"Price values for options should be specified in system base currency.","Os preços das opções devem ser especificados na moeda-base do sistema."
"Price:","Preço:"
"Price: %s","Preço: %s"
"Print This Page","Imprimir Esta Página"
"Product","Produto"
"Product API","API de Produto"
"Product Alerts","Alertas de Produto"
"Product Attribute","Atributo de Produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categoria de Produtos"
"Product Extra Info","Dados Extras de Produto"
"Product Flat Data","Dados Base de Produto"
"Product ID","ID do Produto"
"Product Image Placeholders","Espaços Reservados a Imagem de Produto"
"Product Image Watermarks","Imagem Marca d'Água do Produto"
"Product Images","Imagens do Produto"
"Product Images API","API de Imagens de Produto"
"Product In Websites","Produto Em Websites"
"Product Info Column","Coluna de Info do Produto"
"Product Information","Informações de Produto"
"Product Link Block Template","Modelo para Link de Produto: Bloco Autônomo"
"Product Link Inline Template","Modelo para Link de Produto: Fluxo sem Quebra"
"Product Listing Sort by","LIstagem de Produto Ordenada por"
"Product Name","Nome do produto"
"Product Prices","Preços de Produto"
"Product Reviews","Comentários sobre Produto"
"Product Tags","Etiquetas de Produto"
"Product Tier Price API","API para Níveis de Preço do Produto"
"Product Type","Tipo de Produto"
"Product URL Suffix","Sufixo da URL de Produto"
"Product View Extra Hint","Visualização de Produto: Pista Adicional"
"Product attribute sets API","API para conjuntos de abributos do Produto"
"Product attributes API","API de atributos do Produto"
"Product collection expected.","Coleção de produtos esperada."
"Product is not loaded","O produto não está carregado"
"Product links API (related, cross sells, up sells)","API para links de produto (relacionados, vendas cruzadas, vendas extras)"
"Product name","Nome do produto"
"Product types API","API para tipos de produto"
"Product with this combination of attributes already associated to configurable.","O produto com esta combinação de atributos já está associado aos configuráveis."
"Products","Produtos"
"Products Comparison List","Lista de Comparação de Produtos"
"Products Information","Informações de Produtos"
"Products Reviews","Comentários sobre Produtos"
"Products Sitemap","Sitemap de Produtos"
"Products only","Somente produtos"
"Products per Page on Grid Allowed Values","Produtos por Página nos Valores Permitidos na Grade"
"Products per Page on Grid Default Value","Produtos por Página no Valor-Padrão da Grade"
"Products per Page on List Allowed Values","Produtos por Página nos Valores Permitidos da Lista"
"Products per Page on List Default Value","Produtos por Página no Valor-Padrão da Lista"
"Properties","Propriedades"
"Qty","Quant."
"Qty Increments","Incrementos de Quantidade"
