" and ","e"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Caso sua instância Magento seja utilizada em vários websites, você terá de configurar, para cada um deles, uma conta separada do Payflow Link."
"Ignore","Ignorar"
"Images","Imagens"
"Import","Importar"
"Import Service","Serviço de Importação"
"Important: ","Importante:"
"In Database:","Na Base de Dados:"
"In File:","No Arquivo:"
"In Stock","No Estoque"
"Inactive Tabs","Abas Inativas"
"Incl. Tax","Incluir taxas"
"Include","Incluir"
"Interactive","Interativo"
"Interface Locale: %s","Configuração Regional da Interface: %s"
"Invalid webservice adapter specified.","Adaptador de serviço de rede especificado inválido."
"Invalid webservice handler specified.","Processador de serviço de rede especificado inválido."
"Invoice History","História da Fatura"
"Invoice Totals","Totais da Fatura"
"Is Closed","Está Fechado"
"Issue Number","Número de Emissão"
"Issuer: %s","Emissor: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 5 Orders","Últimos 5 Pedidos"
"Last 5 Search Terms","Últimos 5 Termos de Pesquisa"
"Last Logged In (%s):","Último Login Em (%s):"
"Last Logged In:","Último Acesso:"
"Last Name:","Último nome:"
"Latest Message:","Última Mensagem:"
"Leave empty to use tax identifier","Deixe em branco para usar identificador de impostos"
"Links with associated products will retain only after saving current product.","Ligações com produtos associados reterão apenas depois de salvar produto atual."
"Loading Preview...","Carregando Visualização..."
"Loading...","Carregando..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log In","Entrar"
"Log Out","Sair"
"Logged in as %s","Conetado como %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","Núcleo Magento API"
"Magento Core API Section","Seção Núcleo Magento API"
"Magento Logo","Logo Magento"
"Magento ver. %s","Ver. %s Magento"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento ™ é uma marca comercial da Magento Inc.<br/> Copyright © %s Magento Inc."
"Main Tabs","Tabulações Principais"
"Make Inactive","Tornar Inativo"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Certifique-se que a codificação de dados no arquivo é consistente e salva em uma das codificações suportadas (UTF-8 ou ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Certifique-se de configurar as definições de design para o formulário Payflow Link em sua conta Payflow link."
"Manage Stores","Gerenciar Lojas"
"Max","Máximo"
"Min","Min"
"More Tabs","Mais Abas"
"N/A","Indisponível"
"Name","Nome"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mês (segurar para menu)"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (segurar para menu)"
"No","Não"
"No Data Found","Nenhum Dado Encontrado"
"No information available.","Nenhuma informação disponível"
"No profile loaded...","Nenhum perfil carregado..."
"No search keywords.","Nenhuma palavra-chave de busca."
"None","Nenhum"
"Note:","Observação:"
"Number of records:","Número de registros:"
"Old rate:","Valor antigo:"
"On my website","No meu site"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez que você entre em sua conta Payflow Link, navegue até as Configurações de Serviço - Páginas de Checkout Hospedadas - menu Configuração e defina as opções descritas abaixo"
"Only mapped fields","Somente campos mapeados"
"Options menu items","Menu de itens de opções"
"Order ID","ID da Ordem"
"Order cannot be placed.","Pedido não pode ser realizado."
"Original Magento attribute names in first row:","Nomes originais de atributo Magento na primeira linha:"
"Out of stock","Fora de estoque"
"Package","Embalagem"
"Packages","Embalagens"
"Page","Página"
"Parent Transaction ID","ID da Transação Parental"
"Passive mode","Modo passivo"
"Password","Senha"
"Path","Caminho"
"Path:","Caminho:"
"Personal Information","Informações pessoais"
"Phone:","Telefone:"
"Please Select","Por Favor Selecione"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não tenham sido salvos serão perdidos."
"Please continue with placing order.","Por favor continuem com a colocação da ordem."
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres."
"Please enter a number greater than 0 in this field.","Por favor insira um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Por favor introduza uma quantidade válida de $. Por exemplo $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Por exemplo http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é necessário"
"Please enter a valid credit card number.","Por favor insira um número válido de cartão de crédito."
"Please enter a valid date.","Por favor insira uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um endereço de e-mail válido. Por exemplo joao@domain.com."
"Please enter a valid number in this field.","Por favor insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira um número válido de segurança social. Por exemplo 123-45-6789."
"Please enter a valid value from list","Insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor insira um código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira um código postal válido. Por exemplo 90602 ou 90602-1234."
"Please enter another credit card number to complete your purchase.","Por favor insira outro número de cartão de crédito para concluir a sua compra."
"Please enter valid password.","Por favor insira uma senha válida."
"Please make sure that your changes were saved before running the profile.","Por favor certifique-se que suas alterações foram salvas antes de executar o perfil."
"Please make sure your passwords match.","Por favor certifique-se que suas senhas coincidem."
"Please select State/Province.","Por favor selecione Estado/Província."
"Please select an option.","Por favor selecione uma opção."
"Please select one of the above options.","Por favor selecione uma das opções acima."
"Please select one of the options.","Por favor selecione uma das opções."
"Please use in this field only ""a-z,0-9,_"".","Por favor use neste campo apenas ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Por favor use apenas letras (a-z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor use apenas números nesse campo. Por favor evite espaços ou outros caracteres tais como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use apenas letras (a-z) ou números (0-9) apenas neste campo. Espaços ou outros caracteres não são permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor use apenas letras (a-z) ou números (0-9) ou espaços e # apenas neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor utilize este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 para 17 de Março de 2006."
"Please wait while the indexes are being refreshed.","Por favor aguarde enquanto os índices estão sendo atualizados."
"Please wait, loading...","Por favor aguarde, carregando..."
"Preset Theme","Tema Predefinido"
"Prev. month (hold for menu)","Mês prévio (segure para menu)"
"Prev. year (hold for menu)","Ano anterior (segure para menu)"
"Preview","Visualizar"
"Previous page","Página anterior"
"Price:","Preço:"
"Product Name3 ","Nome do Produto 3"
"Product Name3 1","Nome do Produto"
"Product Name3 2","Nome do Produto 3 2"
"Products","Produtos"
"Profile Information","Informação do Perfil"
"Qty:","Quantidade:"
"Read details","Ler detalhes"
"Reference ID","Identificação de Referência"
"Regular Price:","Preço Normal:"
"Remote FTP","FTP Remoto"
"Remove","Remover"
"Required settings","Configurações obrigatórias"
"Reset theme to default","Restaurar o tema padrão"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"Return URL: ","URL de Retorno:"
"Role Users","Usuários de Função"
"Roles","Funções"
"Roles Resources","Recursos de Funções"
"SKU:","SKU (Unidade de Manutenção de Estoque):"
"SORT BY:","ORDENAR POR:"
"Save Theme","Salvar Tema"
"Screens:","Telas:"
"Select All","Selecionar Tudo"
"Select Date","Selecione Data"
"Select Range","Selecionar Intervalo"
"Select Visible","Selecione Visível"
"Select date","Selecione data"
"Shipment Comments","Comentários de Envio"
"Shipment History","Histórico de Entregas"
"Shipping Address","Endereço de Envio"
"Shipping address selection is not applicable","Seleção de endereço de envio não é aplicável"
"Shipping method selection is not applicable","Seleção de método de envio não é aplicável"
"Show By","Mostrar Por"
"Show Report For","Mostrar Relatório De"
"Show confirmation page: ","Mostrar página de confirmação:"
"Silent Post URL:","URL Mensagem Silenciosa:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens nesta ordem têm diferentes notas fiscais e tipos de embarque. Você pode criar o embarque somente depois que a fatura é criada."
"Sort Order","Classificar pedido"
"Special Price:","Preço Especial:"
"Spreadsheet Name:","Nome da Planilha:"
"Start Date","Data de início"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Starting profile execution, please wait...","Iniciando execução do perfil, por favor aguarde..."
"State/Province:","Estado/Província:"
"Status","Status"
"Status:","Estado atual:"
"Stock Quantity:","Quantidade em Estoque:"
"Store:","Loja:"
"Switch/Solo card issue number: %s","Número de emissão do cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data inicial de cartão Switch/Solo: %s/%s"
"Switch/Solo/Maestro Only","Somente Swith/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Somente Swith/Solo/Maestro (nacional do RU)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de emissão do cartão Swith/Solo/Maestro (nacional do RU): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data inicial do cartão Swith/Solo/Maestro (nacional do RU): %s/%s"
"Synchronization is required.","Sincronização necessária."
"System busy","Sistema ocupado"
"T-Shirts","Camisetas"
"Target","Objetivo"
"Tell a Friend","Conte a um Amigo"
"The card has failed verification with the issuer bank.","O cartão falhou a verificação com o banco emissor."
"The information in this tab has been changed.","As informações contidas neste guia foram alteradas."
"Theme configurations are successfully reset.","Configurações do tema foram redefinidas com sucesso."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Houve apresentação de informações erradas de pagamento ou prazo expirou. Por favor, tente novamente."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer ordem ou encomenda colocada nesta loja não será honrada ou completa."
"This is a required field.","Este é um campo obrigatório."
"This tab contains invalid data. Please solve the problem before saving.","Este guia contém dados inválidos. Por favor resolva o problema antes de salvar."
"Thumbnail","Miniatura"
"Time selection:","Seleção de tempo:"
"Time:","Tempo:"
"Title bar","Barra de título"
"To","Para"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizações pendentes e liberar quantidades que já foram processadas durante este pagamento, clique em Cancelar."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Para usar o Payflow Link, você deve configurar sua conta Payflow Link no site do Paypal."
"Top 5 Search Terms","Top 5 de Termos de Pesquisa"
"Total %d records found","Total de %d registros encontrados"
"Track Order","Rastrear Ordem"
"Track this shipment","Acompanhar este envio"
"Transaction Data","Dados da Transação"
"Transaction Details","Detalhes da Transação"
"Transaction ID","ID da Transação"
"Transaction Type","Tipo de Transação"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Incapaz de entrar."
"Unknown Error","Erro Desconhecido"
"Unknown Error.","Erro Desconhecido."
"Unselect All","Desselecionar Todos"
"Unselect Visible","Desselecionar Visíveis"
"Updated At","Atualizado Em"
"User Name","Nome do Usuário"
"User Roles","Funções do Usuário"
"Validation Results","Resultados de Validação"
"View","Ver"
"Warning! Empty value can cause problems with CSV format.","Atenção! Valor vazio pode causar problemas com o formato CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Aviso!\r\nEsta ação removerá este usuário do papel já atribuído\r\nVocê tem certeza?"
"Warning: Please do not close the window during importing/exporting data","Aviso: Por favor não feche a janela durante a importação/exportação de dados"
"We detected that your JavaScript seem to be disabled.","Detetamos que seu JavaScript parece estar desativado."
"Yes","Sim"
"You have %s unread message(s).","Você tem %s mensagens não lidas."
"critical","crítico"
"images/logo.gif","imagens/logo.gif"
"items selected","itens selecionados"
"notice","aviso"
"to","para"
"Update Preview","Atualizar Previsão"
"Use Default Value","Utilizar valor padrão"
"Use Silent Post:","Usar Postagem Silenciosa:"
"User","Usuário"
"User name","Nome do Usuário"
"Users","Usuários"
"Value Delimiter:","Valor Delimitador:"
"Verification Failed","Falha de Verificação"
"Verification Successful","Sucesso na Verificação"
"Verification cannot be processed","A verificação não pode ser processada"
"View Details","Visualizar Detalhes"
"View Gallery","Ver Galeria"
"View Statistics For","Visualizar Estatísticas Para"
"Visibility:","Visibilidade:"
"WS-I Compliance","Conformidade WS-I"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Atenção!\r\nEsta ação irá remover os usuários das funções já atribuídas\r\nVocê tem certeza?"
"Web Services","Serviços Web"
"What is this?","O que é isso?"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você deve ativar o Javascript no seu navegador para utilizar as funcionalidades deste site."
"Your account has been deactivated.","Sua conta foi desativada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP permitem que você faça o carregamento de arquivos não mais que %s de cada vez. Por favor modifique os valores post_max_size (atualmente é %s) e upload_max_filesize (atualmente é %s) em php.ini se você quiser fazer carregar arquivos maiores."
"Zip/Postal Code:","CEP/Código Postal:"
"major","maior"
"minor","menor"
"of %s pages","de %s páginas"
"per page","por página"
