"Abandoned Carts","Carrinhos de Compras Abandonados"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que listas de desejos foram compartilhadas (por e-mail): %s"
"Number of wishlist conversions: %s","Número de conversões na lista de desejos: %s"
"Number of wishlist referrals: %s","Número de referências na lista de desejos: %s"
"Number of wishlists: %s","Número de listas de desejos: %s"
"Order Status","Status do pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de Impostos de Ordens Agrupados por Taxa de Imposto"
"Orders","Ordens"
"Out of stock","Fora de estoque"
"Period","Período"
"Poducts Report","Relatório do produto"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do produto"
"Product Reviews","Comentários sobre Produto"
"Product SKU","SKU do Produto"
"Product Tags","Etiquetas de Produto"
"Products","Produtos"
"Products Ordered","Produtos Encomendados"
"Products Report","Relatórios de produtos"
"Products Reviews","Comentários sobre Produtos"
"Products Tags","Etiquetas de produtos"
"Products in carts","Produtos no carrinho"
"Purchases","Compras"
"Quantity Ordered","Quantidade pedida"
"Quantity of Items","Quantidade de itens"
"Recently Compared","Comparados recentemente"
"Recently Compared Products","Produtos Recentemente Comparados"
"Recently Viewed","Recentemente Visto"
"Recently Viewed Products","Produtos Recentemente Vistos"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Refresh Lifetime Statistics","Atualizar estatísticas de tempo de vida útil"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar estatísticas para o Último dia"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Análise"
"Reviews","Resenhas"
"Reviews for %s","Revisões para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Palavras-Chave da Busca"
"Search Terms","Buscar Termos"
"Select day of the month.","Escolher o dia do mês."
"Shipping","Remessa"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Show Actual Values","Exibir valores reais"
"Show Report","Exibir relatório"
"Show for Current","Exibir atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Quantidade em estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado em"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Detalhes da etiqueta ""%s"""
"Tag Detail","Detalhe da etiqueta"
"Tag Name","Nome de Marca"
"Tag Use","Uso da etiqueta"
"Tags Submitted by %s","Etiquetas enviadas por %s"
"Tags submitted to %s","Etiquetas enviadas para %s"
"Tax","Taxas"
"Title","Título"
"To","Para"
"Total","Total"
"Total Invoiced vs. Paid Report","Total faturado versus Relatório de pagamento"
"Total Ordered Report","Relatório do Total Encomendado"
"Total Refunded Report","Relatório do total reembolsado"
"Total Shipped Report","Relatório do total remessado"
"Total Tags","Total de etiquetas"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado Em"
"Viewed Products Grid Template","Modelo de grade de produtos visualizados"
"Viewed Products List Template","Modelo de lista de produtos visualizados"
"Visible In","Visível em"
"Wishlist Report","Assinalar na Lista de Desejos"
"Wishlist vs. Regular Order","Lista de presentes versus Pedidos normais"
"Wishlists","Lista de presentes"
"Year","Ano"
"Year-To-Date Starts","Início do acumulado anual"
"Yes","Sim"
"Your Recently Compared","Seus comparados recentemente"
"Your Recently Viewed","Seus visualizados recentemente"
"undefined","indefinido"
