"--Please Select--","--selecteer a.u.b.--"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Payment from Specific Countries","Betaling vanuit specifieke landen"
"Payment partial authorization error.","Fout in de gedeeltelijke autorisatie van de betaling."
"Payment refunding error.","Fout in het terugbetalen van de betaling."
"Payment updating error.","Fout bij het bijwerken van de betaling."
"Payment voiding error.","Fout in het vernietigen van de betaling."
"Please, choose payment method","Kies a.u.b. de verzendmethode"
"Processed Amount","Verwerkte hoeveelheid"
"Remaining Balance","Resterend balans"
"Response hash validation failed. Transaction declined.","Antwoord op hash validatie mislukt. Transactie geweigerd."
"Severe 3D Secure Card Validation","Strenge 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Strenge validatie verwijdert terugboekingsaansprakelijkheid voor de handelaar"
"Shopping cart contents and/or address has been changed.","Winkel wagen inhoud en/of adres is gewijzigd."
"Sort Order","Sorteer Bestelling"
"Test Mode","Test modus"
"Test Mode","Testmode"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","U heeft onvoldoende tegoed op uw creditcard om de aankoop te voltooien. Het bedrag is vastgezet. Om de aankoop te voltooien, klik op OK en geef een extra creditcardnummer op. Om de aankoop te annuleren en het geld terug te zetten, klik op Cancel."
"The order has been created.","De bestelling is aangemaakt"
"There was an error canceling transactions. Please contact us or try again later.","Er heeft zich een fout voorgedaan tijdens het annuleren van de transacties. Neem contact met ons op of probeer later."
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij het verwerken van uw bestelling. Contacteer ons a.u.b. of probeert u het later nog eens."
"Title","Titel"
"Transaction Key","Transactiesleutel"
"What is this?","Wat is dit?"
"You have reached the maximum number of credit card allowed to be used for the payment.","Het aantal toegestane creditcards voor deze betaling is bereikt."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Het aantal toegestane creditcards voor één betaling is bereikt. Het saldo is nog steeds onvoldoende om de betaling te voltooien. De betaling is geannuleerd en de vastgezette bedragen zijn vrijgegeven."
"You will be required to enter your payment details before you place an order.","U zult uw betalingsgegevens moeten invullen alvorens u een bestelling kunt plaatsen."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Uw creditcard is geweigerd. Klik op OK om een andere creditcard te gebruiken voor uw betaling. Klik op Cancel om het bedrag vrij te geven en kies een andere betaalmethode."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Uw order kan niet worden geplaatst, omdat de inhoud van uw winkelwagentje en/of adres gewijzigd zijn. Geautoriseerde bedragen van uw vorige betaling zijn vrijgegeven. Ga naar het betalingsproces voor de inhoud van uw huidige winkelwagen."
"Your payment has been cancelled. All authorized amounts have been released.","Uw betaling is geannuleerd. Alle geautoriseerde bedragen zijn vrijgegeven."
"amount %s","bedrag %s"
"authorize","autoriseer"
"authorize and capture","autoriseer en vang"
"capture","vang"
"failed","mislukt"
"refund","teruggave"
"successful","succesvol"
"void","ongeldig"
