Cancel,Annuler
"Something went wrong while authorizing the payment.","Something went wrong while authorizing the payment."
"Something went wrong while capturing the payment.","Something went wrong while capturing the payment."
"The shopping cart contents and/or address has been changed.","The shopping cart contents and/or address has been changed."
"This is an invalid amount for partial authorization.","This is an invalid amount for partial authorization."
"Parent Authorize.Net transaction (ID %1) expired","Parent Authorize.Net transaction (ID %1) expired"
"Something went wrong while voiding the payment.","Something went wrong while voiding the payment."
"Something went wrong while refunding the payment.","Something went wrong while refunding the payment."
"You have reached the maximum number of credit cards ' 'allowed to be used for the payment.","You have reached the maximum number of credit cards ' 'allowed to be used for the payment."
"Something went wrong while authorizing the partial payment.","Something went wrong while authorizing the partial payment."
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Gateway error: %1","Gateway error: %1"
"Gateway actions are locked because the gateway cannot complete ' 'one or more of the transactions. ' 'Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete ' 'one or more of the transactions. ' 'Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Payment updating error.","Erreur lors de la mise à jour du paiement."
"Authorize Only","Autoriser uniquement"
"Authorize and Capture","Autoriser et enregistrer"
"Invalid amount for capture.","Montant invalide"
"Payment capturing error.","Erreur lors de la saisie du paiement"
"Invalid transaction ID.","Invalid transaction ID."
"Payment voiding error.","Erreur annulant le paiement"
"Invalid amount for refund.","Montant invalide pour un remboursement"
"Payment refunding error.","Erreur de remboursement du paiement"
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","There was a payment authorization error."
"This payment was not authorized because the transaction ID field is empty.","This payment was not authorized because the transaction ID field is empty."
"Amount of %1 approved by payment gateway. Transaction ID: ""%2"".","Amount of %1 approved by payment gateway. Transaction ID: ""%2""."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte de crédit"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification de la carte"
"Click ""Cancel"" to remove any pending status and release money already processed during this payment.","Click ""Cancel"" to remove any pending status and release money already processed during this payment."
"Please enter a different credit card number to complete your purchase.","Please enter a different credit card number to complete your purchase."
"Credit Card %1","Credit Card %1"
"Credit Card Information","Renseignements sur la carte de crédit"
"--Please Select--","--Veuillez choisir--"
"Card Verification Number Visual Reference","Référence visuelle du numéro de vérification de la carte"
"What is this?","Qu'est-ce que c'est ?"
"You'll be asked for your payment details before placing an order.","You'll be asked for your payment details before placing an order."
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel."
Processing...,Processing...
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"3D Secure Card Validation","3D Secure Card Validation"
"New Order Status","New Order Status"
"No confirmation","No confirmation"
Authorize.net,Authorize.net
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Email Customer","Email Customer"
"API Login ID","API Login ID"
"Merchant's Email","Merchant's Email"
"Test Mode","Test Mode"
Debug,Debug
"Transaction Key","Transaction Key"
"Payment Action","Payment Action"
"Accepted Currency","Accepted Currency"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Allow Partial Authorization","Allow Partial Authorization"
"3D Secure","3D Secure"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement.","If you leave this empty, we'll use a default value. The custom URL may be provided by CardinalCommerce agreement."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Merchant MD5","Merchant MD5"
"Gateway URL","Gateway URL"
