"-OR-","-O-"
"Buyer Credit Payment","Pago de Crédito de Comprador"
"Buyer\'s Tax ID","Número de identificación social del contribuyente del comprador\es"
"Buyer\'s Tax ID Type","Tipo de número de identificación social del contribuyente del comprador\es"
"By default it is ""reports.paypal.com"".","Por defecto es ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","Resultado de Comprobación CVV2 por PayPal"
"Can not send new order email.","No se puede enviar correo-e de nuevo encargo."
"Cannot create target file for reading reports.","No se puede crear el archivo destino para leer informes."
"Centinel API URL","URL de Api Centinela"
"Centinel Custom API URL","Centinel API URL customizado"
"Charge-off","Cancelar"
"Chargeback","Facturar"
"Chargeback by customer.","Facturación por cliente."
"Checkout with PayPal","Pago con PayPal"
"City","Ciudad"
"Click here if you are not redirected within 10 seconds...","Haz clic aquí si no se te redirige a la página web en 10 segundos..."
"Company","Empresa"
"Completion Date","Fecha de Finalización"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Conectándose al servidor SFTP de PayPal para recuperar nuevos informes.¿Estás seguro de querer continuar?"
"Countries Payment Applicable From","Formulario Aplicable de Pago por Países"
"Country","País"
"Coupon Redemption","Reembolso de Cupón"
"Credit","Crédito"
"Credit Card Settings","Configuración de la Tarjeta de Crédito"
"Currency Conversion required to cover negative balance","Se requiere una Conversión de Divisas para cubrir el saldo negativo"
"Custom","Personalizado"
"Custom Endpoint Hostname or IP-Address","Dirección IP o nombre de Host de destino personalizado"
"Custom Path","Camino personalizado"
"Customer Information","Información del cliente"
"Customer complaint.","Queja del cliente:"
"Customer did not include a confirmed address.","El cliente no incluyó una dirección confirmada."
"Customer failed to pay.","El cliente no pagó."
"Customer triggered a money-back guarantee.","El cliente hizo uso de una garantía de devolución."
"Customer used non-confirmed address.","El cliente usó una dirección no confirmada."
"Daily","Diario"
"Debit","Débito"
"Debit Card Cash Back","Retirada de efectivo de tarjeta de débito"
"Debit Card Transaction","Transacción con tarjeta de débito"
"Debit or Credit","Débito o Crédito"
"Debug Mode","Modo Depuración"
"Direct Payment API","API de pago directo"
"Discount","Descuento"
"Display Express Checkout in the Payment Information step","Mostrar Pago exprés en la pantalla de información del Pago"
"Displays on catalog pages and homepage.","Impresiones en páginas de catálogo y sitio web."
"Don't have a PayPal account? Simply enter your email address.","No dispone de una cuenta PayPal? Introduzca su dirección de email."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","No dispone de una cuenta de comerciante de Paypal? Puede aceptar pagos mediante tarjeta de crédito a través del procesador de pagos Payflow Pro"
"Dynamic","Dinámico"
"EFT Funding (German banking)","Transacción EFT (Bancos alemanes)"
"Edit Shopping Cart","Editar Carrito de la Compra"
"Email Address","Dirección de correo electrónico"
"Email Associated with PayPal Merchant Account","Email asociado con la cuenta de comerciante de Paypal"
"Enable Automatic Fetching","Habilitar acceso automático"
"Enable PayPal Guest Checkout","Habilitar Checkout de Invitado Paypal"
"Enabled","Habilitado"
"Event","Evento"
"Event Code","Código de Evento"
"Every 10 days","Cada 10 días"
"Every 14 days","Cada 14 días"
"Every 3 days","Cada 3 días"
"Every 30 days","Cada 30 días"
"Every 40 days","Cada 40 días"
"Every 7 days","Cada 7 días"
"Exact Match. Address and Postal Code. International","Coincidencia exacta. Dirección y Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Coincidencia exacta. Dirección y Código Postal. Específico para Reino Unido"
"Exact Match. Address and nine-digit ZIP code","Coincidencia exacta. Dirección y código ZIP de 9 dígitos"
"Explanation: %s.","Explicación: %s."
"Express Checkout","Paso por Caja Express"
"Express Checkout (Payflow Edition) Settings","Ajustes de Paso por Caja Express (edición de Payflow)"
"Express Checkout APIs","APIs de Paso por Caja Express"
"Express Checkout Settings","Ajustes de Paso por Caja Express"
"Express Checkout and Order have been canceled.","El Pedido y la Salida Express se han cancelado."
"Express Checkout has been canceled.","La Salida Express se ha cancelado."
"Failed to fetch reports from '%s@%s'.","No se consiguió obtener los registros de '%s@%s'."
"Fax","Fax"
"Fee Amount","Importe de la Comisión"
"Fee Debit or Credit","Comisión Débito o Crédito"
"Fee Reversal","Retroceso de Comisiones"
"Fee: Foreign ACH Withdrawal","Comisión: Retirada ACH en el extranjero"
"Fee: Mass Pay Request","Comisión: Solicitud de Pago Masivo"
"Fee: Web Site Payments Pro Account Monthly","Comisión: cuenta Web Site Payments Pro mensual"
"Fee: WorldLink Check Withdrawal","Comisión: Retirada mediante cheque WorldLink"
"Fetch","Capturar"
"Fetch Updates","Nuevos resultados obtenidos"
"Fetched %s report rows from '%s@%s'.","Se obtuvieron %s filas de informe de '%s@%s'."
"For Virtual Quotes Only","Solo para presupuestos en línea"
"Frontend Experience Settings","Ajustes de la Experiencia con Fachada"
"Funding","Fondos"
"General (Authorization)","General (Autorización)"
"General (Dividend)","General (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","General (Transferencia de Fondos desde una Cuenta Paypal a Otra Cuenta)"
"General (Purchase with a credit card)","General (Compra con una tarjeta de crédito)"
"General Adjustment without businessrelated event","Ajuste General sin ningún acontecimiento relacionado con el negocio"
"General Currency Conversion","Conversión de Divisa General"
"General Funding of PayPal Account ","Fondos Generales de la Cuenta de PayPal"
"General Redemption","Amortización General"
"General Withdrawal from PayPal Account","Retirada de fondos General desde la Cuenta de PayPal"
"General. Product no longer supported","General. Este producto ya no está admitido"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Uso de la cuenta PayPal tanto para comprar como para recibir pagos"
"General: Withdrawal from PayPal Account","General: Retirada de fondos desde la Cuenta de PayPal"
"General: Withdrawal to Non-Bank Entity","General: Retirada de fondos a una Entidad No Bancaria"
"General: adjustment of a type not belonging to the other T12xx categories","General: ajuste de una clase no perteneciente a las otras T12xx categorías"
"General: bonus of a type not belonging to the other T08xx categories","General: bonificación de una clase no perteneciente a las otras T08xx categorías"
"General: event not yet categorized","General: suceso no catalogado aún"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: tarifa de impago de una clase no perteneciente a las otras T01xx categorías"
"General: received payment of a type not belonging to the other T00xx categories","General: pago recibido de una clase no perteneciente a las otras T00xx categorías"
"General: reversal of a type not belonging to the other T11xx categories","General: revocación de una clase no perteneciente a las otras T01xx categorías"
"General: temporary hold of a type not belonging to the other T15xx categories","General: cargo temporal de una clase no perteneciente a las otras T15xx categorías"
"Get Credentials from PayPal","Consiga sus Credenciales de PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Pago de Cheque Regalo: compra de Cheque Regalo"
"Gift Certificate Redemption","Canjear Cheque Regalo"
"Gross Amount","Total Bruto"
"Header Background Color","Color del Fondo de la Cabecera"
"Header Border Color","Color del Borde de la Cabecera"
"Header Image URL","URL de la Imagen de la Cabecera"
"Help","Ayuda"
"Hidden Virtual PayPal Debit Card Transaction","Transacción Oculta de Tarjeta Virtual de Débito PayPal"
"Hold for Dispute Investigation","Manténgase a la Espera de la Investigación sobre la Disputa"
"IPN ""%s"".","""%s"" IPN."
"IPN verification ""%s"".","""%s"" de verificación de IPN."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se utilizará un valor por defecto si se deja en blanco. Podrá proporcionarse una URL por encargo según acuerdo con Cardinal Commerce."
"If not specified, Default Country from General Config will be used","Si no se especifica, use el país por defecto de la configuración general."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si se activa esta opción, el cliente podrá cambiar la dirección y el método de envío desde el sitio de Internet de PayPal. La modalidad en vivo funciona sólo a través de protocolo HTTPS."
"Impossible to issue a refund transaction because the capture transaction does not exist.","No es posible facilitar una transacción de reembolso porque no existe la transacción de captura."
"Incentive","Incentivo"
"Initiation Date","Fecha de Inicio"
"Integral Evolution","Evolución integral"
"Integral Evolution Settings","Ajustes de evolución integral"
"Invoice ID","Identificación de la Factura"
"Issuer Liability","Responsabilidad del Emisor"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Se recomienda fijar este valor en ""Tarjeta de débito o crédito"" por vistas de tienda."
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda fijar este valor en ""PayPal"" por vistas de tienda."
"Items in Your Shopping Cart","Artículos en Su Carro de la Compra"
"Last Correlation ID","Última Identificación de Correlación"
"Last Transaction ID","Última Identificación de Transacción"
"Learn More","Saber más"
"Login","Entrar"
"Looking for PayPal? We have our own tab to the left under Sales.","¿Busca PayPal? Tenemos nuestra propia etiqueta a la izquierda, debajo de Ventas."
"Mass Pay Payment","Pago Agrupado"
"Matched (CVV2)","Emparejado (CVV2)"
"Matched (CVV2CSC)","CVV2CSC coincidentes."
"Matched Address only (no ZIP)","Sólo dirección correspondiente (no CP)"
"Matched Address only (no ZIP). International","Sólo Encaja la Dirección (no el Código Postal). Internacional"
"Matched Postal Code only (no Address)","Sólo Encaja el Código Postal (no la Dirección)"
"Matched five-digit ZIP only (no Address)","Sólo Encaja el Código Postal de cinco dígitos (no la Dirección)"
"Matched whole nine-didgit ZIP (no Address)","Sólo Encaja el Código Postal de nueve dígitos (no la Dirección)"
"Merchant Account","Cuenta del comerciante"
"Merchant Country","País de envío"
"Merchant Liability","Responsabilidad del comerciante"
"Merchant Protection Eligibility","Requisitos de protección de mercado"
"Merchant Referral Bonus","Bonificación de referencia del comerciante"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","La cuenta del envío no tiene una opción de retirada de dinero. El recipiente debe aceptar o rechazar manualmente este pago de su resumen de cuentas."
"Merchant account is not verified.","La cuenta del comerciante no ha sido verificada."
"Merchant denied this pending payment.","El comerciante denegó este pago pendiente."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","El comerciante no posee una cuenta de EEUU ni tampoco un mecanismo de retirada de dinero."
"Merchant must upgrade account to Business or Premier status.","El comerciante debe actualizar su cuenta a la opción Business o Premier."
"Merchant reference ID format is not supported.","El formato de la Id. de referencia del comerciante no es compatible."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Los comerciantes necesitan registrarse en Paypal para activar la opción de acuerdos de facturación. No active esta opción hasta que Paypal confirme que los acuerdos de facturación han sido activados para su cuenta de comerciante."
"Mobile Payment (made via a mobile phone)","Pago móvil (realizado vía teléfono móvil)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Problema de monedas múltiples. El comerciante debe aceptar o denegar manualmente este pago a través de la opción Vista general de la cuenta de Paypal."
"N/A","N/A"
"N/A. Address not checked, or acquirer had no response. Service not available","No disponible. No se ha comprobado la dirección o el usuario no obtuvo respuesta. Servicio no disponible."
"N/A. Global Unavailable","No disponible. Global no disponible."
"N/A. International Unavailable","No disponible. Internacional no disponible."
"N/A. Merchant has indicated that CVV2 is not present on card","No disponible. El comerciante ha notificado que su tarjeta no tiene CVV2."
"N/A. No response","No disponible. Sin respuesta."
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. No disponible para transacciones MOTO (Internet/móvil)"
"N/A. Not processed","No disponible. No procesado."
"N/A. Retry","No disponible. Vuelva a intentar."
"N/A. Service not Supported","N/A. Servicio no disponible."
"N/A. Service not available","No disponible. Servicio no disponible."
"N/A. Service not supported","N/A. Servicio no operativo"
"N/A. The merchant did not provide AVS information","N/A. El comerciante no ha proporcionado la información AVS"
"N/A. The merchant has not implemented CVV2 code handling","No disponible. El comerciante no ha implementado la gestión del código CVV2."
"N/A. Unavailable","No disponible. No disponible."
"Negative Balance","No disponible. Saldo negativo"
"Never","Nunca"
"No","No"
"No Details matched","No ha habido coincidencias"
"No Details matched. International","Los detalles no coinciden. Internacional"
"No Liability Shift","No hay cambios de responsabilidad"
"No Logo","Sin logotipo"
"No match","No ha habido coincidencias"
"None of the address information matched","Ninguna información de la dirección coincide"
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","No hay resultados debido a un vacío en la configuración."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Tenga en cuenta que PayPal puede gestionar hasta 10 opciones de envío. Por eso Magento solamente transferirá las primeras 10 opciones de envío más baratas si hay mas de 10 opciones disponibles."
"Notified customer about creditmemo #%s.","Cliente informado de la nota de abono #%s."
"Notified customer about invoice #%s.","Cliente informado de la factura #%s."
"Now accepting PayPal (150 X 40)","Se acepta PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Ahora se acepta Paypal (150 X 60)"
"Number of Child Authorizations","Número de autorizaciones infantiles"
"Open Authorization","Abrir la autorización"
"Order","Encargar"
"Order ID","ID de Pedido"
"Order Valid Period (days)","Período válido del pedido (días)"
"Ordered amount of %s.","Cantidad pedida de %s."
"Ordering amount of %s is pending approval on gateway.","El pedido de la cantidad de %s está pendiente de aprobación en el portal."
"Page Background Color","Color del fondo de página"
"Page Style","Estilo de página"
"Part of the address information matched","Parte de la información de la dirección coincidió"
"Partner","Socio"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Ajustes de Pasarela integral"
"Password","Contraseña"
"Pay Now","Pagar ahora"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","Función del Gestor de saldo de PayPal de la cuenta de PayPal"
"PayPal Buyer Warranty Bonus","Bonificación de garantía del comprador en PayPal"
"PayPal Debit Card Cash Advance","Adelanto de efectivo de una tarjeta de débito en PayPal"
"PayPal Debit Card Withdrawal from ATM","Retiro de dinero de tarjeta de débido de PayPal desde un cajero automático"
"PayPal Express Checkout Shortcut Wrapper","Acceso directo al check-out exprés de PayPal"
"PayPal Express Checkout Token does not exist.","El símbolo para la Salida Express con Paypal no existe."
"PayPal Express Order Review Form","Formulario de revisión de compra por PayPal Express"
"PayPal Fee Information","Información de tarifa de PayPal"
"PayPal Merchant Pages Style","Estilo de la página de la tienda en PayPal"
"PayPal Payments Advanced","Pagos Avanzados de PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Ajustes de PayPal Pro"
"PayPal Product Logo","Logotipo del producto en PayPal"
"PayPal Protection Bonus","Bono de protección de PayPal"
"PayPal Reference ID","Id. de referencia de PayPal"
"PayPal Reference ID Type","Tipo de Id. de referencia de PayPal"
"PayPal Settlement Reports","Informes de liquidación de PayPal"
"PayPal certificate does not exist.","Certificado PayPal no existe."
"PayPal certificate file is empty.","Archivo de certificado PayPal está vacío."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal no admite el proceso de pedidos con importe cero. Para finalizar su compra, continúe con el proceso de caja estándar."
"PayPal gateway has rejected request. %s","La puerta de enlace de PayPal ha rechazado la solicitud. %s"
"PayPal processes all of your orders, and you get paid.","PayPal procesa todos sus pedidos y le paga a usted."
"PayPal response hasn't required fields.","La respuesta de PayPal no tiene campos obligatorios."
"PayPal retains reports for 45 days.","PayPal almacena los informes durante 45 días."
"PayPal/Centinel Electronic Commerce Indicator","Indicador de comercio electrónico de PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","Resultado del servicio de autenticación del pagador con Visa a través de PayPal/Centinel"
"Payer Address ID","Id. de dirección del pagador"
"Payer Address Status","Estado de la dirección del comprador"
"Payer Email","Correo electrónico del pagador"
"Payer ID","Id. del pagador"
"Payer Status","Situación del comprador"
"Payer is not identified.","El pagador no se ha identificado."
"Payflow Link (for USA and Canada)","Vínculo de Flujo de Pago (para EE. UU. y Canadá)"
"Payflow Link Settings","Configuración del Vínculo de Flujo de Pago"
"Payflow Pro Gateway","Pasarela Payflow Pro"
"Payflow Pro Settings","Ajustes de la Pasarela Payflow Pro"
"Payment Action","Acción de Pago"
"Payment Applicable From","Pago Aplicable Desde"
"Payment Refund initiated by merchant","Reembolso de Pago iniciado por el comerciante"
"Payment has been declined. Please try again.","El pago ha sido rechazado. Vuelva a intentarlo."
"Payment is being reviewed by PayPal for risk.","El pago está siendo revisado por PayPal por si hubiera algún riesgo."
"Payment transactions disallow storing objects.","Las operaciones de pago no permiten almacenar objetos."
"Payment was made to an email address that is not yet registered or confirmed.","El pago se ha realizado a una dirección electrónica que todavía no ha sido registrada o confirmada."
"Payments by PayPal (150 X 40)","Pagos por PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagos por PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Pagos mediante tarjetas + protección de vendedor - <strong style=""color:red"">Contacte con PayPal antes de su activación</strong>"
"Paypal Billing Agreement Settings","Ajustes del Acuerdo de Facturación de PayPal"
"Pending PayPal","Pendiente de pago en PayPal"
"Place Order","Hacer pedido"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Please contact PayPal Customer Service.","Por favor, póngase en contacto con el Servicio de Atención al Cliente de PayPal."
"Please do not refresh the page until you complete payment.","No actualice la página hasta que complete el pago."
"Please select a shipping method...","Por favor, elija un método de envío..."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Please update order data to get shipping methods and rates","Por favor, actualice los datos del pedido para obtener métodos de envío y tarifas"
"Points Incentive Redemption","Puntos de incentivo por cancelación"
"Postage Payment to either USPS or UPS","Pago de los Gastos de Envío bien a USPS o a UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagos previamente aprobados (BillUser API) enviados o recibidos"
"Preapproved Payment ID","Identificación del Pago Pre-autorizado"
"Price","Precio"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Tramite las tarjetas de crédito directamente en su sitio de Internet con la solución de tramitación de pago a distancia todo-en-uno de PayPal."
"Product Name","Nombre de Producto"
"Proxy Host","Servidor Proxy"
"Proxy Port","Puerto proxy"
"Qty","Cantidad"
"Reauthorization","Reautorización"
"Reference Information","Información de Referencia"
"Refund issued by merchant.","Reembolso emitido por el comerciante."
"Reimbursement for a chargeback.","Devolución o reembolso."
"Reimbursement of Chargeback","Reembolso de una transacción devuelta"
"Report Date","Fecha del informe"
"Reports","Informes"
"Requested %s and configured %s merchant emails do not match.","Las direcciones del comerciante solicitada %s y configurada %s no se corresponden."
"Require CVV Entry","Requiere el código de seguridad de la tarjeta"
"Require Customer's Billing Address","Exija la dirección de facturación del cliente"
"Reversal","Inversión"
"Reversal of General Account Hold","Revocación de Cargo General en Cuenta"
"Reversal of Points Usage","Inversión de los puntos de utilización"
"Reversal of an adjustment.","Revocación de un ajuste."
"Reversal of hold for Dispute Investigation","Reposición por la investigación de la disputa"
"Review Order","Revise su pedido"
"Reward Voucher Redemption","Realizar canje de vales"
"SFTP Credentials","Credenciales SFTP"
"Sale","Venta"
"Sales","Ventas"
"Same as shipping","Igual que el envío"
"Sandbox Credentials","Credenciales de Supervisión"
"Sandbox Mode","Modo de prueba"
"Schedule","Programa"
"Schedule description is too long.","La descripción de designaciones es demasiado larga."
"Scheduled Fetching","Compra programada"
"Select a PayPal Solution","Selecciones una solución PayPal"
"Server Error. Please try again.","Error del servidor.  Por favor, inténtelo de nuevo."
"Settlement Consolidation","Consolidación del Acuerdo"
"Settlement Report Settings","Ajustes del informe de liquidación"
"Settlement of a chargeback.","Liquidación de una transacción devuelta."
"Severe 3D Secure Card Validation","Validación estricta de tarjeta segura en 3D"
"Severe Validation Removes Chargeback Liability on Merchant","La Validación Severe Suprime la Responsabilidad de Cancelación de Cargo del Comerciante"
"Severe validation removes chargeback liability on merchant.","La validación estricta exime al comerciante de responsabilidad en caso de devoluciones de cargos"
"Shipping","Transporte"
"Shipping Address","Dirección de Envío"
"Shipping Method","Método de envío"
"Shop now using (150 X 40)","Compre ahora usando (150 X 40)"
"Shop now using (150 X 60)","Compre ahora utilizando (150 X 60)"
"Shortcut","Acceso directo"
"Shortcut Buttons Flavor","Tipo de Botones de Atajo"
"Shortcut on Product View","Atajo para Vista de Producto"
"Shortcut on Shopping Cart","Atajo en el carro de la compra"
"Sign a billing agreement to streamline further purchases with PayPal.","Firma un acuerdo de facturación para agilizar futuras compras con PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Lamentamos informarle que en este momento no hay cotizaciones disponibles para este pedido."
"Sort Order","Orden de selección"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de autorización de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de validez del pedido de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"State/Province","Estado/Provincia"
"Static","Estático"
"Street Address","Dirección postal"
"Street Address %s","Calle %s"
"Submitting order information...","Enviando la información del pedido..."
"Subscriber name is too long.","El nombre de suscriptor es demasiado largo."
"Subscription ID","ID de Suscripción."
"Subscription Payment, either payment sent or payment received","Pago de suscripción, bien sea pago enviado o recibido."
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Texto de Resumen para el Carro Añadido"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","La admisión de tarjetas American Express requiere de un acuerdo adicional. Consulte los requisitios en <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Cambiar/Maestro"
"Telephone","Teléfono"
"Test Mode","Modo de prueba"
"The background color for the checkout page around the header and payment form.","El color de fondo de la página de reembolso de la cabecera y formulario de pago."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Color de fondo para la cabecera de la página de pago. Código ASCII de color hexadecimal HTML de seis caracteres sin diferencias mayúsculas o minúsculas."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","El número de autorizaciones infantiles por defecto de su cuenta de PayPal es 1. Para tener autorizaciones múltiples, póngase en contacto con PayPal para solicitar un aumento."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Imagen en la parte superior izquierda de la página de pago. El tamaño máximo es 750x90 píxeles. Se recomienda encarecidamente el uso de <strong style=""color:red"">https</strong>."
"The maximum number of child authorizations is reached.","Se ha alcanzado el número máximo de autorizaciones infantiles."
"The merchant account is not yet verified.","Todavía no se ha verificado la cuenta de vendedor."
"The payment curency does not match any of the merchant\'s balances currency.","La moneda de pago no coincide con ninguna de las monedas de saldo del vendedor."
"The payment eCheck is not yet cleared.","Todavía no se ha limpiado el eCheck de pago."
"The payment is authorized but not settled.","El pago se ha autorizado, pero no se ha realizado."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","El pago está pendiente porque se ha realizado a una dirección de mail que todavía no se ha registrado o confirmado."
"The payment is pending while it is being reviewed by PayPal for risk.","El pago está pendiente, PayPal lo está revisando para asegurarse."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","El pago se ha realizado mediante tarjeta de crédito. Para recibir los fondos el vendedor tiene que actualizar la cuenta a estado Business o Premier."
"There was an error processing your order. Please contact us or try again later.","Se produjo un error en el proceso de su pedido. Contacte con nosotros o inténtelo más tarde."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta característica necesita primero ser activada para la cuenta comercial a través del soporte técnico de PayPal."
