Cancel,Abbrechen
"Newsletter Subscribers","Newsletter Bezieher"
Subscribers,Abonnenten
"Please select one or more subscribers.","Please select one or more subscribers."
"Create Newsletter Template","Newsletter-Template erstellen"
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.","An error occurred while saving this template."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Danke für Ihr Abonnement."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"You have been unsubscribed.","Ihr Abonnement wurde gekündigt."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","Diese E-Mail-Adresse wird schon von einem anderen Nutzer verwendet."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Abgebrochen
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletternachricht Vorschau"
"Add to Queue","Zur Warteschlange hinzufügen"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle Tags entfernen wollen?"
"Please enter new template name.","Please enter new template name."
" Copy",Kopie
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Enter your email address","Enter your email address"
Subscribe,Abonnieren
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
Subscriber,Abonnent
"Queue Start Date","Warteschlange Datum Start"
"Queue Subject","Warteschlange Gegendstand"
"Error Code",Fehlercode
"Error Text",Fehlertext
"Queue Start","Warteschlange Start"
"Queue End","Warteschlange Fertig"
Processed,Verarbeitet
Unsubscribe,"Abonnement kündigen"
"Customer First Name",Kunden-Vorname
"Customer Last Name","Nachname des Kunden"
"Not Activated","Nicht aktiviert"
Subscribed,Abonniert
Unsubscribed,"Abonnements gekündigt"
Unconfirmed,Unbestätigt
