Cancel,Annuler
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Merci de vous être inscrit"
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Your subscription has been confirmed.","Votre inscription a été confirmée."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"You have been unsubscribed.","Votre demande de désinscription a été prise en compte."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","Cette adresse de courrier électronique a déjà été attribuée à un autre utilisateur."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Annulé
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Prévisualisation du message de la newsletter"
"Add to Queue","Ajouter à la file d'attente"
"Are you sure that you want to strip all tags?","Voulez-vous vraiment enlever tous les tags ?"
"Please enter new template name.","Please enter new template name."
" Copy",Copier
"Sign Up for Our Newsletter:","Inscrivez-vous à notre newsletter"
"Enter your email address","Enter your email address"
Subscribe,S'inscrire
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
Subscriber,Abonné
"Queue Start Date","Date de départ de la file d'attente"
"Queue Subject","Sujet de la file d'attente"
"Error Code","Erreur code"
"Error Text","Erreur texte"
"Queue Start","Départ de la file d'attente"
"Queue End","Fin de la file d'attente"
Processed,Traité
Unsubscribe,"Se désinscrire"
"Customer First Name","Prénom du client"
"Customer Last Name","Nom du client"
"Not Activated","Non activé"
Subscribed,Inscrit
Unsubscribed,Désinscrit
Unconfirmed,"Non confirmé"
