"-OR-","-OF-"
"Authorization was voided by merchant.","Autorisatie was vernietigd door de handelaar."
"Authorized amount of %s.","Geautoriseerde hoeveelheid van %s"
"Authorizing amount of %s is pending approval on gateway.","Geautoriseerde hoeveelheid van %s wacht op goedkeuring van de poort."
"Auto","Auto"
"AutoSweep","AutomatischOpschonen"
"Available Balance","Beschikbaar Balans"
"Balance Manager Account Bonus","Balans Beheerder Account Bonus"
"Billing Address","Facturatieadres"
"Billing Agreement Signup ","Betalingsovereenkomst aanmelding"
"Bonus for first ACH Use","Bonus voor eerste ACH gebruik"
"Buyer Credit Payment","Koper krediet betaling"
"Buyer\'s Tax ID","Kopers Belastings ID"
"Buyer\'s Tax ID Type","Koper 's Belastings ID Type"
"By default it is ""reports.paypal.com"".","Ingesteld op ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Controle Resultaat van PayPal"
"Can not send new order email.","Kan geen nieuwe ordermail verzenden."
"Cannot create target file for reading reports.","Kan geen doelbestand aanmaken voor het lezen van rapporten."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Afschrijving"
"Chargeback","Terugboeking"
"Chargeback by customer.","Terugboeking door een klant."
"Checkout with PayPal","Checkout met PayPal"
"City","Stad"
"Click here if you are not redirected within 10 seconds...","Klik hier als je niet wordt doorverwezen binnen 10 seconden ..."
"Company","Bedrijf"
"Completion Date","Voltooiingsdatum"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Maakt contact met de PayPal SFTP server om nieuwe rapporten op te halen. Weet u zeker dat u door wilt gaan?"
"Countries Payment Applicable From","Landen Waaruit Betaling van Toepassing"
"Country","Land"
"Coupon Redemption","Waardebon Inleveren"
"Credit","Krediet"
"Credit Card Settings","Creditkaart Instellingen"
"Currency Conversion required to cover negative balance","Valuta Conversie nodig om het negatieve balans te dekken"
"Custom","Zelfgekozen"
"Custom Endpoint Hostname or IP-Address","Aangepast Eindpunt Hostnaam of IP-Adres"
"Custom Path","Aangepast Pad"
"Customer Information","Klantinformatie"
"Customer complaint.","Klacht van klant"
"Customer did not include a confirmed address.","Klant heeft geen bevestigd adres toegevoegd."
"Customer failed to pay.","Klant heeft niet betaald."
"Customer triggered a money-back guarantee.","Klant heeft gebruik gemaakt van een geld-terug-garantie"
"Customer used non-confirmed address.","Klant gebruikte niet-bevestigd adres."
"Daily","Dagelijks"
"Debit","Debet"
"Debit Card Cash Back","Debetkaart Geld Terug"
"Debit Card Transaction","Debetkaart Transactie"
"Debit or Credit","Debet of Credit"
"Debug Mode","Debug Modus"
"Direct Payment API","Directe Betaling API"
"Discount","Korting"
"Display Express Checkout in the Payment Information step","Weergave Snel uitchecken in de Betalingsinformatie stap"
"Displays on catalog pages and homepage.","Wordt weergegeven op cataloguspagina's en startpagina."
"Don't have a PayPal account? Simply enter your email address.","Heeft u nog geen PayPal account? Vul simpelweg uw email adres in."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Heeft u nog geen PayPal handelaarsaccount? U kunt nog steeds creditcard betalingen accepteren door de Payflow Pro Gateway."
"Dynamic","Dynamisch"
"EFT Funding (German banking)","EFT fondsen (Duits bankieren)"
"Edit Shopping Cart","Bewerken winkelmandje"
"Email Address","e-mailadres"
"Email Associated with PayPal Merchant Account","Email adres gerelateerd aan PayPal Winkelier Rekening"
"Enable Automatic Fetching","Inschakelen van automatisch ophalen"
"Enable PayPal Guest Checkout","Inschakelen van PayPal gast afrekening"
"Enabled","Aan"
"Event","Gebeurtenis"
"Event Code","Gebeurtenis code"
"Every 10 days","Iedere 10 dagen"
"Every 14 days","Iedere 14 dagen"
"Every 3 days","Iedere 3 dagen"
"Every 30 days","Iedere 30 dagen"
"Every 40 days","Iedere 40 dagen"
"Every 7 days","Iedere 7 dagen"
"Exact Match. Address and Postal Code. International","Exacte overeenkomst. Adres en postcode. Internationaal"
"Exact Match. Address and Postal Code. UK-specific","Exacte overeenkomst. Adres en postcode. Specifiek voor Verenigd Koninkrijk"
"Exact Match. Address and nine-digit ZIP code","Exacte overeenkomst. Adres en negencijferige ZIP code"
"Explanation: %s.","Uitleg: %s."
"Express Checkout","Versneld afrekenen"
"Express Checkout (Payflow Edition) Settings","Versneld afrekenen (Payflow Edition) instellingen"
"Express Checkout APIs","Versneld afrekenen APIs"
"Express Checkout Settings","Versneld afrekenen instellingen"
"Express Checkout and Order have been canceled.","Express Checkout en bestelling zijn geannuleerd."
"Express Checkout has been canceled.","Express Checkout is geannuleerd."
"Failed to fetch reports from '%s@%s'.","Kon verslagen niet ophalen van '%s@%s'."
"Fax","Fax"
"Fee Amount","Kosten bedrag"
"Fee Debit or Credit","Kosten betaalrekening of creditcard"
"Fee Reversal","Omkeren kosten"
"Fee: Foreign ACH Withdrawal","Kosten: buitenlandse ACH opname"
"Fee: Mass Pay Request","Kosten: massaal betalingsverzoek"
"Fee: Web Site Payments Pro Account Monthly","Kosten: betalingen website pro account per maand"
"Fee: WorldLink Check Withdrawal","Kosten: WereldLink check opname"
"Fetch","Haal op"
"Fetch Updates","Updates halen"
"Fetched %s report rows from '%s@%s'.","%s verslagrijen op gehaald van '%s@%s'."
"For Virtual Quotes Only","Alleen Voor Virtuele Prijsopgaves"
"Frontend Experience Settings","Frontend ervaring instellingen"
"Funding","Financiering"
"General (Authorization)","Algemeen (Machtiging)"
"General (Dividend)","Algemeen (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","Algemeen (Geldmiddelen Overplaatsen van een PayPal Account naar een Andere)"
"General (Purchase with a credit card)","Algemeen (Aankoop met een creditcard)"
"General Adjustment without businessrelated event","Algemene Aanpassing zonder zakengerelateerde gebeurtenis"
"General Currency Conversion","Algemene Valuta Omzetting"
"General Funding of PayPal Account ","Algemene Financiering van PayPal Account"
"General Redemption","Algemene Afschrijving"
"General Withdrawal from PayPal Account","Algemene Opname van PayPal Account"
"General. Product no longer supported","Algemeen. Product niet langer ondersteund"
"General: Use of PayPal account for purchasing as well as receiving payments","Algemeen: Gebruik van PayPal account voor zowel aankopen als ontvangen van betalingen"
"General: Withdrawal from PayPal Account","Algemeen: Opname van PayPal Account"
"General: Withdrawal to Non-Bank Entity","Algemeen: Opname naar Niet-Bancaire Entiteit"
"General: adjustment of a type not belonging to the other T12xx categories","Algemeen: aanpassing van een type dat niet behoort tot de andere T12xx categorieën"
"General: bonus of a type not belonging to the other T08xx categories","Algemeen: bonus van een type dat niet behoort tot de andere T08xx categorieën"
"General: event not yet categorized","Algemeen: gebeurtenis nog niet gecategoriseerd"
"General: non-payment fee of a type not belonging to the other T01xx categories","Algemeen: niet-betalingsvergoeding van een type dat niet behoort tot de andere T01xx categorieën"
"General: received payment of a type not belonging to the other T00xx categories","Algemeen: betaling ontvangen van een type dat niet behoort tot de andere T00xx categorieën"
"General: reversal of a type not belonging to the other T11xx categories","Algemeen: omkering van een type dat niet behoort tot de andere T11xx categorieën"
"General: temporary hold of a type not belonging to the other T15xx categories","Algemeen: tijdelijke blokkering van een type dat niet behoort tot de andere T15xx categorieën"
"Get Credentials from PayPal","Verkrijg Waarmerkingskenmerken van PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Geschenkcertificaat Betaling: aankoop van Geschenkcertificaat"
"Gift Certificate Redemption","Geschenkcertificaat Inlossen"
"Gross Amount","Brutobedrag"
"Header Background Color","Aanhef Achtergrond Kleur"
"Header Border Color","Kop Kantlijn Kleur"
"Header Image URL","Kop Afbeelding URL"
"Help","Help"
"Hidden Virtual PayPal Debit Card Transaction","Verborgen Virtuele PayPal Debitcard Transactie"
"Hold for Dispute Investigation","Wacht op Onderzoek naar Geschil"
"IPN ""%s"".","IPN ""%s""."
"IPN verification ""%s"".","IPN verificatie ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Indien leeg, een standaard waarde kan worden gebruikt. Een aangepaste URL kan worden geleverd volgens de CardinalCommerce overeenkomst"
"If not specified, Default Country from General Config will be used","Indien niet opgegeven, wordt het Standaard Land vanuit de algemene instellingen gebruikt."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Als deze optie is ingeschakeld; kan de klant het afleveradres en bezorgingsmethode aanpassen op de PayPal website. Werkt live alleen via het HTTPS protocol."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Het is niet mogelijk om een geld-terug-gave op te vragen aangezien de transactie niet bestaat."
"Incentive","Prikkel"
"Initiation Date","Begin Datum"
"Integral Evolution","Integrale Evolutie"
"Integral Evolution Settings","Integrale Evolutie Instellingen"
"Invoice ID","Factuur ID"
"Issuer Liability","Uitgever Verantwoordelijkheid"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Het is aanbevolen deze waarde naar ""betaalkaart of creditcard"" per winkel view in te stellen."
"It is recommended to set this value to ""PayPal"" per store views.","Het is aanbevolen deze waarde naar ""PayPal"" per winkel view in te stellen."
"Items in Your Shopping Cart","Artikelen in Uw Winkelwagen"
"Last Correlation ID","Laatste Correlatie ID"
"Last Transaction ID","Laatste Transactie ID"
"Learn More","Meer Informatie"
"Login","Log in"
"Looking for PayPal? We have our own tab to the left under Sales.","Zoekt u PayPal? We hebben onze eigen blad; links onder verkopen"
"Mass Pay Payment","Bulkbetaling"
"Matched (CVV2)","Komt over een (CVV2)"
"Matched (CVV2CSC)","Komt over een (CVV2CSC)"
"Matched Address only (no ZIP)","Alleen Adres komt overeen (geen ZIP)"
"Matched Address only (no ZIP). International","Alleen Adres komt overeen (geen ZIP). Internationaal"
"Matched Postal Code only (no Address)","Alleen Post Code komt overeen (geen Adres)"
"Matched five-digit ZIP only (no Address)","Alleen 5-getal ZIP code komt overeen (geen Adres)"
"Matched whole nine-didgit ZIP (no Address)","Gehele 9-cijferige ZIP code komt overeen (geen Adres)"
"Merchant Account","Handelaar Account"
"Merchant Country","Handelaar Land"
"Merchant Liability","Winkelier Aansprakelijkheid"
"Merchant Protection Eligibility","In aanmerking komen voor handelaar bescherming"
"Merchant Referral Bonus","Handelaar Doorverwijzing Bonus"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Handelaar account heeft geen opname mechanisme. Handelaar moet handmatig betalingen accepteren of weigeren via zijn Account Overzicht."
"Merchant account is not verified.","Handelaar account niet geverifieerd."
"Merchant denied this pending payment.","Handelaar heeft deze betaling afgewezen."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Handelaar bezit een niet-Amerikaans account en heeft geen opname mechanisme."
"Merchant must upgrade account to Business or Premier status.","Handelaar moet zijn account opwaarderen tot een Business of Premier status."
"Merchant reference ID format is not supported.","Handelaar doorverwijzing ID formaat is niet ondersteund."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Handelaar moet zich bij PayPal aanmelden voor het inschakelen van facturatieovereenkomsten. Schakel deze optie pas in wanneer PayPal bevestigd dat facturatieovereenkomsten zijn ingeschakeld voor uw handelaarsaccount."
"Mobile Payment (made via a mobile phone)","Mobiele Betaling (betaling via een mobiele telefoon)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Meerdere valuta probleem. Handelaar moet handmatig deze betaling accepteren of weigeren via het PayPal Account Overzicht."
"N/A","Nvt"
"N/A. Address not checked, or acquirer had no response. Service not available","n.v.t. Adres niet gecontroleerd of verkrijger had geen reactie. Service niet beschikbaar"
"N/A. Global Unavailable","n.v.t. Globaal Onbeschikbaar"
"N/A. International Unavailable","n.v.t. Internationaal Onbeschikbaar"
"N/A. Merchant has indicated that CVV2 is not present on card","n.v.t. Handelaar heeft aangegeven dat CVV2 niet aanwezig is op de kaart"
"N/A. No response","n.v.t. Geen reactie"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","n.v.t. Niet toegestaan voor MOTO (Internet/Telefoon) overboekingen"
"N/A. Not processed","n.v.t. Niet verwerkt"
"N/A. Retry","n.v.t. Probeer opnieuw"
"N/A. Service not Supported","n.v.t. Service niet ondersteund"
"N/A. Service not available","n.v.t. Service niet beschikbaar"
"N/A. Service not supported","N/A. Dienst niet ondersteund."
"N/A. The merchant did not provide AVS information","n.v.t. De handelaar heeft geen AVS informatie overhandigd"
"N/A. The merchant has not implemented CVV2 code handling","n.v.t. De handelaar heeft geen CVV2 code verwerking ingevoerd"
"N/A. Unavailable","n.v.t. Niet beschikbaar"
"Negative Balance","Negatief Balans"
"Never","Nooit"
"No","Nee"
"No Details matched","Geen Details kwamen overeen"
"No Details matched. International","Geen Details kwamen overeen. Internationaal"
"No Liability Shift","Geen Aansprakelijkheid Verschuiving"
"No Logo","Geen Logo"
"No match","Geen overeenkomst"
"None of the address information matched","Geen van de adres informatie kwam overeen"
"Note: %s","Notitie: %s"
"Nothing to fetch because of an empty configuration.","Niets op te halen door lege configuratie."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Merk op dat PayPal tot 10 verzendopties kan hanteren. Daarom plaatst Magento alleen de 10 goedkoopste verzendopties als er meer dan 10 beschikbaar zijn."
"Notified customer about creditmemo #%s.","Klant verwittigd over kredietmemo #%s."
"Notified customer about invoice #%s.","Klant verwittigd over factuur #%s."
"Now accepting PayPal (150 X 40)","Accepteert nu PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Accepteert nu PayPal (150 X 60)"
"Number of Child Authorizations","Aantal kindauthorisaties"
"Open Authorization","Open authorisatie"
"Order","Bestelling"
"Order ID","ID Bestelling"
"Order Valid Period (days)","Periode bestelling geldig (dagen)"
"Ordered amount of %s.","Bestelde hoeveelheid van %s."
"Ordering amount of %s is pending approval on gateway.","In afwachting van goedkeuring bestelde hoeveelheid van %s."
"Page Background Color","Achtergrondkleur pagina"
"Page Style","Stijl pagina"
"Part of the address information matched","Deel van de adresinformatie komt overeen"
"Partner","Partner"
"Pasarela integral","Pasarela integraal"
"Pasarela integral Settings","Pasarela integraal Instellingen"
"Password","Wachtwoord"
"Pay Now","Betaal Nu"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Balansbeheerder functie van PayPal account"
"PayPal Buyer Warranty Bonus","PayPal koper garantie bonus"
"PayPal Debit Card Cash Advance","PayPal betaalkaart kas voorschot"
"PayPal Debit Card Withdrawal from ATM","PayPal betaalkaart geld pinnen"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Afrekenen Teken bestaan niet."
"PayPal Express Order Review Form","PayPal Express Bestelling Terugzien Formulier"
"PayPal Fee Information","PayPal kosten informatie"
"PayPal Merchant Pages Style","PayPal handelaar pagina stijl"
"PayPal Payments Advanced","PayPal-betalingen Geavanceerd"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","PayPal Pro Instellingen"
"PayPal Product Logo","PayPal productlogo"
"PayPal Protection Bonus","PayPal beschermingsbonus"
"PayPal Reference ID","PayPal referentie ID"
"PayPal Reference ID Type","PayPal referentie ID type"
"PayPal Settlement Reports","PayPal Overeenstemming Rapporten"
"PayPal certificate does not exist.","PayPal certificaat bestaat niet."
"PayPal certificate file is empty.","PayPal certificaat bestand is leeg."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal ondersteunt de verwerking van bestellingen met een bedrag van nul niet. Ga door met het normale betalingsproces om uw aankoop te voltooien."
"PayPal gateway has rejected request. %s","PayPal gateway heeft het verzoek afgekeurd. %s"
"PayPal processes all of your orders, and you get paid.","PayPal verwerkt al uw bestellingen en u krijgt betaald."
"PayPal response hasn't required fields.","Antwoord van PayPal bevat de vereiste velden niet."
"PayPal retains reports for 45 days.","PayPal behoudt meldingen voor 45 dagen."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Elektronische Handelsindicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Betaler Machtigingsservice Resultaat"
"Payer Address ID","Betaler Adres ID"
"Payer Address Status","Betaler Adres Status"
"Payer Email","Betaler Email"
"Payer ID","Betaler ID"
"Payer Status","Betaler Status"
"Payer is not identified.","Betaler is niet geïdentificeerd."
"Payflow Link (for USA and Canada)","Payflow link (voor de VS en Canda)"
"Payflow Link Settings","Payflow link instellingen"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Instellingen"
"Payment Action","Betaling"
"Payment Applicable From","Betaling van Toepassing Van"
"Payment Refund initiated by merchant","Betalingsterugstorting gestart door handelaar"
"Payment has been declined. Please try again.","Betaling is afgewezen. Probeer het alstublieft opnieuw."
"Payment is being reviewed by PayPal for risk.","Betaling wordt beoordeeld door Paypal op risico."
"Payment transactions disallow storing objects.","Betalingstransacties staan het opslaan van objecten niet toe."
"Payment was made to an email address that is not yet registered or confirmed.","Betaling werd gedaan naar een emailadres dat nog niet geregistreerd of bevestigd is."
"Payments by PayPal (150 X 40)","Betalingen door PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Betalingen door PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Betaling met kaarten + bescherming van verkoper - <strong style=""color:red"">neem contact op met PayPal alvorens dit te activeren</strong>"
"Paypal Billing Agreement Settings","Paypal Facturering Overeenkomst Instellingen"
"Pending PayPal","In afwachting van PayPal"
"Place Order","Bestelling plaatsen"
"Please agree to all the terms and conditions before placing the order.","Ga alstublieft akkoord met alle voorwaarden voor het plaatsen van de bestelling."
"Please contact PayPal Customer Service.","Neem alstublieft contact op met Paypal Klantenservice."
"Please do not refresh the page until you complete payment.","Ververs alstublieft niet de pagina totdat de betaling is voltooid."
"Please select a shipping method...","Selecteer een methode van verzending..."
"Please select region, state or province","Selecteer a.u.b. uw provincie"
"Please update order data to get shipping methods and rates","Update alstublieft de bestellings gegevens om verzendings methodes en tarieven te krijgen"
"Points Incentive Redemption","Punten Incentive Aflossing"
"Postage Payment to either USPS or UPS","Porto betaling aan USPS dan wel UPS"
"Preapproved Payment (BillUser API), either sent or received","Vooraf goedgekeurde Betaling (RekeningGebruiker API), verzonden of ontvangen"
"Preapproved Payment ID","Vooraf goedgekeurde Betaling ID"
"Price","Prijs"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Verwerk creditcards direct op uw website met PayPal's alles-in-één online oplossing voor het verwerken van betalingen"
"Product Name","Productnaam"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Poort"
"Qty","Hoeveelheid"
"Reauthorization","Nieuwe autorisatie"
"Reference Information","Verwijsinformatie"
"Refund issued by merchant.","Terugbetaling uitgegeven door verkoper"
"Reimbursement for a chargeback.","Vergoeding voor een terugboeking"
"Reimbursement of Chargeback","Vergoeding van een terugboeking"
"Report Date","Datum bericht"
"Reports","Verslagen"
"Requested %s and configured %s merchant emails do not match.","Gevraagde %s en ingestelde %s verkoper e-mails komen niet overeen."
"Require CVV Entry","Vereist invoer CVV"
"Require Customer's Billing Address","Factuuradres van de klant vereist"
"Reversal","Omzetting"
"Reversal of General Account Hold","Omzetting van Algemene Rekening Houder"
"Reversal of Points Usage","Omzetting van Puntengebruik"
"Reversal of an adjustment.","Omzetting van een aanpassing"
"Reversal of hold for Dispute Investigation","Aanpassing van houder voor onderzoek naar dispuut"
"Review Order","Overzicht van de bestelling"
"Reward Voucher Redemption","Beloning Voucher Aflossing"
"SFTP Credentials","SFTP inloggegevens"
"Sale","Verkoop"
"Sales","Verkoop"
"Same as shipping","Zelfde als verzenden"
"Sandbox Credentials","Sandbox inloggegevens"
"Sandbox Mode","Sandbox modus"
"Schedule","Schema"
"Schedule description is too long.","Schemabeschrijving is te lang."
"Scheduled Fetching","Ophalen ingeroosterd"
"Select a PayPal Solution","Kies een PayPal oplossing"
"Server Error. Please try again.","Serverfout. Probeer het opnieuw."
"Settlement Consolidation","Overeenkomst consolidatie"
"Settlement Report Settings","Overeenkomst verslag instellingen"
"Settlement of a chargeback.","Regeling van een terugboeking."
"Severe 3D Secure Card Validation","Strenge 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Strenge validatie verwijdert terugboekingsaansprakelijkheid voor de handelaar"
"Severe validation removes chargeback liability on merchant.","Ernstige bevestiging verwijdert de aansprakelijkheid voor terugboeking van de handelaar."
"Shipping","Verzending"
"Shipping Address","Verzendingsadres"
"Shipping Method","Verzendingsmethode"
"Shop now using (150 X 40)","Winkel nu met (150 X 40)"
"Shop now using (150 X 60)","Winkel nu met (150 X 60)"
"Shortcut","Snelkoppeling"
"Shortcut Buttons Flavor","Snelkoppeling knoppen flavor"
"Shortcut on Product View","Snelkoppeling op product bekijken"
"Shortcut on Shopping Cart","Snelkoppeling op winkelmandje"
"Sign a billing agreement to streamline further purchases with PayPal.","Teken een betaalovereenkomst om toekomstige aankopen met PayPal te stroomlijnen."
"Solo","Alleen"
"Sorry, no quotes are available for this order at this time.","Sorry, geen prijsopgaven zijn beschikbaar voor deze bestelling op dit moment."
"Sort Order","Sorteer Bestelling"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specificeert wat de Authorization Honor Period is op de PayPal rekening van de winkelier. Dit dient gelijk te zijn aan de instelling in PayPal zelf."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specificeert wat de Order Valid Period is op de PayPal rekening van de winkelier. Dit dient gelijk te zijn aan de instelling in PayPal zelf."
"State/Province","Staat/Provincie"
"Static","Statisch"
"Street Address","Adres straat"
"Street Address %s","Straatnaam en huisnummer %s"
"Submitting order information...","Bestellingsinformatie aan het overbrengen..."
"Subscriber name is too long.","Naam van abonnee is te lang"
"Subscription ID","Abonnement ID"
"Subscription Payment, either payment sent or payment received","Abonnementsbetaling, betaling verzonden of betaling ontvangen"
"Subtotal","Subtotaal"
"Summary Text for Aggregated Cart","Samenvatting tekst voor samengesteld winkelmandje"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Ondersteuning van American Express kaarten vereist een additionele overeenkomst. Leer meer op <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>"
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefoon"
"Test Mode","Test modus"
"The background color for the checkout page around the header and payment form.","De achtergrondkleur voor de afrekenpagina rond de header en het betalingsformulier."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","De achtergrondkleur voor de header van de afrekenpagina. Niet hoofdlettergevoelige zes-letterteken HTML hexadecimale kleurcode in ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Het standaard aantal kindmachtigingen in uw PayPal account is 1. Om meerdere machtigingen te doen, neem alstublieft contact op met PayPal om een verhoging aan te vragen."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","De afbeelding linksboven op de afrekeningspagina. Maximale grootte is 750x90 pixels. <strong style=""color:red"">Https</strong> is ten sterkte aangeraden."
"The maximum number of child authorizations is reached.","Het maximale aantal kindmachtigingen is bereikt."
"The merchant account is not yet verified.","De handelsaccount is nog niet geverifieerd."
"The payment curency does not match any of the merchant\'s balances currency.","De betalingsvaluta komt met geen enkele valuta van de saldi van de handelaar overeen."
"The payment eCheck is not yet cleared.","De betalings eCheck is nog niet vrijgegeven."
"The payment is authorized but not settled.","De betaling is gemachtigd, maar niet afgehandeld."
