"User Name","Nombre de Usuario"
"Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page.","Magento uses this key to encrypt passwords, credit cards and more. If you don't fill in this field, we'll create your encryption key and show it to you on the next page."
Connection,Conexión
"Database Connection","Conexión a la base de datos"
"Database Type","Tipo de base de datos"
Host,Host
"Database host","Host de base de datos"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Puedes especificar el puerto de servidor, ej: localhost:3307<br />Si no estás utilizando el socket UNIX predeterminado, puedes especificarlo aquí en vez del host, ej.: /var/run/mysqld/mysqld.sock"
"Database Name","Nombre de la base de datos"
"Database user name","Nombre de usuario de la base de datos"
"Database user password","Contraseña de usuario de la base de datos"
"Tables Prefix","Prefijo de tablas"
"(Optional. Leave blank for no prefix)","(Opcional. Déjelo en blanco si no desea agregar un prefijo.)"
"All packages were installed. Click 'OK' to continue with installation.","All packages were installed. Click 'OK' to continue with installation."
"Something went wrong installing the Magento packages. Please read the log, correct any errors and try again.","Something went wrong installing the Magento packages. Please read the log, correct any errors and try again."
"As another option, you could try the ""Manual Downloads and Upgrades"" method.","As another option, you could try the ""Manual Downloads and Upgrades"" method."
"Download Magento Core Modules and Updates","Descargar los módulos básicos y las actualizaciones de Magento"
"Full Download / SVN Installation","Descarga completa/instalación de SVN"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","SI ha descargado el paquete completo o ha instalado Magento mediante SVN, debe omitir los pasos de instalación y validación de paquetes haciendo clic en el siguiente botón."
"Continue Full Download / SVN Installation","Continuar la descarga completa/instalación de SVN"
"Package Management through the Web","Administración de paquetes a través de la web"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","SI desea administrar los paquetes de Magento mediante la interfaz de administración web, deberá aplicar permisos de escritura web a todas las carpetas y todos los archivos de Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si el servidor se ejecuta en MS Windows, es probable que no necesite hacer cambios."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si ejecuta PHP como CGI, sus procesos de PHP pueden ejecutarse con el mismo usuario que utilizó al cargar los archivos de Magento."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","En otros casos, deberá establecer permiso de escritura en los archivos de Magento para el usuario bajo el cual se ejecute el proceso del servidor web."
"Preferred stability: %1","Preferred stability: %1"
"This is the most stable state available for Magento packages.","This is the most stable state available for Magento packages."
"Choose this if you would like to test storefront and admin functionality.","Choose this if you would like to test storefront and admin functionality."
"Proceed With Automatic Download (%1)","Proceed With Automatic Download (%1)"
"If you are a developer and would like to have the latest public updates, choose this option.","Si es desarrollador y desea recibir las actualizaciones públicas más reciente, elija esta opción."
"Please note that it is much less stable than beta.","Por favor tenga en cuenta que es mucho menos estable que beta."
"Manual Downloads and Upgrades","Descargas manuales y actualizaciones"
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Si está ejecutando el asistente de instalación sobre una instalación de Magento descargada e instalada previamente, siga con este método."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si no puede escribir en las carpetas de Magento para el proceso web, o no desea hacerlo, puede utilizar el ejecutable PEAR ubicado en la raíz de instalación de Magento."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option.","Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%1' option."
"Run this in your shell from Magento root folder:","Ejecute esto en su sistema desde la carpeta raíz de Magento:"
"Click the button below when the installation is finished.","Click the button below when the installation is finished."
"Continue After Manual Download","Continuar después de la descarga manual"
"You're All Set","Usted está preparado"
"Get ready to experience Open-Source eCommerce Evolved.","Prepárese para descubrir la evolución del comercio electrónico de código abierto."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de continuar con su tienda, tome nota de su clave de cifrado (Magento la utiliza para cifrar las contraseñas, las tarjetas de crédito y más)."
"(Make sure you keep it in a safe place.)","(Asegúrese de guardarlo en un lugar seguro.)"
"Go to Frontend","Ir a la interfaz del cliente"
"Go to Backend","Ir al área de administración"
Localization,Localización
"Locale settings","Configuración local"
"Magento Installation Wizard","Asistente de instalación de Magento"
Magento,Magento
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Informar de todos los errores"
"(ver. %1)","(ver. %1)"
Installation,Instalación
"Having trouble installing Magento?","¿Tiene problemas con la instalación de Magento?"
"Check out our","Descubra nuestro"
"Installation Guide","Guía de instalación"
"License Agreement","Acuerdo de licencia"
"You're All Set!","Usted está preparado!"
