" Copy","Copiar"
"Need to Confirm","Debe Confirmar"
"New Newsletter Template","Plantilla de Boletín de Noticias Nueva"
"New Template","Nueva Plantilla"
"Newsletter","Boletín informativo"
"Newsletter Message Preview","Vista Previa del Mensaje del Boletín de Noticias"
"Newsletter Problem Reports","Informe de Problemas del Boletín de Noticias"
"Newsletter Queue","Cola de Boletín de Noticias"
"Newsletter Section","Sección del Boletín de Noticias"
"Newsletter Styles","Estilos del Boletín de Noticias"
"Newsletter Subscribers","Suscriptores de Boletín de Noticias"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Newsletter Subscription Form Before","Formulario de suscripción al boletín antes"
"Newsletter Subscriptions","Suscripciones al Boletín de Noticias"
"Newsletter Templates","Plantillas de Boletín de Noticias"
"Newsletter subscription confirmation","Confirmación de suscripción al Boletín de Noticias"
"Newsletter subscription success","Suscripción al Boletín de Noticias finalizada con éxito"
"Newsletter unsubscription success","Cancelación de suscripción al Boletín de Noticias finalizada con éxito"
"No Templates Found","No se Encontraron Plantillas"
"No problems found.","No se Encontraron Problemas."
"No subscribers selected.","No se seleccionaron suscriptores."
"Not Activated","No Activado"
"Not Sent","No enviado"
"Pause","Pausa"
"Paused","En pausa"
"Please enter a valid email address.","Introduzca una dirección de correo electrónico válida."
"Please enter new template name","Introduzca un nombre de nueva plantilla"
"Please refer to exeption.log","Por favor vaya a exeption.log"
"Please select subscriber(s)","Seleccione suscriptor(es)"
"Preview","Vista Previa"
"Preview Template","Vista previa de plantilla"
"Processed","Procesado"
"Queue Date Start","Fecha de Inicio de la Cola"
"Queue Finish","Final de Cola"
"Queue Information","Información de Cola"
"Queue Newsletter...","Boletín de Noticias en Cola..."
"Queue Start","Inicio de Cola"
"Queue Subject","Asunto de Cola"
"Recipients","Destinatarios"
"Reset","Restablecer"
"Resume","Reanudar"
"Return HTML Version","Devolver Versión HTML"
"Save As","Guardar Como"
"Save Newsletter","Guardar Boletín de Noticias"
"Save Template","Guardar Plantilla"
"Save and Resume","Guardar y Reanudar"
"Selected problem subscribers have been unsubscribed.","Se ha cancelado la suscripción de los suscriptores con problemas."
"Selected problems have been deleted.","Se han borrado los problemas seleccionados."
"Sender","Remitente"
"Sender Email","E-mail del Remitente"
"Sender Name","Nombre del Remitente"
"Sending","Enviando"
"Sent","Enviada"
"Sign Up for Our Newsletter:","Suscríbase a Nuestro Boletín de Noticias:"
"Sign up for our newsletter","Suscríbase a nuestro boletín de noticias"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Lo sentimos pero el administrador denegó la suscripción para invitados. Por favor, <a href=""%s"">register</a>."
"Start","Comenzar"
"Status","Estado"
"Store","Tienda"
"Store View","Ver Tienda"
"Subject","Asunto"
"Subscribe","Suscribirse"
"Subscribed","Suscrito"
"Subscriber","Suscriptor"
"Subscribers","Suscriptores"
"Subscribers From","Suscriptores De"
"Subscription Options","Opciones de Suscripción"
"Success Email Sender","Remitente de Correo Electrónico Finalizado con Éxito"
"Success Email Template","Plantilla de Correo Electrónico Finalizada con Éxito"
"Template Content","Contenido de la plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de Plantilla"
"Template Styles","Estilos de Plantilla"
"Template Subject","Tema de la plantilla"
"Template Type","Tipo de Plantilla"
"Thank you for your subscription.","Gracias por su suscripción."
"The subscription has been removed.","La suscripción ha sido eliminada."
"The subscription has been saved.","La suscripción se ha guardado."
"There was a problem with the subscription.","Hubo un problema con la suscripción."
"There was a problem with the subscription: %s","Hubo un problema con la suscripción: %s"
"There was a problem with the un-subscription.","Hubo un problema con la cancelación de la suscripción."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Type","Tipo"
"Unconfirmed","Sin confirmar"
"Unsubscribe","Cancelar suscripción"
"Unsubscribe Selected","Cancelar Suscripción Seleccionado"
"Unsubscribed","Suscripción cancelada"
"Unsubscription Email Sender","Remitente del Email de cancelación de suscripción"
"Unsubscription Email Template","Plantilla de Email de Cancelar Suscripción"
"View Newsletter","Ver boletín de noticias"
"Website","Sitio web"
"You have been unsubscribed.","Ha cancelado su subscripción."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
