" or "," o bien "
"An invalid option ID is specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá este registro."
"Approved","Aprobado"
"Are you sure that you want to remove this item?","¿Está seguro de que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Está seguro de que desea cancelar el proceso de agregado de esta dirección?"
"Are you sure you want to delete this address?","¿Estás seguro de querer borrar esta dirección?"
"Are you sure?","¿Está seguro?"
"Array of Entity collections is expected.","Se espera una disposición de colecciones de entidad."
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Volver"
"Back - link to the previously viewed page","Atrás: enlace a la página vista anteriormente"
"Back to Login","Volver a Conexión"
"Bad request.","Solicitud incorrecta."
"Bill to Name","Nombre de la factura"
"Bought From","Comprado a"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta con nuestra tienda podrás moverte más rápidamente por el proceso de pago, guardar múltiples direcciones de envío, ver y seguir el rastro de los pedidos de tu cuenta y más."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save address.","No se puede guardar la dirección."
"Cannot save the customer.","No se puede guardar el cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","No se pueden compartir las cuentas de cliente de forma global porque existen algunas cuentas de cliente con la misma dirección de correo electrónico en varios sitios web, y no se pueden combinar."
"Change Account Password","Cambiar contraseña de cuenta"
"Change Billing Address","Cambiar la Dirección de Facturación"
"Change Password","Cambiar Contraseña"
"Change Shipping Address","Cambiar la Dirección de Envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Configure","Configurar"
"Confirm New Password","Confirmar la Nueva Contraseña"
"Confirm Password","Confirma Contraseña"
"Confirmation Link Email","Enlace de confirmación de Email"
"Confirmed","Confirmado"
"Contact Information","Información de Contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear."
"Create New Account Options","Crear nuevas opciones de cuenta"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create Order","Crear pedido"
"Create an Account","Crear una Cuenta"
"Create customer","Crear cliente"
"Create customer address","Crear dirección de cliente"
"Current Password","Contraseña Actual"
"Customer","Cliente"
"Customer API","API del cliente"
"Customer Account Edit Form","Formulario de Edición de Cuenta del Cliente"
"Customer Account Login Form","Formulario de Conexión de Cuenta del Cliente"
"Customer Account Logout Success","Desconexión correcta de la Cuenta del Cliente"
"Customer Account Registration Form","Formulario de Registro de Cuenta del Cliente"
"Customer Addresses","Dirección de cliente"
"Customer Configuration","Configuración de cliente"
"Customer Forgot Password Form","Formulario de Contraseña Olvidada del Cliente"
"Customer Group","Grupo de Clientes"
"Customer Groups","Grupos de Cliente"
"Customer Information","Información de cliente"
"Customer Login","Identificador de cliente"
"Customer My Account (All Pages)","Mi Cuenta de Cliente (Todas las Páginas)"
"Customer My Account Address Book","Libreta de Dirección de Mi Cuenta de Cliente"
"Customer My Account Address Edit Form","Formulario de Edición de Direcciones de Mi Cuenta de Cliente"
"Customer My Account Dashboard","Panel de Control de Mi Cuenta de Cliente"
"Customer Since","Cliente desde"
"Customer View","Vista de cliente"
"Customer collection expected.","Se espera colección de clientes"
"Customer email is required","Se requiere email del cliente"
"Customer website ID must be specified when using the website scope","Debe especificarse la identificación de página web del cliente cuando se usa el campo de la página web"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Only","Sólo clientes"
"Customers Section","Sección de clientes."
"DD","DD"
"Date","Fecha"
"Date Added","Añadido el día"
"Date of Birth","Fecha de Nacimiento"
"Day","Día"
"Days in Wishlist","Días en la lista de deseos"
"Default Addresses","Dirección por Defecto"
"Default Billing Address","Dirección de Facturación por Defecto"
"Default Email Domain","Email predeterminado del dominio"
"Default Group","Grupo por defecto"
"Default Shipping Address","Dirección de Envío por Defecto"
"Default Welcome Email","Email de bienvenida predeterminado"
"Delete","Eliminar"
"Delete Address","Borrar Dirección"
"Delete Customer","Borrar cliente"
"Delete Customer Group","Borrar grupo de cliente"
"Delete customer","Eliminar cliente"
"Delete customer address","Borrar dirección de cliente"
"Deleted Stores","Tiendas borradas"
"Details","Detalles"
"Disabled","Deshabilitado"
"Edit","Editar"
"Edit Account Info","Editar información de cuenta"
"Edit Account Information","Cambiar la información de la cuenta"
"Edit Address","Cambiar la dirección"
"Edit Address Entry","Cambiar el registro de la dirección"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
"Edit Customer Groups","Editar grupos de clientes"
"Edit Customer's Address","Editar dirección del cliente"
"Edit Group","Editar grupo"
"Edit Newsletters","Cambiar los boletines"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Email Sender","Remitente del email"
"Email:","Email:"
"Entity collection is expected.","Se espera entidad de recogida."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falló al confirmar la cuenta de cliente."
"Fax","Fax"
"First Name","Nombre"
"Forgot Email Sender","Remitente de Email olvidado"
"Forgot Email Template","Plantilla de Email olvidada"
"Forgot Your Password","Olvidaste Tu Contraseña"
"Forgot Your Password?","¿Ha olvidado la contraseña?"
"Form Fields Before","Campos de Formulario Antes de"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control de mi cuenta» puede ver una instantánea de la actividad reciente en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información."
"Gender","Género"
"Group","Grupo"
"Guest","Invitado"
"IP Address","Dirección IP"
"Invalid customer data","datos de cliente inválidos"
"Invalid email address.","dirección de email inválida"
"Last Date Subscribed","Ultima fecha suscrita"
"Last Date Unsubscribed","Ultima fecha no suscrita"
"Lifetime Sales","Ventas de por vida"
"Log In","Inicio de sesión"
"Login","Entrar"
"Login Options","Opciones de ingreso"
"Login or Create an Account","Entre o cree una cuenta"
"MM","MM"
"Missing firstname, skipping the record.","Falta el nombre, saltando el registro."
"Missing lastname, skipping the record.","Falta apellido, saltando el registro."
"My Account Wrapper","El Wrapper de mi Cuenta"
"My Dashboard","Mi panel de control"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address Entry","Nueva Anotación de Dirección"
"New Customer Address","Nueva dirección de cliente"
"New Customer Groups","Nuevos grupos de clientes"
"New Group","Nuevo grupo"
"New Password","Nueva contraseña"
"New account confirmation key","Nueva clave de confirmación de cuenta"
"New account confirmed","Nueva cuenta confirmada"
"Newsletter","Boletín informativo"
"Newsletter Finish","Fin del boletín informativo"
"Newsletter Received","Boletín informativo recibido"
"Newsletter Subscription","Suscripción al boletín de noticias"
"No Newsletter Found","No se encontraron boletines informativos"
"No item specified.","No es especificaron artículos."
"Not confirmed, can login","Sin confirmar. Puede iniciar sesión"
"Number of Lines in a Street Address ","Cantidad de líneas de la dirección"
"Offline","Sin conexión"
"Online","Conectado"
"Online Customers","Clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Número de pedido"
"Order Total","Total del pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password Options","Opciones de contraseña"
"Paused","En pausa"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información Personal"
"Please enter your email below and we will send you a new password.","Introduzca su dirección de correo electrónico a continuación y le enviaremos una nueva contraseña."
"Please enter your email.","Introduzca su dirección de correo electrónico."
"Please select","Seleccione"
"Please, check your email for confirmation key.","Revise su correo electrónico y busque la clave de confirmación."
"Price","Precio"
"Product ID","ID de Producto"
"Product Reviews","Opiniones de Producto"
"Product Tags","Etiqueta de Producto"
"Purchase On","Adquirido el"
"Purchased At","Adquirido en"
"Recent Orders","Pedidos recientes"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado"
"Registered Customers","Clientes Registrados"
"Remove","Eliminar"
"Retrieve address data","Recuperar datos de la dirección"
"Retrieve address info","Recuperar información de la dirección"
"Retrieve customer data","Recuperar datos de los clientes"
"Retrieve your confirmation link here","Recupere aquí su enlace de confirmación"
"SKU","SKU"
"Sales Statistics","Estadísticas de ventas"
"Save Customer Group","Guardar grupo de clientes"
"Save Password","Guardar Contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","Registro(s) %d Guardado(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto y coma (;).<br/>Coloque un punto y coma al comienzo para dejar la primera opción vacía.<br/>Deje el primer lugar vacío para crear un campo de texto abierto."
"Send From","Enviar Desde"
"Send Welcome Email","Enviar mensaje de correo electrónico de bienvenida"
"Send confirmation link","Enviar enlace de confirmación"
"Sent","Enviada"
"Set as Default Billing Address","Establecer como dirección de facturación predeterminada"
"Shipped to Last Name","Apellido del destinatario"
"Shopping Cart","Cesta de la Compra"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar sexo"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Sign Up for Newsletter","Darse de Alta para Boletín de Noticias"
"Skipping import row, website ""%s"" field does not exist.","Omitida la importación de la fila, el campo ""%s"" de la página web no existe"
"Store View","Ver Tienda"
"Street Address","Dirección de Calle"
"Subject","Asunto"
"Submit","Enviar"
"Subscribed to Newsletter?","¿Está suscrito al boletín informativo?"
"Suffix Dropdown Options","Opciones de la lista desplegable Sufijos"
"Tax Class","Clase impositiva"
"Telephone","Teléfono"
"Text One Line","Texto (una línea)"
"The account information has been saved.","Se guardó la información de la cuenta."
"The address has been deleted.","Se eliminó la dirección."
"The customer group has been deleted.","Se eliminó el grupo de clientes."
"The group ""%s"" cannot be deleted","El grupo ""%s"" no se puede eliminar"
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"There are no items in customer's wishlist at the moment","En este momento no hay artículos en la lista de deseos del cliente."
"There are no items in customer\'s shopping cart at the moment","En este momento no hay artículos en el carrito de compras del cliente."
"This account is not confirmed.","Esta cuenta no está confirmada."
"This customer has no saved addresses.","Este cliente no tiene direcciones guardadas."
"This email will be sent instead of default welcome email, after account confirmation.","Se enviará este mensaje de correo electrónico en lugar del mensaje de bienvenida predeterminado, después de la confirmación de la cuenta."
"To Cart","Al carrito"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update customer data","Actualizar datos del cliente"
"Use as My Default Billing Address","Utilizar como mi dirección de facturación por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"View","Ver"
"Visitors Only","Sólo para visitantes"
"Wishlist","Lista de deseos"
"Wrong customer account specified.","Se especificó una cuenta de cliente incorrecta."
"Wrong email.","Dirección de correo electrónico incorrecta."
"Year","Año"
"You are currently subscribed to our newsletter.","Actualmente estás suscrito a nuestro boletín de noticias"
"You are now logged out","Ha cerrado sesión."
"You have no additional address entries in your address book.","No tienes anotaciones adicionales de dirección en tu libreta de direcciones."
"You have no default billing address in your address book.","No tienes ninguna dirección de facturación por defecto en tu libreta de direcciones."
"You have no default shipping address in your address book.","No tienes ninguna dirección de envío por defecto en tu libreta de direcciones."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have placed no products yet.","Aún no ha ingresado productos."
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"n/a","n/d"
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","Global"
"Grand Total","Suma total"
"Group Information","Información de grupo"
"Group Name","Nombre de grupo"
"HTML","HTML"
"Hello, %s!","Hola, %s:"
"If you have an account with us, log in using your email address.","Si tiene una cuenta con nosotros, entre usando su dirección de correo electrónico."
"ID","Identificación"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor ingrese."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Se especificó una opción de atributo no válida para el atributo %s (%s). Se omitirá el registro."
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos no válido. Se omitirá el registro."
"Invalid current password","Contraseña actual inválida"
"Invalid login or password.","usuario o contraseña inválidos."
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Last Activity","Ultima actividad"
"Last Name","Apellido"
"Last URL","Ultima URL"
"Leave empty for default (15 minutes).","Dejar en blanco por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Dejar en blanco por defecto (2). Rango válido: 1-4"
"Log Out","Fin de sesión"
"Login Information","Información de registro"
"Login and password are required.","Se requiere identificador y contraseña."
"M.I.","M.I."
"Manage Addresses","Gestionar las direcciones"
"Manage Customers","Gestionar Clientes"
"Missing email, skipping the record.","Falta email, saltando el registro."
"Month","Mes"
"My Account","Mi cuenta"
"My Orders","Mis pedidos"
"Name","Nombre"
"New Address","Nueva Dirección"
"New Customer","Nuevo cliente"
"New Customer Group","Nuevo grupo de cliente"
"New Customers","Nuevos Clientes"
"New account","Nueva cuenta"
"New password","Nueva contraseña"
"New password field cannot be empty.","El campo de nueva contraseña no puede estar en blanco."
"Newsletter Information","Información del boletín informativo"
"Newsletter Start","Inicio del boletín informativo"
"Newsletters","Boletín de Noticias"
"No Items Found","No se encontraron artículos"
"No customer collections found","No se encontraron recopilaciones de clientes"
"Not Sent","No enviado"
"Not confirmed, cannot login","Sin confirmar. No puede iniciar sesión"
"Online Customers Options","Opciones de los clientes conectados"
"Password","Contraseña"
"Password Management","Administración de contraseñas"
"Password forgotten","Olvido de contraseña"
"Password:","Contraseña:"
"Please enter your email below and we\'ll send you confirmation link for it.","Introduzca su dirección de correo electrónico a continuación y le enviaremos un enlace de confirmación."
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Prefix","Prefijo"
"Prefix Dropdown Options","Opciones de la lista desplegable de prefijos"
"Product","Producto"
"Product Name","Nombre del producto"
"Qty","Cantidad"
"Records for %s store found.","Se encontraron registros para la tienda %s."
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Retrieve customer addresses","Recuperar direcciones de los clientes"
"Retrieve customer groups","Recuperar grupos de clientes"
"Retrieve customer info","Recuperar información de los clientes"
"Retrieve customers","Recuperar clientes"
"Retrieve your password here","Recupere aquí su contraseña"
"Save","Guardar"
"Save Address","Guardar Dirección"
"Save Customer","Guardar cliente"
"Send Welcome Email after Confirmation","Enviar mensaje de correo electrónico de bienvenida después de la confirmación"
"Send auto-generated password","Enviar contraseña generada automáticame"
"Sending","Enviando"
"Session Start Time","Hora de inicio de sesión"
"Set as Default Shipping Address","Establecer como dirección de envío predeterminada"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shipped to First Name","Nombre del destinatario"
"Shipped to Name","Nombre del destinatario"
"Shopping Cart - %d item(s)","Carrito de compras: %d artículos"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tienda"
"Street Address %s","%s de Calle"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Suffix","Sufijo"
"Tag Name","Nombre de la etiqueta"
"Tax/VAT number","Número de IVA/impuestos"
"Text","Texto"
"Thank you for registering with %s.","Gracias por registrarse en %s."
"The address does not belong to this customer.","La dirección no pertenece a este cliente."
"The address has been saved.","Se guardó la dirección."
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The customer group has been saved.","Se guardó el grupo de clientes."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Se ignorarán los espacios antes o después."
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Ya existe una cuenta con esta dirección de correo electrónico. Si está seguro de que esa es su dirección de correo electrónico, <a href=""%s"">pulse aquí</a> para conseguir su contraseña y acceder a su cuenta."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta cuenta no está confirmada. <a href=""%s"">Pulse aquí</a> para volver a enviar el correo electrónico de confirmación."
"This customer email already exists","Este correo electrónico de cliente ya existe"
"This email address was not found in our records.","No se encontró esta dirección de correo electrónico en nuestros registros."
"This email does not require confirmation.","Esta dirección de correo electrónico no necesita confirmación."
"This is My Default %s Address","Esta es mi %s Dirección por Defecto"
"Total","Total"
"Unable to save the customer.","No se puede guardar el cliente."
"Update","Actualización"
"Update customer address data","Actualizar datos de dirección del cliente"
"Use as My Default %s Address","Utilizar como mi %s Dirección por Defecto"
"Use as My Default Shipping Address","Utilizar como mi dirección de envío por defecto"
"Use as my default shipping address","Utilizar como mi dirección de envío por defecto"
"View Order","Ver Pedido"
"Visitor","Visitante"
"Website","Sitio web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist - %d item(s)","Lista de deseos: %d artículos"
"Wrong confirmation key.","Clave de confirmación incorrecta."
"Wrong transactional account email type","Tipo de correo electrónico de cuenta de transacciones equivocado"
"YYYY","AAAA"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias"
"You are currently not subscribed to our newsletter.","Actualmente no está suscrito a nuestro boletín informativo."
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You have logged out and will be redirected to our homepage in 5 seconds.","Ha cerrado sesión y será redirigido a nuestra página principal en 5 segundos."
"You have no additional entries in your address book.","No tiene más entradas en su libreta de direcciones."
"You have no default entries in your address book.","No tiene entradas predeterminadas en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have placed no orders yet.","Aún no ha hecho pedidos."
"Your account balance is: %s","El saldo de su cuenta es: %s"
"Zip/Postal Code","Código Postal"
"or","o bien"
"register","registro"
