" and ","y"
"FILTERS APPLIED","FILTROS APLICADOS"
"FTP Host[:Port]","Host FTP[:Puerto]"
"Field Mapping","Mapeo del área"
"File Information","Información de archivo"
"File mode","Modo de archivo"
"File name:","Nombre del archivo:"
"Files","Archivos"
"Finished profile execution.","Ejecución del perfil finalizada"
"First Name:","Nombre:"
"For latest version visit: %s","Para la última versión, visitar: %s"
"From","De"
"General Information","Información general"
"General Settings","Opciones generales"
"Get help for this page","Consiga ayuda para esta página"
"Global Record Search","Registro de búsqueda global"
"Go Today","Ir a Hoy"
"Go to messages inbox","Ir al buzón de entrada de mensajes"
"Go to notifications","Ir a notificaciones"
"Google Base Items","Elementos de Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ayúdenos a mantener Magento en buen estado - Informe de todos los fallos"
"Home","Inicio"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Si su instancia de Magento se utiliza en diferentes páginas web, debe configurar una cuenta de Enlace Flujo de Pago para cada página web."
"Ignore","Ignorar"
"Images","Imágenes"
"Import","Importar"
"Import Service","Importar servicio"
"Important: ","Importante:"
"In Database:","En base de datos:"
"In File:","En archivo:"
"In Stock","En Existencia"
"Inactive Tabs","Pestañas inactivas"
"Incl. Tax","Impuestos incluidos"
"Include","Incluir"
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz de localización regional: %s"
"Invalid webservice adapter specified.","Adaptador de servicio web especificado inválido"
"Invalid webservice handler specified.","Controlador de servicio web especificado inválido"
"Invoice History","Historial de facturas"
"Invoice Totals","Total de la factura"
"Is Closed","Está cerrado"
"Issue Number","Número de emisión"
"Issuer: %s","Emisor: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Caché"
"Last 5 Orders","Últimos 5 pedidos."
"Last 5 Search Terms","Últimas 5 búsquedas."
"Last Logged In (%s):","Último inicio de sesión (%s)"
"Last Logged In:","Último inicio de sesión:"
"Last Name:","Apellido:"
"Latest Message:","Mensaje más reciente:"
"Leave empty to use tax identifier","Deje en blanco para identificación fiscal"
"Links with associated products will retain only after saving current product.","Los enlaces a los productos relacionados sólo quedarán registrados tras guardar el producto actual."
"Loading Preview...","Cargando la vista previa..."
"Loading...","Cargando..."
"Local Server","Servidor local"
"Local/Remote Server","Servidor local/remoto"
"Log In","Inicio de sesión"
"Log Out","Fin de sesión"
"Logged in as %s","Sesión iniciada como %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","API del núcleo de Magento"
"Magento Core API Section","Apartado de la API (interfaz de programación de aplicaciones) del núcleo de Magento"
"Magento Logo","Logotipo de Magento"
"Magento ver. %s","Magento versión %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; es una marca registrada de Magento Inc. <br/>Copyright &copy;: %s Magento Inc."
"Main Tabs","Pestañas principales"
"Make Inactive","Poner inactivo"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Asegúrese de que la codificación de los datos en el archivo es consistente y han sido guardados en alguno de los códigos admitidos (UTF-8 o ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Asegúrese de haber configurado los ajustes de diseño para el formulario de Enlace de Flujo de Pago en su cuenta de enlace de Flujo de Pago."
"Manage Stores","Gestionar Tiendas"
"Max","Máximo"
"Min","Mínimo"
"More Tabs","Más pestañas"
"N/A","N/A"
"Name","Nombre"
"Name on Card","Nombre que aparece en la tarjeta"
"Name on the Card: %s","Nombre que aparece en la tarjeta: %s"
"Name:","Nombre:"
"Next month (hold for menu)","Mes siguiente (mantenga presionado para ver menú)"
"Next page","Página siguiente"
"Next year (hold for menu)","Año siguiente (mantenga presionado para ver menú)"
"No","No"
"No Data Found","No se han encontrado datos"
"No information available.","No hay información disponible."
"No profile loaded...","No se ha cargado el perfil..."
"No search keywords.","No hay palabras de búsqueda."
"None","Nada"
"Note:","Nota:"
"Number of records:","Número de registros:"
"Old rate:","Tasa anterior:"
"On my website","En mi página web"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Una vez que se haya conectado a su cuenta de Enlace de Flujo de Pago, diríjase a los Ajustes del Servicio - Páginas de Pago Hospedadas - menú de Configuración e indique las opciones descritas a continuación"
"Only mapped fields","Sólo campos mapeados"
"Options menu items","Elementos del menú Opciones"
"Order ID","Solicitar ID"
"Order cannot be placed.","El pedido no puede ser realizado."
"Original Magento attribute names in first row:","Nombres originales de atributos Magento en la primera fila:"
"Out of stock","Sin existencias"
"Package","Paquete"
"Packages","Paquetes"
"Page","Página"
"Parent Transaction ID","ID de la transacción de origen"
"Passive mode","Modo pasivo"
"Password","Contraseña"
"Path","Camino"
"Path:","Camino:"
"Personal Information","Información Personal"
"Phone:","Teléfono:"
"Please Select","Seleccionar, por favor."
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Confirme el cambio de sitio. Se perderán todos los datos que no se hayan guardado."
"Please continue with placing order.","Por favor continue con su pedido."
"Please enter 6 or more characters.","Ingrese 6 o más caracteres."
"Please enter a number greater than 0 in this field.","Ingrese un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Ingrese un monto válido en $. Por ejemplo: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Ingrese una dirección URL válida. Por ejemplo: http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid URL. http:// is required","Ingrese una dirección URL válida. El prefijo http:// es obligatorio"
"Please enter a valid credit card number.","Ingrese un número de tarjeta de crédito válido."
"Please enter a valid date.","Ingrese una fecha válida."
"Please enter a valid email address. For example johndoe@domain.com.","Ingrese una dirección de correo electrónico válida. Por ejemplo: juanperez@dominio.com."
"Please enter a valid number in this field.","Ingrese un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ingrese un número de teléfono válido. Por ejemplo: (123) 456-7890 o 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Ingrese un número de seguro social válido. Por ejemplo: 123-45-6789."
"Please enter a valid value from list","Ingrese un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Ingrese un valor válido, por ej., 10, 20, 30"
"Please enter a valid zip code.","Ingrese un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Ingrese un código postal válido. Por ejemplo: 90602 o 90602-1234."
"Please enter another credit card number to complete your purchase.","Escriba el número de otra tarjeta de crédito para terminar su compra."
"Please enter valid password.","Ingrese una contraseña válida."
"Please make sure that your changes were saved before running the profile.","Asegúrese de que se hayan guardado sus cambios antes de ejecutar el perfil."
"Please make sure your passwords match.","Asegúrese de que sus contraseñas coincidan."
"Please select State/Province.","Seleccione un estado o provincia."
"Please select an option.","Seleccione una opción."
"Please select one of the above options.","Seleccione una de las opciones anteriores."
"Please select one of the options.","Seleccione una de las opciones."
"Please use in this field only ""a-z,0-9,_"".","En este campo sólo se pueden escribir letras, números y guiones bajos (""a-z,0-9,_"")."
"Please use letters only (a-z) in this field.","Utilice sólo letras (a-z) en este campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","En este campo sólo se pueden escribir números. Evite los espacios en blanco u otros caracteres, como los puntos o las comas, por ejemplo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilice sólo letras (a-z) o números (0-9) en este campo. No se permiten espacios ni otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilice sólo letras (a-z) o números (0-9), o espacios y números en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilice este formato de fecha: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait while the indexes are being refreshed.","Espere mientras se actualizan los índices."
"Please wait, loading...","Espera, por favor. Cargando...."
"Preset Theme","Tema preestablecido"
"Prev. month (hold for menu)","Mes anterior (mantenga presionado para ver el menú)"
"Prev. year (hold for menu)","Año anterior (mantenga presionado para ver el menú)"
"Preview","Vista previa"
"Previous page","Página anterior"
"Price:","Precio:"
"Product Name3 ","Nombre del producto 3"
"Product Name3 1","Nombre del producto 3 1"
"Product Name3 2","Nombre del producto 3 2"
"Products","Productos"
"Profile Information","Información de perfil"
"Qty:","Cant.:"
"Read details","Leer detalles"
"Reference ID","ID de referencia"
"Regular Price:","Precio habitual:"
"Remote FTP","FTP remoto"
"Remove","Eliminar"
"Required settings","Ajustes obligatorios"
"Reset theme to default","Restablecer el tema predeterminado"
"Resource Access","Acceso a recursos"
"Resources","Recursos"
"Return URL: ","URL de retorno:"
"Role Users","Usuarios del rol"
"Roles","Roles"
"Roles Resources","Recursos de roles"
"SKU:","Código de artículo (SKU):"
"SORT BY:","CLASIFICAR POR:"
"Save Theme","Guardar tema"
"Screens:","Pantallas:"
"Select All","Seleccionar Todo"
"Select Date","Seleccionar fecha"
"Select Range","Seleccionar Rango"
"Select Visible","Seleccionar Visible"
"Select date","Seleccionar fecha"
"Shipment Comments","Comentarios de Envío"
"Shipment History","Historial de Envíos"
"Shipping Address","Dirección de Envío"
"Shipping address selection is not applicable","La selección de dirección de envío no es aplicable"
"Shipping method selection is not applicable","La selección del modo de envío no es aplicable"
"Show By","Mostrar Por"
"Show Report For","Mostrar el Informe Por"
"Show confirmation page: ","Mostrar página de confirmación:"
"Silent Post URL:","URL Silent Post:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos de este pedido tienen diferentes tipos de factura y envío. Sólo puede crearse el envío una vez se haya creado la factura."
"Sort Order","Ordenar Pedido"
"Special Price:","Precio especial:"
"Spreadsheet Name:","Nombre de la Hoja de cálculo:"
"Start Date","Fecha de Inicio"
"Start/Reset Validation...","Comenzar/Resetear validación..."
"Starting profile execution, please wait...","Comenzando la ejecución del perfil, espere por favor..."
"State/Province:","Estado/Provincia:"
"Status","Estado"
"Status:","Situación:"
"Stock Quantity:","Cantidad en Existencias:"
"Store:","Tienda:"
"Switch/Solo card issue number: %s","Número de emisión de la tarjeta Cambio/Solo: %s"
"Switch/Solo card start Date: %s/%s","Fecha de comienzo de la tarjeta Cambio/Solo: %s/%s"
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Sólo Cambio/Solo/Maestro (Residentes en el Reino Unido)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de emisión de la tarjeta Cambio/Solo/Maestro (Residentes en el Reino Unido): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Fecha de comienzo de la tarjeta Cambio/Solo/Maestro (Residentes en el Reino Unido): %s/%s"
"Synchronization is required.","Se requiere sincronización."
"System busy","El sistema está ocupado"
"T-Shirts","Camisetas"
"Target","Destino"
"Tell a Friend","Cuéntaselo a un Amigo"
"The card has failed verification with the issuer bank.","La tarjeta ha fallado la verificación con el banco emisor."
"The information in this tab has been changed.","Se ha cambiado la información de esta etiqueta."
"Theme configurations are successfully reset.","Se ha restablecido correctamente las configuraciones temáticas."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Se ha enviado información errónea o el límite de tiempo ha expirado. Por favor, inténtelo de nuevo."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado en esta tienda no será aceptado ni completado."
"This is a required field.","Este es un campo obligatorio."
"This tab contains invalid data. Please solve the problem before saving.","Esta etiqueta contiene datos no válidos. Por favor, resuelva el problema antes de guardar."
"Thumbnail","Miniatura"
"Time selection:","Selección de tiempo:"
"Time:","Hora:"
"Title bar","Barra de título"
"To","a"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizaciones pendientes y liberar importes que ya se han procesado durante este pago, haga clic en Cancelar."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Para usar Payflow Link, debe configurar su cuenta de Payflow Link en el sitio web de Paypal."
"Top 5 Search Terms","5 Artículos Más Buscados"
"Total %d records found","Se ha encontrado un total de %d registros"
"Track Order","Rastrear un Pedido"
"Track this shipment","Rastrear este envío"
"Transaction Data","Datos de la Transacción"
"Transaction Details","Detalles de la Transacción"
"Transaction ID","Número de identificación de la transacción"
"Transaction Type","Tipo de Transacción"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","No es posible entrar al sistema."
"Unknown Error","Error desconocido"
"Unknown Error.","Error desconocido."
"Unselect All","Deseleccionar Todo"
"Unselect Visible","Deseleccionar lo Visible"
"Updated At","Hora de actualización"
"User Name","Nombre de usuario"
"User Roles","Papeles de Usuario"
"Validation Results","Resultados de Validación"
"View","Ver"
"Warning! Empty value can cause problems with CSV format.","Atención: los valores vacíos pueden causar problemas con el formato CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","¡Atención!\r\nLa acción eliminará al usuario de un rol ya asignado.\r\n¿Está seguro?"
"Warning: Please do not close the window during importing/exporting data","Atención: No cierre la ventana mientras importa/exporta datos"
"We detected that your JavaScript seem to be disabled.","Hemos detectado que tiene el JavaScript desactivado."
"Yes","Sí"
"You have %s unread message(s).","Tiene %s mensaje(s) sin leer."
"critical","crítico"
"items selected","Artículos elegidos"
"notice","aviso"
"to","para"
"Update Preview","Actualizar vista previa"
"Use Default Value","Utilizar Valor por Defecto"
"Use Silent Post:","Usar envío silencioso:"
"User","Usuario"
"User name","Nombre de usuario"
"Users","Usuarios"
"Value Delimiter:","Separador de valores:"
"Verification Failed","Verificación errónea"
"Verification Successful","Verificación exitosa"
"Verification cannot be processed","La verificación no puede ser procesada"
"View Details","Ver detalles"
"View Gallery","Ver galería"
"View Statistics For","Ver estadística para"
"Visibility:","Visibilidad:"
"WS-I Compliance","Conformidad con WS-I"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","¡Atención!\r\nLa acción eliminará a los usuarios de roles ya asignados.\r\n¿Está seguro?"
"Web Services","Servicios web"
"What is this?","¿Qué es esto?"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Tiene que activar el JavaScript del navegador para utilizar las funciones de este sitio web."
"Your account has been deactivated.","Se ha desactivado su cuenta."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración del PHP de su servidor sólo le permite subir archivos de no más de %s de una vez. Modifique los valores de post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) de php.ini si quiere subir archivos mayores."
"Zip/Postal Code:","Código postal:"
"major","mayor"
"minor","menor"
"of %s pages","de %s páginas"
"per page","por página"
