"%s","%s"
"%s already exist.","%s ya existen."
"%s already exists.","%s ya existe."
"-- Please Select --","-- Seleccionar, por favor --"
"This category and its child categories only","Sólo esta categoría y sus categorías secundarias"
"This category and its products only","Sólo esta categoría y sus productos"
"This category only","Sólo esta categoría"
"This date is a required value.","La fecha es un valor obligatorio."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"This website cannot be deleted.","No se puede eliminar este sitio web."
"This will be displayed just before body closing tag.","Este texto se mostrará antes de la etiqueta de cierre del cuerpo."
"This will be included before head closing tag in page HTML.","Este texto se incluirá antes de la etiqueta de cierre del encabezado en el HTML de la página."
"Timezone","Zona horaria"
"Title Prefix","Prefijo del título"
"Title Suffix","Sufijo del título"
"Translate Inline","Línea interna de traducción"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traducir, bloques y otros caches de salida deben ser desactivadso para las traducciones de la parte delantera y de admininstración."
"Translations","Traducciones"
"Two and more slashes together are not permitted in request path","No se permiten dos o más barras juntas en la linea de solicitud"
"Two and more slashes together are not permitted in url rewrite suffix","No se permiten dos o más barras juntas en el sufijo de la url"
"Unable to create directory: %s","No ha sido posible crear el directorio: %s"
"Unable to delete store. Please, try again later.","No se puede eliminar la tienda. Vuelva a intentarlo más tarde."
"Unable to save file ""%s"" at ""%s""","No ha sido posible guardar el archivo ""%s"" en ""%s"""
"Unknown scope ""%s"".","Campo desconocido ""%s"""
"Unsecure","Sin seguridad"
"Use HTTP Only","Utilizar sólo HTTP"
"Use Secure URLs in Admin","Utilizar direcciones URL seguras en la administración"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","¡Atención! No se recomienda habilitar esta función en un entorno de producción ya que representa un potencial riesgo a la seguridad."
"Website","Sitio web"
"Website Name","Nombre de sitio web"
"Weekend Days","Días de semana"
"Welcome Text","Texto de bienvenida"
"Wrong number of arguments for %s","Cantidad incorrecta de argumentos para %s"
"Wrong old style column type definition: {$definition}.","Definición errónea de tipo de columna de estilo antiguo: $definition}."
"Your session has been expired, you will be relogged in now.","Su sesión ha caducado. Ahora volverá a iniciar."
"Miscellaneous Scripts","Miscelánea Scripts"
"Model collection resource name is not defined.","No está definido el nombre de recurso de recopilación de modelos."
"Module ""%1$s"" requires module ""%2$s"".","El módulo ""%1$s"" requiere del módulo ""%2$s""."
"Name","Nombre"
"New Store","Nueva tienda"
"New Website","Nuevo sitio web"
"No","No"
"Offloader header","Encabezado del descargador"
"Package","Paquete"
"Pagination Frame","Marco de paginación"
"Pagination Frame Skip","Omisión de marco de paginación"
"Parent directory does not exist: %s","El directorio padre no existe: %s"
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","La ruta ""%value%"" no puede incluir accesos de ejecución transversal (""../"", ""..\)."""
"Please choose to register or to checkout as a guest","Elija si desea registrarse o terminar la compra como invitado"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Introduzca 6 o más caracteres. Se ignorarán los espacios antes o después."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor, introduzca 7 o más caracteres. La contraseña tiene que contener tanto caracteres numéricos como alfabéticos."
"Please enter a number 0 or greater in this field.","Por favor, introduzca un número 0 o superior en este campo."
"Please enter a valid $ amount. For example $100.00.","Ingrese un monto válido en $. Por ejemplo: $100.00."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor, introduzca una URL válida. Es necesario el protocolo (http://, https:// or ftp://)"
"Please enter a valid credit card verification number.","Introduzca un número correcto de verificación de tarjeta de crédito."
"Please enter a valid date equal to or greater than %s","Por favor, introduzca una fecha válida igual o superior a %s"
"Please enter a valid date.","Ingrese una fecha válida."
"Please enter a valid email address. For example johndoe@domain.com.","Ingrese una dirección de correo electrónico válida. Por ejemplo: juanperez@dominio.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de fax válido. Por ejemplo (123) 456-7890 o 123-456-7890."
"Please enter a valid number in this field.","Ingrese un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ingrese un número de teléfono válido. Por ejemplo: (123) 456-7890 o 123-456-7890."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Ingrese un código postal válido. Por ejemplo: 90602 o 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor, introduzca un número de emisión o fecha de inicio para el tipo de tarjeta switch/solo."
"Please enter valid password.","Ingrese una contraseña válida."
"Please make sure your passwords match.","Asegúrese de que sus contraseñas coincidan."
"Please select State/Province.","Seleccione un estado o provincia."
"Please specify either a category or a product, or both.","Especifique una categoría, un producto o ambos."
"Please use letters only (a-z or A-Z) in this field.","Utilice sólo letras (a-z o A-Z) en este campo."
"Please use letters only (a-z) in this field.","Utilice sólo letras (a-z) en este campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","En este campo sólo se pueden escribir números. Evite los espacios en blanco u otros caracteres, como los puntos o las comas, por ejemplo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Utilice sólo letras (a-z o A-Z), números (0-9) o guiones bajos (_) en este campo. El primer caracter debe ser una letra."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilice sólo letras (a-z) o números (0-9), o espacios y números en este campo."
"Please use only visible characters and spaces.","Por favor, utilice solo caracteres visibles y espacios."
"Request Path for Specified Store","Solicitar ruta para la tienda especificada"
"Requested invalid store ""%s""","Solicitada tienda ""%s"" no válida"
"Return-Path Email","Correo electrónico de ruta de retorno"
"Save","Guardar"
"Save Store","Guardar tienda"
"Save Store View","Guardar vista de tienda"
"Search Engines Optimization","Optimización de motores de búsqueda"
"Secure","Seguro"
"Select Date","Seleccione fecha"
"Sender Name","Nombre del Remitente"
"Services","Servicios"
"Session Lifetime (seconds)","Duración de la sesión (en segundos)"
"Set as Default","Establecer por defecto"
"Skin (Images / CSS)","Apariencia (Imágenes / CSS)"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Señalar fecha/hora ""%1$s"" no coincide con el formato ""%2$s""."
"Start date cannot be greater than end date.","La fecha de inicio no puede ser mayor que la fecha final"
"Store","Tienda"
"Store Information","Almacenar información"
"Store Name","Nombre de la Tienda"
"Store View Name","Ver Nombre de la Tienda"
"Store with the same code","Tienda con el mismo código"
"Template Path Hints","Ayuda de ruta de plantilla"
"Template Variables","Variables de plantilla"
"Templates","Plantillas"
"Text length does not satisfy specified text range.","La longitud del texto no satisface el rango de texto señalado"
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","El código de tienda sólo puede contener letras (a-z), números (0-9) o guiones bajos (_). El primer caracter debe ser una letra"
"The store has been deleted.","La tienda se ha eliminado."
"The store view has been deleted.","La vista de tienda se ha eliminado."
"The template Name must not be empty.","El nombre de plantilla no debe quedar vacío."
"The website has been saved.","El sitio web se guardó."
"This category and all its child elements","Esta categoría y sus elementos secundarios"
"This is a required field.","Este es un campo obligatorio."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"Unable to delete store view. Please, try again later.","No se puede eliminar la vista de tienda. Vuelva a intentarlo más tarde."
"Unable to delete website. Please, try again later.","No se puede eliminar el sitio web. Vuelva a intentarlo más tarde."
"Unable to proceed. Please, try again","No se puede continuar. Vuelva a intentarlo."
"Unable to proceed. Please, try again.","Imposible realizar la operación. Inténtalo de nuevo."
"Unable to save file: %s","No ha sido posible guardar el archivo: %s"
"Unknown old style column type definition: {$definition}.","Definición de tipo de columna de estilo antiguo desconocida: {$definition}."
"Url Options","Opciones de dirección URL"
"Use Custom Admin Path","Usar ruta de acceso de administrador personalizada"
"Use SID on Frontend","Utilizar SID en la interfaz del cliente"
"Use Secure URLs in Frontend","Utilizar direcciones URL seguras en la interfaz del cliente"
"Use Web Server Rewrites","Utilizar reescrituras de servidor web"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validation has failed.","Falló la validación."
"Values less than 60 are ignored. Note that changes will apply after logout.","Los valores menores a 60 se ignoran. Tenga en cuenta que los cambios se aplican después de cerrar sesión."
"Variable Code must be unique.","El código de variable debe ser único."
"Web","Web"
"Website Information","Información del sitio web"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","El código de sitio web sólo puede contener letras (a-z), números (0-9) o guiones bajos (_). El primer caracter debe ser una letra"
"Website with the same code","Sitio web con el mismo código"
"Wrong file info format","Formato de información del archivo incorrecto"
"Yes","Sí"
"You will have to log in after you save your custom admin path.","Tendrás que iniciar sesión después de guardar tu ruta de acceso de administrador personalizada."
"Your design change for the specified store intersects with another one, please specify another date range.","Su cambio de diseño para la tienda especificada se superpone con otro. Especifique otro rango de fecha."
"Your order cannot be completed at this time as there is no payment methods available for it.","El pedido no puede completarse en este momento, porque no hay métodos de pago disponibles."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","El pedido no puede completarse en este momento porque no hay métodos de pago disponibles."
"database ""%s""","base de datos ""%s"""
