"# of Use","# de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"Category move operation is not possible: the new parent category was not found.","No es posible la operación de mover Categoría: no se ha encontrado una nueva categoría de origen."
"Category must be an instance of Mage_Catalog_Model_Category.","La Categoría debe ser una instancia de Mage_Catálogo_Modelo_Categoría."
"Center","Centro"
"Change","Cambio"
"Change or Retrieve attribute store view","Cambiar o Recuperar la caracterísitica de vista de tienda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Comprueba los productos para añadir al carro o."
"Choose an Option...","Elegir una Opción..."
"Clear All","Limpiar Todo"
"Click for price","Clic para precio"
"Click to see price","Clic para ver el precio"
"Close Window","Cerrar Ventana"
"Collapse All","Desplegar Todo"
"Comma-separated.","Separados por comas."
"Comparable","Comparable"
"Comparable on Front-end","Comparable en el Panel Frontal"
"Comparable on the Frontend","Comparable en el Panel Frontal"
"Compare","Comparar"
"Compare Products","Comparar Productos"
"Conditions Combination","Combinación de condiciones"
"Configurable Product","Producto Configurable"
"Configurable Product Settings","Parametrización de Producto Configurable"
"Configure Product","Configurar Producto"
"Continue","Continuar"
"Copy From Configurable","Copiar desde Configurable"
"Country/State","País/Estado"
"Create","Crear."
"Create (Upload)","Crear (Cargar)"
"Create Empty","Crear Vacío"
"Create Permanent Redirect for old URL","Crear Redirección Permanente para la antigua URL"
"Create Permanent Redirect for old URLs if Url Key Changed","Crear Redirección Permanente para las antiguas URL si ha cambiado la clave de URL"
"Create Product Settings","Crear Configuración de Producto"
"Create Simple Associated Product","Crear Producto Asociado Simple"
"Create new category","Crear nueva categoría"
"Create new product","Crear nuevo producto"
"Cross-sells","Ventas cruzadas."
"Currently Shopping by:","Actualmente Comprando en:"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones Personalizadas"
"Customer Group","Grupo de Clientes"
"Customers Reviews","Revisiones Personalizadas"
"Customers Tagged Product","Producto Etiquetado de Clientes"
"Data Type for Saving in Database","Tipo de Datos a Guardar en la Base de Datos"
"Date & Time Custom Options","Opciones Personalizadas de Fecha y Hora"
"Date Fields Order","Pedido de Campos de Fecha"
"Date Subscribed","Fecha suscrita"
"Datetime","Fecha"
"Decimal","Decimal"
"Declare attribute value saving scope","Declarar alcance de grabación de valor de atributo"
"Default ""What's This"" Text Message","Mensaje de Texto ""Qué es esto"" por defecto"
"Default Popup Text Message","Mensaje de Texto Emergente por Defecto"
"Default Price","Precio por Defecto"
"Default Price Navigation Step","Paso de Navegación de Precio por Defecto"
"Default Qty","Cantidad por Defecto"
"Default Values","Valores por Defecto"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define el ámbito de la divisa base (""Configuración de Divisas"" > ""Opciones de Divisas"" > ""Divisa Base"")."
"Delete","Eliminar"
"Delete Attribute","Borrar Atributo"
"Delete Attribute Set","Establecer Atributo de Borrado"
"Delete Category","Borrar categoría"
"Delete Option","Borrar Opción"
"Delete Row","Borrar Fila"
"Delete Search","Borrar Búsqueda"
"Delete Selected Group","Borrar Grupo Seleccionado"
"Delete category","Eliminar categoría"
"Delete product","Borrar producto"
"Depends on design theme","Depende del tema de diseño"
"Design","Diseño"
"Details","Detalles"
"Disabled","Deshabilitado"
"Disallowed file type.","Tipo de archivo no permitido"
"Display Actual Price","Mostrar Precio Actual"
"Display in Suggested Terms","Mostrar Cláusulas Sugeridas"
"Double click on a group to rename it","Pinchar dos veces en un grupo para renombrarlo"
"Double click on above image to view full picture","Pinchar dos veces en la imagen superior para verla completa"
"Downloadable Information","Información Descargable"
"Duplicate","Duplicar"
"Duplicate amount found.","Cantidad duplicada encontrada"
"Duplicate website tier price customer group and quantity.","Precio de hilo de página web duplicada, grupo de cliente y cantidad."
"Duplicate website, country and state tax found.","Encontrados página web duplicada, impuesto de país y estado"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P. ej. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Rendimiento de catálogo de impactos de análisis de directivas dinámicas."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar el conjunto de características ""%s"""
"Edit Product Attribute","Editar característica de producto"
"Edit Product Attribute ""%s""","Editar Atributo ""%s"" de Producto"
"Edit Search","Editar búsqueda"
"Edit Search '%s'","Editar búsqueda ""%s"""
"Edit Set Name","Editar nombre del conjunto"
"Email","Correo electrónico"
"Email to a Friend","Escribir un Email a un amigo"
"Empty","Vacío(a)"
"Enable MAP","Activar MAP"
"Enable Qty Increments","Posibilitar Incrementos de Cantidad"
"Enable WYSIWYG","Permitir WYSIWYG"
"Enabled","Habilitado"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de opción: %s"
"Exclude","Excluir"
"Expand All","Expandir todo"
"Failed","Ha fallado"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Error al copiar el archivo %s. Por favor, elimina los medios con imágenes no existentes e inténtalo de nuevo."
"Failed to move file: %s","Fallo al mover el archivo: %s"
"Feature Products","Presentar productos"
"Field is not complete","No se ha completado el campo"
"File options format is not valid.","El formato de opciones de archivo no es válido."
"File upload failed","Fallo al cargar el archivo"
"Filter model name must be declared.","Debe indicarse el nombre del modelo de filtro."
"Filter must be an object. Please set correct filter.","El filtro debe ser un objeto. Por favor, establecer el filtro correcto."
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For internal use.","Para uso interno."
"Frontend","Entrada"
"Frontend Model","Modelo de entrada"
"Frontend Properties","Propiedades del frontend"
"Gallery","Galería"
"General Information","Información general"
"Get special price","Consiga un precio especial"
"Global","Global"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Grouped Product","Producto agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Si se deja en blanco, se usará el Nombre de Categoría"
"If empty, the Product Name will be used","Si se deja en blanco, se usará el Nombre de Producto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si usted no especifica un valor de opción para una vista de tienda concreta, entonces se usará el valor por defecto (Admin)."
"Image","Imagen"
"Image content is not valid base64 data.","El contenido de imagen no es un dato base64 válido."
"Image does not exist.","La imagen no existe."
"Image file was not found.","No se encontró el archivo de imagen."
"Image type and information need to be specified for each store view.","Se necesita especificar el tipo de imagen y la información para cada vista de tienda"
"In Cart","Carrito"
"In Stock","En stock"
"In stock","En existencias"
"Incl. Tax","Impuestos incluidos"
"Index product and categories URL rewrites","Indexar las nuevas versiones de las URL de productos y categorías"
"Index product attributes for layered navigation building","Indexar las características de producto para construir una navegación en capas"
"Index product prices","Indexar los precios de productos"
"Indexed category/products association","Asociación categoría/productos indexada"
"Info Column Options Wrapper","Wrapper de opciones de columna de información"
"Input Type","Introducir tipo"
"Integer","Entero"
"Invalid Tier Prices","Precios de capa no válidos"
"Invalid attribute %s","Atributo %s inválido"
"Invalid attribute set specified, skipping the record.","Se especificó un conjunto de atributos no válido. Se omitirá el registro."
"Invalid category.","Categoría no válida."
"Invalid image file type.","Tipo de imagen no válido."
"Invalid image type.","Tipo de imagen no válido."
"Invalid option ID specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá el registro."
"Invalid product type specified, skipping the record.","Se especificó un tipo de producto no válido. Se omitirá el registro."
"Invalid store specified","Se especificó una tienda no válida"
"Invalid store specified, skipping the record.","Se especificó una tienda no válida. Se omitirá el registro."
"Inventory","Inventario"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desee ver en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda correspondiente."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Los artículos que no desee ver en el catálogo o en los resultados de búsqueda deben tener el estado 'Desactivado' en la tienda correspondiente."
"Last Name","Apellido"
"Last Notification","Última notificación"
"Layered Navigation","Navegación en capas"
"Learn More","Más información"
"Line %d, Email: %s","Línea %d, correo electrónico: %s"
"Link product does not exist.","El producto de enlace no existe."
"Link to a Specified Category","Enlace a una categoría específica"
"Link to a Specified Product","Enlace a un producto especificado"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de productos marcados como nuevos"
"Manage Attributes","Administrar atributos"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Manage Options (values of your attribute)","Administrar opciones (valores del atributo)"
"Manage Product Attributes","Administrar atributos del producto"
"Manage Product Sets","Administrar conjuntos de productos"
"Manage Stock","Gestionar Existencias"
"Manage Titles (Size, Color, etc.)","Administrar títulos (tamaño, color, etc.)"
"Maximal Depth","Profundidad Máxima"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en el Carro de la Compra"
"Maximum image height","Altura máxima de imagen"
"Maximum image width","Ancho máximo de imagen"
"Maximum number of characters:","Cantidad máxima de caracteres"
"Media Image","Imagen multimedia"
"Minimum Lines per Page","Cant. máxima de líneas por página"
"Minimum Qty for Item\'s Status to be Out of Stock","Cant. mínima para que el estado del artículo pase a ""Sin inventario"""
"Name in %s","Nombre en %s"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo de producto"
"New Products","Nuevos productos"
"New Products Grid Template","Plantilla de cuadrícula de nuevos productos"
"New Set Name","Nuevo nombre de conjunto"
"No","No"
"No image","Sin imagen"
"No layout updates","No hay actualizaciones de"
"No options of this product are available.","No hay opciones disponibles de este producto"
"No product collections found.","No se encontraron colecciones de productos."
"None","Nada"
"Not Visible Individually","No son visibles de forma individual"
"OK","Aceptar"
"Old Price:","Precio anterior:"
"Option validation failed to add product to cart.","La validación de opción no pudo agregar el producto al carrito."
"Option:","Opción:"
"PM","PM"
"Page Title Separator","Separador de título de página"
"Percentage","Porcentaje"
"Please click on the Close Window button if it is not closed automatically.","Haga clic en el botón Cerrar ventana si no se cierra automáticamente."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Por favor, actualiza ""Reescrituras de URL de Catálogo"" y ""Atributos de Producto"" en Sistema -> <a href=""%s"">Administración de Índice</a>"
"Please select a static block ...","Seleccione un bloque estático..."
"Please select items.","Seleccione artículos."
"Please select one or more attributes.","Seleccione un atributo o atributos."
"Please select product(s).","Seleccione un producto o productos."
"Please select products for attributes update","Seleccione los productos para la actualización de atributos"
"Please set up merge date/time","Configure la fecha/hora de la combinación"
"Please set up merge date/time later then present date","Configure una fecha/hora posterior a la actual para la combinación"
"Please specify date required option(s).","Especifique las opciones obligatorias de la fecha."
"Please specify the product required option(s)","Especifique las opciones obligatorias del producto"
"Please specify the product required option(s).","Especifique las opciones obligatorias del producto."
"Please specify the quantity of product(s).","Especifique la cantidad del producto."
"Please specify time required option(s).","Especifique las opciones obligatorias de la hora."
"Position of attribute in layered navigation block","Posición de atributo en el bloque de navegación en capas"
"Price","Precio"
"Price Type","Tipo de Precio"
"Price values for options should be specified in system base currency.","Los valores de precio de las opciones deben especificarse en la moneda básica del sistema."
"Price:","Precio:"
"Print This Page","Imprimir esta página"
"Product API","API de Producto"
"Product Attribute","Atributos del producto"
"Product Attributes","Atributos del producto"
"Product Extra Info","Información Extra del Producto"
"Product ID","ID de Producto"
"Product Images API","API de Imágenes de Producto"
"Product In Websites","Producto en Sitios Web"
"Product Information","Información de Producto"
"Product Link Block Template","Plantilla de Bloque de Vínculo de Producto"
"Product Link Inline Template","Plantilla En Línea de Vínculo de Producto"
"Product Name","Nombre de Producto"
"Product Prices","Precios de Producto"
"Product Tags","Etiqueta de Producto"
"Product Tier Price API","API de Precio de Nivel de Producto"
"Product View Extra Hint","Sugerencia Adicional de Vista de Producto"
"Product attributes API","API de atributos de producto"
"Product is not loaded","El producto no se ha cargado"
"Product name","Nombre de producto"
"Product with this combination of attributes already associated to configurable.","El producto con esta combinación de atributos ya ha sido asociado a configurables."
"Products Comparison List","Lista de Comparación de Productos"
"Products Information","Información de Productos"
"Products Reviews","Opiniones de Productos"
"Products Sitemap","Mapa del Sitio de Productos"
"Products per Page on Grid Allowed Values","Productos por Página en Valores Permitidos por la Cuadrícula"
"Products per Page on List Default Value","Productos por Página en Valor Predeterminado de la Lista"
"Qty","Cantidad"
"Quantity","Cantidad"
"Quick Create","Creación Rápida"
"Quick simple product creation","Creación simple de producto rápida"
"Records for ""","Registro para """
"Redirect","Redirigir"
"Regular Price:","Precio Habitual:"
"Remove Product From Websites","Eliminar el Producto de los sitios de Internet"
"Remove This Item","Eliminar Este Artículo"
"Remove product image","Eliminar la imagen del producto"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Results","Resultados"
"Retrieve categories tree","Recuperar el árbol de categorías"
"Retrieve category attributes","Recuperar los atributos de categorías"
"Retrieve category data","Recuperar los datos de categorías"
"Retrieve hierarchical tree","Recuperar el árbol jerárquico"
"Retrieve list of assigned products","Recuperar la lista de productos asignados"
"Retrieve product attribute sets","Recuperar ajustes de atributo de producto"
"Retrieve product image","Recuperar imagen del producto"
"Retrieve product link type attributes","Recuperar atributos de tipo de enlace de producto"
"Retrieve product link types","Recuperar tipos de enlace de producto"
"Retrieve product types","Recuperar tipos de producto"
"Retrieve products list by filters","Recuperar lista de productos por medio de filtros"
"Reviews","Reseñas"
"Root","Raíz"
"SKU length should be %s characters maximum.","La longitud de SKU debe ser de un máximo de % carácteres."
"Save Attribute","Guardar Atributo"
"Save Category","Guardar Categoría"
"Save and Continue Edit","Guardar y continuar editando"
"Saved %d record(s)","Registro(s) %d Guardado(s)"
"Scope","Análisis"
"Scope must not be changed, because the attribute is used in configurable products.","No se puede cambiar el ámbito de aplicación, dado que el atributo se utiliza en productos configurables."
"Search","Buscar"
"Search Engine Optimizations","Optimizaciones de motor de búsqueda"
"Search Information","Información de búsqueda"
"Searchable","Puede buscarse"
"Select Category...","Seleccionar categoría..."
"Select Configurable Attributes ","Seleccionar atributos configurables"
"Select type of option","Seleccionar tipo de opción"
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Selected configuration is not available.","La configuración seleccionada no está disponible."
"Set Root Category for Store","Establecer categoría raíz para la tienda"
"Set special price","Establecer precio especial"
"Settings","Configuración"
"Shop By","Comprar por"
"Show Tags","Mostrar etiquetas"
"Site Map","Mapa de sitio"
"Skip import row, required field ""%s"" for the new customer is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" para el nuevo cliente no está definido."
"Skipping import row, required field ""%s"" is not defined.","Omitir la fila de importación, el campo obligatorio ""%s"" no está definido."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Algunos de los productos a continuación no tienen todas las opciones necesarias. Por favor, edítalos y configura todas las opciones necesarias."
"Sort By","Ordenar por"
"Source Model","Modelo de origen"
"Special Expires On: %s","Especial Expira en: %s"
"Special Price: %s","Precio especial: %"
"Static block and products","Bloque y productos estáticos"
"Static block only","Sólo bloque estático"
"Status","Estado"
"Stock Availability","Disponibilidad de inventario"
"Store View","Ver Tienda"
"Subscribe to RSS Feed","Suscribirse a la fuente RSS"
"Synonym For","Sinónimo para"
"Tag Name","Nombre de la etiqueta"
"Template","Plantilla"
"Text","Texto"
"The attribute model is not defined","El modelo de atributo no está definido"
"The attribute set has been saved.","Se guardó el conjunto de atributos."
"The category has been deleted.","Se eliminó la categoría."
"The filters must be an array.","Los filtros deben ser una disposición."
"The image contents is not valid base64 data.","La imagen no contiene datos base 64 válidos."
"The image is not specified.","No se especificó la imagen."
"The product %s has been added to comparison list.","Se agregó el producto %s a la lista de comparación."
"The product attribute has been deleted.","Se eliminó el atributo de producto."
"The product attribute has been saved.","Se guardó el atributo de producto."
"The product has been deleted.","Se eliminó el producto."
"The product has been duplicated.","Se duplicó el producto."
"The product has been saved.","Se guardó el producto."
"The review has been deleted","Se eliminó la reseña"
"The review has been saved.","Se guardó la reseña."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"The search was deleted.","Se eliminó la búsqueda."
"The text is too long","El texto es demasiado largo."
"There are no %s available.","No hay %s disponibles."
"There are no customers for this alert.","No hay clientes para esta alerta."
"There are no products matching the selection.","No hay productos que coincidan con la selección."
"There was an error while request processing.","Ocurrió un error al procesar la petición."
"This Attribute no longer exists","Este atributo ya no existe"
"This attribute cannot be deleted.","No puede eliminarse este atributo."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en productos configurables. No es posible eliminarlo del conjunto de atributos."
"This is a required option","Esta opción es obligatoria"
"This search no longer exists.","Esta búsqueda ya no existe."
"Tier Pricing","Asignación de precios en capas"
"Time Format","Formato de hora"
"To reindex the enabled product(s), the store or product must be specified","Para reindexar el producto(s) activado(s), se ha de especificar la tienda o el producto"
"Top/Left","Superior/izquierda"
"Total Qty Base Items","Cant. total de artículos básicos"
"Total incl. Tax: %1$s","Total con imp. incluidos: %1$s"
"URL Rewrite Management","Administración de reescritura de direcciones URL"
"Unable to complete this request.","No se puede completar esta solicitud."
"Unable to find a search term to delete.","No se puede encontrar un término de búsqueda para eliminar."
"Unable to get the product ID.","No se puede obtener el ID del producto."
"Unknown attribute: %s.","Atributo desconocido: %s."
"Up-sells","Ventas Sugestivas"
"Update","Actualización"
"Update Tier Price","Actualizar precio de capa"
"Update attributes","Actualizar atributos"
"Update category","Actualizar categoría"
"Update product","Actualizar producto"
"Upload new product image ","Cargar nueva imagen de producto"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de productos"
"Use Default Value","Utilizar Valor por Defecto"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar producto de catálogo plano"
"Use In Layered Navigation","Utilizar en navegación en capas"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use To Create Configurable Product","Utilizar para crear producto configurable"
"Use Tree Like Category Sitemap","Utilizar mapa de sitio con categorías jerárquicas"
"Use config","Usar configuración"
"Use four-digit year format.","Utilizar formato de año de cuatro dígitos."
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizar en navegación en capas<br/>(Puede utilizarse sólo con el tipo de entrada de catálogo 'Lista desplegable')"
"Used in Product Listing","Se utiliza en las listas de productos"
"Value for ""%s"" is invalid: %s","Valor para ""%"" no es válido: %"
"Varchar","Varchar"
"Virtual Product","Producto virtual"
"Visible","Visible"
"Visible on Product View Page on Front-end","Visible en páginas de vista de productos en la vista del cliente"
