"%s %s cycle.","Ciclo %s %s."
"--Please Select--","--Seleccione--"
"Purchase Order Number: %s","Número de la orden de compra: %s"
"Recurring Profile Start Date","Fecha de Inicio del Perfil Repetitivo"
"Recurring profile start date has invalid format.","La fecha de inicio del perfil repetitivo tiene un formato no válido."
"Reference ID is not set.","No se estableció el ID de referencia."
"Refund action is not available.","Reembolso no disponible."
"Repeats %s time(s).","Se repite %s vez(veces)."
"Repeats until suspended or canceled.","Se repite hasta que se suspende o cancela"
"Request Card Security Code","Solicitar código de seguridad de la tarjeta de crédito"
"Saved CC","CC guardado"
"Schedule Description","Descripción de Programación"
"Schedule description must be not empty.","La descripción de programación no debe quedar vacía."
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Send Check to","Enviar Cheque a"
"Send Check to:","Enviar Cheque a:"
"Severe 3D Secure Card Validation","Validación estricta de tarjeta segura en 3D"
"Severe validation removes chargeback liability on merchant.","La validación estricta exime al comerciante de responsabilidad en caso de devoluciones de cargos"
"Shipping Amount","Importe del Envío"
"Short description of the recurring payment. By default equals to the product name.","Descripción corta del pago repetitivo. De forma predeterminada equivale al nombre del producto."
"Sort Order","Ordenar Pedido"
"Start Date","Fecha de Inicio"
"Start date has invalid format.","La fecha de inicio tiene un formato no válido."
"Start date is undefined.","La fecha de inicio no está definida."
"Subscriber Name","Nombre de Suscriptor"
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Fecha de Inicio de Switch/Solo/Maestro"
"Tax Amount","Importe de Impuestos"
"Test Mode","Modo de prueba"
"The date when billing for the profile begins.","La fecha de inicio de la facturación para el perfil"
"The number of billing cycles for payment period.","El número de ciclos de facturación por período de pago."
"The number of scheduled payments that can fail before the profile is automatically suspended.","El número de pagos programados que pueden fallar antes de que se suspenda automáticamente el perfil."
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"Title","Título"
"Trial Billing Amount","Importe de Facturación de Prueba"
"Trial Billing Frequency","Frecuencia de Facturación de Prueba"
"Trial Billing Period Unit","Unidad del Período de Facturación de Prueba"
"Trial Period","Período de Prueba"
"Trial billing amount is wrong.","El importe de facturación de prueba es incorrecto."
"Trial billing period unit is wrong.","La unidad del período de facturación de prueba es incorrecta."
"Trial period frequency is wrong.","La frecuencia del período de prueba es incorrecta."
"Trial period max cycles is wrong.","Los ciclos máximos del período de prueba son incorrectos."
"Two Weeks","Dos Semanas"
"Unable to save Billing Agreement:","No se puede guardar el Contrato de Facturación:"
"Unit for billing during the subscription period.","Unidad de facturación durante el período de suscripción."
"Unsupported currency code: %s.","Código de divisa no compatible: %s."
"Void action is not available.","La anulación no se encuentra disponible."
"Week","Semana"
"What is this?","¿Qué es esto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Opción de suspender el perfil de pago si falla el pago inicial o de agregarlo al saldo pendiente."
"Wrong %s specified.","Se especificó un/a %s incorrecto/a."
"Wrong or empty billing amount specified.","Se especificó un importe de facturación incorrecto o vacío."
"Year","Año"
"Zero Subtotal Checkout","El Subtotal de la Caja es Cero"
