"-OR-","-oder-"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Fügen Sie  ihrem vorhandenen Warenkorb eine Express-Checkout-Taste hinzu, um schnell und einfach per Kreditkarte zu bezahlen. PayPal übernimmt alle Zahlungsabwicklungen."
"Additional Options","Zusätzliche Optionen"
"Address","Adresse"
"Address Verification System Response","Adressen Prüfsystem Rückmeldung"
"All the address information matched","Alle Adressdaten stimmen überein"
"Allow in Billing Agreement Wizard","Assistent für die Rechnungsvereinbarung wird zugelassen"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Erlaubte Werte: ""paypal"", ""primary"" (Standard), ihr_eigener_wert (ein benutzerdefinierter Stil für Ihre Zahlungsseite, den Sie in Ihrem Händlerkonto-Profil festgelegt haben)."
"Allowed Credit Card Types","Zulässige Kreditkarten"
"Also affects mini-shopping cart.","Wirkt sich auch auf den Mini-Warenkorb aus."
"Ask Customer","Beim Kunden anfragen"
"Attempted Authentication, Bad Result","Versuchte Authentifizierung, falsches Ergebnis"
"Attempted Authentication, Good Result","Versuchte Authentifizierung, richtiges Ergebnis"
"Auction Payment other than through eBay","Eine andere Auktionszahlung als über eBay"
"Authenticated, Bad Result","Authentifiziert, falsches Ergebnis"
"Authenticated, Good Result","Authentifiziert, richtiges Ergebnis"
"Authorization","Bewilligung"
"Authorization Honor Period (days)","Autorisation Ehrenzeitraum (Tage)"
"Authorization expired.","Genehmigung abgelaufen"
"Authorization transaction is required to void.","Genehmigungs-Transaktion zur Aufhebung erforderlich"
"Authorization was voided by merchant.","Genehmigung wurde vom Händler für ungültig erklärt"
"Authorized amount of %s.","Autorisierte Menge der %s"
"Authorizing amount of %s is pending approval on gateway.","Autorisation der Anzahl der %s wartet auf die Zulassung."
"Auto","Automatisch"
"AutoSweep","Selbstdurchlauf"
"Available Balance","Verfügbares Guthaben"
"Balance Manager Account Bonus","Guthaben-Manager Kontobonus"
"Billing Address","Rechnungsadresse"
"Billing Agreement Signup ","Anmeldung zur Rechnungsvereinbarung"
"Bonus for first ACH Use","Bonus für erste ACH-Benutzung"
"Buyer Credit Payment","Käuferkredit Zahlung"
"Buyer\'s Tax ID","Steuernummer des Käufers"
"Buyer\'s Tax ID Type","Art der Steuernummer des Käufers"
"By default it is ""reports.paypal.com"".","Standardmäßige Einstellung ist ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Prüfergebnis durch PayPal"
"Can not send new order email.","Kann keine neue Bestellungs-E-Mail senden."
"Cannot create target file for reading reports.","Zieldatei zum Lesen der Berichte kann nicht erstellt werden."
"Centinel API URL","Centinel Api URL"
"Centinel Custom API URL","Centinel Custom API-URL"
"Charge-off","abbuchen"
"Chargeback","Rücklastschrift"
"Chargeback by customer.","Rücklastschrift durch Kunde"
"Checkout with PayPal","Mit PayPal abmelden"
"City","Stadt"
"Click here if you are not redirected within 10 seconds...","Klicken Sie hier, wenn Sie nicht innerhalb von 10 Sekunden weitergeleitet werden..."
"Company","Unternehmen"
"Completion Date","Fertigstellungsdatum"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Verbindung zum PayPal SFTP Server um neue Berichte zu holen, wird erstellt. Sind Sie sicher, dass sie fortfahren wollen?"
"Countries Payment Applicable From","Länder Zahlungen gültig ab"
"Country","Land"
"Coupon Redemption","Coupon-Einlösung"
"Credit","Guthaben"
"Credit Card Settings","Kreditkarten-Einstellung"
"Currency Conversion required to cover negative balance","Währungsumrechnung erforderlich, um negatives Saldo zu decken"
"Custom","Kundenspezifisch"
"Custom Endpoint Hostname or IP-Address","Benutzerdefinierter Endpoint Hostname oder IP-Adresse"
"Custom Path","Benutzerdefinierter Pfad"
"Customer Information","Kundeninformation"
"Customer complaint.","Kunden-Reklamation"
"Customer did not include a confirmed address.","Kunde hat keine bestätigte Adresse angegeben"
"Customer failed to pay.","Kunde hat nicht bezahlt."
"Customer triggered a money-back guarantee.","Kunde rief eine Geld-zurück-Garantie ab."
"Customer used non-confirmed address.","Kunde benutzte eine nicht bestätigte Adresse."
"Daily","Täglich"
"Debit","Soll"
"Debit Card Cash Back","Debitkarte Cash Back"
"Debit Card Transaction","Debitkarte Überweisung"
"Debit or Credit","Soll oder Haben"
"Debug Mode","Debug Modus"
"Direct Payment API","Direktzahlung API"
"Discount","Rabatt"
"Display Express Checkout in the Payment Information step","Anzeige der Express-Kaufabwicklung im Schritt Zahlungsinformationen"
"Displays on catalog pages and homepage.","Anzeige auf Katalogseiten und auf der Homepage."
"Don't have a PayPal account? Simply enter your email address.","Sie haben noch kein PayPal-Konto? Tragen Sie einfach Ihre Email-Adresse ein."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Sie haben noch kein PayPal Händler-Konto? Über Payflow Gateway können Sie doch Kreditkartenzahlungen annehmen."
"Dynamic","Dynamisch"
"EFT Funding (German banking)","EFT Finanzierung (Deutsches Banksystem)"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Email Address","E-Mail-Adresse"
"Email Associated with PayPal Merchant Account","Email ist mit PayPal Händler-Konto verknüpft"
"Enable Automatic Fetching","Automatische Abholung aktivieren"
"Enable PayPal Guest Checkout","PayPal Gast-Abmeldung aktivieren"
"Enabled","Aktiviert"
"Event","Vorgang"
"Event Code","Vorgang-Schlüssel"
"Every 10 days","alle 10 Tage"
"Every 14 days","alle 14 Tage"
"Every 3 days","alle 3 Tage"
"Every 30 days","alle 30 Tage"
"Every 40 days","alle 40 Tage"
"Every 7 days","alle 7 Tage"
"Exact Match. Address and Postal Code. International","Genaue Übereinstimmung. Adresse und Postleitzahl. International"
"Exact Match. Address and Postal Code. UK-specific","Genaue Übereinstimmung. Adresse und Postleitzahl. GB-spezifisch"
"Exact Match. Address and nine-digit ZIP code","Genaue Übereinstimmung. Adresse und neunstellige Postleitzahl"
"Explanation: %s.","Erläuterung: %s"
"Express Checkout","Express Kaufabwicklung"
"Express Checkout (Payflow Edition) Settings","Express Kaufabwicklung (Payflow Edition) Einstellungen"
"Express Checkout APIs","Express Kaufabwicklung APIs"
"Express Checkout Settings","Express Kaufabwicklung Einstellungen"
"Express Checkout and Order have been canceled.","Express-Checkout und Bestellung wurden storniert."
"Express Checkout has been canceled.","Express-Checkout storniert."
"Failed to fetch reports from '%s@%s'.","Abholung der Berichte von '%s@%s' fehlgeschlagen."
"Fax","Fax"
"Fee Amount","Gebühr Betrag"
"Fee Debit or Credit","Gebühr Soll oder Haben"
"Fee Reversal","Gebühr: ACH Auslands-Abhebung[caution! - this translation is for job#55147 and vice versa. sorry]"
"Fee: Foreign ACH Withdrawal","Gebühr Storno"
"Fee: Mass Pay Request","Gebühr: Anforderung Sammelzahlung"
"Fee: Web Site Payments Pro Account Monthly","Gebühr: monatliche Zahlungen der Webseite für Konto"
"Fee: WorldLink Check Withdrawal","Gebühr: WorldLink Scheckauszahlung"
"Fetch","Holen"
"Fetch Updates","Aktualisierungen herunterladen"
"Fetched %s report rows from '%s@%s'.","erfasste %s Berichtszeilen von ´%s@%s'."
"For Virtual Quotes Only","Nur für virtuelle Angebote"
"Frontend Experience Settings","Frontend Experience Einstellungen"
"Funding","Finanzierung"
"General (Authorization)","Allgemein (Berechtigung)"
"General (Dividend)","Allgemein (Dividende)"
"General (Funds Transfer from PayPal Account to Another)","Allgemein (Geldtransfer von einem PayPal Konto auf ein anderes)"
"General (Purchase with a credit card)","Allgemein (Kauf mit einer Kreditkarte)"
"General Adjustment without businessrelated event","Allgemeine Einstellung ohne geschäftsbezogenen Vorgang"
"General Currency Conversion","Allgemein Währungsumrechnung"
"General Funding of PayPal Account ","Allgemein Finanzierung des PayPal Kontos"
"General Redemption","Allgemein Rückzahlung"
"General Withdrawal from PayPal Account","Allgemein Abhebung vom PayPal Konto"
"General. Product no longer supported","Allgemein. Produkt wird nicht mehr untersützt"
"General: Use of PayPal account for purchasing as well as receiving payments","Allgemein: Verwendung des PayPal Kontos für Einkauf und den Empfang von Zahlungen"
"General: Withdrawal from PayPal Account","Allgemein: Abhebung vom PayPal Konto"
"General: Withdrawal to Non-Bank Entity","Allgemein: Abhebung von Nichtbank-Finanzintermediären"
"General: adjustment of a type not belonging to the other T12xx categories","Allgemein: Einstellung eines Typs der nicht zu den anderen T12xx Kategorien gehört"
"General: bonus of a type not belonging to the other T08xx categories","Allgemein: Bonus eines Typs der nicht zu den anderen T08xx Kategorien gehört"
"General: event not yet categorized","Allgemein: noch nicht klassifiziert"
"General: non-payment fee of a type not belonging to the other T01xx categories","Gebühr für Zahlungsverweigerung eines Typs, der nicht zu den anderen T01xx Kategorien gehört"
"General: received payment of a type not belonging to the other T00xx categories","Allemein: Zahlung eines Typs erhalten, der nicht zu den anderen T00xx Kategorien gehört"
"General: reversal of a type not belonging to the other T11xx categories","Allgemein: Storno eines Typs der nicht zu den anderen T11xx Kategorien gehört"
"General: temporary hold of a type not belonging to the other T15xx categories","Allgemein: Vorübergehende Einbehaltung eines Typs, der nicht zu den anderen T15xx Kategorien gehört"
"Get Credentials from PayPal","Fordern Sie von PayPal die Anmeldeinformationen an"
"Gift Certificate Payment: purchase of Gift Certificate","Zahlung mit Geschenkgutschein: Kauf von Geschenkgutscheinen"
"Gift Certificate Redemption","Einlösung von Geschenkgutscheinen"
"Gross Amount","Bruttobetrag"
"Header Background Color","Kopfzeile Hintergrundfarbe"
"Header Border Color","Kopfzeile Farbe der Umrandung"
"Header Image URL","Kopfzeile Bild URL"
"Help","Hilfe"
"Hidden Virtual PayPal Debit Card Transaction","Verborgene virtuelle PayPal Debitkarten Überweisung"
"Hold for Dispute Investigation","Zurückgehalten wegen Disput Überprüfung"
"IPN ""%s"".","IPN ""%s""."
"IPN verification ""%s"".","IPN-Verifizierung ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Wenn leer wird ein Standardwert verwendet. Individuelle URL kann durch CardinalCommerce Vereinbarung ausgegeben werden"
"If not specified, Default Country from General Config will be used","Wenn nicht angegeben, wird das Land, welches in der General Config vorgegeben ist (Default), verwendet."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Wenn diese Option aktiviert ist, kann der Kunde die Versandadresse und die Versandart auf der PayPal Webseite ändern. Im Live-Modus funktioniert dies nur über das HTTPS Protokoll."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Eine Rückerstattungsüberweisung kann nicht erfolgen, da die Überweisungerfassung nicht vorhanden ist"
"Incentive","Anreiz"
"Initiation Date","Aktivierungsdatum"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Einstellungen für Integral Evolution"
"Invoice ID","Rechnungsnummer"
"Issuer Liability","Haftung des Ausstellers"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Es wird empfohlen, diesen Wert auf ""Debit- oder Kreditkarte"" zu setzen."
"It is recommended to set this value to ""PayPal"" per store views.","Es wird empfohlen, diesen Wert auf ""PayPal"" Ansicht pro Geschäft zu setzen."
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Last Correlation ID","Letzte Korrelations Identifizierung"
"Last Transaction ID","Letzte Überweisungs-Kennnummer"
"Learn More","Erfahren Sie mehr"
"Login","Einloggen"
"Looking for PayPal? We have our own tab to the left under Sales.","Suche Sie PayPal? Wir haben unsere eigene Menuetaste auf der linken Seite unter Verkauf."
"Mass Pay Payment","""Mass Pay"" Zahlungen"
"Matched (CVV2)","abgeglichen (CVV2)"
"Matched (CVV2CSC)","Übereinstimmung (CVV2CSC)"
"Matched Address only (no ZIP)","Nur übereinstimmende Adresse (keine Postleitzahl)"
"Matched Address only (no ZIP). International","Nur die Adresse stimmt überein (keine Postleitzahl). International"
"Matched Postal Code only (no Address)","Nur die Postleitzahl stimmt überein (keine Adresse)"
"Matched five-digit ZIP only (no Address)","Nur die fünfstellige Postleitzahl stimmt überein (keine Adresse)"
"Matched whole nine-didgit ZIP (no Address)","Die ganze neunstellige Postleitzahl stimmt überein (keine Adresse)"
"Merchant Account","Händler Konto"
"Merchant Country","Händler Land"
"Merchant Liability","Haftbarkeit des Händlers"
"Merchant Protection Eligibility","Händlerschutz Berechtigung"
"Merchant Referral Bonus","Händler Empfehlungsbonus"
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Das Händlerkonto hat keine Abhebungsfunktion. Der Händler muss die Zahlung manuell annehmen oder ablehnen im ""Account Overview"" (Kontoübersicht)."
"Merchant account is not verified.","Händlerkonto ist nicht verifiziert."
"Merchant denied this pending payment.","Der Händler hat diese ausstehende Zahlung verweigert."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Der Händler besitzt ein Nicht-US Konto und hat keinen Überweisungsautomatismus."
"Merchant must upgrade account to Business or Premier status.","Händler muss Konto auf Business- oder Premierstatus upgraden."
"Merchant reference ID format is not supported.","Das Format der Händler-Referenz-ID wird nicht unterstützt."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Händler müssen bei PayPal anfragen, um die Funktion ""Rechnungsvereinbarungen"" zu aktivieren. Aktivieren Sie diese Option nicht bevor PayPal bestätigt hat, dass die Rechnungsvereinbarungen für Ihr Händlerkonto aktiviert sind."
"Mobile Payment (made via a mobile phone)","Handy Zahlung (Zahlung erfolgt per Handy)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Mehrfach-Währungs-Vorgang. Der Händler muss diese Zahlung manuell aus der PayPal Kontoübersicht annehmen oder ablehnen."
"N/A","Nicht zutreffend"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse nicht geprüft oder der Käufer bekam keine Antwort. Service nicht verfügbar."
"N/A. Global Unavailable","N/A. Weltweit nicht verfügbar"
"N/A. International Unavailable","N/A. International nicht verfügbar"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Händler hat angezeigt, dasssich CVV2 nicht auf der Karte befindet."
"N/A. No response","N/A. Keine Antwort"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Nicht zutreffend.  MOTO (Internet/Telefon) Transaktionen nicht erlaubt"
"N/A. Not processed","N/A. Nicht verarbeitet"
"N/A. Retry","N/A. wiederholen"
"N/A. Service not Supported","Nicht zutreffend. Service nicht angeboten"
"N/A. Service not available","N/A. Service ist nicht verfügbar"
"N/A. Service not supported","Nicht verfügbar. Service wird nicht unterstützt."
"N/A. The merchant did not provide AVS information","Nicht zutreffend. Der Händler hat keine AVS Informationen angegeben"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Der Händler benutzt keine CVV2 Code Verarbeitung"
"N/A. Unavailable","N/A. Nicht verfügbar"
"Negative Balance","Negatives Guthaben"
"Never","Niemals"
"No","Nein"
"No Details matched","Keine Details stimmen überein"
"No Details matched. International","Keines der Details stimmt überein. International"
"No Liability Shift","Keine Haftung Wechseln"
"No Logo","Kein Logo"
"No match","Keine Übereinstimmung"
"None of the address information matched","Keine der Adress-Informationen stimmt überein"
"Note: %s","Hinweis: %s"
"Nothing to fetch because of an empty configuration.","Nichts zu holen auf Grund von leerer Konfiguration"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Beachten Sie, dass PayPal bis zu 10 Versandoptionen unterstützen kann. Magento wird daher nur die 10 günstigsten Versandoptionen übernehmen, falls es mehr als 10 Optionen gibt."
"Notified customer about creditmemo #%s.","Benachrichteter Kunde über den Kreditvermerk #%s"
"Notified customer about invoice #%s.","Benachrichteter Kunde über Rechnung #%s."
"Now accepting PayPal (150 X 40)","Wir nehmen jetzt PayPal an (150 X 40)"
"Now accepting PayPal (150 X 60)","Jetzt wird PayPal (150 X 60) angenommen"
"Number of Child Authorizations","Anzahl der Kinder-Autorisationen"
"Open Authorization","Autorisierung öffnen"
"Order","Bestellung"
"Order ID","Bestellungsidentifizierung"
"Order Valid Period (days)","Bestellung Geltungsdauer (Tage)"
"Ordered amount of %s.","Bestellte Menge von %s."
"Ordering amount of %s is pending approval on gateway.","Bestellte Menge von %s erwartet die Bestätigung vom Gateway."
"Page Background Color","Seiten Hintergrundfarbe"
"Page Style","Seitengestaltung"
"Part of the address information matched","Die Adressen-Information stimmt teilweise überein"
"Partner","Partner"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Pasarela integral Einstellungen"
"Password","Passwort"
"Pay Now","Jetzt bezahlen"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Guthaben-Managerfunktion des PayPal Kontos"
"PayPal Buyer Warranty Bonus","PayPal Käufer Garantiebonus"
"PayPal Debit Card Cash Advance","PayPal Debitkarte Barvorschuss"
"PayPal Debit Card Withdrawal from ATM","PayPal Debitkarte Abhebung von ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express-Checkout Token existiert nicht."
"PayPal Express Order Review Form","PayPal Express Ansicht Bestellformular"
"PayPal Fee Information","PayPal Gebühren-Information"
"PayPal Merchant Pages Style","PayPal Händlerseiten Design"
"PayPal Payments Advanced","Erweiterte Paypal-Zahlungen"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","PayPal Pro-Einstellungen"
"PayPal Product Logo","PayPal Produktlogo"
"PayPal Protection Bonus","PayPal Schutz Bonus"
"PayPal Reference ID","PayPal Referenz-Kennnummer"
"PayPal Reference ID Type","PayPal Referenz.Kennnummerntyp"
"PayPal Settlement Reports","PayPal Abrechnungsberichte"
"PayPal certificate does not exist.","PayPal-Zertifikat existiert nicht."
"PayPal certificate file is empty.","PayPal-Zertifikatdatei ist leer."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal unterstützt keine Verarbeitung von Bestellungen mit einem Wert von Null. Um Ihren Einkauf abzuschließen, fahren Sie bitte mit dem Standard-Checkout fort."
"PayPal gateway has rejected request. %s","PayPal gateway hat Ihre Anforderung abgewiesen. %s"
"PayPal processes all of your orders, and you get paid.","PayPal verarbeitet all Ihre Aufträge und Sie werden bezahlt."
"PayPal response hasn't required fields.","Die erforderlichen Pflichtfelder für die PayPal Antwort wurden nicht ausgefüllt."
"PayPal retains reports for 45 days.","PayPal behält Aufzeichnungen für 45 Tage."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Cenitel Electronic Commerce Indikator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Ergebnis"
"Payer Address ID","Zahler Adressen Kennummer"
"Payer Address Status","Adressenstatus des Zahlers"
"Payer Email","Zahler Email"
"Payer ID","Zahler Kennnummer"
"Payer Status","Zahler Status"
"Payer is not identified.","Zahler ist nicht identifiziert"
"Payflow Link (for USA and Canada)","Payflow Link (für USA und Kanada)"
"Payflow Link Settings","Payflow Link Einstellungen"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Einstellungen"
"Payment Action","Zahlungsaktion"
"Payment Applicable From","Zahlung zutreffend von"
"Payment Refund initiated by merchant","Rückerstattung der Zahlung durch den Händler initiiert"
"Payment has been declined. Please try again.","Zahlung wurde verweigert. Bitte versuchen Sie es erneut."
"Payment is being reviewed by PayPal for risk.","Zahlung wird durch PayPal auf Risiken überprüft"
"Payment transactions disallow storing objects.","Zahlungen beinhalten nicht das Speichern der Objekte."
"Payment was made to an email address that is not yet registered or confirmed.","Zahlung erging an eine Email-Adresse die noch nicht registriert oder bestätigt wurde."
"Payments by PayPal (150 X 40)","Zahlungen durch PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Zahlungen durch PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Kartenzahlungen + Verkäuferschutz - <strong style=""color:red"">Kontaktieren Sie PayPal vor der Aktivierung</strong>"
"Paypal Billing Agreement Settings","PayPal Rechnungsvereinbarung Einstellungen"
"Pending PayPal","PayPal ausstehend"
"Place Order","Erteilen Sie den Auftrag"
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung aufgeben."
"Please contact PayPal Customer Service.","Bitte benachrichtigen Sie den PayPal Kundenservice."
"Please do not refresh the page until you complete payment.","Bitte die Seite nicht aktualisieren, bis Sie die Zahlung abgeschlossen haben."
"Please select a shipping method...","Bitte wählen Sie eine Versandart aus..."
"Please select region, state or province","Bitte Region, Staat oder Provinz auswählen."
"Please update order data to get shipping methods and rates","Aktualisieren Sie bitte die Auftragsdaten für Versandmethoden und -tarife"
"Points Incentive Redemption","Einlösung von Loyalitätspunkten"
"Postage Payment to either USPS or UPS","Zahlung der Versandgebühr entweder an USPS oder UPS"
"Preapproved Payment (BillUser API), either sent or received","Vorausgenehmigte Bezahlung (BillUser API), entweder geschickt oder erhalten"
"Preapproved Payment ID","Vorabgenehmigte Zahlung Kennnummer"
"Price","Preis"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Nutzen Sie Kreditkarten direkt auf Ihrer Webseite mit PayPal's alles-in-einer online Zahlungsprozess-Lösung."
"Product Name","Produktname"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Anzahl"
"Reauthorization","Erneute Autorisierung"
"Reference Information","Referenz-Information"
"Refund issued by merchant.","Erstattung durch Händler erfolgt."
"Reimbursement for a chargeback.","Rückerstattung für eine Rückbuchung"
"Reimbursement of Chargeback","Rückerstattung einer Rücklastschrift"
"Report Date","Berichtsdatum"
"Reports","Berichte"
"Requested %s and configured %s merchant emails do not match.","Angeforderte %s und konfigurierte %s Emails der Händler stimmen nicht überein."
"Require CVV Entry","Kartenprüfnummer erfordern"
"Require Customer's Billing Address","Kunden-Rechnungsadresse anfordern"
"Reversal","Rückbelastung"
"Reversal of General Account Hold","Storno des Hauptkontos durchführen"
"Reversal of Points Usage","Points Rückbelastung"
"Reversal of an adjustment.","Storno einer Änderung"
"Reversal of hold for Dispute Investigation","Stornierung einer Reservierung des Kontos wegen Disput Untersuchung"
"Review Order","Auftrag überprüfen"
"Reward Voucher Redemption","Belohnungsgutschein Einlösung"
"SFTP Credentials","SFTP Anmeldedaten"
"Sale","Verkauf"
"Sales","Verkäufe"
"Same as shipping","Identisch mit Versand"
"Sandbox Credentials","Sandbox Anmeldeinformationen"
"Sandbox Mode","Sandkasten-Modus"
"Schedule","Planen"
"Schedule description is too long.","Ablaufbeschreibung ist zu lang."
"Scheduled Fetching","vorgesehenes Hochladen"
"Select a PayPal Solution","Wählen Sie eine PayPal Lösung"
"Server Error. Please try again.","Server-Fehler. Versuchen Sie es bitte erneut."
"Settlement Consolidation","Zahlung Zusammenführung"
"Settlement Report Settings","Abrechnungsbericht Einstellungen"
"Settlement of a chargeback.","Zahlung eine Rücklastschrift"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validierung"
"Severe Validation Removes Chargeback Liability on Merchant","Die bestehende strenge Absicherung entzieht den Verkäufer der Verbindlichkeit Ausgleichsbuchungen nachkommen zu müssen"
"Severe validation removes chargeback liability on merchant.","Severe Validierung entfernt Ausgleichhaftung des Händlers."
"Shipping","Lieferung"
"Shipping Address","Lieferadresse"
"Shipping Method","Lieferungsart"
"Shop now using (150 X 40)","Kaufen Sie jetzt mit (150 X 40)"
"Shop now using (150 X 60)","Kaufen Sie jetzt ein indem sie (150 X 60) nutzen"
"Shortcut","Shortcut"
"Shortcut Buttons Flavor","Kurzbefehl Schaltfläche Geschmack"
"Shortcut on Product View","Kurzbefehl zur Artikelansicht"
"Shortcut on Shopping Cart","Direktweg zum Einkaufswagen"
"Sign a billing agreement to streamline further purchases with PayPal.","Unterzeichnen sie eine Rechnungsvereinbarung, um zukünftige Käufe mit PayPal zu rationalisieren."
"Solo","Einzeln"
"Sorry, no quotes are available for this order at this time.","Es tut uns Leid, es gibt derzeit keine Preisangabe für diese Bestellung."
"Sort Order","Sortierfolge"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Spezifizierung, was die Autorisation des Ehrenzeitraumes im PayPal-Konto des Händlers ist. Dies muss den Einstellungen in PayPal entsprechen."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Spezifizierung, was die Bestellung der Geltungsdauer im PayPal-Konto des Händlers ist. Dies muss den Einstellungen in PayPal entsprechen."
"State/Province","Staat/Bezirk"
"Static","Statisch"
"Street Address","Anschrift (Straße, Hausnummer, PLZ)"
"Street Address %s","Hausanschrift %s"
"Submitting order information...","Bestellinformationen werden gesendet..."
"Subscriber name is too long.","Der Teilnehmername ist zu lang."
"Subscription ID","Bestellnummer"
"Subscription Payment, either payment sent or payment received","Abonnementzahlung, entweder geschickte Zahlung oder Zahlung erhalten"
