"# of Use","# van Gebruik"
"%1$s incl tax.","%1$s incl. BTW."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel(en)"
"%s and above","% s en meer"
"Add option","Voeg optie toe"
"Add to Cart","Aan mandje toevoegen"
"Add to Compare","Voeg toe om te Vergelijken"
"Add to Wishlist","Aan verlanglijst toevoegen"
"Additional Information","Aanvullende Informatie"
"Alert Urls","Melding Url's"
"All","Alles"
"All Product Types","Alle Product Types"
"All Websites","Alle Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze reeks zullen worden verwijderd! Weet u zeker dat u deze attributenreeks wilt verwijderen?"
"Allow All Products per Page","Sta Alle Producten per Pagina Toe"
"Allow Dynamic Media URLs in Products and Categories","Sta Dynamische Media URL's in Producten en Categorieën Toe"
"Allow HTML Tags on Frontend","Sta HTML Tags op Front-end toe"
"Allowed File Extensions","Toegestane Bestandsextensies"
"Allowed file extensions to upload","Toegestane bestandsextensies om te uploaden"
"Amount","Aantal"
"An error occurred while adding products to websites.","Er is een fout opgetreden tijdens het toevoegen van producten aan websites."
"An error occurred while clearing comparison list.","Er is een fout opgetreden tijdens het opschonen vergelijkingslijst."
"An error occurred while deleting this review.","Er is een fout opgetreden bij het verwijderen van deze recentie."
"An error occurred while removing products from websites.","Er is een fout opgetreden tijdens het verwijderen van producten van websites."
"An error occurred while saving the URL rewrite","Er is een fout opgetreden tijdens het opslaan van de URL rewrite"
"An error occurred while saving the attribute set.","Er is een fout opgetreden tijdens het opslaan van de attribuut set."
"An error occurred while saving the collection, aborting. Error message: %s","Er is een fout opgetreden bij het opslaan van de collectie, afbreken. Foutmelding:% s"
"An error occurred while saving the product. ","Er is een fout opgetreden tijdens het opslaan van het product."
"An error occurred while saving the search query.","Er is een fout opgetreden tijdens het opslaan van de zoek query."
"An error occurred while saving this group.","Er is een fout opgetreden tijdens het opslaan van deze groep."
"An error occurred while saving this review.","Er is een fout opgetreden bij het opslaan van deze recensie."
"An error occurred while trying to delete the category.","Er is een fout opgetreden tijdens het proberen de categorie te verwijderen."
"An error occurred while updating the product(s) attributes.","Er is een fout opgetreden tijdens het updaten van de product attributen."
"An error occurred while updating the product(s) status.","Er is een fout opgetreden tijdens het updaten van de product status."
"An invalid group ID is specified, skipping the record.","Een ongeldige groeps-ID is opgegeven, het dossier wordt overgeslagen."
"An invalid option ID is specified for %s (%s), skipping the record.","Een ongeldige optie ID is gespecificeerd voor %s (%s), het record overslaan."
"An invalid store was specified.","Een ongeldige winkel is gespecificeerd."
"Anchor Custom Text","Anker Custom Tekst"
"Anchor Custom Title","Anker Custom Titel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Geschikt om alleen producten en categorieën te catalogiseren. Elke mediacontent zal worden ingevoegd in de editor als een statische URL. Het wordt niet geüpdatet als de systeemconfiguratie URL veranderingen baseert."
"Apply MAP (Default Value)","Pas MAP toe (Vaststaande Waarde)"
"Apply To","Pas Toe Op"
"Approved","Goed Gekeurd"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten van uw vergelijking wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit item van uw vergeleken producten wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"As low as:","Zo laag als:"
"Assign","Toewijzen"
"Assign product link","Productlink toewijzen"
"Assign product to category","Ken product toe aan categorie"
"Assigned Products","Toegekende producten"
"Associated Products","Geassocieerde Producten"
"Attrib. Set Name","Stel naam attrib. in"
"Attribute ""%s"" is invalid.","Attribuut ""%s"" is ongeldig."
"Attribute ""%s"" is required.","Attribuut ""%s"" is vereist."
"Attribute Information","Kenmerk Informatie"
"Attribute Model","Kenmerk Model"
"Attribute Name:","Kenmerk Naam:"
"Attribute Set","Attributenset"
"Attribute Sets","Attribuut Sets"
"Attribute add","Voeg attribuut toe"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribuutcode is ongeldig. Gebruik alleen letter (a-z) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Attribute group with the \/name/\ name already exists","Attribuutgroep met de \/naam/\ bestaat al"
"Attribute remove","Verwijder attribuut"
"Attribute with the same code already exists","Kenmerk met dezelfde code bestaat reeds"
"Attributes","Attributen"
"Attrribute names can be specified per store.","Namen van kenmerken kunnen per opslag worden gespecificeerd."
"Autogenerate","Automatisch genereren"
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Backend Model","Achterkant Model"
"Backend Table","Achterkant Tafel"
"Backend Table Title","Achterkant Tafel Titel"
"Backorders","Backorders"
"Based On","Gebaseerd op"
"Before Order Confirmation","Voor Bestelling Bevestiging"
"Best Value","Beste Waarde"
"Block after Info Column","Blok na Info Kolom"
"Bottom Block Options Wrapper","Onderaan Blokkeer Opties Omslag"
"Bottom/Left","Onderaan/Links"
"Bottom/Right","Onderaan/Rechts"
"Browse By","Browse met"
"Bundle Items","Items samenvoegen"
"Buy %1$s","Koop % 1$s"
"Buy %1$s for","Koop %1$s voor"
"Buy %1$s for %2$s","Koop %1$s voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s inclusief belasting) elk"
"Buy %1$s for %2$s each","Koop %1$s voor %2$s elk"
"Cache Lifetime (Seconds)","Cache levensduur (Seconden)"
"Cache refresh needed.","Cache moet worden vernieuwd"
"Can be Divided into Multiple Boxes for Shipping","Kan Worden Verdeeld over Meerdere Dozen bij Verzending"
"Can be used only with catalog input type Dropdown","Kan worden gebruikt met catalogusinvoer type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen worden gebruikt met catalogusinvoer type Dropdown. Meervoudige selectie en Prijs"
"Can\'t create image.","Kan geen beeld maken"
"Cancel","Annuleren"
"Cannot create image.","Kan beeld niet creëren."
"Cannot create writeable directory '%s'.","Kan geen beschrijfbare directory '%s' aanmaken"
"Cart Item Attribute","Winkelwagen artikel attribuut"
"Catalog","Catalogus"
"Catalog Category (Anchor)","Catalogus categorie (anker)"
"Catalog Category (Non-Anchor)","Catalogus categorie (niet anker)"
"Catalog Category Link","Catalogus categorie link"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"Catalog Price Scope","Catalogus prijs bereik"
"Catalog Product Compare List","Catalogus productvergelijkingslijst"
"Catalog Product Email to a Friend","Catalogus Product E-mail naar een Vriend"
"Catalog Product Image Gallery Popup","Catalogus productbeeldenreeks popup"
"Catalog Product Link","Catalogus Product Link"
"Catalog Product View (Any)","Catalogus Product Bezichtiging (Elke)"
"Catalog Product View (Configurable)","Catalogus Product Bezichtiging (Configureerbaar)"
"Catalog Product View (Grouped)","Catalogus Product Bezichtiging (Gegroepeerd)"
"Catalog Product View (Simple)","Catalogus Product Bezichtiging (Simpel)"
"Catalog Product View (Virtual)","Catalogus Product Bezichtiging (Virtueel)"
"Catalog Section","Catalogus Gedeelte"
"Catalog Seo Popular Search Terms","Catalogus Seo Populaire Zoektermen"
"Catalog Seo Sitemap (Category List)","Catalogus Seo Sitemap (Categorielijst)"
"Catalog Seo Sitemap (Category Tree)","Catalogus Seo Sitemap (Categorieboom)"
"Catalog Seo Sitemap (Common)","Catalogus Seo Sitemap (Algemeen)"
"Catalog Seo Sitemap (Product List)","Catalogus Seo Sitemap (Productlijst)"
"Catalog URL Rewrites","Catalogus URL Herschrijvingen"
"Catalog product custom option values API","Catalogusproduct op maat optiewaarden API"
"Catalog product custom options API","Catalogusproduct op maat opties API"
"Catalog, Search","Catalogus, Zoeken"
"Categories","Categoriën"
"Categories Sitemap","Categorieën Sitemap"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categorie Data"
"Category Flat Data","Categorie Flat Data"
"Category Link Block Template","Categorie Link Bloktemplate"
"Category Link Inline Template","Categorie Link Inline Template"
"Category Products","Categorie Producten"
"Category Top Navigation","Categorie Topnavigatie"
"Category URL Suffix","Categorie URL Achtervoegsel"
"Category attributes API","Categorie attributen API"
"Category move error","Categorie verplaatsfout"
"Category move operation is not possible: parent category is equal to child category.","Categorie verplaatsoperatie is niet mogelijk: broncategorie is gelijk aan kindcategorie."
"Category move operation is not possible: the current category was not found.","Categorie verplaatsoperatie is niet mogelijk: de huidige categorie werd niet gevonden."
"Category move operation is not possible: the new parent category was not found.","Categorie verplaatsoperatie is niet mogelijk: de nieuwe broncategorie werd niet gevonden."
"Category must be an instance of Mage_Catalog_Model_Category.","Categorie moet een instantie zijn van Mage_Catalog_Model_Category."
"Center","Centrum"
"Change","Verander"
"Change or Retrieve attribute store view","Verander of Herstel attribuut winkelbezichtiging"
"Change status","Verander status"
"Check items to add to the cart or","Controleer items om aan het winkelwagentje toe te voegen of"
"Choose an Option...","Kies een Optie..."
"Clear All","Verwijder Alles"
"Clear Price","Verwijder Prijs"
"Click for price","Klik voor de prijs"
"Close Window","Venster Sluiten"
"Collapse All","Vouw Alles Op"
"Comma-separated.","Komma-gescheiden."
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar op front-end"
"Comparable on the Frontend","Vergelijkbaar op de Front-end"
"Compare","Vergelijk"
"Compare Products","Vergelijk Producten"
"Conditions Combination","Voorwaarden Combinatie"
"Configurable Product","Configureerbaar Product"
"Configurable Product Settings","Configureerbare Productinstellingen"
"Configure Product","Product instellen"
"Continue","Doorgaan"
"Copy From Configurable","Kopieer Van Configureerbaar"
"Country/State","Land/Provincie"
"Create","Maak aan"
"Create (Upload)","Creëer (Upload)"
"Create Empty","Creëer Leeg"
"Create Permanent Redirect for URLs if URL Key Changed","Maak een Permanente Omleiding voor URL's als URL-Key is Gewijzigd"
"Create Permanent Redirect for old URL","Creëer Permanente Omleiding voor oude URL"
"Create Product Settings","Creëer Product Instellingen"
"Create Simple Associated Product","Creëer Eenvoudig Samenhangend Product"
"Create attribute set based on another set","Maak een attribuut set op basis van een andere set"
"Create new attribute","Maak nieuw attribuut"
"Create new category","Creëer nieuwe Categorie"
"Create new product","Creëer nieuw product"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Op het moment Winkelt:"
"Custom Design","Custom-design"
"Custom Options","Custom Opties"
"Custom options","Aangepaste opties"
"Customer Group","Klantgroep"
"Customers Reviews","Klantenrecensies"
"Customers Tagged Product","Door Klanten Getagd Product"
"Data Type for Saving in Database","Data type om in Database op te slaan"
"Date & Time Custom Options","Datum & Tijd Custom Opties"
"Date Fields Order","Datum Velden Bestelling"
"Date Subscribed","Datum Ingeschreven"
"Datetime","Datumtijd"
"Decimal","Decimaal"
"Declare attribute value saving scope","Verklaar attribuut waarde opslagscope"
"Default ""What's This"" Text Message","Vaststaande ""Wat is dit"" Tekstbericht"
"Default Popup Text Message","Vaststaand Popup Tekstbericht"
"Default Price","Vaststaande Prijs"
"Default Price Navigation Step","Vaststaande Prijs Navigatie Stap"
"Default Qty","Vaststaande Qty"
"Default Values","Standaardwaardes"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definieert de standaard munteenheid (""Munteenheid instellingen"" > ""Munteenheid opties"" > ""Basis munteenheid"")."
"Delete","Verwijderen"
"Delete Attribute","Verwijder Attribuut"
"Delete Attribute Set","Verwijder Attribuut Set"
"Delete Category","Verwijder Categorie"
"Delete Group Price","Verwijder Groepsprijs"
"Delete Option","Verwijder Optie"
"Delete Row","Verwijder Rij"
"Delete Search","Verwijder Zoekopdracht"
"Delete Selected Group","Verwijder Geselecteerde Groep"
"Delete Tier","Verwijder Rij"
"Delete attribute","Verwijder attribuut"
"Delete category","Categorie verwijderen"
"Delete product","Verwijder product"
"Depends on design theme","Hangt van ontwerpthema af"
"Design","Ontwerp"
"Details","Details"
"Disabled","Uitgeschakeld"
"Disallowed file type.","Niet toegestaan bestandstype."
"Display Actual Price","Toon Actuele Prijzen"
"Display Price Interval as One Price","Toon Prijs Interval als Een prijs"
"Display Product Count","Geef Aantal Producten weer"
"Display in Suggested Terms","Toon in Voorgestelde Voorwaarden"
"Double click on a group to rename it","Dubbelklik op een groep om van naam te veranderen"
"Double click on above image to view full picture","Dubbelklik op bovenstaande afbeelding om volledige foto te bekijken"
"Downloadable Information","Downloadbare informatie"
"Duplicate","Duplicaat"
"Duplicate amount found.","Dupliceer gevonden aantal."
"Duplicate website group price customer group.","Dubbele website groep prijs klantengroep."
"Duplicate website tier price customer group and quantity.","Dupliceer website prijs klantengroep en hoeveelheid."
"Duplicate website, country and state tax found.","Dupliceer gevonden belasting van website, land en staat."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Bijvoorbeeld {{media url=""pad/naar/plaatje.jpg""}} {{skin url=""pad/naar/plaatje.gif""}}. Dynamische opdrachtenverwerking heeft invloed op de performantie van de catalogus."
"Edit","Bewerken"
"Edit Attribute Set '%s'","Bewerken attribuutset '%s'"
"Edit Product Attribute","Bewerken productattribuut"
"Edit Product Attribute ""%s""","Bewerk productattribuut ""%s"""
"Edit Search","Bewerk Zoekopdracht"
"Edit Search '%s'","Bewerk Zoekopdracht '%s'"
"Edit Set Name","Bewerk Set Naam"
"Email","Email"
"Email to a Friend","E-mail Vriend"
"Empty","Leeg"
"Enable MAP","Sta MAP toe"
"Enable Qty Increments","Sta Qty Incrementen toe"
"Enable WYSIWYG","Sta WYSIWYG toe"
"Enabled","Aan"
"Error during retrieval of option value: %s","Fout bij het ophalen van optie waarde: %s"
"Exclude","Sluit Uit"
"Expand All","Klap Alles Uit"
"Failed","Mislukt"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Kopiëren van het bestand %s mislukt. Verwijder alstublieft media met niet-bestaande afbeeldingen en probeer het opnieuw."
"Failed to move file: %s","Niet gelukt om bestand te verplaatsen: %s"
"Feature Products","Eigenschap Producten"
"Field is not complete","Veld is incompleet"
"File options format is not valid.","Bestandsopties formaat is niet geldig."
"File upload failed","Bestandsupload gefaald"
"Filter model name must be declared.","Filter modelnaam moet worden gedeclareerd."
"Filter must be an object. Please set correct filter.","Filter moet een object zijn. Stel alstublieft een correct filter in."
"Filterable (no results)","Filtreerbaar (geen resultaten)"
"Filterable (with results)","Filtreerbaar (met resultaten)"
"First Name","Voornaam"
"Fixed","Gemaakt"
"For internal use.","Voor intern gebruik."
"For the last time placed.","Het laatst geplaatst"
"Frontend","Voorkant"
"Frontend Model","Model Voorkant"
"Frontend Properties","Front end Eigenschappen"
"Gallery","Galerij"
"General Information","Algemene informatie"
"Get full information about attribute with list of options","Ontvang volledige informatie over attribuut met een lijst van opties"
"Get full information about custom option in product","Verkrijg volledige informatie over aangepaste optie in product"
"Get list of available custom option types","Verkrijg lijst met beschikbare aangepaste optie typen"
"Get list of non-default attributes by product type and attributes set","Ontvang een lijst van niet-standaard attributen per type product en de in te stellen attributen"
"Get list of possible attribute types","Verkrijg lijst met mogelijke attribuuttypen"
"Get special price","Ontvang speciale prijs"
"Global","Wereldwijd"
"Globally Editable","Wereldwijd te bewerken"
"Go to Home Page","Ga naar Homepage"
"Grid","Rooster"
"Group add","Voeg groep toe"
"Group remove","Groep verwijderen"
"Grouped Product","Gegroepeerd Product"
"Groups","Groepen"
"Home","Thuis"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Als u het leeg laat, zal de Categorie Naam gebruikt worden"
"If empty, the Product Name will be used","Als u het leeg laat, zal de Product Naam gebruikt worden"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Als u geen optiewaarde voor een specifieke store view specificeert, wordt de vaststaande waarde (admin) worden gebruikt."
"Image","Beeld"
"Image content is not valid base64 data.","Afbeelding content is geen geldige base64 data."
"Image does not exist.","Afbeelding bestaat niet."
"Image file was not found.","Afbeelding bestand niet gevonden."
"Image type and information need to be specified for each store view.","Afbeelding type en informatie moeten voor elke store view gespecificeerd worden."
"In Cart","In Winkelwagen"
"In Stock","In voorraad"
"In stock","In voorraad"
"Incl. Tax","Incl. BTW"
"Index product and categories URL rewrites","Index product en categorieën URL rewrites"
"Index product attributes for layered navigation building","Index product attributen voor layered navigatie building"
"Index product prices","Index product prijzen"
"Indexed category/products association","Geïndexeerde categorie/producten verbinding"
"Info","Info"
"Info Column Options Wrapper","Info Kolom Opties Omslag"
"Input Type","Invoer Type"
"Integer","Heel getal"
"Interval Division Limit","interval divisie limiet"
"Invalid Tier Prices","Ongeldige Rij Prijzen"
"Invalid attribute %s","Ongeldig kenmerk %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Onjuist attribuut optie gekozen voor attribuut %s (%s), record wordt overgeslagen."
"Invalid attribute set specified, skipping the record.","Ongeldige reeks kenmerken gespecificeerd, vermelding wordt overgeslagen"
"Invalid block: %s.","Ongeldig blok: %s"
"Invalid category IDs.","Onjuiste categorie ID's."
"Invalid category.","Ongeldige categorie"
"Invalid image file type.","Ongeldig bestandstype beeld"
"Invalid image type.","Ongeldig beeldtype."
"Invalid option ID specified for %s (%s), skipping the record.","Ongeldige optie ID gespecificeerd voor %s (%s), record wordt overgeslagen."
"Invalid product type specified, skipping the record.","Ongeldig producttype gespecificeerd, record wordt overgeslagen."
"Invalid store specified","Ongeldige winkel gespecificeerd"
"Invalid store specified, skipping the record.","Ongeldige winkel gespecificeerd, record wordt overgeslagen."
"Invalid tier prices. The product is not associated to the requested website.","Onjuiste tier prijzen. Het product is niet gerelateerd aan de opgevraagde website."
"Inventory","Voorraad"
"Is Default","Is Standaard"
"Is Required","Is Benodigd"
"Items %s to %s of %s total","Onderdelen %s tot %s van totaal %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items waarvan u niet wilt dat ze te zien zijn in de catalogus of zoekresultaten, dienen de status 'Uitgeschakeld' te hebben in de gewenste winkel."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items waarvan u niet wilt dat ze te zien zijn in de catalogus of zoekresultaten, dienen de status 'Uitgeschakeld' te hebben in de gewenste winkel."
"Keep your eyes open for our special Back to School items and save A LOT!","Houd onze speciale Terug naar School items in de gaten en bespaar EEN BOEL!"
"Label","Label"
"Last Name","Achternaam"
"Last Notification","Laatste Notificatie"
"Layered Navigation","Gelaagde Navigatie"
"Learn More","Meer Informatie"
"Line %d, Email: %s","Regel %d, Email: %s"
"Line %d, SKU: %s","Lijn %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Gerelateerd, Up sell, Cross sell)"
"Link product does not exist.","Gelinkt product bestaat niet."
"Link to a Specified Category","Link naar een Gespecificeerde Categorie"
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"List","Lijst"
"List Mode","Lijstmodus"
"List of Products that are set as New","Lijst van Producten die zijn ingesteld als Nieuw"
"List of types","Lijst van types"
"Manage Attribute Sets","Beheer Attribuut Sets"
"Manage Attributes","Attributen beheren"
"Manage Catalog Categories","Manage Catalogus Categorieën"
"Manage Categories","Beheer Categorieën"
"Manage Label / Options","Beheer Label / Opties"
"Manage Options (values of your attribute)","Beheer Opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer Productkenmerken"
"Manage Product Sets","Beheer Productgroepen"
"Manage Products","Manage Producten"
"Manage Stock","Beheer Voorraad"
"Manage Titles (Size, Color, etc.)","Beheer Titels (Grootte, Kleur, etc.)"
"Max Characters","Max Karakters"
"Maximal Depth","Maximale diepte"
"Maximum Image Size","Maximum Grootte Afbeelding"
"Maximum Number of Price Intervals","Maximum Aantal Prijsintervallen"
"Maximum Qty Allowed in Shopping Cart","Maximaal toegestaan aantal in winkelwagen"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum toegestane afbeeldingsgrote voor '%s' is %sx%s pixels."
"Maximum image height","Maximale beeldhoogte"
"Maximum image width","Maximale beeldbreedte"
"Maximum number of characters:","Maximaal aantal karakters"
"Maximum number of price intervals is 100","Maximum aantal prijsintervallen is 100"
"Media Image","Media Beeld"
"Minimum Advertised Price","Minimum Geadverteerde Prijs"
"Minimum Lines per Page","Minimum Regels per Pagina"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Toegestaan in Winkelwagen"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum aantal waarbij Status van Item op geen voorraad komt"
"Missing SKU, skipping the record.","SKU mist, record wordt overgeslagen."
"More Views","Meer Views"
"Move","Verplaats"
"Move category in tree","Verplaats categorie in tree"
"Must be in the allowed values list.","Behoord in toegestane waarden lijst te staan."
"N/A","Nvt"
"Name","Naam"
"Name in %s","Naam in %s"
"New Product","Nieuw Product"
"New Product Attribute","Nieuw Productkenmerk"
"New Products","Nieuwe Producten"
"New Products Grid Template","Patroon Nieuwe Producten Rooster"
"New Products List Template","Nieuw Product Lijst Sjabloon"
"New Root Category","Nieuwe categorie"
"New Search","Nieuwe Zoekopdracht"
"New Set Name","Nieuwe Serie Naam"
"New Subcategory","Nieuwe subcategorie"
"Next","Volgende"
"No","Nee"
"No image","Geen beeld"
"No layout updates","Geen lay-out updates"
"No options of this product are available.","Voor dit product zijn geen opties beschikbaar"
"No product collections found.","Geen productverzamelingen gevonden"
"None","Geen"
"Not Visible Individually","Niet afzonderlijk zichtbaar"
"Notify Low Stock RSS","Geef Lage Voorraad RSS aan"
"Notify for Quantity Below","Geef Kwantiteit Beneden aan"
"Number of Products to Display","Aantal Producten Weer te Geven"
"Number of Uses","Aantal Gebruiken"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (Voor de laatste keer geplaatst)"
"OK","OK"
"OR","OF"
"Old Price:","Oude prijs"
"On Gesture","Op Gebaar"
"Option validation failed to add product to cart.","Optie bevestiging is er niet in geslaagd een product aan kar toe te voegen."
"Option values","Optie waarden"
"Option:","Optie:"
"Options","Opties"
"Options Control","Opties Controle"
"Options is required","Opties zijn benodigd"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Onze klantenservice is 24 per dag beschikbaar. Bel ons op (555) 555-0123."
"Out of Stock","Niet voorradig"
"Out of stock","Uit voorraad"
"PM","PM"
"Page Title Separator","Pagina Titel Afscheider"
"Parent Category","Parent Categorie"
"Pending","In afwachting"
"Pending Reviews RSS","In Afwachting van Reviews RSS"
"Percentage","Percentage"
"Please add rows to option.","Voeg rijen toe aan optie."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Wees voorzichtig aangezien er een pakket data formulier geladen wordt zodra u op de rij klikt en alle niet opgeslagen data zal verloren gaan."
"Please click on the Close Window button if it is not closed automatically.","Klik alstublieft op de Venster Sluiten knop als het niet automatisch wordt afgesloten."
"Please enter a new group name","Voer een nieuwe groepsnaam in"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Ververs alstublieft ""Catalogus URL herschrijvingen"" en ""Productattributen in Systeem -> <a href=""%s"">Indexbeheer</a>"
"Please select a static block ...","Selecteer een statisch blok ..."
"Please select items.","Selecteer artikelen."
"Please select one or more attributes.","Selecteer een of meer attributen."
"Please select product(s).","Selecteer alstublieft product(en)."
"Please select products for attributes update","Selecteer alstublieft producten voor attributen update"
"Please set up merge date/time","Stel alstublieft het samenvoegen van datum/tijd in"
"Please set up merge date/time later then present date","Stel alstublieft de samenvoegdatum/tijd later dan de huidige datum in"
"Please specify date required option(s).","Specificeer alstublieft de benodige optie(s) voor de datum."
"Please specify the number of products, that will not be divided into subintervals.","Geef het aantal producten op, die niet in sub-intervallen zullen worden verdeeld."
"Please specify the product required option(s)","Specificeer alstublieft de benodige optie(s) voor het product."
"Please specify the product required option(s).","Specificeer alstublieft de benodige optie(s) voor de datum."
"Please specify the product\'s option(s).","Specificeer de product optie(s)."
"Please specify the product\'s required option(s).","Gelieve het artikel's benodigde optie(s) te specificeren."
"Please specify the quantity of product(s).","Specificeer alstublieft de hoeveelheid product(en)."
"Please specify time required option(s).","Specificeer alstublieft de benodigde optie(s) voor de tijd."
"Please wait...","Even geduld..."
"Position","Positie"
"Position in Layered Navigation","Positie in Gelaagde Navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagd navigatieblok"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price Navigation Step Calculation","Prijs Navigatie Stap Berekening"
"Price Type","Prijstype"
"Price is not available","Prijs is niet beschikbaar"
"Price values for options should be specified in system base currency.","Prijswaarden voor opties dienen gespecificeerd te zijn in de basisvaluta van het systeem."
"Price:","Prijs:"
"Price: %s","Prijs: %s"
"Print This Page","Deze pagina afdrukken"
"Product","Product"
"Product API","Product API"
"Product Alerts","Product Waarschuwingen"
"Product Attribute","Productattribuut"
"Product Attributes","Productattributen"
"Product Categories","Product Categorieën"
"Product Extra Info","Product extra informatie"
"Product Flat Data","Product Platte Gegevens"
"Product ID","Product Identificatie"
"Product Image Placeholders","Product Afbeelding Plaatshouder"
"Product Image Watermarks","Product Afbeelding Watermerken"
"Product Images","Product Afbeeldingen"
"Product Images API","Productbeelden API"
"Product In Websites","Product in websites"
"Product Info Column","Product Informatie Kolom"
"Product Information","Productinformatie"
"Product Link Block Template","Productlink blok sjabloon"
"Product Link Inline Template","Productlink inline sjabloon"
"Product Listing Sort by","Sorteer Product Lijst op"
"Product Name","Productnaam"
"Product Prices","Productprijzen"
"Product Reviews","Productbeoordelingen"
"Product Tags","Productlabels"
"Product Tier Price API","Product niveau prijs API"
"Product Type","Product Type"
"Product URL Suffix","Product URL Achtervoegsel"
"Product View Extra Hint","Product bekijk extra hint"
"Product attribute sets API","Product attribuut zet API"
"Product attributes API","Product attributen API"
"Product collection expected.","Product collectie verwacht."
