"%s","%s"
"%s already exist.","%s bestaan al."
"%s already exists.","%s bestaat al."
"-- Please Select --","-- Selecteer a.u.b.--"
"Miscellaneous HTML","Overige HTML"
"Model class does not exist: %s.","Model klasse bestaat niet: %s."
"New Design Change","Nieuwe verandering in ontwerp."
"New Store View","Nieuwe winkelweergave"
"Pagination","Paginatie"
"Path ""%value%"" is protected and cannot be used.","Pad ""%value%"" is beschermd en kan niet worden gebruikt."
"Please define flag code.","Definieer a.u.b. de vlagcode"
"Please enter 6 or more characters.","Voer a.u.b. 6 of meer letters in."
"Please enter a number greater than 0 in this field.","Voer a.u.b. een nummer groter dan 0 in dit veld."
"Please enter a number lower than 100.","Voer a.u.b. een nummer beneden de 100 in dit veld."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Voer a.u.b. een geldige URL sleutel in. Bijvoorbeeld ""voorbeeld-pagina"", ""voorbeeld-pagina.html"" of ""eenanderniveau/voorbeeld-pagina""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Voer a.u.b. een geldige URL in. Bijvoorbeeld http://www.voorbeeld.com of www.voorbeeld.com"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Voer a.u.b. een geldige XML-identificeerder in. Bijvoorbeeld iets_1, blok5, id-4."
"Please enter a valid credit card number.","Voer a.u.b. een geldig creditcardnummer in."
"Please enter a valid date between %s and %s","Voer a.u.b. een geldige datum in tussen %s en %s"
"Please enter a valid date less than or equal to %s","Voer a.u.b. een geldige datum in die minder of gelijk aan %s is."
"Please enter a valid day (1-%d).","Voer a.u.b. een geldige dag in (1-%d)."
"Please enter a valid full date","Voer a.u.b. een geldige, volledige datum in"
"Please enter a valid month (1-12).","Voer a.u.b. een geldige maand in (1-12)"
"Please enter a valid social security number. For example 123-45-6789.","Voer a.u.b. een geldig BSN-nummer in. Bijvoorbeeld 123456789."
"Please enter a valid year (1900-%d).","Voer a.u.b. een geldig jaar in (1900-%d)"
"Please enter a valid zip code.","Voer een geldige postcode in."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Voer een geldige CSS-lengte in. Bijvoorbeeld 100px, 77pt, 20em, .5ex of 50%"
"Please select an option.","Selecteer een optie."
"Please select one of the above options.","Selecteer een van bovenstaande opties."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please set available and/or protected paths list(s) before validation.","Stel een beschikbare en/of beschermde padlijst in voor validatie."
"Please specify payment method.","Specificeer betaalmethode."
"Please specify shipping method.","Specificeer bezorgmethode."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruikt alleen letters (a-z of A-Z) of getallen (0-9) in dit veld. Geen spaties of andere tekens toegestaan."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Gebruikt alleen letters (a-z of A-Z), getallen (0-9), spaties of #  in dit veld."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruikt alleen letters (a-z of A-Z) of getallen (0-9) in dit veld. Geen spaties of andere tekens toegestaan"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruikt alleen letters (a-z of A-Z), getallen (0-9) of underscore(_) in dit veld, eerste teken moet een letter zijn."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dit datumformat: dd/mm/jjjj. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Even geduld alstublieft, bezig met laden..."
"Polls","Peilingen"
"Port (25)","Poort (25)"
"Profiler","Profiler"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Opgevraagd bestand mag geen ouder-directory traverse (""../"", ""..\\ notatie)"" bevatten"
"Resource is not set.","Bron is niet ingesteld"
"Root Category","Wortelcategorie"
"Sales Representative","Verkoopvertegenwoordiger"
"Save Website","Sla website op"
"Security","Beveiliging"
"Select Media Database","Selecteer media database"
"Sender Email","Afzender Email"
"Session Cookie Management","Sessie cookie beheer"
"Session Validation Settings","Sessie validatie instellingen"
"Set Return-Path","Stel terugkeer pad in"
"Sort Order","Sorteer Bestelling"
"Startup Page","Startpagina"
"Status","Status"
"Storage Configuration for Media","Opslag configuratie voor media"
"Store Contact Address","Winkel contactadres"
"Store Contact Information","Winkel contactinformatie"
"Store Contact Telephone","Winkel contact telefoon"
"Store Email Addresses","Winkel email adressen"
"Store View","Winkelweergave"
"Store View Information","Winkel bekijk informatie"
"Store view doesn't exist","Winkelweergave bestaat niet"
"System","Systeem"
"System Log File Name","Systeem log bestandsnaam"
"Template Settings","Thema instellingen"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","De %s die u invoerde is onjuist. Verzeker u er a.u.b. van dat het geschreven is in ""http://domein.com/"" formaat."
"The store does not exist","De winkel bestaat niet"
"The store has been saved.","De winkel is opgeslagen."
"The store view has been saved","De winkelweergave is opgeslagen."
"The value is not within the specified range.","De waarde is niet binnen het gespecificeerde bereik."
"The website does not exist.","De website bestaat niet."
"The website has been deleted.","De website is verwijderd."
"Themes","Thema's"
"This category and its child categories only","Deze categorie en de categorieën daarbinnen alleen"
"This category and its products only","Deze categorie en zijn producten alleen"
"This category only","Deze categorie alleen"
"This date is a required value.","Deze datum is een vereiste waarde"
"This store view cannot be deleted.","Deze winkel kan niet verwijderd worden."
"This website cannot be deleted.","Deze website kan niet verwijderd worden."
"This will be displayed just before body closing tag.","Deze zullen worden vertoond, juist voor de body sluit tag."
"This will be included before head closing tag in page HTML.","Deze zullen worden ingevoegd voor het sluiten van de head tag in de HTM"
"Timezone","Tijdszone"
"Title Prefix","Titel vooraf"
"Title Suffix","Titel achteraf"
"Translate Inline","Vertaal in lijn"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Vertaal, blokken en andere uitput caches moeten uitgeschakeld zijn voor zowel voorkant als administratie in lijn vertalingen"
"Translations","Vertalingen"
"Two and more slashes together are not permitted in request path","Twee of meer schuine strepen zijn niet toegestaan in gevraagde pad."
"Two and more slashes together are not permitted in url rewrite suffix","Twee of meer schuine strepen zijn niet toegestaan in URL herschrijvings navoeging"
"Unable to create directory: %s","Niet in staat om directory %s te maken"
"Unable to delete store. Please, try again later.","Niet in staat om winkel te verwijderen. Probeer a.u.b. later opnieuw"
"Unable to save file ""%s"" at ""%s""","Niet in staat om bestand ""%s"" op te slaan op ""%s""."
"Unknown scope ""%s"".","Onbekende maat ""%s""."
"Unsecure","Onzeker"
"Use HTTP Only","Gebruik alleen HTTP"
"Use Secure URLs in Admin","Gebruik zekere URLs in de administratie"
"Validate HTTP_USER_AGENT","Valideer HTTP_USER_AGENT"
"Validate HTTP_VIA","Valideer HTTP_VIA"
"Validate REMOTE_ADDR","Valideer REMOTE_ADDR"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Waarschuwing! Deze instelling aanzetten is niet aanbevolen op productiemilieu's, omdat het een potentieel beveiligingsgevaar oplevert."
"Website","Website"
"Website Name","Website naam"
"Weekend Days","Weekend dagen"
"Welcome Text","Welkomsttekst"
"Wrong number of arguments for %s","Verkeerde nummer voor argumenten voor %s"
"Wrong old style column type definition: {$definition}.","Verkeerde oude stijl kolom type definitie {$definition}."
"Your session has been expired, you will be relogged in now.","Uw sessie is verlopen, u zult nu opnieuw worden ingelogd."
"Miscellaneous Scripts","Veelsoortige Scripts"
"Model collection resource name is not defined.","Model collectie bronnaam is niet gedefinieerd."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" heeft module ""%2$s"" nodig."
"Name","Naam"
"New Store","Nieuwe Winkel"
"New Website","Nieuwe Website"
"No","Nee"
"Offloader header","Ontlader koptekst"
"Package","Pakket"
"Pagination Frame","Paginatie Frame"
"Pagination Frame Skip","Paginatie Frame Skip"
"Parent directory does not exist: %s","Hoofd pad bestaat niet: %s"
"Path ""%value%"" is not available and cannot be used.","Pad ""%value%"" is niet beschikbaar en kan niet gebruikt worden."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Pad ""%value%"" mag geen parent directory traversal bevatten (""../"", ""..\\)."""
"Please choose to register or to checkout as a guest","Registreer of check uit als gast a.u.b."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer 6 of meer karakters in a.u.b. Spaties worden genegeerd."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Geef 7 of meer karakters in. Wachtwoord moet zowel cijfers als letters bevatten."
"Please enter a number 0 or greater in this field.","Voer een nummer groter dan 0 in."
"Please enter a valid $ amount. For example $100.00.","Voer a.u.b. een geldig € hoeveelheid in. Bijvoorbeeld €100,00."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Voer een geldige URL in. Protocol is vereist (http://, https:// of ftp://)"
"Please enter a valid credit card verification number.","Voer a.u.b. een geldig creditcard verificatienummer in."
"Please enter a valid date equal to or greater than %s","Voer een geldige datum in groter dan of gelijk aan %s"
"Please enter a valid date.","Voer a.u.b. een geldige datum in."
"Please enter a valid email address. For example johndoe@domain.com.","Voer a.u.b. een geldig e-mailadres in. Bijvoorbeeld johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Voer een geldig faxnummer in. Bijvoorbeeld (123) 456-7890 of 123-456-7890."
"Please enter a valid number in this field.","Voer in dit veld een geldig nummer in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Voer een geldig telefoonnummer in. Bijvoorbeeld (123) 456-7890 of 123-456-7890."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer a.u.b. een geldige postcode in. Bijvoorbeeld 1234 AB."
"Please enter issue number or start date for switch/solo card type.","Voer uitgavenummer in of start datum voor switch/solo kaarttype."
"Please enter valid password.","Voer a.u.b. een geldig wachtwoord in."
"Please make sure your passwords match.","Let er alstublieft op dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer Staat/Provincie."
"Please specify either a category or a product, or both.","Specificeerd a.u.b. een categorie of een product, of beide."
"Please use letters only (a-z or A-Z) in this field.","Gebruik a.u.b. alleen letters (a-z of A-Z) in dit veld."
"Please use letters only (a-z) in this field.","Gebruik alstublieft alleen letters (a-z) in dit veld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Gebruik alleen getallen in dit veld. Vermijd spaties of andere tekens zoals punten of komma's."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Gebruik a.u.b. alleen letters (a-z of A-Z), nummers (0-9) of underscores (_) in dit veld, eerste karakter moet een letter zijn."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alstublieft alleen letters (a-z) of nummers (0-9) of spaties en # in dit veld."
"Please use only visible characters and spaces.","Gebruik alleen zichtbare karakters en spaties."
"Request Path for Specified Store","Gevraagd Pad voor Gespecificeerde Winkel"
"Requested invalid store ""%s""","Gevraagde ongeldige winkel ""%s"""
"Return-Path Email","Return-Pad E-mail"
"Save","Opslaan"
"Save Store","Bewaar Winkel"
"Save Store View","Bewaar Winkel View"
"Search Engines Optimization","Zoekmachine Optimalisatie"
"Secure","Veilig"
"Select Date","Selecteer Datum"
"Sender Name","Naam Afzender"
"Services","Diensten"
"Session Lifetime (seconds)","Sessie duur (secondes)"
"Set as Default","Stel in als Standaard"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","De gespecificeerde datum/tijd ""%1$s"" komt niet overeen met formaat ""%2$s""."
"Start date cannot be greater than end date.","Begin datum kan niet later zijn dan eind datum."
"Store","Winkel"
"Store Information","Winkel Informatie"
"Store Name","Winkel Naam"
"Store View Name","Zie Winkel Naam"
"Store with the same code","Winkel met zelfde code"
"Template Path Hints","Sjabloon Pad Hints"
"Template Variables","Sjabloon Variabelen"
"Templates","Sjablonen"
"Text length does not satisfy specified text range.","Tekst lengte voldoet niet aan de vereiste tekstgebiedsvoorwaarden."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De winkelcode mag alleen letters (a-z), nummers (0-9) en lage streepjes bevatten (_). Het eerste teken moet een letter zijn"
"The store has been deleted.","De winkel is verwijderd."
"The store view has been deleted.","Het winkelzicht is verwijderd."
"The template Name must not be empty.","De Sjabloon Naam mag niet leeg zijn."
"The website has been saved.","De website is opgeslagen."
"This category and all its child elements","Deze categorie en alle onderelementen"
"This is a required field.","Dit is een verplicht veld."
"This store cannot be deleted.","De winkel kan niet verwijderd worden."
"Unable to delete store view. Please, try again later.","Niet instaat om het winkelzicht te verwijderen. Probeer het later nogmaals."
"Unable to delete website. Please, try again later.","Niet instaat om de website te verwijderen. Probeer het later nogmaals."
"Unable to proceed. Please, try again","Niet instaat om verder te gaan. Probeer het later nogmaals"
"Unable to proceed. Please, try again.","Kan niet verdergaan. Probeer a.u.b. opnieuw."
"Unable to save file: %s","Niet in staat om bestand: %s op te slaan"
"Unknown old style column type definition: {$definition}.","Onbekende ouderwetse kolomtype definitie: {$definitie}."
"Url Options","Url Opties"
"Use Custom Admin Path","Gebruik Standaard Admin Pad"
"Use SID on Frontend","Gebruik SID op Frontend"
"Use Secure URLs in Frontend","Gebruik Veilige URL's in Frontend"
"Use Web Server Rewrites","Gebruik Web Server Rewrites"
"Validate HTTP_X_FORWARDED_FOR","Valideer HTTP_X_FORWARDED_FOR"
"Validation has failed.","Validatie is mislukt."
"Values less than 60 are ignored. Note that changes will apply after logout.","Waarden kleiner dan 60 worden genegeerd. N.b. veranderingen worden toegepast na logout."
"Variable Code must be unique.","Variabele Code moet uniek zijn."
"Web","Web"
"Website Information","Website Informatie"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Website code mag alleen letters (a-z), nummers (0-9) of underscore(_) bevatten, het eerste karakter moet een letter zijn."
"Website with the same code","Website met dezelfde code"
"Wrong file info format","Verkeerde bestandsinformatiebestand"
"Yes","Ja"
"You will have to log in after you save your custom admin path.","U zult moeten inloggen nadat u uw standaard admin pad heeft bewaard."
"Your design change for the specified store intersects with another one, please specify another date range.","Uw ontwerp verandering voor de gespecificeerde store komt in conflict met een andere, specificeer a.u.b. een andere datumrange."
"Your order cannot be completed at this time as there is no payment methods available for it.","Uw bestelling kan nu niet worden afgerond omdat er geen betaalmethoden beschikbaar zijn."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Uw bestelling kan nu niet worden afgerond omdat er geen verzendmethoden beschikbaar zijn. Maak de noodzakelijke veranderingen uw in afleveradres."
"database ""%s""","Database ""%s"""
