"* Select shipping method","* Versandart auswählen"
"Key/URL delivery","Schlüssel/URL-Zustellung"
"Large - %s","Groß - %s"
"Latest Charge: %s","Letzte Belastung: %s"
"Latest Chargeback: %s","Letzte Rückbuchung: %s"
"Latest Refund: %s","Letzte Rückerstattung: %s"
"Location","Ort"
"Media Mail","Media Mail"
"Medium - %s","Medium - %s"
"Merchant ID","Händler-ID"
"Merchant Key","Händlerschlüssel"
"Method","Verfahren"
"New Order Status","Stand der neuen Bestellung"
"Next Day Air","Flugpost am nächsten Tag"
"Next Day Air Early AM","Morgenstundenflugpost am nächsten Tag"
"Next Day Air Saver","Saver-Flugpost am nächsten Tag"
"No","Nein"
"No Comment","Kein Kommentar"
"No Reason","Ohne Grund"
"Optimistic","Optimistisch"
"Optional, leave empty for home page.","Optional, für die Homepage frei lassen."
"Order creation error","Auftragserstellungsfehler"
"Parcel Post","Paketpost"
"Pessimistic","Pessimistisch"
"Priority Mail","Priority-Sendung"
"Priority Overnight","Priority über Nacht"
"Rate 1 Amount","Tarif 1 Betrag"
"Rate 1 Ship To Applicable Countries","Tarif 1 Versand an zutreffende Länder"
"Rate 1 Ship to Specific Countries","Tarif 1 Versand an spezifische Länder"
"Rate 1 Title","Tarif 1 Titel"
"Rate 2 Amount","Tarif  2 Betrag"
"Rate 2 Ship To Applicable Countries","Tarif 2 Versand an zutreffende Länder"
"Rate 2 Ship to Specific Countries","Rate 2 Versand in bestimmte Länder"
"Rate 2 Title","Tarif 2 Titel"
"Rate 3 Amount","Rate 3 Menge"
"Rate 3 Ship To Applicable Countries","Tarif 3 Versand an zutreffende Länder"
"Rate 3 Ship to Specific Countries","Tarif  3 Versand an spezifische Länder"
"Rate 3 Title","Rate 3 Titel"
"Remove","Entfernen"
"Required for live Google Checkout transactions.","Erforderlich für direkte Google-Kassiervorgänge"
"Residential","Domizilzustellung"
"Sandbox","Sandkasten"
"Secure Callback URL","URL für sicheren Rückruf"
"Small - %s","Klein - %s"
"Standard Overnight","Standard über Nacht"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Die Höhe der angerechneten Abgaben basiert auf der Information von Google Checkout, da sich der von Google Checkout gesendete Betrag vom berechneten Betrag unterscheidet"
"Title","Titel"
"Total Chargeback: %s","Gesamtrückbelastung: %s"
"Total Charged: %s","Gesamtbetrag: %s"
"Total Refunded: %s","Erstatteter Gesamtbetrag: %s"
"Transparent","Transparent"
"UPS","UPS"
"USPS","Postdienst der Vereinigten Staaten"
"United Kingdom","Vereintes Königreich"
"United States","Vereinigte Staaten"
"Unknown Reason","Unbekannter Grund"
"White Background","Weißer Hintergrund"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","Sie werden in ein paar Sekunden zu Google Checkout umgeleitet"
