Remove,Entfernen
"Order ID",BestellungsID
Void,Leer
"Created At","Created At"
"Payment Method:",Zahlungsweise:
"Ship To","Lieferung an"
"Invalid parent block for this block","Invalid parent block for this block"
"Grand Total (Base)","G.B. (Basis)"
"Grand Total (Purchased)","G.T. (gekauft)"
"Customer Name","Customer Name"
"We couldn't update the payment.","We couldn't update the payment."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
CSV,CSV
"Excel XML",Excel-XML
"Total Refunded","Gesamtsumme rückerstattet"
Paid,bezahlt
Coupons,Gutscheine
"Recently Viewed","Kürzlich angesehen"
"Recently Compared Products","zuletzt verglichene Artikel"
"Recently Viewed Products","Kürzlich angesehene Produkte"
Print,Ausdrucken
"Submit Comment","Kommentar abschicken"
Returned,Zurückgesendet
"Order Date",Bestelldatum
"Order # ","Order # "
"Order Date: ",Bestelldatum
"Comment Text",Kommentartext
"Visible on Frontend","Am Frontende sichtbar"
"Not Notified","Nicht benachrichtigt"
"Please select products.","Please select products."
Number,Nummer
"Order Date: %1","Order Date: %1"
"Shipping &amp; Handling","Versand und Abwicklung"
"Credit Memos",Gutschriften
Invoices,Rechnungen
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Neue Bestellung anlegen"
"Save Order Address","Bestelladresse speichern"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information",Lieferadressen-Information
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Bestellung abschicken"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren wollen?"
"Order Comment","Kommentar zur Bestellung"
"Please select a customer.","Please select a customer."
"Create New Customer","Neuen Kunden anlegen"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Neue Bestellung für neuen Kunden anlegen"
"Items Ordered","Bestellte Artikel"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Bestellte Menge des Artikels"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Geben Sie benutzerdefinierten Preis inklusive Steuer ein"
"* - Enter custom price excluding tax","* - Geben Sie benutzerdefinierten Preis ohne Steuer ein"
"This product does not have any configurable options","Dieses Produkt hat keine Einstellungsmöglichkeiten."
"Add Selected Product(s) to Order","Ausgewählte Produkte zur Bestellung hinzufügen"
"Update Changes","Änderungen aktualisieren"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass Sie alle Artikel aus dem Einkaufswagen löschen möchten?"
"Products in Comparison List","Artikel in der Vergleichsliste"
"Last Ordered Items","Zuletzte bestellte Artikel"
"Please select a store.","Please select a store."
"Order Totals","Gesamtbeträge Bestellung"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Erstattung Versand (inkl. Steuer)"
"Refund Shipping (Excl. Tax)","Erstattung Versand (exkl. Steuer)"
"Refund Shipping","Erstattung Versand"
"Update Qty's","Anzahl aktualisieren"
Refund,Erstatten
"Refund Offline",Offline-Rückerstattung
"Paid Amount","Bezahlter Betrag"
"Refund Amount",Erstattungsbetrag
"Shipping Refund",Versanderstattung
"Order Grand Total","Gesamtsumme Bestellung"
"Adjustment Refund",Anpassungsrückerstattung
"Adjustment Fee",Anpassungsgebühr
"Send Email","E-Mail senden"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","die Gutschrifts-E-Mail wurde nicht gesendet"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund",Erstattungsbetrag
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Rechnung und Lieferung vorlegen"
"Submit Invoice","Rechnung einreichen"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo",Gutschrift
Capture,Erfassung
"the invoice email was sent","die Rechnungs-E-Mail wurde versendet"
"the invoice email is not sent","die Rechnungs-E-Mail ist nicht versendet"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses",Bestellstatus
"Create New Status","Neuen Status anlegen"
"Assign Status to State","Staat einen Status zuweisen"
"Save Status Assignment","Statuszuweisung speichern"
"Assign Order Status to State","Staat einen Auftragsstatus zuweisen"
"Assignment Information","Informationen zur Zuweisung"
"Order State",Bestellstatus
"Use Order Status As Default","Bestellstatus als Standard verwenden"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Auftragsstatus bearbeiten"
"Save Status","Status speichern"
"New Order Status","Neuer Bestellstatus"
"Order Status Information",Bestellstatus-Information
"Status Code",Statuscode
"Status Label",Statuslabel
"Store View Specific Labels","Ladenansicht Spezifische Marken"
"Total Paid","Gesamtsumme bezahlt"
"Total Due","Gesamtsumme fällig"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Sind Sie sicher, dass Sie die Zahlung ungültig machen wollen?"
Hold,Warten
hold,hold
Unhold,Freigabe
unhold,unhold
"Are you sure you want to accept this payment?","Sind Sie sicher, dass Sie diese Zahlung akzeptieren wollen?"
"Accept Payment","Zahlung akzeptieren"
"Are you sure you want to deny this payment?","Sind Sie sicher, dass Sie diese Zahlung ablehnen wollen?"
"Deny Payment","Bezahlung verweigern"
"Get Payment Update","Zahlungsaktualisierung abrufen"
"Invoice and Ship","Rechnung und Auslieferung"
Invoice,Rechnung
Ship,Versenden
Reorder,"Wieder bestellen"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Gutschriften anfordern"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History",Kommentarhistorie
"Order History",Bestellungshistorie
"Order Information",Bestellungsinformationen
"Order Invoices","Rechnungen anfordern"
Shipments,Lieferungen
"Order Shipments","Sendungen zur Bestellung"
Transactions,Transaktionen
"Order View",Bestellungsansicht
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
Fetch,Holen
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,Schlüssel
Value,Wert
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders","Zurück zu Meine Bestellungen"
"View Another Order","Eine andere Bestellung ansehen"
"About Your Refund","Informationen zu Ihrer Rückerstattung"
"My Orders","Meine Bestellungen"
"About Your Invoice","Informationen zu Ihrer Rechnung"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Gesamtsumme die belastet werden soll"
Unassign,"Zuweisung entfernen"
"We sent the message.","We sent the message."
"This order no longer exists.","Diese Bestellung existiert nicht mehr."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","Die Bezahlung ist akzeptiert worden."
"The payment has been denied.","Die Zahlung wurde abgelehnt."
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Keine Bestellung(en) zurückgestellt."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Es gibt keine ausdruckbaren Dokumente verbunden mit den gewählten Bestellungen."
"The payment has been voided.","Die Zahlung wurde ungültig gemacht."
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Der Gutscheincode ist akzeptiert worden."
"New Order","Neue Bestellung"
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice","Neue Rechnung"
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status","Neuen Auftragsstatus anlegen"
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.","Bei der Zuweisung des Auftragsstatus ist ein Fehler aufgetreten. Status wurde nicht zugewiesen."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Bestellungen und Retouren"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State","Unbekannter Status"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status","Unbekannter Status"
Backordered,Rückständig
Partial,Unvollständig
Mixed,Gemischt
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.","Ungültige Benachrichtigung registriert."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","Zahlung online akzeptiert."
"There is no need to approve this payment.","Diese Zahlung muss nicht bestätigt werden."
"Registered notification about approved payment.","Registrierte Benachrichtigung über akzeptierte Bezahlung."
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.","Diese Bezahlung muss nicht verweigert werden."
"Registered notification about denied payment.","Benachrichtigung über abgelehnte Zahlung registriert."
"Registered update about approved payment.","Aktualisierung über bestätigte Zahlung registriert."
"Registered update about denied payment.","Registrierte Aktualisierung bezüglich abgelehnter Zahlung."
"There is no update for the payment.","Es gibt kein Update zur Zahlung."
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.","Ungültige Berechtigung."
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Die Reihenfolge für existierende Transaktionen festzulegen ist nicht gestattet"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:",Liefermethode:
"Total Shipping Charges","Gesamte Versandkosten"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","Gesamt (ex)"
"Total (inc)","Gesamtsumme (ink)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","Packzettel #"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Pending Payment","Ausstehende Bezahlung"
"On Hold",Zurückgestellt
Complete,Vollständig
"Suspected Fraud","Betrug vermutet"
"Payment Review",Bezahlungsüberprüfung
"Changing address information will not recalculate shipping, tax or other order amount.","Durch das Ändern von Adressinformationen werden Versandkosten, Steuern oder ein sonstiger Bestellwert nicht neu berechnet."
"Order Comments","Kommentare zur Bestellung"
"Order Currency:","Währung der Bestellung:"
"Select from existing customer addresses:","Wählen Sie eine existierende Kundenadresse aus:"
"Same As Billing Address","Identisch mit Rechnungsadresse"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Geschenkmitteilung für die gesamte Bestellung"
"Move to Shopping Cart","In den Einkaufskorb legen"
"Subscribe to Newsletter","Newsletter abonnieren"
"Click to change shipping method","Klicken Sie um die Versandart zu ändern"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Versandarten und -kosten abrufen"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments","Kommentare anhängen"
"Email Order Confirmation","E-Mail mit Auftragsbestätigung"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund","Artikel zur Rückvergütung"
"Return to Stock","Zurück zum Inventar"
"Qty to Refund","Zu erstattende Menge"
"Row Total",Zeilensumme
"No Items To Refund","Keine Artikel für Erstattung"
"Credit Memo Comments","Gutschrift Kommentare"
"Refund Totals",Gesamtrückerstattung
"Email Copy of Credit Memo","E-Mail-Kopie der Gutschrift"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Rückvergütete Artikel"
"No Items","Keine Artikel"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment","Lieferung erstellen"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice","Zu berechnende Menge"
"Invoice History","Invoice History"
"Invoice Comments","Kommentare zur Rechnung"
"Invoice Totals","Invoice Totals"
"Capture Amount",Erfassungssumme
"Capture Online","Online Erfassung"
"Capture Offline","Offline Erfassung"
"Not Capture","Nicht gespeichert"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Rechnungskopie per E-Mail senden"
"Items Invoiced","In Rechnung gestellte Artikel"
"Total Tax",Gesamtsteuern
"From Name","Von Name"
"To Name",Name
"Add Order Comments","Bestellungskommentare hinzufügen"
"Notification Not Applicable","Benachrichtigung nicht möglich"
"the order confirmation email was sent","die Auftragsbestätigungs-E-Mail wurde versendet"
"the order confirmation email is not sent","die Auftragsbestätigungs-E-Mail ist nicht versendet"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Gekauft von"
"Link to the New Order","Link zu neuer Bestellung"
"Link to the Previous Order","Link zu vorheriger Bestellung"
"Placed from IP","Bestellt von IP Nummer"
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status",Artikelstatus
"Original Price",Originalpreis
"Tax Percent","Steuer Prozent"
"Transaction Data","Transaction Data"
"Parent Transaction ID","Ursprüngliche Transaktions-ID"
"Transaction Type",Transaktionstyp
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order","Grußnachricht für diesen Auftrag"
"Shipped By","Geliefert von"
"Tracking Number",Verfolgungsnummer
"Billing Last Name","Nachname in der Rechnung"
"Find Order By:","Bestellungen finden durch:"
"ZIP Code","ZIP Code"
"Billing ZIP Code","PLZ in der Rechnung"
"Print All Refunds","Alle Rückerstattungen ausdrucken"
"Refund #","Erstatten #"
"Print Refund","Erstattung drucken"
"You have placed no orders.","Sie haben keine Bestellungen aufgegeben."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available","Keine Versandinformation verfügbar"
"Print Order","Bestellung ausdrucken"
"Subscribe to Order Status","Zum Auftragsstatus anmelden"
"Print All Invoices","Alle Rechnungen drucken"
"Invoice #","Rechnung #"
"Print Invoice","Rechnung drucken"
"Qty Invoiced","In Rechnung gestellte Menge"
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped","Artikel versandt"
"Qty Shipped","Gelieferte Menge"
"View All","Alle ansehen"
"Gift Message for This Order","Geschenknachricht für diese Bestellung"
"About Your Order","Über Ihre Bestellung"
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title","Kundenspezifischen Titel festlegen"
Phone,Phone
"Default Template",Standardvorlage
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
