Remove,Supprimer
"Not Notified","Non notifié"
"Please select products.","Please select products."
Number,Nombre
"Order Date: %1","Order Date: %1"
"Shipping &amp; Handling","Expédition &amp; Traitement"
"Credit Memos",Avoirs
Invoices,Factures
"We cannot get the order instance.","We cannot get the order instance."
"Create New Order","Créer une nouvelle commande"
"Save Order Address","Sauvegarder l'adresse de la commande"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Informations sur l'adresse de la commande"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Order","Envoyer Commande"
"Are you sure you want to cancel this order?","Voulez-vous vraiment annuler cette commande ?"
"Order Comment","Commentaire Commande"
"Please select a customer.","Please select a customer."
"Create New Customer","Créer nouveau client"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order for New Customer in %1","Create New Order for New Customer in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Items Ordered","Articles commandés"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Qté d'articles commandés"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Entrez le prix personnalisé avec les taxes"
"* - Enter custom price excluding tax","* - Entrez le prix personnalisé sans les taxes"
"This product does not have any configurable options","Le produit n'a pas d'options configurables."
"Add Selected Product(s) to Order","Ajouter le(s) produit(s) sélectionné(s) à la commande"
"Update Changes","Mettre à jour les changements"
"Are you sure you want to delete all items from shopping cart?","Etes-vous certain(e) de vouloir effacer tous les articles du panier?"
"Products in Comparison List","Produits dans la liste de comparaison"
"Last Ordered Items","Derniers articles commandés"
"Please select a store.","Please select a store."
"Order Totals","Totaux Commande"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Remboursement de la Livraison (T.T.C.)"
"Refund Shipping (Excl. Tax)","Remboursement de la Livraison (H.T.)"
"Refund Shipping","Remboursement de la Livraison"
"Update Qty's","Mettre à jour la/les Qté(s)"
Refund,Rembourser
"Refund Offline","Remboursement hors connexion"
"Paid Amount","Montant payé"
"Refund Amount","Montant du Remboursement"
"Shipping Refund","Remboursement de l'expédition"
"Order Grand Total","Total Commande"
"Adjustment Refund","Ajustement de remboursement"
"Adjustment Fee","Ajustement des taxes"
"Send Email","Envoyer l'email"
"Are you sure you want to send a Credit memo email to customer?","Are you sure you want to send a Credit memo email to customer?"
"The credit memo email was sent","The credit memo email was sent"
"the credit memo email is not sent","Le courriel de note de crédit n'a pas été envoyé"
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total du remboursement"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Soumettre facture et expédition"
"Submit Invoice","Soumettre facture"
"Are you sure you want to send an Invoice email to customer?","Are you sure you want to send an Invoice email to customer?"
"Credit Memo",Avoir
Capture,Sauvegarder
"the invoice email was sent","l'e-mail de facture a été envoyé"
"the invoice email is not sent","l'e-mail de facture n'est pas envoyé"
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Order Statuses","Statuts de la commande"
"Create New Status","Créer un nouvel état"
"Assign Status to State","Attribuer l'état à un État"
"Save Status Assignment","Sauvegarder l'attribution du statut"
"Assign Order Status to State","Attribuer l'état de la commande à un État"
"Assignment Information","Information sur l'attribution"
"Order State","État de la commande"
"Use Order Status As Default","Utiliser l'état de la commande comme référence par défaut"
"Visible On Frontend","Visible On Frontend"
"Edit Order Status","Éditer l'état de la commande"
"Save Status","Sauvegarder le statut"
"New Order Status","Nouveau statut commande"
"Order Status Information","Informations sur le statut de la commande"
"Status Code","Code statut"
"Status Label","Étiquette statut"
"Store View Specific Labels","Vue boutique Étiquettes spécifiques"
"Total Paid","Total payé"
"Total Due","Total dû"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Voulez-vous vraiment annuler le paiement ?"
Hold,"Mise en attente"
hold,hold
Unhold,"Ne plus retenir"
unhold,unhold
"Are you sure you want to accept this payment?","Voulez-vous vraiment accepter ce paiement ?"
"Accept Payment","Accepter le paiement"
"Are you sure you want to deny this payment?","Voulez-vous vraiment refuser ce paiement ?"
"Deny Payment","Refuser le paiement"
"Get Payment Update","Obtenir la mise à jour du paiement"
"Invoice and Ship","Facture et Courrier"
Invoice,Facture
Ship,Expédier
Reorder,"Commander à nouveau"
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","Save Gift Message"
"Order Credit Memos","Commander des notes de crédit"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","Historique des commentaires"
"Order History","Historique des Commandes"
"Order Information","Informations Commande"
"Order Invoices","Commander les factures"
Shipments,Expéditions
"Order Shipments","Expéditions Commandes"
Transactions,Transactions
"Order View","Vue Commande"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Show Actual Values","Show Actual Values"
Fetch,Chercher
"Transaction # %1 | %2","Transaction # %1 | %2"
Key,Clé
Value,Valeur
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order # %1"
"Back to My Orders","Retour à Mes commandes"
"View Another Order","Voir autre commande"
"About Your Refund","Au sujet de votre remboursement"
"My Orders","Mes commandes"
"About Your Invoice","Au sujet de votre facture"
"Print Order # %1","Print Order # %1"
"Grand Total to be Charged","Grand total à payer"
Unassign,"Modifier l'attribution"
"We sent the message.","We sent the message."
"This order no longer exists.","Cette commande n'existe plus."
"Exception occurred during order load","Exception occurred during order load"
"You sent the order email.","You sent the order email."
"We couldn't send the email order.","We couldn't send the email order."
"You canceled the order.","You canceled the order."
"You have not canceled the item.","You have not canceled the item."
"You put the order on hold.","You put the order on hold."
"You have not put the order on hold.","You have not put the order on hold."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"The payment has been accepted.","Le payement a été accepté"
"The payment has been denied.","Le paiement a été refusé."
"The payment update has been made.","The payment update has been made."
"Comment text cannot be empty.","Comment text cannot be empty."
"We cannot add order history.","We cannot add order history."
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","You cannot cancel the order(s)."
"We canceled %1 order(s).","We canceled %1 order(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","Aucune commande en attente."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Il n'exsite pas de documents imprimables concernant ces commandes."
"The payment has been voided.","Le paiement a été invalidé."
"We couldn't void the payment.","We couldn't void the payment."
"You updated the order address.","You updated the order address."
"Something went wrong updating the order address.","Something went wrong updating the order address."
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Le code de coupon a été accepté"
"New Order","Nouvelle Commande"
"The order no longer exists.","The order no longer exists."
"Cannot create credit memo for the order.","Cannot create credit memo for the order."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"New Memo for #%1","New Memo for #%1"
"New Memo","New Memo"
"Cannot update the item's quantity.","Cannot update the item's quantity."
"Credit memo's total must be positive.","Credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"Cannot save the credit memo.","Cannot save the credit memo."
"The credit memo has been canceled.","The credit memo has been canceled."
"You canceled the credit memo.","You canceled the credit memo."
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The Comment Text field cannot be empty.","The Comment Text field cannot be empty."
"Cannot add new comment.","Cannot add new comment."
"Edit Order","Edit Order"
"The invoice no longer exists.","The invoice no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"New Invoice","Nouvelle facture"
"Cannot update item quantity.","Cannot update item quantity."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","The invoice and the shipment  have been created. ' 'The shipping label cannot be created now."
"You created the invoice and shipment.","You created the invoice and shipment."
"The invoice has been created.","The invoice has been created."
"We can't send the invoice email.","We can't send the invoice email."
"We can't send the shipment.","We can't send the shipment."
"We can't save the invoice.","We can't save the invoice."
"The invoice has been captured.","The invoice has been captured."
"Invoice capturing error","Invoice capturing error"
"You canceled the invoice.","You canceled the invoice."
"Invoice canceling error","Invoice canceling error"
"The invoice has been voided.","The invoice has been voided."
"Invoice voiding error","Invoice voiding error"
"Create New Order Status","Créer un nouvel état de commande"
"We can't find this order status.","We can't find this order status."
"We found another order status with the same order status code.","We found another order status with the same order status code."
"You have saved the order status.","You have saved the order status."
"We couldn't add your order status because something went wrong saving.","We couldn't add your order status because something went wrong saving."
"You have assigned the order status.","You have assigned the order status."
"An error occurred while assigning order status. Status has not been assigned.","Une erreur s'est produite lors de la détermination de l'état de la commande. L'état n'a pas été déterminé."
"You have unassigned the order status.","You have unassigned the order status."
"Something went wrong while we were unassigning the order.","Something went wrong while we were unassigning the order."
"Something went wrong while saving the gift message.","Something went wrong while saving the gift message."
"The gift message has been saved.","The gift message has been saved."
"Please correct the transaction ID and try again.","Please correct the transaction ID and try again."
"The transaction details have been updated.","The transaction details have been updated."
"We can't update the transaction details.","We can't update the transaction details."
"Orders and Returns","Commandes et Retours"
"This item price or quantity is not valid for checkout.","This item price or quantity is not valid for checkout."
"You entered incorrect data. Please try again.","You entered incorrect data. Please try again."
"We couldn't find this wish list.","We couldn't find this wish list."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to cart by the ID ""%1""."
"There is an error in one of the option rows.","There is an error in one of the option rows."
"Shipping Address: ","Shipping Address: "
"Billing Address: ","Billing Address: "
"You need to specify order items.","You need to specify order items."
"You need to specify a shipping method.","You need to specify a shipping method."
"A payment method must be specified.","A payment method must be specified."
"This payment method instance is not available.","This payment method instance is not available."
"This payment method is not available.","This payment method is not available."
"VAT Request Identifier","VAT Request Identifier"
"VAT Request Date","VAT Request Date"
"The Order State ""%1"" must not be set manually.","The Order State ""%1"" must not be set manually."
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","We cannot cancel this order."
"The most money available to refund is %1.","The most money available to refund is %1."
"We cannot register an existing credit memo.","We cannot register an existing credit memo."
"Unknown State","État inconnu"
"We found an invalid quantity to refund item ""%1"".","We found an invalid quantity to refund item ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximum shipping amount allowed to refund is: %1"
"We cannot register an existing invoice","We cannot register an existing invoice"
"We found an invalid quantity to invoice item ""%1"".","We found an invalid quantity to invoice item ""%1""."
"Unknown Status","Statut inconnu"
Backordered,"Rupture de stock"
Partial,Partiel
Mixed,Mélangé
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"An order with subscription items was registered.","An order with subscription items was registered."
"The transaction ""%1"" cannot be captured yet.","The transaction ""%1"" cannot be captured yet."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Registered a Void notification.","A enregistré une notification nulle."
"If the invoice was created offline, try creating an offline credit memo.","If the invoice was created offline, try creating an offline credit memo."
"We refunded %1 online.","We refunded %1 online."
"We refunded %1 offline.","We refunded %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"""
"The credit memo has been created automatically.","The credit memo has been created automatically."
"Registered notification about refunded amount of %1.","Registered notification about refunded amount of %1."
"Canceled order online","Canceled order online"
"Canceled order offline","Canceled order offline"
"Approved the payment online.","A approuvé le paiement en ligne."
"There is no need to approve this payment.","Ce paiement ne requiert pas d'accord."
"Registered notification about approved payment.","Notification enregistrée pour le paiement approuvé."
"Denied the payment online","Denied the payment online"
"There is no need to deny this payment.","Il n'y a pas de raison de refuser ce payement"
"Registered notification about denied payment.","A enregistré une notification à propos du paiement refusé."
"Registered update about approved payment.","A déclaré une mise à jour à propos du paiement accepté."
"Registered update about denied payment.","Mise à jour enregistrée sur le paiement refusé."
"There is no update for the payment.","Il n'existe pas de mise à jour pour ce paiement."
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Authorized amount of %1","Authorized amount of %1"
"Voided authorization.","Autorisation annulée"
"Amount: %1.","Amount: %1."
"Transaction ID: ""%1""","Transaction ID: ""%1"""
"The parent transaction ID must have a transaction ID.","The parent transaction ID must have a transaction ID."
"The transaction ""%1"" (%2) is already closed.","The transaction ""%1"" (%2) is already closed."
"Set order for existing transactions not allowed","Le passage de commande pour des transactions existantes n'est pas autorisé"
"At minimum, you need to set a payment ID.","At minimum, you need to set a payment ID."
"We found an unsupported transaction type ""%1"".","We found an unsupported transaction type ""%1""."
"Please set a proper payment object.","Please set a proper payment object."
"The Transaction ID field cannot be empty.","The Transaction ID field cannot be empty."
"You can't do this without a transaction object.","You can't do this without a transaction object."
"Sold to:","Sold to:"
"Ship to:","Ship to:"
"Shipping Method:","Méthode d'expédition :"
"Total Shipping Charges","Charges totales expédition"
"We found an invalid renderer model.","We found an invalid renderer model."
"Please define the PDF object before using.","Please define the PDF object before using."
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array."
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Credit Memo # ","Credit Memo # "
"Invoice # ","Invoice # "
"The order object is not specified.","The order object is not specified."
"The source object is not specified.","The source object is not specified."
"An item object is not specified.","An item object is not specified."
"A PDF object is not specified.","A PDF object is not specified."
"A PDF page object is not specified.","A PDF page object is not specified."
"Packing Slip # ","Bon de livraison #"
"We cannot register an existing shipment","We cannot register an existing shipment"
"We cannot create an empty shipment.","We cannot create an empty shipment."
"We found an invalid qty to ship for item ""%1"".","We found an invalid qty to ship for item ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal."
"We cannot determine the field name.","We cannot determine the field name."
"Please specify a valid grid column alias name that exists in the grid table.","Please specify a valid grid column alias name that exists in the grid table."
"We don't have enough information to save the parent transaction ID.","We don't have enough information to save the parent transaction ID."
"The last status can't be unassigned from its current state.","The last status can't be unassigned from its current state."
"Pending Payment","Paiement en attente"
"On Hold","En Attente"
Complete,Terminer
"Suspected Fraud","Fraude supposée"
"Payment Review","Contrôle du paiement"
"Changing address information will not recalculate shipping, tax or other order amount.","Changer les données de l'adresse ne changera pas les coûts d'expédition, les taxes ou les autres frais applicables à la commande."
"Order Comments","Commentaires Commande"
"Order Currency:","Devise de la Commande"
"Select from existing customer addresses:","Sélectionner à partir d'adresses client existantes:"
"Same As Billing Address","(identique à l'adresse de facturation)"
"You don't need to select a shipping address.","You don't need to select a shipping address."
"Gift Message for the Entire Order","Message de cadeau pour l'ensemble de la commande"
"Move to Shopping Cart","Mettre dans votre panier"
"Subscribe to Newsletter","S'inscrire à la newsletter"
"Click to change shipping method","Cliquez pour changer la méthode d'envoi"
"Sorry, no quotes are available for this order.","Sorry, no quotes are available for this order."
"Get shipping methods and rates","Obtenir la méthode d'expédition et les taux"
"You don't need to select a shipping method.","You don't need to select a shipping method."
"Customer's Activities","Customer's Activities"
"Append Comments","Ajouter commentaires"
"Email Order Confirmation","Confirmation de la demande d'email"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"The order was placed using %1.","The order was placed using %1."
"Items to Refund","Articles à rembourser"
"Return to Stock","Retourner au Stock"
"Qty to Refund","Quantité à rembourser"
"Row Total","Total de la Ligne"
"No Items To Refund","Aucun article à rembourser"
"Credit Memo Comments","Avoir Commentaires"
"Refund Totals","Remboursement total"
"Email Copy of Credit Memo","Copie de l'e-mail de la note de crédit"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Articles remboursés"
"No Items","Pas d'article"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Create Shipment","Créer une livraison"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"Qty to Invoice","Quantité à facturer"
"Invoice History","Invoice History"
"Invoice Comments","Facture Commentaires"
"Invoice Totals","Invoice Totals"
"Capture Amount","Sauvegarder le montant"
"Capture Online","Sauvegarder en ligne"
"Capture Offline","Sauvegarder hors ligne"
"Not Capture","Non saisi"
"The invoice will be created offline without the payment gateway.","The invoice will be created offline without the payment gateway."
"Email Copy of Invoice","Copie email de la facture"
"Items Invoiced","Articles facturés"
"Total Tax","Taxe totale"
"From Name","De Nom"
"To Name","Vers nom"
"Add Order Comments","Ajouter commentaires de commande"
"Notification Not Applicable","La notification ne s'applique pas"
"the order confirmation email was sent","l'e-mail de confirmation de commande a été envoyé"
"the order confirmation email is not sent","l'e-mail de confirmation de commande n'est pas envoyé"
"Order Date (%1)","Order Date (%1)"
"Purchased From","Acheté à"
"Link to the New Order","Lien vers la nouvelle commande"
"Link to the Previous Order","Lien vers la commande précédente"
"Placed from IP","Placé depuis l'IP"
"%1 / %2 rate:","%1 / %2 rate:"
"Item Status","Statut article"
"Original Price","Prix d'origine"
"Tax Percent","Pourcentage de taxe"
"Transaction Data","Transaction Data"
"Parent Transaction ID","ID de la transaction mère"
"Transaction Type","Type de transaction"
"Is Closed","Is Closed"
"Child Transactions","Child Transactions"
"Transaction Details","Transaction Details"
"Gift Message for this Order","Message personnalisé pour cette commande"
"Shipped By","Expédié par"
"Tracking Number","Numéro de suivi"
"Billing Last Name","Nom facturation"
"Find Order By:","Trouver la commande par:"
"ZIP Code","ZIP Code"
"Billing ZIP Code","Code postal facturation"
"Print All Refunds","Imprimer tous les remboursements"
"Refund #","Remboursement #"
"Print Refund","Imprimer le remboursement"
"You have placed no orders.","Vous n'avez pas de commande."
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Order Date:</span> %1"
"No shipping information available","Aucune information d'expédition disponible"
"Print Order","Imprimer commande"
"Subscribe to Order Status","S'abonner au statut de la commande"
"Print All Invoices","Imprimer toutes les factures"
"Invoice #","Facture n˚"
"Print Invoice","Imprimer la facture"
"Qty Invoiced","Qté facturée"
"Refund #%1","Refund #%1"
"Invoice #%1","Invoice #%1"
"Shipment #%1","Shipment #%1"
"Items Shipped","Articles expédiés"
"Qty Shipped","Quantité expédiée"
"View All","Voir tout"
"Gift Message for This Order","Message cadeau pour cette commande"
"About Your Order","A propos de votre commande"
"Shipment Comments","Shipment Comments"
"Gift Options for ","Gift Options for "
Ok,Ok
"Anchor Custom Title","Titre personnalisé"
Phone,Phone
"Default Template","Modèle par défaut"
"Minimum Order Amount","Minimum Order Amount"
Comma-separated,Comma-separated
"Hide Customer IP","Hide Customer IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo for PDF Print-outs (200x50)"
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    "
"Logo for HTML Print View","Logo for HTML Print View"
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    "
"Minimum Amount","Minimum Amount"
"Subtotal after discount","Subtotal after discount"
"Description Message","Description Message"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount."
"Error to Show in Shopping Cart","Error to Show in Shopping Cart"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Multi-address Description Message","Multi-address Description Message"
"We'll use the default description above if you leave this empty.","We'll use the default description above if you leave this empty."
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Sales Emails","Sales Emails"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
